time,value
1532993839.871,-3
1532993839.879,0
1532993839.891,4
1532993839.9,2
1532993839.908,0
1532993839.917,7
1532993839.923,-5
1532993839.932,7
1532993839.94,2
1532993839.947,9
1532993839.955,5
1532993839.963,11
1532993839.972,7
1532993839.981,4
1532993839.989,1
1532993839.998,7
1532993840.006,11
1532993840.015,-1
1532993840.021,16
1532993840.03,-2
1532993840.038,-8
1532993840.048,6
1532993840.055,9
1532993840.063,11
1532993840.071,22
1532993840.083,9
1532993840.089,6
1532993840.098,6
1532993840.105,1
1532993840.114,13
1532993840.122,17
1532993840.131,10
1532993840.139,15
1532993840.147,0
1532993840.156,11
1532993840.164,4
1532993840.171,1
1532993840.18,-3
1532993840.188,3
1532993840.199,-10
1532993840.204,3
1532993840.214,3
1532993840.222,-2
1532993840.23,2
1532993840.238,9
1532993840.249,0
1532993840.255,8
1532993840.264,8
1532993840.27,4
1532993840.279,4
1532993840.286,-4
1532993840.296,-1
1532993840.305,1
1532993840.312,8
1532993840.32,-1
1532993840.329,0
1532993840.337,0
1532993840.346,2
1532993840.355,-13
1532993840.362,-1
1532993840.37,-3
1532993840.379,10
1532993840.387,0
1532993840.398,-4
1532993840.403,2
1532993840.413,6
1532993840.419,13
1532993840.43,0
1532993840.439,-2
1532993840.451,2
1532993840.462,11
1532993840.469,2
1532993840.477,-2
1532993840.49,2
1532993840.503,-4
1532993840.512,0
1532993840.526,-1
1532993840.532,11
1532993840.54,0
1532993840.548,0
1532993840.556,-1
1532993840.563,5
1532993840.572,4
1532993840.579,-2
1532993840.589,6
1532993840.597,-4
1532993840.604,-4
1532993840.616,-7
1532993840.625,-3
1532993840.635,9
1532993840.648,3
1532993840.655,0
1532993840.667,0
1532993840.674,1
1532993840.68,-9
1532993840.689,3
1532993840.695,-6
1532993840.71,-4
1532993840.719,-2
1532993840.727,5
1532993840.74,-12
1532993840.751,4
1532993840.76,11
1532993840.771,3
1532993840.776,3
1532993840.785,-5
1532993840.794,-9
1532993840.802,6
1532993840.812,1
1532993840.819,0
1532993840.828,-11
1532993840.841,-2
1532993840.847,-3
1532993840.853,-11
1532993840.86,-4
1532993840.871,-4
1532993840.878,-2
1532993840.886,-2
1532993840.901,6
1532993840.918,0
1532993840.927,1
1532993840.937,1
1532993840.945,1
1532993840.952,6
1532993840.961,8
1532993840.972,3
1532993840.986,9
1532993840.994,-15
1532993841.0,-5
1532993841.012,12
1532993841.025,2
1532993841.036,10
1532993841.046,8
1532993841.05,6
1532993841.058,0
1532993841.068,0
1532993841.077,0
1532993841.085,7
1532993841.093,-5
1532993841.101,5
1532993841.112,0
1532993841.118,1
1532993841.126,5
1532993841.133,2
1532993841.141,2
1532993841.15,-2
1532993841.159,0
1532993841.166,-5
1532993841.174,1
1532993841.184,3
1532993841.195,1
1532993841.199,1
1532993841.208,-3
1532993841.221,0
1532993841.226,3
1532993841.233,6
1532993841.241,-1
1532993841.249,-11
1532993841.258,2
1532993841.266,1
1532993841.276,0
1532993841.283,-12
1532993841.291,-8
1532993841.306,6
1532993841.316,0
1532993841.326,4
1532993841.332,6
1532993841.342,-6
1532993841.354,2
1532993841.365,-13
1532993841.374,-3
1532993841.383,-1
1532993841.393,-1
1532993841.399,3
1532993841.408,13
1532993841.416,1
1532993841.424,3
1532993841.432,3
1532993841.44,5
1532993841.45,1
1532993841.456,-4
1532993841.465,-2
1532993841.476,4
1532993841.481,-3
1532993841.49,6
1532993841.498,1
1532993841.506,-1
1532993841.514,12
1532993841.523,6
1532993841.535,8
1532993841.54,7
1532993841.549,-1
1532993841.56,1
1532993841.565,14
1532993841.574,1
1532993841.585,-2
1532993841.59,2
1532993841.599,1
1532993841.61,5
1532993841.615,1
1532993841.624,2
1532993841.631,8
1532993841.639,13
1532993841.647,8
1532993841.656,3
1532993841.664,11
1532993841.674,-3
1532993841.681,13
1532993841.692,10
1532993841.708,1
1532993841.715,-4
1532993841.728,25
1532993841.738,36
1532993841.748,62
1532993841.757,245
1532993841.764,84
1532993841.776,78
1532993841.781,98
1532993841.789,103
1532993841.802,119
1532993841.807,119
1532993841.813,170
1532993841.822,189
1532993841.829,238
1532993841.838,281
1532993841.847,326
1532993841.856,340
1532993841.863,361
1532993841.872,382
1532993841.88,397
1532993841.889,416
1532993841.902,419
1532993841.909,218
1532993841.914,156
1532993841.922,339
1532993841.93,563
1532993841.938,572
1532993841.946,524
1532993841.957,581
1532993841.963,597
1532993841.972,602
1532993841.983,592
1532993841.988,609
1532993841.996,596
1532993842.005,593
1532993842.017,596
1532993842.022,615
1532993842.03,612
1532993842.04,625
1532993842.053,617
1532993842.058,624
1532993842.065,611
1532993842.072,625
1532993842.083,618
1532993842.09,628
1532993842.098,619
1532993842.11,600
1532993842.116,603
1532993842.125,613
1532993842.135,623
1532993842.142,611
1532993842.148,622
1532993842.157,630
1532993842.163,626
1532993842.175,613
1532993842.181,633
1532993842.189,625
1532993842.197,635
1532993842.206,622
1532993842.213,618
1532993842.223,610
1532993842.231,625
1532993842.24,611
1532993842.247,625
1532993842.257,622
1532993842.263,610
1532993842.275,623
1532993842.281,611
1532993842.29,637
1532993842.296,625
1532993842.307,627
1532993842.313,612
1532993842.323,626
1532993842.329,617
1532993842.34,629
1532993842.346,628
1532993842.356,628
1532993842.364,616
1532993842.373,625
1532993842.379,625
1532993842.389,621
1532993842.396,620
1532993842.406,623
1532993842.412,622
1532993842.422,628
1532993842.43,637
1532993842.439,625
1532993842.446,631
1532993842.456,637
1532993842.462,629
1532993842.474,630
1532993842.48,634
1532993842.489,631
1532993842.497,643
1532993842.507,628
1532993842.513,637
1532993842.526,624
1532993842.532,634
1532993842.543,628
1532993842.55,628
1532993842.557,619
1532993842.563,637
1532993842.572,625
1532993842.584,613
1532993842.591,639
1532993842.596,621
1532993842.604,616
1532993842.615,635
1532993842.621,630
1532993842.628,631
1532993842.638,622
1532993842.647,625
1532993842.655,625
1532993842.663,622
1532993842.673,620
1532993842.678,630
1532993842.689,624
1532993842.696,628
1532993842.709,633
1532993842.715,621
1532993842.724,622
1532993842.731,625
1532993842.738,628
1532993842.747,635
1532993842.758,628
1532993842.765,625
1532993842.773,631
1532993842.781,631
1532993842.789,622
1532993842.804,625
1532993842.81,636
1532993842.818,627
1532993842.824,623
1532993842.834,613
1532993842.844,628
1532993842.852,624
1532993842.859,626
1532993842.866,629
1532993842.877,622
1532993842.885,642
1532993842.891,634
1532993842.9,635
1532993842.907,623
1532993842.919,629
1532993842.925,624
1532993842.933,623
1532993842.939,638
1532993842.951,614
1532993842.957,634
1532993842.965,636
1532993842.972,634
1532993842.98,626
1532993842.988,633
1532993842.995,631
1532993843.004,630
1532993843.013,631
1532993843.02,631
1532993843.028,619
1532993843.038,624
1532993843.047,618
1532993843.054,628
1532993843.061,625
1532993843.071,624
1532993843.08,619
1532993843.088,623
1532993843.095,629
1532993843.104,637
1532993843.114,622
1532993843.12,627
1532993843.127,626
1532993843.137,614
1532993843.146,634
1532993843.155,624
1532993843.165,627
1532993843.172,622
1532993843.18,623
1532993843.189,621
1532993843.201,624
1532993843.206,600
1532993843.213,606
1532993843.219,598
1532993843.232,601
1532993843.238,592
1532993843.245,582
1532993843.252,590
1532993843.267,580
1532993843.272,569
1532993843.279,581
1532993843.291,578
1532993843.297,555
1532993843.304,561
1532993843.311,591
1532993843.32,562
1532993843.33,552
1532993843.337,562
1532993843.344,549
1532993843.353,546
1532993843.363,556
1532993843.37,557
1532993843.377,556
1532993843.389,544
1532993843.395,549
1532993843.401,550
1532993843.409,549
1532993843.423,548
1532993843.429,551
1532993843.436,559
1532993843.443,555
1532993843.457,550
1532993843.463,556
1532993843.471,551
1532993843.477,566
1532993843.489,554
1532993843.495,570
1532993843.503,553
1532993843.509,566
1532993843.525,566
1532993843.53,576
1532993843.538,596
1532993843.546,575
1532993843.553,587
1532993843.561,582
1532993843.571,584
1532993843.579,594
1532993843.586,591
1532993843.591,597
1532993843.602,605
1532993843.609,593
1532993843.623,589
1532993843.629,604
1532993843.635,600
1532993843.642,599
1532993843.651,613
1532993843.664,603
1532993843.67,612
1532993843.676,605
1532993843.684,608
1532993843.695,618
1532993843.702,611
1532993843.709,612
1532993843.718,618
1532993843.726,628
1532993843.734,623
1532993843.742,631
1532993843.751,623
1532993843.763,620
1532993843.77,616
1532993843.776,615
1532993843.783,613
1532993843.794,631
1532993843.8,634
1532993843.808,613
1532993843.817,615
1532993843.828,616
1532993843.835,616
1532993843.842,627
1532993843.855,619
1532993843.867,613
1532993843.872,632
1532993843.879,616
1532993843.885,632
1532993843.897,619
1532993843.903,604
1532993843.909,625
1532993843.918,619
1532993843.925,615
1532993843.937,611
1532993843.943,602
1532993843.95,593
1532993843.962,608
1532993843.968,615
1532993843.983,620
1532993843.988,616
1532993843.997,616
1532993844.004,617
1532993844.015,623
1532993844.022,622
1532993844.029,618
1532993844.037,623
1532993844.043,628
1532993844.05,614
1532993844.062,621
1532993844.068,621
1532993844.074,632
1532993844.082,617
1532993844.097,616
1532993844.103,604
1532993844.11,610
1532993844.116,605
1532993844.128,612
1532993844.134,597
1532993844.14,596
1532993844.149,602
1532993844.156,602
1532993844.17,611
1532993844.178,608
1532993844.184,601
1532993844.191,611
1532993844.202,593
1532993844.21,601
1532993844.216,614
1532993844.222,606
1532993844.236,594
1532993844.241,598
1532993844.25,589
1532993844.257,597
1532993844.266,588
1532993844.278,584
1532993844.283,584
1532993844.29,576
1532993844.298,576
1532993844.306,575
1532993844.319,581
1532993844.326,563
1532993844.332,570
1532993844.343,579
1532993844.349,573
1532993844.355,567
1532993844.366,581
1532993844.372,563
1532993844.386,556
1532993844.392,563
1532993844.398,561
1532993844.406,561
1532993844.416,566
1532993844.426,571
1532993844.433,569
1532993844.442,583
1532993844.447,589
1532993844.456,580
