time,value
1532993523.36,736
1532993523.37,778
1532993523.377,796
1532993523.389,800
1532993523.396,821
1532993523.404,832
1532993523.411,824
1532993523.42,838
1532993523.427,843
1532993523.436,839
1532993523.446,865
1532993523.452,846
1532993523.459,859
1532993523.469,840
1532993523.478,843
1532993523.486,862
1532993523.492,849
1532993523.503,846
1532993523.51,852
1532993523.52,846
1532993523.528,847
1532993523.536,849
1532993523.543,833
1532993523.554,845
1532993523.56,848
1532993523.568,850
1532993523.578,845
1532993523.585,849
1532993523.592,864
1532993523.603,851
1532993523.61,846
1532993523.619,847
1532993523.627,858
1532993523.635,851
1532993523.642,854
1532993523.653,850
1532993523.659,857
1532993523.669,836
1532993523.676,857
1532993523.685,840
1532993523.692,857
1532993523.703,854
1532993523.71,856
1532993523.718,856
1532993523.728,855
1532993523.735,855
1532993523.742,854
1532993523.752,860
1532993523.759,854
1532993523.769,847
1532993523.778,851
1532993523.786,846
1532993523.793,857
1532993523.805,860
1532993523.811,857
1532993523.819,854
1532993523.826,853
1532993523.834,852
1532993523.841,852
1532993523.851,843
1532993523.863,853
1532993523.868,845
1532993523.874,856
1532993523.884,850
1532993523.891,846
1532993523.901,861
1532993523.908,846
1532993523.918,847
1532993523.929,857
1532993523.936,859
1532993523.942,851
1532993523.953,854
1532993523.961,848
1532993523.969,848
1532993523.977,852
1532993523.988,854
1532993523.994,852
1532993524.003,848
1532993524.011,847
1532993524.022,845
1532993524.028,860
1532993524.035,856
1532993524.041,837
1532993524.052,844
1532993524.058,861
1532993524.067,858
1532993524.073,853
1532993524.083,850
1532993524.093,859
1532993524.101,849
1532993524.108,849
1532993524.118,856
1532993524.125,849
1532993524.133,847
1532993524.143,857
1532993524.15,857
1532993524.157,852
1532993524.169,856
1532993524.175,852
1532993524.182,851
1532993524.19,843
1532993524.201,852
1532993524.207,847
1532993524.217,850
1532993524.226,847
1532993524.234,845
1532993524.241,844
1532993524.252,857
1532993524.259,850
1532993524.267,848
1532993524.276,834
