time,value
1532992621.653,581
1532992621.663,604
1532992621.672,621
1532992621.688,629
1532992621.696,635
1532992621.705,643
1532992621.716,643
1532992621.725,645
1532992621.736,666
1532992621.747,662
1532992621.756,659
1532992621.764,669
1532992621.776,664
1532992621.785,663
1532992621.794,660
1532992621.805,672
1532992621.813,669
1532992621.822,663
1532992621.83,673
1532992621.839,672
1532992621.846,664
1532992621.86,672
1532992621.867,668
1532992621.876,676
1532992621.886,671
1532992621.894,669
1532992621.902,679
1532992621.91,679
1532992621.923,678
1532992621.93,684
1532992621.938,673
1532992621.949,692
1532992621.958,672
1532992621.965,672
1532992621.974,663
1532992621.983,670
1532992621.992,669
1532992622.0,671
1532992622.01,673
1532992622.017,667
1532992622.026,669
1532992622.039,677
1532992622.048,667
1532992622.057,677
1532992622.065,679
1532992622.078,676
1532992622.086,660
1532992622.095,675
1532992622.108,673
1532992622.115,672
1532992622.124,676
1532992622.131,673
1532992622.142,671
1532992622.148,668
1532992622.157,663
1532992622.165,668
1532992622.173,661
1532992622.179,666
1532992622.19,669
1532992622.197,673
1532992622.205,667
1532992622.217,668
1532992622.229,659
1532992622.237,658
1532992622.247,690
1532992622.258,683
1532992622.265,673
1532992622.275,667
1532992622.287,662
1532992622.297,676
1532992622.305,667
1532992622.313,692
1532992622.327,677
1532992622.334,667
1532992622.342,686
1532992622.35,679
1532992622.359,670
1532992622.371,686
1532992622.378,667
1532992622.388,672
1532992622.395,671
1532992622.406,681
1532992622.423,664
1532992622.431,671
1532992622.442,677
1532992622.45,670
1532992622.461,676
1532992622.471,671
1532992622.479,675
1532992622.489,680
1532992622.502,674
1532992622.509,671
1532992622.521,677
1532992622.536,664
1532992622.549,675
1532992622.559,665
1532992622.571,665
1532992622.579,659
1532992622.589,672
1532992622.599,673
1532992622.611,653
1532992622.619,672
1532992622.627,666
1532992622.641,661
1532992622.648,667
1532992622.656,673
1532992622.669,682
1532992622.677,670
1532992622.686,678
1532992622.697,671
1532992622.705,673
1532992622.713,686
1532992622.723,671
1532992622.731,671
1532992622.738,689
1532992622.748,658
1532992622.757,658
1532992622.768,686
1532992622.779,671
1532992622.786,695
1532992622.793,678
1532992622.803,664
1532992622.815,661
1532992622.824,670
1532992622.832,677
1532992622.842,667
1532992622.855,656
1532992622.862,675
1532992622.871,668
1532992622.882,673
1532992622.892,667
1532992622.902,661
1532992622.91,665
1532992622.917,682
1532992622.928,672
1532992622.935,680
1532992622.942,685
1532992622.951,667
1532992622.96,678
1532992622.975,664
1532992622.982,675
1532992622.992,668
1532992623.007,665
1532992623.017,682
1532992623.025,664
1532992623.033,671
1532992623.043,672
1532992623.057,672
1532992623.064,660
1532992623.071,662
1532992623.08,660
1532992623.092,675
1532992623.101,671
1532992623.119,674
1532992623.126,663
1532992623.136,663
1532992623.143,675
1532992623.151,679
1532992623.157,669
1532992623.17,660
1532992623.177,678
1532992623.184,668
1532992623.195,680
1532992623.203,677
1532992623.212,667
1532992623.22,677
1532992623.227,671
1532992623.234,666
1532992623.242,674
1532992623.252,683
1532992623.259,676
1532992623.27,679
1532992623.277,671
1532992623.284,670
1532992623.296,676
1532992623.308,670
1532992623.316,669
1532992623.324,674
1532992623.335,670
1532992623.342,671
1532992623.352,660
1532992623.366,671
1532992623.372,667
1532992623.382,671
1532992623.389,682
1532992623.403,671
1532992623.41,663
1532992623.421,665
1532992623.433,668
1532992623.44,677
1532992623.45,671
1532992623.458,683
1532992623.471,670
1532992623.478,673
1532992623.487,658
1532992623.5,673
1532992623.507,664
1532992623.516,672
1532992623.523,656
1532992623.534,665
1532992623.541,677
1532992623.549,662
1532992623.555,683
1532992623.568,679
1532992623.576,681
1532992623.585,682
1532992623.595,672
1532992623.603,683
1532992623.613,666
1532992623.628,666
1532992623.635,676
1532992623.645,659
1532992623.654,688
1532992623.663,671
1532992623.669,663
1532992623.679,678
1532992623.686,667
1532992623.697,680
1532992623.707,685
1532992623.714,695
1532992623.722,684
1532992623.731,694
1532992623.74,674
1532992623.748,685
