time,value
1532992660.536,564
1532992660.548,578
1532992660.557,587
1532992660.57,604
1532992660.585,594
1532992660.593,609
1532992660.6,630
1532992660.611,631
1532992660.619,629
1532992660.627,645
1532992660.634,654
1532992660.647,661
1532992660.66,656
1532992660.667,675
1532992660.675,662
1532992660.684,660
1532992660.693,673
1532992660.703,678
1532992660.711,694
1532992660.725,684
1532992660.732,686
1532992660.74,680
1532992660.748,685
1532992660.761,687
1532992660.776,683
1532992660.783,701
1532992660.794,711
1532992660.801,698
1532992660.81,707
1532992660.821,697
1532992660.828,710
1532992660.835,716
1532992660.846,711
1532992660.859,710
1532992660.865,718
1532992660.872,724
1532992660.882,719
1532992660.894,713
1532992660.901,715
1532992660.909,727
1532992660.916,726
1532992660.928,710
1532992660.935,720
1532992660.948,710
1532992660.956,706
1532992660.963,705
1532992660.973,711
1532992660.983,704
1532992660.99,709
1532992660.999,706
1532992661.013,700
1532992661.021,719
1532992661.03,711
1532992661.043,718
1532992661.05,718
1532992661.061,706
1532992661.068,709
1532992661.078,708
1532992661.086,716
1532992661.095,708
1532992661.106,703
1532992661.119,701
1532992661.127,718
1532992661.136,711
1532992661.15,713
1532992661.158,709
1532992661.166,731
1532992661.177,720
1532992661.19,712
1532992661.2,703
1532992661.213,718
1532992661.227,717
1532992661.236,717
1532992661.245,715
1532992661.252,727
1532992661.266,708
1532992661.274,708
1532992661.282,706
1532992661.293,721
1532992661.304,716
1532992661.311,726
1532992661.319,714
1532992661.333,705
1532992661.342,716
1532992661.35,723
1532992661.36,710
1532992661.371,714
1532992661.378,718
1532992661.385,709
1532992661.393,711
1532992661.401,719
1532992661.411,717
1532992661.419,709
1532992661.427,716
1532992661.436,719
1532992661.449,715
1532992661.457,712
1532992661.464,721
1532992661.473,704
1532992661.485,717
1532992661.493,716
1532992661.5,715
1532992661.508,704
1532992661.518,720
1532992661.529,708
1532992661.537,708
1532992661.546,711
1532992661.558,706
1532992661.565,720
1532992661.574,722
1532992661.582,717
1532992661.593,707
1532992661.607,708
1532992661.613,725
1532992661.623,704
1532992661.637,718
1532992661.643,723
1532992661.65,718
1532992661.659,713
1532992661.672,715
1532992661.678,704
1532992661.688,712
1532992661.697,711
1532992661.708,713
1532992661.715,710
1532992661.723,714
1532992661.732,723
1532992661.743,715
1532992661.75,725
1532992661.761,705
1532992661.767,718
1532992661.779,716
1532992661.787,710
1532992661.8,710
1532992661.81,708
1532992661.82,703
1532992661.829,711
1532992661.842,718
1532992661.849,714
1532992661.86,715
1532992661.876,721
1532992661.882,704
1532992661.891,714
1532992661.9,711
1532992661.914,716
1532992661.922,715
1532992661.93,713
1532992661.943,724
1532992661.955,704
1532992661.962,716
1532992661.97,707
1532992661.978,718
1532992661.991,716
1532992661.999,702
1532992662.007,703
1532992662.015,716
1532992662.023,709
1532992662.03,711
1532992662.042,712
1532992662.049,695
1532992662.057,714
1532992662.067,704
1532992662.076,706
1532992662.083,713
1532992662.092,714
1532992662.106,715
1532992662.112,722
1532992662.12,706
1532992662.128,718
1532992662.141,708
1532992662.148,727
1532992662.156,721
1532992662.164,727
1532992662.177,727
1532992662.184,730
1532992662.195,733
1532992662.204,734
1532992662.218,724
1532992662.225,736
1532992662.236,739
1532992662.247,725
1532992662.256,729
1532992662.264,736
1532992662.276,730
1532992662.283,723
1532992662.291,735
1532992662.301,748
1532992662.313,726
1532992662.323,714
1532992662.33,725
1532992662.341,731
1532992662.349,738
1532992662.36,739
1532992662.372,725
1532992662.379,736
1532992662.387,738
1532992662.397,723
1532992662.406,731
1532992662.413,744
1532992662.422,726
1532992662.431,733
1532992662.439,730
1532992662.448,735
1532992662.461,719
1532992662.468,734
1532992662.476,739
1532992662.485,728
1532992662.495,725
1532992662.503,739
1532992662.51,726
1532992662.522,727
1532992662.528,726
1532992662.536,722
1532992662.543,728
1532992662.555,721
1532992662.561,735
1532992662.57,732
1532992662.577,744
1532992662.589,737
1532992662.596,728
1532992662.605,732
1532992662.618,726
1532992662.625,722
1532992662.634,734
1532992662.643,735
1532992662.651,736
1532992662.658,734
1532992662.67,737
1532992662.677,738
1532992662.686,737
1532992662.695,729
1532992662.707,728
1532992662.714,731
1532992662.725,732
1532992662.737,729
1532992662.746,734
1532992662.757,732
1532992662.764,736
1532992662.772,731
1532992662.78,739
1532992662.79,726
1532992662.798,724
1532992662.806,729
1532992662.814,723
1532992662.824,725
1532992662.831,733
1532992662.838,735
1532992662.85,730
1532992662.857,734
1532992662.866,717
1532992662.875,738
1532992662.882,738
1532992662.894,741
1532992662.902,732
1532992662.91,734
1532992662.92,742
1532992662.931,739
1532992662.942,738
1532992662.951,732
1532992662.962,729
1532992662.97,729
1532992662.979,724
1532992662.988,727
1532992662.999,721
1532992663.007,736
1532992663.016,736
1532992663.026,728
1532992663.035,728
1532992663.043,731
1532992663.054,728
1532992663.061,729
1532992663.069,727
1532992663.083,726
1532992663.09,724
1532992663.097,732
1532992663.106,733
1532992663.114,738
1532992663.123,725
1532992663.131,739
1532992663.138,728
1532992663.146,722
1532992663.16,735
1532992663.169,732
1532992663.177,727
1532992663.19,722
1532992663.199,741
1532992663.206,727
1532992663.214,735
1532992663.227,727
1532992663.235,725
1532992663.242,727
1532992663.255,733
1532992663.262,723
1532992663.273,731
1532992663.283,732
1532992663.294,729
1532992663.303,729
1532992663.31,730
1532992663.32,733
1532992663.336,727
1532992663.343,728
1532992663.354,737
1532992663.361,738
1532992663.369,735
1532992663.376,734
1532992663.384,735
1532992663.396,739
1532992663.403,725
1532992663.41,723
1532992663.419,727
1532992663.432,732
1532992663.44,725
1532992663.449,727
1532992663.459,728
1532992663.467,724
1532992663.474,713
1532992663.486,733
1532992663.492,733
1532992663.5,738
1532992663.51,723
1532992663.524,740
1532992663.532,730
1532992663.539,733
1532992663.552,727
1532992663.562,730
1532992663.57,732
1532992663.578,730
1532992663.585,734
1532992663.594,733
1532992663.602,722
1532992663.61,727
1532992663.618,734
1532992663.625,736
1532992663.636,733
1532992663.643,726
1532992663.652,735
1532992663.663,734
1532992663.676,728
1532992663.684,718
1532992663.693,729
1532992663.704,729
1532992663.713,735
1532992663.722,726
1532992663.729,721
1532992663.741,731
1532992663.749,745
1532992663.757,728
1532992663.766,742
1532992663.784,730
1532992663.79,734
1532992663.797,738
1532992663.806,723
1532992663.818,734
1532992663.829,734
1532992663.835,719
1532992663.847,728
1532992663.861,738
1532992663.873,729
1532992663.881,726
1532992663.889,717
1532992663.9,723
1532992663.912,739
1532992663.919,736
1532992663.929,728
1532992663.94,726
1532992663.952,723
1532992663.962,731
1532992663.971,721
1532992663.983,738
1532992663.993,733
1532992664.0,727
1532992664.01,742
1532992664.021,741
1532992664.03,723
1532992664.041,729
1532992664.048,744
1532992664.056,730
1532992664.064,722
1532992664.076,732
1532992664.084,732
1532992664.094,735
1532992664.103,746
1532992664.113,725
1532992664.121,741
1532992664.132,738
1532992664.147,734
1532992664.158,736
1532992664.166,742
1532992664.174,732
1532992664.18,712
1532992664.192,739
1532992664.2,726
1532992664.211,730
1532992664.223,726
1532992664.231,725
1532992664.241,739
1532992664.249,723
1532992664.265,740
1532992664.272,719
1532992664.284,727
1532992664.296,727
1532992664.304,742
1532992664.312,714
1532992664.324,732
1532992664.332,730
1532992664.339,728
1532992664.348,735
1532992664.355,740
1532992664.373,714
1532992664.382,727
1532992664.393,733
1532992664.4,737
1532992664.411,727
1532992664.418,724
1532992664.427,745
1532992664.44,743
1532992664.45,733
1532992664.459,727
1532992664.466,728
1532992664.48,724
1532992664.487,728
1532992664.499,724
1532992664.511,740
1532992664.518,713
1532992664.528,726
1532992664.535,732
1532992664.549,735
1532992664.559,719
1532992664.569,725
1532992664.578,733
1532992664.59,738
1532992664.598,729
1532992664.609,719
1532992664.618,735
1532992664.627,734
1532992664.638,726
1532992664.647,722
1532992664.66,708
1532992664.671,721
1532992664.679,712
1532992664.688,741
1532992664.699,722
1532992664.706,703
1532992664.713,716
1532992664.72,716
1532992664.733,705
1532992664.742,726
1532992664.751,715
1532992664.761,721
1532992664.769,707
1532992664.777,720
1532992664.787,706
1532992664.796,706
1532992664.803,710
1532992664.814,704
1532992664.824,701
1532992664.831,726
1532992664.843,705
1532992664.851,711
1532992664.86,711
1532992664.869,710
1532992664.877,710
1532992664.884,704
1532992664.896,702
1532992664.905,703
1532992664.911,711
1532992664.922,701
1532992664.929,704
1532992664.937,705
1532992664.949,703
1532992664.957,707
1532992664.965,701
1532992664.974,702
1532992664.984,698
1532992664.993,707
1532992665.0,706
1532992665.013,696
1532992665.02,716
1532992665.031,700
1532992665.055,695
1532992665.064,696
1532992665.074,700
1532992665.087,703
1532992665.094,699
1532992665.101,708
1532992665.11,700
1532992665.118,697
1532992665.13,691
1532992665.139,696
1532992665.146,683
1532992665.159,684
1532992665.166,694
1532992665.177,696
1532992665.188,687
1532992665.2,683
1532992665.21,678
1532992665.222,687
1532992665.23,698
1532992665.238,683
1532992665.249,687
1532992665.258,687
1532992665.265,677
1532992665.277,676
1532992665.286,675
1532992665.299,674
1532992665.308,661
1532992665.316,670
1532992665.327,659
1532992665.334,665
1532992665.343,650
1532992665.352,663
1532992665.36,663
1532992665.367,663
1532992665.375,664
1532992665.386,650
1532992665.394,649
1532992665.4,653
1532992665.411,662
1532992665.417,653
1532992665.425,648
1532992665.436,641
1532992665.443,650
1532992665.45,653
1532992665.461,645
1532992665.467,636
1532992665.475,653
1532992665.484,633
1532992665.491,643
1532992665.499,624
1532992665.506,621
1532992665.515,619
1532992665.527,629
1532992665.533,629
1532992665.541,630
1532992665.547,636
1532992665.56,633
1532992665.567,640
1532992665.575,638
1532992665.582,645
1532992665.594,637
1532992665.601,636
1532992665.611,623
1532992665.623,632
1532992665.63,627
1532992665.639,630
1532992665.647,606
1532992665.663,627
1532992665.671,618
1532992665.68,626
1532992665.689,631
1532992665.698,623
1532992665.71,638
1532992665.717,612
1532992665.726,628
1532992665.733,621
1532992665.745,634
1532992665.751,635
1532992665.759,616
1532992665.766,632
1532992665.78,612
1532992665.788,620
1532992665.796,614
1532992665.803,606
1532992665.814,617
1532992665.822,617
1532992665.829,615
1532992665.839,606
1532992665.846,593
1532992665.852,585
1532992665.86,570
1532992665.871,528
1532992665.877,488
1532992665.885,496
