time,value
1532994719.484,783
1532994719.496,812
1532994719.503,859
1532994719.51,869
1532994719.532,902
1532994719.54,903
1532994719.548,910
1532994719.555,896
1532994719.566,922
1532994719.572,911
1532994719.578,918
1532994719.585,927
1532994719.597,916
1532994719.605,888
1532994719.611,918
1532994719.621,917
1532994719.627,921
1532994719.633,929
1532994719.642,931
1532994719.648,915
1532994719.655,942
1532994719.661,932
1532994719.672,938
1532994719.678,916
1532994719.683,939
1532994719.691,922
1532994719.702,936
1532994719.708,928
1532994719.716,943
1532994719.724,929
1532994719.734,928
1532994719.742,924
1532994719.75,930
1532994719.759,933
1532994719.768,928
1532994719.778,929
1532994719.785,932
1532994719.792,923
1532994719.8,947
1532994719.807,933
1532994719.814,951
1532994719.826,928
1532994719.832,941
1532994719.84,950
1532994719.847,943
1532994719.857,933
1532994719.864,930
1532994719.874,963
1532994719.882,951
1532994719.89,921
1532994719.897,939
1532994719.909,950
1532994719.915,944
1532994719.923,949
1532994719.934,952
1532994719.942,948
1532994719.948,949
1532994719.959,938
1532994719.965,931
1532994719.973,932
1532994719.981,940
1532994719.99,921
1532994719.997,939
1532994720.007,941
1532994720.014,920
1532994720.024,943
1532994720.03,943
1532994720.038,956
1532994720.051,943
1532994720.057,971
1532994720.064,946
1532994720.072,940
1532994720.082,943
1532994720.089,943
1532994720.097,938
1532994720.104,938
1532994720.113,932
1532994720.123,930
1532994720.131,962
1532994720.137,923
1532994720.151,953
1532994720.159,948
1532994720.167,939
1532994720.175,928
1532994720.188,933
1532994720.194,994
1532994720.203,936
1532994720.21,940
1532994720.221,925
1532994720.226,937
1532994720.234,946
1532994720.241,937
1532994720.247,931
1532994720.257,898
1532994720.265,941
1532994720.272,924
1532994720.28,925
1532994720.29,947
1532994720.296,904
1532994720.306,941
1532994720.317,948
1532994720.322,929
1532994720.329,948
1532994720.338,941
1532994720.348,935
1532994720.357,936
1532994720.363,943
1532994720.375,949
1532994720.388,943
1532994720.394,948
1532994720.402,978
1532994720.41,980
1532994720.419,947
1532994720.429,948
1532994720.437,933
1532994720.444,936
1532994720.451,943
1532994720.464,951
1532994720.472,944
1532994720.479,930
1532994720.488,909
1532994720.495,934
1532994720.504,935
1532994720.514,945
1532994720.522,947
1532994720.529,924
1532994720.538,946
1532994720.551,944
1532994720.558,933
1532994720.566,933
1532994720.575,939
1532994720.583,942
1532994720.589,927
1532994720.596,940
1532994720.609,944
1532994720.615,937
1532994720.622,931
1532994720.63,939
1532994720.638,934
1532994720.648,940
1532994720.654,946
1532994720.661,974
1532994720.67,939
1532994720.679,942
1532994720.687,926
1532994720.694,929
1532994720.701,915
1532994720.71,941
1532994720.719,930
1532994720.725,943
1532994720.731,946
1532994720.741,943
1532994720.751,933
1532994720.761,942
1532994720.77,933
1532994720.779,953
1532994720.787,950
1532994720.794,944
1532994720.802,939
1532994720.812,937
1532994720.82,947
1532994720.827,935
1532994720.835,934
1532994720.846,929
1532994720.854,943
1532994720.861,926
1532994720.87,940
1532994720.879,937
1532994720.887,938
1532994720.894,926
1532994720.903,942
1532994720.912,913
1532994720.92,940
1532994720.927,951
1532994720.936,935
1532994720.946,914
1532994720.954,941
1532994720.961,931
1532994720.97,950
1532994720.979,928
1532994720.986,938
1532994720.993,926
1532994721.003,947
1532994721.011,935
1532994721.018,941
1532994721.025,928
1532994721.034,934
1532994721.045,939
1532994721.053,950
1532994721.06,931
1532994721.068,932
1532994721.077,913
1532994721.083,927
1532994721.09,933
1532994721.098,933
1532994721.107,925
1532994721.115,935
1532994721.122,927
1532994721.134,920
1532994721.14,921
1532994721.149,916
1532994721.155,943
1532994721.162,920
1532994721.173,933
1532994721.179,936
1532994721.187,930
1532994721.194,936
1532994721.204,923
1532994721.211,933
1532994721.221,934
1532994721.229,942
1532994721.236,936
1532994721.246,977
1532994721.254,935
1532994721.263,954
1532994721.272,880
1532994721.281,935
1532994721.293,940
1532994721.299,939
1532994721.306,927
1532994721.315,921
1532994721.325,918
1532994721.332,938
1532994721.339,943
1532994721.348,940
1532994721.357,936
1532994721.366,938
1532994721.374,923
1532994721.383,934
1532994721.393,954
1532994721.4,932
1532994721.407,910
1532994721.416,940
1532994721.423,935
1532994721.434,936
1532994721.44,939
1532994721.449,966
1532994721.458,943
1532994721.469,977
1532994721.475,940
1532994721.484,942
1532994721.49,926
1532994721.501,918
1532994721.507,933
1532994721.516,922
1532994721.522,932
1532994721.532,938
1532994721.538,942
1532994721.546,945
1532994721.553,929
1532994721.566,939
1532994721.571,923
1532994721.58,933
1532994721.587,929
1532994721.597,948
1532994721.603,928
1532994721.609,931
1532994721.617,943
1532994721.627,935
1532994721.635,939
1532994721.646,930
1532994721.653,940
1532994721.661,939
1532994721.668,934
1532994721.674,928
1532994721.687,935
1532994721.693,918
1532994721.701,914
1532994721.708,942
1532994721.718,942
1532994721.724,943
1532994721.732,947
1532994721.741,932
1532994721.754,957
1532994721.767,952
1532994721.774,946
1532994721.782,912
1532994721.789,942
1532994721.798,929
1532994721.809,940
1532994721.817,923
1532994721.823,933
1532994721.831,936
1532994721.838,925
1532994721.851,908
1532994721.858,897
1532994721.866,934
1532994721.874,955
1532994721.884,962
1532994721.89,926
1532994721.898,960
1532994721.905,958
1532994721.915,972
1532994721.921,966
1532994721.929,968
1532994721.937,928
1532994721.945,953
1532994721.951,1100
1532994721.959,964
1532994721.966,969
1532994721.974,977
1532994721.981,895
1532994721.988,991
1532994722.001,951
1532994722.006,878
1532994722.015,966
1532994722.022,945
1532994722.034,965
1532994722.04,976
1532994722.048,1018
1532994722.056,988
1532994722.065,919
1532994722.072,1045
1532994722.082,929
1532994722.092,1013
1532994722.099,965
1532994722.105,961
1532994722.115,942
1532994722.126,919
1532994722.134,1031
1532994722.141,969
1532994722.148,964
1532994722.159,947
1532994722.167,953
1532994722.174,906
1532994722.185,959
1532994722.191,962
1532994722.198,933
1532994722.205,968
1532994722.214,1016
1532994722.223,910
1532994722.232,971
1532994722.239,997
1532994722.248,940
1532994722.257,1081
1532994722.265,926
1532994722.272,955
1532994722.282,910
1532994722.292,956
1532994722.3,903
1532994722.307,970
1532994722.318,968
1532994722.324,977
1532994722.332,967
1532994722.339,951
1532994722.351,981
1532994722.36,1108
1532994722.369,944
1532994722.378,1037
1532994722.384,966
1532994722.392,992
1532994722.4,955
1532994722.412,1149
1532994722.418,989
1532994722.431,974
1532994722.437,927
1532994722.451,953
1532994722.461,967
1532994722.468,952
1532994722.488,800
1532994722.497,900
1532994722.504,986
1532994722.513,936
1532994722.523,1071
1532994722.535,693
1532994722.544,983
1532994722.55,1000
1532994722.56,845
1532994722.572,950
1532994722.58,958
1532994722.586,1119
1532994722.595,941
1532994722.602,974
1532994722.617,986
1532994722.625,922
1532994722.633,962
1532994722.641,935
1532994722.65,987
1532994722.657,939
1532994722.666,976
1532994722.674,966
