time,value
1532994277.43,761
1532994277.442,796
1532994277.449,830
1532994277.458,869
1532994277.465,877
1532994277.478,879
1532994277.49,908
1532994277.497,917
1532994277.506,923
1532994277.512,917
1532994277.525,929
1532994277.532,914
1532994277.541,921
1532994277.552,941
1532994277.558,932
1532994277.565,935
1532994277.576,941
1532994277.583,931
1532994277.591,941
1532994277.597,928
1532994277.608,940
1532994277.614,947
1532994277.622,950
1532994277.629,938
1532994277.639,928
1532994277.645,944
1532994277.652,940
1532994277.66,940
1532994277.67,924
1532994277.678,937
1532994277.685,934
1532994277.692,936
1532994277.702,944
1532994277.71,940
1532994277.716,949
1532994277.731,937
1532994277.741,934
1532994277.748,948
1532994277.756,939
1532994277.762,929
1532994277.774,938
1532994277.78,927
1532994277.789,937
1532994277.795,944
1532994277.806,917
1532994277.812,949
1532994277.819,946
1532994277.831,944
1532994277.839,935
1532994277.845,946
1532994277.858,921
1532994277.867,945
1532994277.876,930
1532994277.882,944
1532994277.891,946
1532994277.899,927
1532994277.908,945
1532994277.917,944
1532994277.926,941
1532994277.934,942
1532994277.941,950
1532994277.951,940
1532994277.957,941
1532994277.963,937
1532994277.971,932
1532994277.982,914
1532994277.99,929
1532994277.997,935
1532994278.008,934
1532994278.013,937
1532994278.021,935
1532994278.027,934
1532994278.038,933
1532994278.044,940
1532994278.052,939
1532994278.061,927
1532994278.067,935
1532994278.074,948
1532994278.08,933
1532994278.091,947
1532994278.097,942
1532994278.105,934
1532994278.112,940
1532994278.122,936
1532994278.128,942
1532994278.134,933
1532994278.141,947
1532994278.151,938
1532994278.158,945
1532994278.164,937
1532994278.171,936
1532994278.182,935
1532994278.19,937
1532994278.196,940
1532994278.212,930
1532994278.219,947
1532994278.229,935
1532994278.238,945
1532994278.246,940
1532994278.253,930
1532994278.259,933
1532994278.267,938
1532994278.276,935
1532994278.288,913
1532994278.294,925
1532994278.301,934
1532994278.307,943
1532994278.321,940
1532994278.326,936
1532994278.335,935
1532994278.344,921
1532994278.351,939
1532994278.358,934
1532994278.364,929
1532994278.376,944
1532994278.384,929
1532994278.391,931
1532994278.399,923
1532994278.408,937
1532994278.414,927
1532994278.423,943
1532994278.431,937
1532994278.44,938
1532994278.446,923
1532994278.456,945
1532994278.463,936
1532994278.474,939
1532994278.481,948
1532994278.489,934
1532994278.497,947
1532994278.507,937
1532994278.514,941
1532994278.522,938
1532994278.529,927
1532994278.54,929
1532994278.546,933
1532994278.555,934
1532994278.562,932
1532994278.573,935
1532994278.58,943
1532994278.589,927
1532994278.595,930
1532994278.607,933
1532994278.614,945
1532994278.624,933
1532994278.631,930
1532994278.64,931
1532994278.647,935
1532994278.656,923
1532994278.662,937
1532994278.672,932
1532994278.678,937
1532994278.688,942
1532994278.696,938
1532994278.705,936
1532994278.712,934
1532994278.721,943
1532994278.729,939
1532994278.739,928
1532994278.746,928
1532994278.755,944
1532994278.765,931
1532994278.772,934
1532994278.778,935
1532994278.789,940
1532994278.798,937
1532994278.806,941
1532994278.812,927
1532994278.821,934
1532994278.83,937
1532994278.838,937
1532994278.847,927
1532994278.854,942
1532994278.867,928
1532994278.873,936
1532994278.88,939
1532994278.888,935
1532994278.897,934
1532994278.905,931
1532994278.913,926
1532994278.923,931
1532994278.936,935
1532994278.945,933
1532994278.953,928
1532994278.96,929
1532994278.969,940
1532994278.984,938
1532994278.991,931
1532994278.998,928
1532994279.006,934
1532994279.012,935
1532994279.021,932
1532994279.027,920
1532994279.036,951
1532994279.044,939
1532994279.056,943
1532994279.063,941
1532994279.069,936
1532994279.076,938
1532994279.085,946
1532994279.095,935
1532994279.103,930
1532994279.111,918
1532994279.122,942
1532994279.129,922
1532994279.138,927
1532994279.145,928
1532994279.156,936
1532994279.162,920
1532994279.169,934
1532994279.176,939
1532994279.185,937
1532994279.191,933
1532994279.199,916
1532994279.205,928
1532994279.217,938
1532994279.223,940
1532994279.231,918
1532994279.237,926
1532994279.248,934
1532994279.254,935
1532994279.26,934
1532994279.269,936
1532994279.279,929
1532994279.29,948
1532994279.303,924
1532994279.313,931
1532994279.323,942
1532994279.329,945
1532994279.337,934
1532994279.349,943
1532994279.355,932
1532994279.363,933
1532994279.37,944
1532994279.376,954
1532994279.39,932
1532994279.396,931
1532994279.403,931
1532994279.41,928
1532994279.421,936
1532994279.427,938
1532994279.434,946
1532994279.441,934
1532994279.45,938
1532994279.456,936
1532994279.462,937
1532994279.47,933
1532994279.478,935
1532994279.485,944
1532994279.492,935
1532994279.503,932
1532994279.509,935
1532994279.517,942
1532994279.524,940
1532994279.534,927
1532994279.541,927
1532994279.55,943
1532994279.557,956
1532994279.566,944
1532994279.574,948
1532994279.585,945
1532994279.594,938
1532994279.602,934
1532994279.608,933
1532994279.617,931
1532994279.627,917
1532994279.634,952
1532994279.64,940
1532994279.652,931
1532994279.657,933
1532994279.667,939
1532994279.674,931
1532994279.683,934
1532994279.691,939
1532994279.701,935
1532994279.708,952
1532994279.717,925
1532994279.723,946
1532994279.734,935
1532994279.74,947
1532994279.753,957
1532994279.76,949
1532994279.766,959
1532994279.774,972
1532994279.782,972
1532994279.797,959
1532994279.803,971
1532994279.81,950
1532994279.821,950
1532994279.827,943
1532994279.836,957
1532994279.842,949
1532994279.852,965
1532994279.858,952
1532994279.865,950
1532994279.874,963
1532994279.882,969
1532994279.889,952
1532994279.9,947
1532994279.906,942
1532994279.915,953
1532994279.925,954
1532994279.933,952
1532994279.94,944
1532994279.951,952
1532994279.957,954
1532994279.964,947
1532994279.975,948
1532994279.984,966
1532994279.991,955
1532994279.998,950
1532994280.008,947
1532994280.014,948
1532994280.024,943
1532994280.033,956
1532994280.046,951
1532994280.052,950
1532994280.058,944
1532994280.065,948
1532994280.073,945
1532994280.082,940
1532994280.089,952
1532994280.099,955
1532994280.105,955
1532994280.116,942
1532994280.122,952
1532994280.131,952
1532994280.142,949
1532994280.147,959
1532994280.155,943
1532994280.165,951
1532994280.175,950
1532994280.18,952
1532994280.188,959
1532994280.198,958
1532994280.208,949
1532994280.214,951
1532994280.221,955
1532994280.232,959
1532994280.242,940
1532994280.249,946
1532994280.256,954
1532994280.266,954
1532994280.276,942
1532994280.283,943
1532994280.289,951
1532994280.301,954
1532994280.307,954
1532994280.315,957
1532994280.324,951
1532994280.33,941
1532994280.338,956
1532994280.35,953
1532994280.356,960
1532994280.364,960
1532994280.371,956
1532994280.38,952
1532994280.389,955
1532994280.396,957
1532994280.404,964
1532994280.419,957
1532994280.425,945
1532994280.431,954
1532994280.438,956
1532994280.449,949
1532994280.455,944
1532994280.464,954
1532994280.473,949
1532994280.479,957
1532994280.487,957
1532994280.498,950
1532994280.506,952
1532994280.514,967
1532994280.52,958
1532994280.53,945
1532994280.537,957
1532994280.549,960
1532994280.555,965
1532994280.565,953
1532994280.575,960
1532994280.582,956
1532994280.588,960
1532994280.598,970
1532994280.604,964
1532994280.615,964
1532994280.621,942
1532994280.631,946
1532994280.638,951
1532994280.647,950
1532994280.654,960
1532994280.665,958
1532994280.672,956
1532994280.682,944
1532994280.688,959
1532994280.698,951
1532994280.705,947
1532994280.716,960
1532994280.723,957
1532994280.731,958
1532994280.739,970
1532994280.749,955
1532994280.756,967
1532994280.763,948
1532994280.77,953
1532994280.782,951
1532994280.789,972
1532994280.802,960
1532994280.818,954
1532994280.827,957
1532994280.839,958
1532994280.845,953
1532994280.854,959
1532994280.864,956
1532994280.875,966
1532994280.884,957
1532994280.893,952
1532994280.9,952
1532994280.912,956
1532994280.919,953
1532994280.928,950
1532994280.935,954
1532994280.945,958
1532994280.954,948
1532994280.962,952
1532994280.971,949
1532994280.984,954
1532994280.996,946
1532994281.003,963
1532994281.011,954
1532994281.018,951
1532994281.027,957
1532994281.035,952
1532994281.049,958
1532994281.056,955
1532994281.064,951
1532994281.073,951
1532994281.085,962
1532994281.094,946
1532994281.1,966
1532994281.109,963
1532994281.12,955
1532994281.127,942
1532994281.134,958
1532994281.142,961
1532994281.152,948
1532994281.158,947
1532994281.165,954
1532994281.174,963
1532994281.184,966
1532994281.189,958
1532994281.196,945
1532994281.203,953
1532994281.212,951
1532994281.221,958
1532994281.229,960
1532994281.236,959
1532994281.243,952
1532994281.254,948
1532994281.262,949
1532994281.269,946
1532994281.277,958
1532994281.284,956
1532994281.295,949
1532994281.302,957
1532994281.31,938
1532994281.316,958
1532994281.329,958
1532994281.336,964
1532994281.344,948
1532994281.353,954
1532994281.365,951
1532994281.371,957
1532994281.379,944
1532994281.385,950
1532994281.397,950
1532994281.404,947
1532994281.411,943
1532994281.419,951
1532994281.428,949
1532994281.442,945
1532994281.452,935
1532994281.462,955
1532994281.469,948
1532994281.482,947
1532994281.493,941
1532994281.5,942
1532994281.508,945
1532994281.516,937
1532994281.524,936
1532994281.53,935
1532994281.543,936
1532994281.549,932
1532994281.557,929
1532994281.564,938
1532994281.574,920
1532994281.585,922
1532994281.592,924
1532994281.599,940
1532994281.607,927
1532994281.617,923
1532994281.625,918
1532994281.632,937
1532994281.639,899
1532994281.65,927
1532994281.658,916
1532994281.664,912
1532994281.67,908
1532994281.681,914
1532994281.688,910
1532994281.695,912
1532994281.702,918
1532994281.712,906
1532994281.718,913
1532994281.725,906
1532994281.733,899
1532994281.742,893
1532994281.748,893
1532994281.754,902
1532994281.761,889
1532994281.767,892
1532994281.778,895
1532994281.783,898
1532994281.791,889
1532994281.797,884
1532994281.807,888
1532994281.812,873
1532994281.818,875
1532994281.825,881
1532994281.831,878
1532994281.842,878
1532994281.847,877
1532994281.853,873
1532994281.86,875
1532994281.867,876
1532994281.877,876
1532994281.883,869
1532994281.89,870
1532994281.896,871
1532994281.907,866
1532994281.912,852
1532994281.919,868
1532994281.926,854
1532994281.933,862
1532994281.942,857
1532994281.948,860
1532994281.954,862
1532994281.96,865
1532994281.97,856
1532994281.977,855
1532994281.983,850
1532994281.992,852
1532994281.999,856
1532994282.008,853
1532994282.015,835
1532994282.026,847
1532994282.032,842
1532994282.044,854
1532994282.05,848
1532994282.056,849
1532994282.065,851
1532994282.075,829
1532994282.085,835
1532994282.092,843
1532994282.099,836
1532994282.109,837
1532994282.12,835
1532994282.127,831
1532994282.134,843
1532994282.142,844
1532994282.15,842
1532994282.157,844
1532994282.164,853
1532994282.174,849
1532994282.183,831
1532994282.189,856
1532994282.198,847
1532994282.209,851
1532994282.215,862
1532994282.223,858
1532994282.232,850
1532994282.243,855
1532994282.25,855
1532994282.257,854
1532994282.264,851
1532994282.275,845
1532994282.283,849
1532994282.292,859
1532994282.299,860
1532994282.307,846
1532994282.314,851
1532994282.323,855
1532994282.331,837
1532994282.343,857
1532994282.349,851
1532994282.357,866
1532994282.365,855
1532994282.374,848
1532994282.38,853
1532994282.39,844
1532994282.398,850
1532994282.407,852
1532994282.413,842
1532994282.423,854
1532994282.431,857
1532994282.44,847
1532994282.446,854
1532994282.457,860
1532994282.462,858
1532994282.476,848
1532994282.481,852
1532994282.488,841
1532994282.496,864
1532994282.507,858
1532994282.519,849
1532994282.528,838
1532994282.534,857
1532994282.544,846
1532994282.55,843
1532994282.556,854
1532994282.563,847
1532994282.576,843
1532994282.581,840
1532994282.589,860
1532994282.596,835
1532994282.609,851
1532994282.615,842
1532994282.623,850
1532994282.629,845
1532994282.64,844
1532994282.647,843
1532994282.656,850
1532994282.665,845
1532994282.672,853
1532994282.679,839
1532994282.69,835
1532994282.696,825
1532994282.707,832
1532994282.715,818
1532994282.723,768
1532994282.729,625
1532994282.74,634
1532994282.747,621
1532994282.754,601
1532994282.767,588
1532994282.774,571
1532994282.78,562
1532994282.791,564
1532994282.797,567
1532994282.805,576
1532994282.811,566
1532994282.821,581
1532994282.829,586
1532994282.838,606
1532994282.844,603
1532994282.857,698
1532994282.863,787
