time,value
1532994150.5,759
1532994150.511,795
1532994150.531,822
1532994150.54,824
1532994150.55,835
1532994150.557,838
1532994150.569,861
1532994150.575,873
1532994150.585,862
1532994150.597,870
1532994150.611,864
1532994150.619,873
1532994150.638,876
1532994150.648,868
1532994150.662,872
1532994150.67,883
1532994150.681,885
1532994150.689,873
1532994150.7,881
1532994150.711,893
1532994150.723,901
1532994150.73,913
1532994150.738,903
1532994150.745,888
1532994150.761,916
1532994150.769,902
1532994150.777,917
1532994150.787,909
1532994150.796,921
1532994150.803,882
1532994150.811,918
1532994150.823,915
1532994150.835,919
1532994150.842,921
1532994150.851,921
1532994150.864,923
1532994150.871,923
1532994150.879,943
1532994150.886,916
1532994150.896,937
1532994150.903,929
1532994150.91,921
1532994150.919,923
1532994150.927,932
1532994150.934,921
1532994150.943,932
1532994150.95,925
1532994150.956,928
1532994150.967,919
1532994150.974,935
1532994150.985,925
1532994150.992,918
1532994151.001,932
1532994151.011,920
1532994151.022,920
1532994151.034,936
1532994151.04,924
1532994151.046,919
1532994151.056,926
1532994151.067,919
1532994151.082,936
1532994151.089,931
1532994151.097,940
1532994151.106,926
1532994151.117,927
1532994151.125,935
1532994151.137,917
1532994151.15,925
1532994151.16,925
1532994151.168,915
1532994151.178,943
1532994151.184,907
1532994151.192,931
1532994151.202,924
1532994151.21,921
1532994151.218,930
1532994151.228,930
1532994151.24,924
1532994151.252,914
1532994151.259,912
1532994151.27,934
1532994151.28,927
1532994151.292,931
1532994151.3,902
1532994151.31,924
1532994151.323,930
1532994151.334,929
1532994151.347,944
1532994151.356,938
1532994151.372,941
1532994151.381,933
1532994151.388,932
1532994151.399,928
1532994151.408,923
1532994151.424,927
1532994151.433,937
1532994151.442,933
1532994151.451,926
1532994151.465,922
1532994151.473,925
1532994151.482,921
1532994151.494,930
1532994151.505,905
1532994151.512,929
1532994151.52,928
1532994151.531,926
1532994151.538,920
1532994151.546,920
1532994151.553,921
1532994151.565,935
1532994151.572,932
1532994151.579,932
1532994151.593,927
1532994151.6,938
1532994151.609,945
1532994151.615,929
1532994151.626,942
1532994151.635,926
1532994151.642,919
1532994151.653,933
1532994151.661,931
1532994151.668,913
1532994151.679,925
1532994151.686,922
1532994151.694,922
1532994151.707,925
1532994151.716,931
1532994151.724,931
1532994151.732,935
1532994151.741,922
1532994151.751,933
1532994151.76,921
1532994151.769,926
1532994151.778,922
1532994151.785,918
1532994151.797,926
1532994151.805,935
1532994151.814,915
1532994151.822,921
1532994151.831,929
1532994151.838,923
1532994151.849,930
1532994151.857,922
1532994151.866,922
1532994151.874,911
1532994151.883,925
1532994151.891,926
1532994151.9,929
1532994151.907,932
1532994151.915,932
1532994151.926,934
1532994151.933,926
1532994151.94,933
1532994151.95,937
1532994151.961,930
1532994151.985,930
1532994151.993,928
1532994152.0,932
1532994152.007,936
1532994152.015,923
1532994152.025,924
1532994152.039,920
1532994152.046,928
1532994152.053,918
1532994152.063,931
1532994152.07,934
1532994152.088,929
1532994152.095,931
1532994152.103,924
1532994152.113,930
1532994152.127,933
1532994152.134,924
1532994152.142,918
1532994152.149,917
1532994152.161,920
1532994152.168,919
1532994152.175,927
