time,value
1532995507.717,332,972
1532995507.735,351,1008
1532995507.747,374,1019
1532995507.756,388,1056
1532995507.765,378,1070
1532995507.774,373,1050
1532995507.782,396,1117
1532995507.789,391,1080
1532995507.8,390,1096
1532995507.809,413,1110
1532995507.819,405,1111
1532995507.827,410,1128
1532995507.835,390,1096
1532995507.843,397,1109
1532995507.859,391,1089
1532995507.867,409,1094
1532995507.873,406,1100
1532995507.885,390,1099
1532995507.9,396,1117
1532995507.909,420,1144
1532995507.917,384,1079
1532995507.924,392,1101
1532995507.935,399,1108
1532995507.95,403,1100
1532995507.958,395,1104
1532995507.972,413,1128
1532995507.983,408,1108
1532995507.99,406,1109
1532995508.0,408,1117
1532995508.011,401,1116
1532995508.019,396,1111
1532995508.027,403,1100
1532995508.036,395,1093
1532995508.048,392,1104
1532995508.054,409,1100
1532995508.064,399,1102
1532995508.074,397,1097
1532995508.089,390,1111
1532995508.097,398,1101
1532995508.104,411,1111
1532995508.12,409,1112
1532995508.129,404,1095
1532995508.139,398,1107
1532995508.151,402,1120
1532995508.158,391,1121
1532995508.165,391,1086
1532995508.178,401,1137
1532995508.189,406,1118
1532995508.198,399,1120
1532995508.205,402,1105
1532995508.217,405,1114
1532995508.225,403,1092
1532995508.233,413,1125
1532995508.242,411,1099
1532995508.256,389,1119
1532995508.264,372,1061
1532995508.272,393,1114
1532995508.281,402,1102
1532995508.293,376,1077
1532995508.3,414,1114
1532995508.309,402,1108
1532995508.319,399,1105
1532995508.332,392,1098
1532995508.34,436,1147
1532995508.349,394,1097
1532995508.363,407,1104
1532995508.37,411,1100
1532995508.378,402,1105
1532995508.387,413,1128
1532995508.4,398,1101
1532995508.407,416,1104
1532995508.415,393,1102
1532995508.425,397,1103
1532995508.434,397,1112
1532995508.445,414,1117
1532995508.451,424,1159
1532995508.461,394,1089
1532995508.472,413,1092
1532995508.48,420,1105
1532995508.487,420,1088
1532995508.494,416,1101
1532995508.504,400,1089
1532995508.512,399,1117
1532995508.523,398,1104
1532995508.535,393,1102
1532995508.543,393,1120
1532995508.553,397,1097
1532995508.565,398,1098
1532995508.572,403,1100
1532995508.582,410,1096
1532995508.593,404,1107
1532995508.6,404,1107
1532995508.611,386,1101
1532995508.622,395,1092
1532995508.632,400,1115
1532995508.64,430,1112
1532995508.652,400,1115
1532995508.663,405,1108
1532995508.671,407,1090
1532995508.685,387,1052
1532995508.699,404,1089
1532995508.707,413,1098
1532995508.714,394,1092
1532995508.728,405,1099
1532995508.734,394,1089
1532995508.743,387,1082
1532995508.751,393,1099
1532995508.761,409,1112
1532995508.768,407,1119
1532995508.777,398,1098
1532995508.788,422,1122
1532995508.796,415,1097
1532995508.804,405,1108
1532995508.816,414,1117
1532995508.825,387,1067
1532995508.84,426,1108
1532995508.849,394,1092
1532995508.863,408,1114
1532995508.874,411,1114
1532995508.888,417,1102
1532995508.897,394,1094
1532995508.907,388,1103
1532995508.916,399,1108
1532995508.927,384,1091
1532995508.934,408,1117
1532995508.943,381,1082
1532995508.951,407,1101
1532995508.967,396,1102
1532995508.981,396,1108
1532995508.992,393,1085
1532995509.004,366,1047
1532995509.012,383,1057
1532995509.02,410,1128
1532995509.034,394,1092
1532995509.047,397,1124
1532995509.053,419,1151
1532995509.066,401,1107
1532995509.08,412,1106
1532995509.088,409,1118
1532995509.097,395,1116
1532995509.105,381,1114
1532995509.115,405,1085
1532995509.123,388,1112
1532995509.132,398,1104
1532995509.146,393,1090
1532995509.154,387,1085
1532995509.165,404,1101
1532995509.18,406,1127
1532995509.191,396,1102
1532995509.201,417,1111
1532995509.215,403,1109
1532995509.228,383,1101
1532995509.236,414,1105
1532995509.245,364,1047
1532995509.256,401,1110
1532995509.263,400,1092
1532995509.272,404,1098
1532995509.286,386,1054
1532995509.294,397,1109
1532995509.301,394,1086
1532995509.312,395,1090
1532995509.319,380,1063
1532995509.332,404,1095
1532995509.34,426,1155
1532995509.35,394,1103
1532995509.359,393,1105
1532995509.373,399,1108
1532995509.38,402,1102
1532995509.387,389,1104
1532995509.397,406,1124
1532995509.407,394,1092
1532995509.42,400,1109
1532995509.429,398,1098
1532995509.438,390,1058
1532995509.448,404,1122
1532995509.458,396,1102
1532995509.469,406,1130
1532995509.477,382,1083
1532995509.488,405,1132
1532995509.497,392,1098
1532995509.505,386,1101
1532995509.516,406,1115
1532995509.525,402,1099
1532995509.535,415,1127
1532995509.543,405,1120
1532995509.556,381,1091
1532995509.563,403,1086
1532995509.574,400,1109
1532995509.584,388,1115
1532995509.592,397,1100
1532995509.603,429,1161
1532995509.612,410,1113
1532995509.62,397,1083
1532995509.629,414,1117
1532995509.64,397,1095
1532995509.65,409,1106
1532995509.658,395,1107
1532995509.669,394,1100
1532995509.679,397,1080
1532995509.69,407,1101
1532995509.698,393,1091
1532995509.707,403,1109
1532995509.719,398,1101
1532995509.728,398,1098
1532995509.735,394,1109
1532995509.743,386,1095
1532995509.754,406,1100
1532995509.767,407,1096
1532995509.776,395,1110
1532995509.784,393,1102
1532995509.792,410,1101
1532995509.799,409,1106
1532995509.811,453,1212
1532995509.818,347,999
1532995509.827,390,1067
1532995509.838,408,1141
1532995509.845,410,1119
1532995509.855,421,1150
1532995509.862,474,1277
1532995509.871,465,1262
1532995509.878,437,1169
1532995509.888,421,1144
1532995509.903,418,1153
1532995509.911,441,1209
1532995509.92,480,1265
1532995509.936,419,1160
1532995509.945,416,1128
1532995509.956,389,1113
1532995509.963,431,1145
1532995509.974,410,1137
1532995509.983,394,1097
1532995509.995,433,1180
1532995510.003,415,1156
1532995510.014,427,1174
1532995510.023,422,1160
1532995510.035,403,1100
1532995510.043,421,1150
1532995510.051,404,1131
1532995510.063,433,1194
1532995510.071,434,1154
1532995510.078,416,1148
1532995510.088,402,1102
1532995510.1,440,1222
1532995510.109,434,1172
1532995510.118,411,1143
1532995510.133,450,1209
1532995510.143,385,1068
1532995510.16,425,1143
1532995510.169,411,1155
1532995510.179,452,1211
1532995510.195,428,1148
1532995510.203,546,1435
1532995510.212,429,1158
1532995510.224,404,1140
1532995510.237,412,1100
1532995510.244,417,1158
1532995510.254,424,1145
1532995510.263,490,1310
1532995510.282,426,1161
1532995510.292,417,1132
1532995510.3,417,1149
1532995510.31,384,1085
1532995510.322,392,1116
1532995510.329,447,1215
1532995510.34,421,1153
1532995510.346,413,1140
1532995510.358,421,1127
1532995510.367,409,1144
1532995510.376,423,1164
1532995510.383,424,1147
1532995510.395,500,1343
1532995510.409,294,829
1532995510.417,415,1147
1532995510.424,282,829
1532995510.432,482,1323
1532995510.44,401,1089
1532995510.452,393,1135
1532995510.459,451,1207
1532995510.468,397,1100
1532995510.475,422,1151
1532995510.487,407,1145
1532995510.495,404,1148
1532995510.505,374,1040
1532995510.514,434,1139
1532995510.521,461,1232
1532995510.529,417,1152
1532995510.539,418,1133
1532995510.546,274,807
1532995510.554,446,1202
1532995510.563,472,1239
1532995510.573,405,1149
1532995510.58,408,1114
1532995510.59,421,1136
1532995510.599,407,1137
1532995510.605,447,1215
1532995510.614,459,1253
1532995510.622,433,1183
1532995510.629,420,1164
1532995510.642,385,1083
1532995510.651,431,1175
1532995510.66,413,1131
1532995510.671,425,1139
1532995510.679,387,1067
1532995510.688,402,1102
1532995510.699,415,1133
1532995510.707,388,1074
1532995510.715,420,1123
1532995510.724,414,1135
1532995510.733,406,1100
1532995510.743,471,1241
1532995510.754,417,1190
1532995510.763,419,1137
1532995510.773,439,1189
1532995510.783,408,1126
1532995510.793,422,1137
1532995510.802,335,949
1532995510.815,412,1133
1532995510.831,417,1114
1532995510.841,429,1149
1532995510.849,408,1135
1532995510.857,493,1322
1532995510.872,414,1129
1532995510.88,434,1148
1532995510.889,473,1267
1532995510.903,403,1112
1532995510.91,425,1145
1532995510.917,430,1156
1532995510.932,411,1102
1532995510.943,438,1190
1532995510.953,421,1150
1532995510.965,421,1118
1532995510.973,420,1149
1532995510.98,436,1177
1532995510.992,430,1186
1532995511.006,409,1106
1532995511.013,415,1141
1532995511.022,422,1137
1532995511.033,444,1194
1532995511.039,422,1131
1532995511.048,432,1164
1532995511.055,420,1138
1532995511.067,419,1142
1532995511.075,384,1099
1532995511.084,418,1118
1532995511.094,420,1146
1532995511.102,453,1247
1532995511.111,478,1266
1532995511.121,419,1154
1532995511.131,411,1091
1532995511.138,444,1200
1532995511.149,417,1164
1532995511.156,427,1141
1532995511.166,407,1137
1532995511.173,422,1160
1532995511.187,353,981
1532995511.194,417,1120
1532995511.204,413,1116
1532995511.219,429,1170
1532995511.227,388,1095
1532995511.237,404,1098
1532995511.246,346,992
1532995511.255,410,1145
1532995511.262,411,1138
1532995511.272,425,1172
1532995511.28,432,1173
1532995511.287,423,1138
1532995511.301,397,1121
1532995511.314,369,1002
1532995511.327,434,1160
1532995511.339,418,1142
1532995511.347,361,992
1532995511.355,422,1116
1532995511.362,379,1077
1532995511.373,418,1147
1532995511.381,453,1200
1532995511.389,428,1181
1532995511.4,417,1176
1532995511.409,444,1180
1532995511.424,429,1176
1532995511.432,423,1152
1532995511.441,430,1165
1532995511.449,391,1068
1532995511.458,405,1123
1532995511.467,428,1178
