time,value
1533062343.35,0,5
1533062343.358,9,14
1533062343.365,2,2
1533062343.377,17,3
1533062343.384,24,6
1533062343.395,21,15
1533062343.4,7,31
1533062343.409,25,13
1533062343.419,18,15
1533062343.424,22,16
1533062343.433,16,19
1533062343.446,17,20
1533062343.451,12,21
1533062343.459,33,18
1533062343.468,19,19
1533062343.483,17,17
1533062343.49,17,20
1533062343.496,13,19
1533062343.506,19,16
1533062343.511,16,22
1533062343.518,15,18
1533062343.525,10,19
1533062343.534,3,17
1533062343.542,21,21
1533062343.549,16,22
1533062343.562,22,16
1533062343.568,12,18
1533062343.575,27,18
1533062343.585,32,17
1533062343.592,28,16
1533062343.599,22,22
1533062343.61,29,17
1533062343.618,16,19
1533062343.624,21,12
1533062343.635,19,10
1533062343.642,17,23
1533062343.65,34,13
1533062343.661,25,16
1533062343.669,29,11
1533062343.677,28,25
1533062343.684,25,13
1533062343.695,25,31
1533062343.702,21,36
1533062343.712,34,25
1533062343.724,33,27
1533062343.73,44,23
1533062343.737,31,28
1533062343.744,41,32
1533062343.754,22,25
1533062343.76,42,30
1533062343.767,40,22
1533062343.779,37,22
1533062343.785,42,21
1533062343.792,37,13
1533062343.799,41,20
1533062343.813,44,31
1533062343.819,58,51
1533062343.826,75,53
1533062343.833,80,69
1533062343.845,74,67
1533062343.852,93,73
1533062343.863,99,79
1533062343.87,106,89
1533062343.882,120,105
1533062343.889,150,114
1533062343.895,137,125
1533062343.907,162,142
1533062343.912,179,146
1533062343.919,184,154
1533062343.926,182,152
1533062343.933,189,179
1533062343.944,195,185
1533062343.95,210,191
1533062343.959,218,202
1533062343.965,213,215
1533062343.977,230,220
1533062343.983,247,227
1533062343.991,238,245
1533062344.002,264,282
1533062344.018,356,350
1533062344.026,371,353
1533062344.033,363,366
1533062344.044,378,386
1533062344.05,390,383
1533062344.058,421,425
1533062344.065,427,425
1533062344.076,456,439
1533062344.082,470,458
1533062344.091,484,457
1533062344.097,513,492
1533062344.107,516,501
1533062344.113,522,505
1533062344.121,541,529
1533062344.129,552,516
1533062344.139,548,536
1533062344.145,570,534
1533062344.153,581,548
1533062344.164,586,555
1533062344.172,604,553
1533062344.178,615,563
1533062344.188,612,563
1533062344.197,625,582
1533062344.206,626,574
1533062344.212,623,577
1533062344.222,621,575
1533062344.227,653,580
1533062344.234,644,577
1533062344.241,637,594
1533062344.252,633,587
1533062344.258,645,590
1533062344.265,658,614
1533062344.273,663,610
1533062344.284,668,621
1533062344.292,684,628
1533062344.299,682,629
1533062344.307,689,636
1533062344.317,671,636
1533062344.325,690,637
1533062344.332,701,636
1533062344.34,702,648
1533062344.35,688,655
1533062344.358,700,644
1533062344.365,695,647
1533062344.373,683,644
1533062344.383,701,639
1533062344.391,712,650
1533062344.398,697,644
1533062344.406,698,650
1533062344.415,702,654
1533062344.423,705,649
1533062344.43,707,654
1533062344.443,705,651
1533062344.45,704,654
1533062344.457,703,653
1533062344.464,709,659
1533062344.477,703,673
1533062344.483,711,667
1533062344.491,703,667
1533062344.498,717,676
1533062344.507,715,668
1533062344.516,715,674
1533062344.524,719,684
1533062344.531,714,685
1533062344.541,724,683
1533062344.555,719,672
1533062344.562,707,672
1533062344.57,715,680
1533062344.58,711,685
1533062344.587,723,673
1533062344.593,735,673
1533062344.599,735,679
1533062344.608,712,694
1533062344.617,722,695
1533062344.624,718,680
1533062344.63,721,659
1533062344.639,721,677
1533062344.648,715,671
1533062344.655,725,684
1533062344.662,732,696
1533062344.674,716,692
1533062344.679,739,694
1533062344.688,737,701
1533062344.695,732,693
1533062344.707,729,690
1533062344.713,730,689
1533062344.721,733,674
1533062344.729,728,681
1533062344.737,721,683
1533062344.745,742,686
