time,value
1533061883.227,836,841
1533061883.237,865,875
1533061883.247,875,905
1533061883.258,899,911
1533061883.27,908,926
1533061883.276,911,941
1533061883.286,922,951
1533061883.297,921,942
1533061883.306,936,950
1533061883.315,935,953
1533061883.325,946,952
1533061883.334,946,972
1533061883.342,936,954
1533061883.354,940,969
1533061883.366,944,973
1533061883.375,937,960
1533061883.39,953,973
1533061883.399,958,969
1533061883.408,955,963
1533061883.425,942,962
1533061883.438,949,957
1533061883.445,942,959
1533061883.459,951,971
1533061883.474,938,964
1533061883.484,948,977
1533061883.494,956,976
1533061883.516,949,972
1533061883.525,941,973
1533061883.533,951,953
1533061883.554,937,972
1533061883.561,948,962
1533061883.573,951,980
1533061883.584,926,967
1533061883.593,940,960
1533061883.604,934,963
1533061883.612,950,973
1533061883.625,959,988
1533061883.632,938,967
1533061883.642,946,969
1533061883.655,951,965
1533061883.663,945,971
1533061883.68,951,974
1533061883.69,949,972
1533061883.698,958,978
1533061883.716,954,974
1533061883.726,950,976
1533061883.736,945,962
1533061883.745,956,973
1533061883.759,957,989
1533061883.769,948,959
1533061883.779,954,977
1533061883.791,943,963
1533061883.801,946,972
1533061883.813,946,981
1533061883.824,946,981
1533061883.846,938,973
1533061883.859,955,984
1533061883.867,955,981
1533061883.878,937,972
1533061883.889,942,980
1533061883.897,958,981
1533061883.906,948,971
1533061883.926,950,979
1533061883.937,938,979
1533061883.945,948,971
1533061883.958,940,981
1533061883.966,950,967
1533061883.974,959,985
1533061883.981,949,987
1533061883.989,942,986
1533061884.002,960,989
1533061884.009,946,984
1533061884.018,943,978
1533061884.027,947,976
1533061884.041,957,968
1533061884.048,954,977
1533061884.057,941,976
1533061884.065,954,986
1533061884.078,946,969
1533061884.086,947,979
1533061884.094,950,979
1533061884.106,945,977
1533061884.114,948,980
1533061884.121,944,970
1533061884.134,939,974
1533061884.141,940,963
1533061884.15,955,978
1533061884.161,941,973
1533061884.17,952,978
1533061884.178,940,978
1533061884.19,947,976
1533061884.198,945,980
1533061884.209,947,979
1533061884.228,950,970
1533061884.238,943,966
1533061884.246,955,963
1533061884.258,946,969
1533061884.267,943,966
1533061884.274,946,975
1533061884.287,954,956
1533061884.295,953,973
1533061884.304,950,976
1533061884.311,943,972
1533061884.323,950,973
1533061884.331,938,967
1533061884.34,946,969
1533061884.352,952,963
1533061884.36,956,970
1533061884.369,957,968
1533061884.38,960,962
1533061884.387,942,965
1533061884.395,951,959
1533061884.403,944,970
1533061884.414,950,958
1533061884.421,948,968
1533061884.43,934,966
1533061884.44,941,967
1533061884.449,963,959
1533061884.456,943,963
1533061884.468,933,971
1533061884.475,924,962
1533061884.484,938,947
1533061884.491,937,966
1533061884.502,948,980
1533061884.51,952,963
1533061884.518,938,973
1533061884.529,947,964
1533061884.538,959,976
1533061884.546,951,974
1533061884.554,956,964
1533061884.564,960,971
1533061884.573,935,961
1533061884.58,951,977
1533061884.591,962,985
1533061884.599,951,962
1533061884.606,947,979
1533061884.617,930,950
1533061884.624,948,959
1533061884.632,941,976
1533061884.639,961,960
1533061884.651,952,969
1533061884.659,944,979
1533061884.667,939,965
1533061884.677,946,975
1533061884.685,952,972
1533061884.692,950,964
1533061884.702,947,979
1533061884.709,953,982
1533061884.718,950,979
1533061884.729,948,980
1533061884.736,947,985
