time,value
1533060611.008,1270,1398
1533060611.04,1278,1397
1533060611.049,1291,1413
1533060611.057,1289,1416
1533060611.064,1301,1416
1533060611.074,1297,1424
1533060611.083,1307,1437
1533060611.092,1316,1428
1533060611.107,1314,1432
1533060611.115,1299,1420
1533060611.124,1299,1438
1533060611.13,1307,1425
1533060611.14,1312,1436
1533060611.148,1301,1434
1533060611.16,1311,1435
1533060611.174,1315,1454
1533060611.184,1304,1425
1533060611.197,1308,1441
1533060611.207,1302,1426
1533060611.215,1273,1410
1533060611.224,1288,1430
1533060611.231,1335,1462
1533060611.24,1307,1440
1533060611.247,1320,1438
1533060611.257,1307,1440
1533060611.265,1307,1443
1533060611.274,1295,1440
1533060611.281,1304,1437
1533060611.29,1294,1433
1533060611.298,1286,1411
1533060611.307,1307,1437
1533060611.323,1301,1425
1533060611.364,1321,1442
1533060611.381,1309,1451
1533060611.413,1325,1449
1533060611.476,1343,1469
1533060611.499,1312,1445
1533060611.531,1283,1414
1533060611.538,1306,1424
1533060611.549,1314,1435
1533060611.581,1307,1440
1533060611.59,1299,1435
1533060611.655,1337,1461
1533060611.682,1308,1441
1533060611.692,1311,1432
1533060611.705,1324,1460
1533060611.716,1323,1453
1533060611.739,1328,1458
1533060611.757,1346,1478
1533060611.77,1336,1471
1533060611.782,1353,1470
1533060611.795,1321,1451
1533060611.806,1320,1438
1533060611.82,1330,1445
1533060611.828,1319,1458
1533060611.858,1318,1433
1533060611.867,1315,1451
1533060611.881,1321,1451
1533060611.912,1340,1496
1533060611.937,1361,1502
1533060611.955,1335,1453
1533060612.035,1348,1486
1533060612.044,1320,1470
1533060612.054,1357,1483
1533060612.069,1351,1474
1533060612.08,1338,1467
1533060612.094,1342,1468
1533060612.105,1331,1475
1533060612.13,1352,1493
1533060612.162,1318,1465
1533060612.169,1355,1481
1533060612.21,1345,1486
1533060612.227,1343,1478
1533060612.236,1336,1474
1533060612.245,1325,1461
1533060612.256,1332,1473
1533060612.289,1326,1467
1533060612.305,1338,1482
1533060612.343,1360,1495
1533060612.36,1358,1490
1533060612.369,1338,1476
1533060612.377,1360,1483
1533060612.395,1297,1433
1533060612.41,1356,1488
1533060612.42,1322,1452
1533060612.445,1358,1472
1533060612.464,1340,1472
1533060612.478,1348,1480
1533060612.498,1330,1474
1533060612.509,1329,1467
1533060612.527,1345,1471
1533060612.535,1344,1467
1533060612.552,1340,1475
1533060612.559,1326,1461
1533060612.571,1327,1454
1533060612.585,1332,1450
1533060612.613,1334,1463
1533060612.631,1310,1458
1533060612.658,1294,1410
1533060612.668,1320,1453
1533060612.683,1323,1447
1533060612.698,1286,1408
1533060612.71,1329,1453
1533060612.726,1308,1450
1533060612.751,1307,1440
1533060612.774,1315,1439
1533060612.783,1310,1446
1533060612.8,1311,1450
1533060612.818,1316,1443
1533060612.837,1311,1432
1533060612.85,1309,1445
1533060612.858,1306,1460
1533060612.867,1312,1445
1533060612.874,1305,1444
1533060612.885,1320,1456
1533060612.899,1309,1439
1533060612.937,1325,1455
1533060612.96,1306,1439
1533060612.974,1310,1463
1533060612.985,1298,1449
1533060612.999,1338,1464
1533060613.015,1318,1439
