time,value
1533060989.187,770,870
1533060989.2,808,914
1533060989.212,832,941
1533060989.221,852,943
1533060989.242,842,951
1533060989.253,867,960
1533060989.263,855,960
1533060989.284,879,972
1533060989.296,867,978
1533060989.314,858,972
1533060989.329,863,974
1533060989.35,868,973
1533060989.362,867,966
1533060989.38,861,984
1533060989.395,856,967
1533060989.403,857,968
1533060989.415,857,968
1533060989.429,861,966
1533060989.445,863,968
1533060989.453,869,971
1533060989.466,864,972
1533060989.479,885,981
1533060989.499,850,964
1533060989.511,863,974
1533060989.528,861,966
1533060989.535,867,981
1533060989.553,870,978
1533060989.569,869,986
1533060989.582,868,976
1533060989.595,880,973
1533060989.614,876,990
1533060989.629,876,993
1533060989.644,876,996
1533060989.663,896,983
1533060989.678,882,999
1533060989.698,881,974
1533060989.711,884,992
1533060989.721,895,997
1533060989.734,882,981
1533060989.751,882,990
1533060989.775,871,991
1533060989.784,866,989
1533060989.794,860,989
1533060989.811,877,979
1533060989.826,883,994
1533060989.834,869,983
1533060989.846,869,977
1533060989.86,873,987
1533060989.88,870,999
1533060989.892,881,989
1533060989.91,878,992
1533060989.926,889,1002
1533060989.939,888,999
1533060989.951,883,994
1533060989.959,886,985
1533060989.978,889,994
1533060989.992,895,1002
1533060990.0,894,993
1533060990.011,900,1010
1533060990.033,904,1000
1533060990.043,869,1003
1533060990.059,895,1005
1533060990.083,893,1003
1533060990.092,894,1001
1533060990.11,883,985
1533060990.125,895,1008
1533060990.144,885,993
1533060990.166,899,1004
1533060990.183,878,995
1533060990.191,880,997
1533060990.21,890,995
1533060990.225,884,995
1533060990.233,892,997
1533060990.244,880,1008
1533060990.258,890,998
1533060990.266,887,995
1533060990.284,899,1009
1533060990.291,893,1000
1533060990.303,895,1000
1533060990.345,888,1007
1533060990.358,895,994
1533060990.37,904,997
1533060990.391,878,1003
1533060990.407,883,1000
1533060990.416,883,1008
1533060990.465,902,1006
1533060990.491,889,994
1533060990.523,902,1018
1533060990.558,897,1005
1533060990.581,902,995
1533060990.643,898,1008
1533060990.714,894,1005
1533060990.723,894,1007
1533060990.789,900,1005
1533060990.842,890,1004
1533060990.855,878,998
1533060990.866,904,1005
1533060990.889,898,1000
1533060990.914,900,1004
1533060990.941,887,1001
1533060991.006,898,1011
1533060991.073,891,996
1533060991.106,895,1008
1533060991.13,892,997
1533060991.188,890,1006
1533060991.246,887,1004
1533060991.273,884,998
1533060991.287,895,1017
1533060991.305,886,997
1533060991.312,888,996
1533060991.32,885,987
1533060991.332,885,999
1533060991.345,882,1004
1533060991.357,885,1010
1533060991.37,878,1018
1533060991.378,890,1021
1533060991.391,880,1008
1533060991.453,902,1024
1533060991.479,902,1015
