time,value
1536509422.446,1242
1536509422.489,1195
1536509422.531,1191
1536509422.576,1192
1536509422.638,1193
1536509422.687,1189
1536509422.73,1196
1536509422.773,1198
1536509422.816,1190
1536509422.859,1184
1536509422.906,1189
1536509422.951,1189
1536509422.995,1192
1536509423.041,1193
1536509423.085,1191
1536509423.129,1195
1536509423.171,1193
1536509423.216,1186
1536509423.26,1182
1536509423.306,1187
1536509423.351,1199
1536509423.397,1202
1536509423.442,1198
1536509423.499,1197
1536509423.545,1192
1536509423.589,1199
1536509423.636,1198
1536509423.679,1202
1536509423.721,1185
1536509423.762,1191
1536509423.808,1179
1536509423.85,1187
1536509423.893,1189
1536509423.937,1199
1536509423.981,1184
1536509424.026,1190
1536509424.068,1189
1536509424.113,1181
1536509424.156,1182
1536509424.199,1193
1536509424.241,1209
1536509424.284,1226
1536509424.327,1241
1536509424.372,1248
1536509424.417,1247
1536509424.465,1246
1536509424.511,1249
1536509424.557,1247
1536509424.601,1233
1536509424.644,1247
1536509424.691,1263
1536509424.736,1262
1536509424.785,1256
1536509424.829,1237
1536509424.875,1234
1536509424.919,1256
1536509424.965,1262
1536509425.008,1239
1536509425.055,1240
1536509425.098,1248
1536509425.141,1248
1536509425.184,1258
1536509425.231,1240
1536509425.275,1235
1536509425.321,1248
1536509425.364,1250
1536509425.408,1255
1536509425.452,1240
1536509425.494,1243
1536509425.536,1242
1536509425.581,1255
1536509425.624,1252
1536509425.666,1247
1536509425.71,1255
1536509425.752,1232
1536509425.797,1238
1536509425.84,1251
1536509425.885,1231
1536509425.928,1249
1536509425.97,1243
1536509426.012,1242
1536509426.056,1245
1536509426.1,1233
1536509426.144,1238
1536509426.189,1243
1536509426.241,1254
1536509426.284,1244
1536509426.329,1242
1536509426.371,1241
1536509426.414,1244
1536509426.457,1248
1536509426.5,1242
1536509426.543,1240
1536509426.589,1248
1536509426.632,1241
1536509426.676,1249
1536509426.731,1251
1536509426.772,1245
1536509426.814,1225
1536509426.858,1239
1536509426.907,1251
1536509426.953,1252
1536509426.997,1256
1536509427.041,1259
1536509427.083,1251
1536509427.132,1255
1536509427.183,1255
1536509427.232,1245
1536509427.274,1252
1536509427.324,1256
1536509427.365,1265
1536509427.409,1261
1536509427.456,1288
1536509427.505,1301
