time,value
1536524635.069,1402
1536524635.119,1385
1536524635.162,1389
1536524635.215,1385
1536524635.265,1382
1536524635.304,1390
1536524635.346,1388
1536524635.389,1383
1536524635.428,1385
1536524635.466,1382
1536524635.503,1376
1536524635.541,1381
1536524635.581,1384
1536524635.621,1376
1536524635.66,1373
1536524635.702,1377
1536524635.748,1378
1536524635.793,1375
1536524635.851,1380
1536524635.897,1383
1536524635.942,1372
1536524635.985,1381
1536524636.024,1394
1536524636.064,1381
1536524636.105,1365
1536524636.156,1386
1536524636.199,1393
1536524636.248,1383
1536524636.298,1391
1536524636.345,1375
1536524636.389,1382
1536524636.441,1383
1536524636.485,1368
1536524636.529,1394
1536524636.571,1386
1536524636.62,1384
1536524636.662,1371
1536524636.705,1381
1536524636.749,1362
1536524636.795,1375
1536524636.838,1370
1536524636.887,1382
1536524636.93,1383
1536524636.973,1388
1536524637.016,1385
1536524637.059,1375
1536524637.102,1379
1536524637.144,1373
1536524637.182,1372
1536524637.222,1388
1536524637.266,1368
1536524637.304,1382
1536524637.344,1378
1536524637.386,1419
1536524637.425,1396
1536524637.466,1411
1536524637.506,1396
1536524637.566,1386
1536524637.616,1382
1536524637.661,1398
1536524637.705,1387
1536524637.748,1368
1536524637.792,1403
1536524637.841,1404
1536524637.886,1404
1536524637.932,1416
1536524637.975,1403
1536524638.018,1403
1536524638.069,1386
1536524638.113,1386
1536524638.158,1377
1536524638.202,1393
1536524638.244,1389
1536524638.286,1393
1536524638.332,1379
1536524638.376,1383
1536524638.418,1387
1536524638.461,1385
1536524638.505,1396
1536524638.548,1388
1536524638.593,1385
1536524638.635,1399
1536524638.679,1393
1536524638.723,1407
1536524638.767,1434
1536524638.809,1433
1536524638.87,1440
1536524638.914,1435
1536524638.958,1437
1536524639.001,1430
1536524639.05,1463
1536524639.093,1466
1536524639.135,1462
1536524639.182,1464
1536524639.227,1430
1536524639.27,1405
1536524639.313,1436
1536524639.361,1428
1536524639.41,1428
1536524639.456,1426
1536524639.514,1443
