time,value
1536509023.461,-4
1536509023.505,2
1536509023.554,2
1536509023.597,4
1536509023.64,-5
1536509023.688,2
1536509023.733,1
1536509023.776,7
1536509023.819,-2
1536509023.865,-3
1536509023.913,-2
1536509023.956,0
1536509024.0,-8
1536509024.049,1
1536509024.092,-2
1536509024.138,-4
1536509024.181,3
1536509024.224,10
1536509024.267,3
1536509024.312,3
1536509024.355,-3
1536509024.4,-1
1536509024.444,14
1536509024.487,14
1536509024.53,14
1536509024.573,14
1536509024.617,14
1536509024.661,14
1536509024.704,14
1536509024.747,14
1536509024.794,14
1536509024.838,14
1536509024.882,14
1536509024.926,14
1536509024.97,14
1536509025.016,14
1536509025.06,14
1536509025.104,14
1536509025.148,14
1536509025.197,14
1536509025.244,14
1536509025.289,14
1536509025.334,14
1536509025.38,14
1536509025.424,14
1536509025.468,-8
1536509025.514,-8
1536509025.56,-8
1536509025.604,-8
1536509025.647,-8
1536509025.692,-8
1536509025.742,-8
1536509025.788,2
1536509025.833,2
1536509025.877,2
1536509025.92,2
1536509025.964,2
1536509026.008,2
1536509026.052,2
1536509026.099,2
1536509026.144,2
1536509026.188,2
1536509026.23,2
1536509026.276,2
1536509026.322,2
1536509026.369,2
1536509026.413,2
1536509026.456,2
1536509026.501,2
1536509026.542,2
1536509026.589,1196
1536509026.636,1213
1536509026.681,1220
1536509026.724,1229
1536509026.768,1240
1536509026.81,1237
1536509026.852,1245
1536509026.895,1230
1536509026.94,1236
1536509026.988,1236
1536509027.03,1243
1536509027.073,1240
1536509027.12,1247
1536509027.164,1233
1536509027.218,1235
1536509027.261,1229
1536509027.305,1233
1536509027.349,1234
1536509027.393,1237
1536509027.435,1221
1536509027.48,1236
1536509027.526,1239
1536509027.568,1241
1536509027.612,1229
1536509027.657,1230
1536509027.704,1224
1536509027.748,1239
1536509027.796,1234
1536509027.84,1235
1536509027.886,1240
1536509027.933,1233
1536509027.981,1230
1536509028.024,1238
1536509028.066,1242
1536509028.11,1219
1536509028.153,1242
1536509028.201,1231
1536509028.248,1234
1536509028.291,1229
1536509028.337,1221
1536509028.381,1232
1536509028.429,1240
1536509028.474,1248
1536509028.519,1244
1536509028.564,1242
1536509028.609,1248
1536509028.653,1251
1536509028.698,1245
1536509028.744,1243
1536509028.789,1243
1536509028.836,1234
1536509028.886,1239
1536509028.93,1249
1536509028.974,1254
1536509029.018,1249
1536509029.063,1246
1536509029.11,1231
1536509029.16,1255
1536509029.204,1251
1536509029.257,1254
1536509029.318,1266
1536509029.374,1259
1536509029.418,1257
1536509029.462,1258
1536509029.505,1257
1536509029.544,1265
1536509029.592,1262
1536509029.637,1265
1536509029.681,1270
1536509029.728,1281
1536509029.769,1280
1536509029.808,1271
1536509029.851,1300
1536509029.897,1294
