time,value
1536522839.293,1460
1536522839.346,1384
1536522839.394,1366
1536522839.44,1378
1536522839.48,1361
1536522839.528,1370
1536522839.566,1368
1536522839.612,1361
1536522839.655,1365
1536522839.698,1354
1536522839.757,1361
1536522839.808,1379
1536522839.855,1355
1536522839.9,1356
1536522839.944,1343
1536522839.989,1356
1536522840.036,1368
1536522840.08,1372
1536522840.128,1361
1536522840.172,1369
1536522840.218,1371
1536522840.26,1375
1536522840.316,1362
1536522840.36,1352
1536522840.411,1349
1536522840.457,1354
1536522840.499,1356
1536522840.544,1363
1536522840.588,1351
1536522840.636,1354
1536522840.68,1355
1536522840.724,1365
1536522840.778,1368
1536522840.824,1355
1536522840.883,1362
1536522840.927,1366
1536522840.972,1361
1536522841.018,1348
1536522841.066,1355
1536522841.11,1361
1536522841.155,1359
1536522841.201,1357
1536522841.254,1367
1536522841.304,1356
1536522841.351,1449
1536522841.393,1455
1536522841.437,1451
1536522841.484,1443
1536522841.53,1437
1536522841.577,1457
1536522841.621,1454
1536522841.668,1435
1536522841.712,1449
1536522841.763,1458
1536522841.809,1437
1536522841.859,1455
1536522841.904,1451
1536522841.951,1451
1536522841.995,1450
1536522842.043,1457
1536522842.088,1461
1536522842.139,1440
1536522842.186,1447
1536522842.228,1472
1536522842.271,1452
1536522842.319,1455
1536522842.361,1458
1536522842.41,1453
1536522842.464,1452
1536522842.509,1455
1536522842.565,1443
1536522842.609,1467
1536522842.657,1455
1536522842.701,1479
1536522842.749,1457
1536522842.796,1456
1536522842.839,1456
1536522842.888,1465
1536522842.93,1446
1536522842.976,1462
1536522843.022,1466
1536522843.065,1462
1536522843.11,1474
1536522843.16,1467
1536522843.214,1471
1536522843.259,1466
1536522843.303,1475
1536522843.36,1484
1536522843.404,1493
1536522843.455,1496
1536522843.497,1484
1536522843.542,1490
1536522843.591,1493
1536522843.64,1482
1536522843.687,1493
1536522843.738,1487
1536522843.788,1483
1536522843.836,1496
1536522843.885,1524
