time,value
1536532065.541,-164
1536532065.587,-178
1536532065.635,-180
1536532065.679,-179
1536532065.719,-180
1536532065.769,-176
1536532065.812,-177
1536532065.853,-181
1536532065.895,-180
1536532065.937,-184
1536532065.98,-160
1536532066.044,-146
1536532066.086,-134
1536532066.129,-132
1536532066.176,-112
1536532066.219,-114
1536532066.262,-90
1536532066.313,-89
1536532066.361,-70
1536532066.409,-71
1536532066.456,-61
1536532066.501,-34
1536532066.548,-17
1536532066.596,-17
1536532066.64,-17
1536532066.683,-17
1536532066.726,-17
1536532066.772,-17
1536532066.816,-17
1536532066.864,591
1536532066.908,737
1536532066.951,739
1536532066.994,725
1536532067.039,730
1536532067.081,728
1536532067.125,733
1536532067.17,744
1536532067.213,729
1536532067.256,727
1536532067.304,724
1536532067.348,728
1536532067.39,737
1536532067.435,733
1536532067.48,722
1536532067.522,731
1536532067.568,731
1536532067.616,735
1536532067.659,732
1536532067.706,736
1536532067.748,719
1536532067.793,733
1536532067.838,734
1536532067.883,735
1536532067.926,729
1536532067.97,732
1536532068.021,741
1536532068.071,744
1536532068.114,732
1536532068.16,733
1536532068.202,733
1536532068.248,730
1536532068.296,744
1536532068.34,744
1536532068.384,753
1536532068.432,764
1536532068.486,751
1536532068.53,756
1536532068.578,771
1536532068.626,761
1536532068.67,760
1536532068.716,770
1536532068.759,765
1536532068.803,765
1536532068.854,761
1536532068.895,765
1536532068.945,757
1536532068.989,757
1536532069.031,757
1536532069.082,733
1536532069.126,749
1536532069.168,737
1536532069.212,743
1536532069.256,797
