time,value
1536531670.908,1156
1536531670.957,1151
1536531670.999,1147
1536531671.045,1145
1536531671.088,1148
1536531671.131,1141
1536531671.176,1144
1536531671.221,1148
1536531671.265,1140
1536531671.31,1155
1536531671.364,1135
1536531671.409,1154
1536531671.459,1150
1536531671.503,1143
1536531671.55,1152
1536531671.597,1136
1536531671.642,1163
1536531671.685,1138
1536531671.728,1140
1536531671.771,1157
1536531671.821,1145
1536531671.865,1139
1536531671.908,1147
1536531671.96,1143
1536531672.009,1146
1536531672.056,1142
1536531672.1,1144
1536531672.148,1140
1536531672.211,1141
1536531672.257,1138
1536531672.301,1152
1536531672.343,1152
1536531672.387,1162
1536531672.431,1142
1536531672.474,1149
1536531672.533,1146
1536531672.592,1145
1536531672.639,1154
1536531672.684,1148
1536531672.726,1142
1536531672.769,1148
1536531672.819,1154
1536531672.868,1161
1536531672.909,1143
1536531672.948,1157
1536531672.991,1156
1536531673.035,1165
1536531673.078,1170
1536531673.122,1167
1536531673.164,1162
1536531673.222,1158
1536531673.274,1163
1536531673.316,1149
1536531673.361,1163
1536531673.408,1151
1536531673.466,1154
1536531673.513,1172
1536531673.56,1159
1536531673.604,1153
1536531673.649,1144
1536531673.699,1146
1536531673.742,1167
1536531673.786,1161
1536531673.831,1167
1536531673.876,1160
1536531673.92,1154
1536531673.969,1147
1536531674.02,1158
1536531674.069,1148
1536531674.114,1153
1536531674.16,1163
1536531674.204,1170
1536531674.249,1174
1536531674.288,1170
1536531674.328,1159
1536531674.368,1160
1536531674.412,1166
1536531674.452,1167
1536531674.49,1165
1536531674.525,1160
1536531674.563,1171
1536531674.604,1171
