time,value
1536529733.982,426
1536529734.04,385
1536529734.086,383
1536529734.136,377
1536529734.18,380
1536529734.223,381
1536529734.266,364
1536529734.312,379
1536529734.357,381
1536529734.398,393
1536529734.444,327
1536529734.486,320
1536529734.529,315
1536529734.572,327
1536529734.615,313
1536529734.661,322
1536529734.706,328
1536529734.752,333
1536529734.798,327
1536529734.845,315
1536529734.892,338
1536529734.939,337
1536529734.986,334
1536529735.029,335
1536529735.071,330
1536529735.113,318
1536529735.155,344
1536529735.197,343
1536529735.239,348
1536529735.289,364
1536529735.333,364
1536529735.374,364
1536529735.417,364
1536529735.464,364
1536529735.507,364
1536529735.551,1169
1536529735.595,1121
1536529735.639,1135
1536529735.68,1148
1536529735.726,1136
1536529735.773,1161
1536529735.817,1190
1536529735.864,1221
1536529735.907,1078
1536529735.948,1159
1536529735.991,1175
1536529736.038,1179
1536529736.081,1128
1536529736.122,1066
1536529736.165,1090
1536529736.208,1166
1536529736.26,1072
1536529736.31,1126
1536529736.356,1028
1536529736.4,1011
1536529736.442,1025
1536529736.489,971
1536529736.534,911
1536529736.58,902
1536529736.627,910
1536529736.68,888
1536529736.725,942
1536529736.771,936
1536529736.819,924
1536529736.878,891
1536529736.921,876
1536529736.968,866
1536529737.02,795
1536529737.068,757
1536529737.113,718
1536529737.156,690
1536529737.203,691
1536529737.249,667
1536529737.291,685
1536529737.336,640
1536529737.38,644
1536529737.425,630
1536529737.468,740
1536529737.514,683
1536529737.56,679
1536529737.603,640
1536529737.654,669
1536529737.702,677
1536529737.753,675
1536529737.798,665
1536529737.845,667
1536529737.886,657
1536529737.929,671
1536529737.973,725
1536529738.018,710
1536529738.062,724
1536529738.107,768
1536529738.151,694
1536529738.193,668
1536529738.236,687
1536529738.28,665
1536529738.325,723
1536529738.368,726
1536529738.41,766
1536529738.456,792
1536529738.498,788
1536529738.55,753
1536529738.617,726
1536529738.67,740
1536529738.719,714
1536529738.777,773
