time,value
1536529369.376,304
1536529369.426,192
1536529369.472,177
1536529369.52,160
1536529369.565,165
1536529369.608,159
1536529369.656,167
1536529369.7,161
1536529369.745,223
1536529369.788,394
1536529369.831,277
1536529369.876,427
1536529369.919,465
1536529369.964,504
1536529370.011,499
1536529370.064,542
1536529370.106,569
1536529370.154,581
1536529370.196,1574
1536529370.242,1950
1536529370.286,1981
1536529370.335,1985
1536529370.378,2049
1536529370.427,2041
1536529370.474,1856
1536529370.519,1783
1536529370.562,1777
1536529370.605,1905
1536529370.653,2086
1536529370.71,2148
1536529370.759,1729
1536529370.812,1634
1536529370.86,1800
1536529370.907,1835
1536529370.955,1829
1536529371.008,1795
1536529371.055,1653
1536529371.106,1670
1536529371.148,1664
1536529371.195,1655
1536529371.239,1654
1536529371.29,1664
1536529371.337,1660
1536529371.384,1655
1536529371.429,1659
1536529371.473,1654
1536529371.518,1669
1536529371.561,1657
1536529371.606,1669
1536529371.652,1643
1536529371.698,1662
1536529371.738,1678
1536529371.777,1649
1536529371.82,1647
1536529371.865,1676
1536529371.904,1671
1536529371.943,1671
1536529372.009,1669
1536529372.059,1672
1536529372.103,1663
1536529372.147,1683
1536529372.196,1668
1536529372.24,1646
1536529372.291,1658
1536529372.334,1661
1536529372.376,1671
1536529372.427,1658
1536529372.472,1664
1536529372.514,1657
1536529372.565,1689
1536529372.613,1647
1536529372.66,1662
1536529372.705,1657
1536529372.748,1669
1536529372.792,1666
1536529372.835,1669
1536529372.879,1663
1536529372.924,1658
1536529372.968,1653
1536529373.014,1654
1536529373.058,1685
1536529373.101,1684
1536529373.143,1711
1536529373.191,1696
1536529373.234,1701
1536529373.281,1689
1536529373.326,1690
1536529373.369,1691
1536529373.417,1698
1536529373.46,1699
1536529373.504,1705
1536529373.548,1700
1536529373.591,1714
1536529373.635,1703
1536529373.68,1693
1536529373.73,1732
1536529373.775,1689
1536529373.817,1710
1536529373.86,1711
1536529373.905,1699
1536529373.953,1686
1536529374.002,1717
1536529374.045,1707
1536529374.086,1711
1536529374.13,1714
1536529374.176,1687
1536529374.224,1704
1536529374.273,1713
1536529374.325,1715
1536529374.369,1701
1536529374.412,1713
1536529374.455,1698
1536529374.504,1689
1536529374.549,1704
1536529374.596,1707
1536529374.642,1713
1536529374.685,1717
1536529374.729,1710
1536529374.774,1708
1536529374.817,1706
1536529374.864,1702
1536529374.905,1703
1536529374.951,1698
1536529374.993,1688
1536529375.035,1686
1536529375.076,1714
1536529375.12,1714
1536529375.163,1710
1536529375.205,1690
1536529375.248,1707
1536529375.291,1706
1536529375.332,1699
1536529375.374,1703
1536529375.415,1706
1536529375.47,1703
1536529375.512,1704
1536529375.554,1700
1536529375.597,1692
1536529375.643,1699
1536529375.685,1706
1536529375.728,1717
1536529375.77,1727
1536529375.822,1706
1536529375.865,1712
1536529375.909,1719
1536529375.956,1702
1536529376.002,1709
1536529376.044,1710
1536529376.084,1709
1536529376.125,1693
1536529376.174,1691
1536529376.222,1695
1536529376.266,1708
1536529376.31,1694
1536529376.357,1699
1536529376.405,1715
1536529376.45,1707
1536529376.5,1716
1536529376.556,1654
1536529376.608,1664
1536529376.671,1672
1536529376.719,1667
1536529376.767,1665
1536529376.813,1647
1536529376.861,1655
1536529376.904,1650
1536529376.949,1654
1536529376.996,1657
1536529377.043,1672
1536529377.089,1683
1536529377.133,1627
1536529377.178,1673
1536529377.228,1795
1536529377.277,1685
1536529377.325,202
1536529377.376,-66
1536529377.429,-92
1536529377.472,-104
1536529377.514,-101
1536529377.559,-88
1536529377.602,-98
1536529377.648,-102
