time,value
1532993633.314,746
1532993633.324,774
1532993633.33,782
1532993633.345,776
1532993633.352,791
1532993633.359,796
1532993633.367,794
1532993633.374,806
1532993633.392,806
1532993633.399,809
1532993633.408,814
1532993633.419,811
1532993633.425,821
1532993633.432,815
1532993633.444,826
1532993633.45,821
1532993633.461,821
1532993633.467,830
1532993633.476,811
1532993633.482,835
1532993633.495,826
1532993633.501,822
1532993633.51,818
1532993633.52,826
1532993633.529,834
1532993633.537,818
1532993633.544,833
1532993633.554,834
1532993633.562,833
1532993633.57,830
1532993633.577,830
1532993633.591,832
1532993633.598,823
1532993633.606,837
1532993633.613,834
1532993633.625,825
1532993633.632,828
1532993633.64,833
1532993633.648,826
1532993633.657,843
1532993633.67,818
1532993633.676,828
1532993633.685,833
1532993633.691,829
1532993633.703,828
1532993633.709,828
1532993633.715,829
1532993633.724,834
1532993633.73,824
1532993633.738,821
1532993633.748,834
1532993633.755,837
1532993633.761,829
1532993633.773,832
1532993633.784,836
1532993633.792,833
1532993633.799,832
1532993633.805,826
1532993633.815,818
1532993633.822,831
1532993633.83,835
1532993633.837,830
1532993633.844,841
1532993633.854,838
1532993633.86,823
1532993633.868,826
1532993633.875,833
1532993633.888,851
1532993633.894,838
1532993633.902,838
1532993633.908,822
1532993633.916,821
1532993633.925,828
1532993633.931,830
1532993633.939,832
1532993633.945,836
1532993633.955,827
1532993633.961,842
1532993633.969,832
1532993633.978,834
1532993633.986,829
1532993633.991,827
1532993633.998,833
1532993634.004,833
1532993634.013,836
1532993634.019,837
1532993634.029,840
1532993634.039,841
1532993634.052,834
1532993634.058,834
1532993634.068,834
1532993634.076,841
1532993634.088,831
1532993634.095,832
1532993634.103,824
1532993634.113,830
1532993634.123,831
1532993634.129,837
1532993634.138,820
1532993634.146,828
1532993634.155,829
1532993634.162,832
1532993634.17,827
1532993634.18,835
1532993634.189,835
1532993634.195,833
1532993634.205,829
1532993634.215,841
1532993634.222,834
1532993634.229,820
1532993634.237,842
1532993634.249,820
1532993634.255,818
1532993634.261,822
1532993634.27,835
1532993634.282,831
1532993634.289,838
1532993634.299,832
1532993634.308,829
1532993634.314,818
1532993634.32,831
1532993634.327,827
1532993634.334,830
1532993634.344,822
1532993634.351,829
1532993634.359,812
1532993634.369,834
1532993634.374,829
1532993634.38,833
1532993634.389,820
1532993634.395,843
1532993634.406,826
1532993634.412,825
1532993634.419,825
1532993634.431,837
1532993634.436,844
1532993634.443,836
1532993634.451,838
1532993634.461,835
