time,value
1532992717.179,631
1532992717.187,642
1532992717.198,648
1532992717.207,652
1532992717.217,644
1532992717.224,635
1532992717.232,667
1532992717.242,678
1532992717.251,673
1532992717.258,678
1532992717.269,681
1532992717.276,681
1532992717.284,673
1532992717.292,698
1532992717.299,688
1532992717.305,676
1532992717.317,694
1532992717.323,693
1532992717.33,700
1532992717.337,696
1532992717.347,695
1532992717.353,705
1532992717.361,700
1532992717.371,700
1532992717.377,699
1532992717.384,700
1532992717.392,707
1532992717.405,709
1532992717.415,713
1532992717.426,702
1532992717.434,708
1532992717.441,705
1532992717.449,703
1532992717.46,723
1532992717.468,709
1532992717.476,705
1532992717.488,697
1532992717.494,699
1532992717.507,703
1532992717.516,697
1532992717.528,719
1532992717.535,705
1532992717.542,703
1532992717.551,696
1532992717.558,708
1532992717.57,709
1532992717.58,704
1532992717.587,693
1532992717.598,700
1532992717.605,699
1532992717.615,702
1532992717.622,705
1532992717.637,704
1532992717.652,697
1532992717.66,702
1532992717.675,706
1532992717.683,706
1532992717.693,696
1532992717.703,711
1532992717.722,694
1532992717.732,709
1532992717.74,702
1532992717.753,706
1532992717.768,698
1532992717.78,708
1532992717.788,702
1532992717.804,705
1532992717.814,693
1532992717.823,700
1532992717.836,708
1532992717.849,706
1532992717.857,708
1532992717.867,718
1532992717.881,703
1532992717.889,710
1532992717.898,699
1532992717.906,711
1532992717.927,698
1532992717.935,699
1532992717.945,701
1532992717.957,701
1532992717.966,701
1532992717.974,703
1532992717.983,704
1532992717.997,700
1532992718.005,709
1532992718.014,707
1532992718.029,711
1532992718.036,698
1532992718.047,702
1532992718.055,698
1532992718.071,694
1532992718.078,703
1532992718.087,699
1532992718.096,686
1532992718.105,704
1532992718.119,700
1532992718.127,701
1532992718.135,698
1532992718.144,699
1532992718.15,706
1532992718.167,698
1532992718.174,706
1532992718.181,701
1532992718.189,705
1532992718.198,700
1532992718.21,714
1532992718.216,700
1532992718.225,706
1532992718.232,704
1532992718.242,702
1532992718.251,692
1532992718.259,703
1532992718.27,709
1532992718.277,697
1532992718.284,694
1532992718.291,701
1532992718.303,698
1532992718.313,711
1532992718.32,698
1532992718.333,699
1532992718.341,701
1532992718.349,707
1532992718.359,706
1532992718.367,710
1532992718.375,699
1532992718.382,696
1532992718.392,703
1532992718.403,708
1532992718.412,712
1532992718.423,690
1532992718.431,712
1532992718.439,699
1532992718.451,710
1532992718.458,697
1532992718.468,711
1532992718.483,714
1532992718.495,715
1532992718.501,726
1532992718.51,720
1532992718.52,712
1532992718.53,718
1532992718.542,711
1532992718.55,725
1532992718.559,726
1532992718.571,717
1532992718.578,723
1532992718.586,730
1532992718.594,722
1532992718.604,722
1532992718.612,705
1532992718.62,722
1532992718.628,712
1532992718.639,724
1532992718.647,713
1532992718.658,734
1532992718.668,721
1532992718.679,717
1532992718.685,739
1532992718.694,729
1532992718.706,723
1532992718.718,720
1532992718.727,721
1532992718.734,717
1532992718.744,711
1532992718.755,733
1532992718.764,721
1532992718.771,719
1532992718.78,714
1532992718.789,717
1532992718.795,723
1532992718.802,725
1532992718.814,704
1532992718.82,712
1532992718.828,719
1532992718.834,727
1532992718.845,721
1532992718.851,728
1532992718.859,722
1532992718.867,723
1532992718.877,728
1532992718.883,719
1532992718.891,723
1532992718.901,718
1532992718.907,722
1532992718.914,721
1532992718.92,724
1532992718.931,703
1532992718.937,723
1532992718.944,713
1532992718.951,713
1532992718.96,725
1532992718.966,725
1532992718.974,727
1532992718.985,723
1532992718.991,721
1532992718.998,713
1532992719.004,731
1532992719.013,728
1532992719.02,722
1532992719.028,720
1532992719.037,725
1532992719.046,731
1532992719.052,711
1532992719.063,702
1532992719.069,714
1532992719.077,725
1532992719.084,719
1532992719.094,716
1532992719.1,718
1532992719.108,726
1532992719.119,718
1532992719.126,728
1532992719.131,729
1532992719.14,728
1532992719.15,722
1532992719.155,718
1532992719.163,711
1532992719.17,714
1532992719.179,709
1532992719.186,723
1532992719.195,717
1532992719.204,721
1532992719.212,708
1532992719.218,727
1532992719.229,720
1532992719.236,714
1532992719.244,723
1532992719.257,732
1532992719.263,722
1532992719.27,719
1532992719.277,718
1532992719.29,713
1532992719.297,717
1532992719.304,717
1532992719.316,725
1532992719.326,716
1532992719.333,727
1532992719.345,735
1532992719.352,720
1532992719.362,723
1532992719.37,717
1532992719.381,726
1532992719.39,723
1532992719.398,722
1532992719.411,729
1532992719.418,721
1532992719.426,707
1532992719.435,718
1532992719.451,716
1532992719.459,721
1532992719.467,718
1532992719.481,721
1532992719.488,718
1532992719.496,731
1532992719.505,721
1532992719.515,698
1532992719.524,721
1532992719.532,726
1532992719.545,717
1532992719.552,715
1532992719.565,721
1532992719.577,721
1532992719.588,718
1532992719.602,720
1532992719.611,722
1532992719.62,718
1532992719.628,719
1532992719.642,726
1532992719.65,715
1532992719.659,717
1532992719.666,713
1532992719.676,716
1532992719.683,713
1532992719.692,715
1532992719.7,726
1532992719.712,718
1532992719.721,728
1532992719.73,717
1532992719.739,726
1532992719.75,724
1532992719.758,722
1532992719.765,720
1532992719.775,717
1532992719.789,717
1532992719.796,728
1532992719.807,721
1532992719.813,724
1532992719.827,720
1532992719.834,713
1532992719.842,727
1532992719.85,715
1532992719.863,711
1532992719.871,714
1532992719.878,716
1532992719.887,725
1532992719.897,717
1532992719.906,719
1532992719.913,715
1532992719.923,704
1532992719.933,712
1532992719.941,724
1532992719.949,722
1532992719.961,721
1532992719.969,718
1532992719.976,715
1532992719.983,713
1532992719.994,709
1532992720.002,713
1532992720.01,728
1532992720.023,718
1532992720.03,718
1532992720.038,726
1532992720.045,727
1532992720.057,719
1532992720.064,718
1532992720.073,712
1532992720.084,714
1532992720.092,725
1532992720.1,716
1532992720.11,714
1532992720.123,714
1532992720.129,714
1532992720.137,723
1532992720.144,721
1532992720.157,720
1532992720.163,719
1532992720.171,719
1532992720.183,734
1532992720.192,721
1532992720.205,725
1532992720.214,720
1532992720.223,728
1532992720.23,718
1532992720.241,727
1532992720.248,723
1532992720.256,719
1532992720.263,712
1532992720.275,723
1532992720.282,722
1532992720.29,725
1532992720.302,725
1532992720.308,733
1532992720.315,721
1532992720.322,720
1532992720.333,710
1532992720.341,725
1532992720.348,708
1532992720.36,715
1532992720.373,715
1532992720.379,714
1532992720.388,722
1532992720.396,733
1532992720.404,701
1532992720.411,719
1532992720.42,728
1532992720.43,715
1532992720.438,728
1532992720.446,716
1532992720.456,723
1532992720.462,713
1532992720.47,726
1532992720.476,728
1532992720.487,723
1532992720.493,725
1532992720.501,736
1532992720.511,713
1532992720.517,720
1532992720.523,730
1532992720.53,718
1532992720.542,713
1532992720.548,722
1532992720.555,709
1532992720.562,726
1532992720.569,718
1532992720.578,726
1532992720.586,722
1532992720.592,727
1532992720.604,720
1532992720.61,725
1532992720.616,718
1532992720.623,731
1532992720.632,713
1532992720.645,710
1532992720.652,726
1532992720.659,723
1532992720.666,716
1532992720.673,731
1532992720.686,730
1532992720.692,728
1532992720.7,730
1532992720.706,722
1532992720.719,717
1532992720.726,730
1532992720.733,720
1532992720.742,717
1532992720.75,724
1532992720.756,710
1532992720.763,722
1532992720.776,719
1532992720.782,725
1532992720.79,722
1532992720.797,723
1532992720.806,722
1532992720.816,721
1532992720.824,722
1532992720.831,721
1532992720.842,723
1532992720.849,712
1532992720.858,726
1532992720.865,719
1532992720.877,716
1532992720.885,710
1532992720.892,707
1532992720.9,713
1532992720.911,717
1532992720.919,713
1532992720.927,722
1532992720.94,728
1532992720.949,729
1532992720.956,717
1532992720.964,720
1532992720.976,721
1532992720.984,718
1532992720.992,720
1532992721.001,711
1532992721.012,717
1532992721.02,710
1532992721.027,703
1532992721.04,717
1532992721.047,722
1532992721.054,724
1532992721.067,724
1532992721.074,720
1532992721.082,711
1532992721.089,724
1532992721.096,737
1532992721.107,722
1532992721.115,720
1532992721.123,719
1532992721.13,717
1532992721.141,716
1532992721.152,717
1532992721.158,726
1532992721.168,703
1532992721.175,726
1532992721.191,728
1532992721.2,719
1532992721.207,719
1532992721.22,717
1532992721.228,713
1532992721.237,726
1532992721.244,719
1532992721.256,720
1532992721.265,710
1532992721.278,727
1532992721.286,712
1532992721.294,726
1532992721.303,709
1532992721.311,712
1532992721.323,719
1532992721.331,727
1532992721.339,726
1532992721.352,715
1532992721.359,719
1532992721.368,710
1532992721.375,716
1532992721.386,709
1532992721.393,718
1532992721.401,710
1532992721.408,706
1532992721.421,701
1532992721.428,704
1532992721.437,700
1532992721.445,692
1532992721.456,705
1532992721.463,708
1532992721.471,706
1532992721.486,697
1532992721.493,687
1532992721.501,701
1532992721.509,696
1532992721.519,695
1532992721.53,694
1532992721.539,700
1532992721.548,686
1532992721.555,687
1532992721.567,694
1532992721.574,682
1532992721.583,678
1532992721.595,680
1532992721.603,688
1532992721.61,676
1532992721.619,674
1532992721.631,670
1532992721.638,668
1532992721.645,665
1532992721.653,670
1532992721.66,657
1532992721.672,652
1532992721.68,655
1532992721.688,657
1532992721.696,644
1532992721.707,643
1532992721.716,654
1532992721.723,640
1532992721.735,632
1532992721.742,651
1532992721.75,635
1532992721.757,635
1532992721.77,623
1532992721.777,619
1532992721.786,615
1532992721.794,606
1532992721.807,621
1532992721.813,601
1532992721.821,610
1532992721.83,598
1532992721.838,604
1532992721.851,582
1532992721.858,591
1532992721.868,583
1532992721.875,554
1532992721.886,488
1532992721.894,458
1532992721.902,439
