time,value
1532995107.756,0
1532995107.764,-7
1532995107.773,-1
1532995107.79,2
1532995107.797,8
1532995107.804,14
1532995107.814,11
1532995107.825,19
1532995107.831,9
1532995107.839,9
1532995107.847,19
1532995107.857,5
1532995107.864,12
1532995107.871,8
1532995107.88,23
1532995107.89,17
1532995107.897,4
1532995107.904,20
1532995107.913,14
1532995107.923,16
1532995107.931,12
1532995107.938,-13
1532995107.946,7
1532995107.955,-2
1532995107.963,9
1532995107.972,13
1532995107.98,20
1532995107.99,16
1532995107.998,19
1532995108.004,10
1532995108.013,12
1532995108.022,12
1532995108.03,3
1532995108.037,12
1532995108.046,9
1532995108.054,11
1532995108.062,5
1532995108.069,12
1532995108.076,-1
1532995108.088,8
1532995108.095,11
1532995108.102,9
1532995108.111,14
1532995108.119,21
1532995108.128,6
1532995108.137,7
1532995108.144,8
1532995108.15,8
1532995108.166,11
1532995108.171,9
1532995108.178,6
1532995108.184,1
1532995108.191,2
1532995108.197,0
1532995108.209,4
1532995108.214,10
1532995108.221,15
1532995108.227,5
1532995108.238,-15
1532995108.245,-3
1532995108.253,-9
1532995108.267,-1
1532995108.275,7
1532995108.281,-10
1532995108.293,-2
1532995108.3,4
1532995108.309,5
1532995108.315,2
1532995108.321,0
1532995108.329,-4
1532995108.339,-1
1532995108.345,-2
1532995108.351,-4
1532995108.363,7
1532995108.37,-2
1532995108.382,-6
1532995108.387,10
1532995108.394,-1
1532995108.401,4
1532995108.41,0
1532995108.42,-6
1532995108.427,0
1532995108.435,2
1532995108.447,3
1532995108.452,-4
1532995108.46,-3
1532995108.468,2
1532995108.477,0
1532995108.484,3
1532995108.493,-1
1532995108.501,2
1532995108.51,1
1532995108.517,6
1532995108.526,-2
1532995108.534,1
1532995108.545,-12
1532995108.55,-7
1532995108.56,-10
1532995108.57,-6
1532995108.577,1
1532995108.584,-5
1532995108.6,-1
1532995108.611,4
1532995108.619,-1
1532995108.63,-2
1532995108.636,2
1532995108.645,7
1532995108.657,-11
1532995108.666,-1
1532995108.675,0
1532995108.686,5
1532995108.699,-4
1532995108.705,0
1532995108.715,-2
1532995108.722,0
1532995108.734,-7
1532995108.741,0
1532995108.751,-3
1532995108.761,4
1532995108.77,1
1532995108.784,1
1532995108.794,5
1532995108.801,-9
1532995108.809,-5
1532995108.818,5
1532995108.827,1
1532995108.834,-1
1532995108.844,-9
1532995108.853,7
1532995108.86,2
1532995108.877,-1
1532995108.885,-2
1532995108.898,7
1532995108.909,0
1532995108.918,2
1532995108.927,-17
1532995108.936,-9
1532995108.943,-4
1532995108.961,1
1532995108.967,-9
1532995108.979,-2
1532995108.984,5
1532995108.991,-6
1532995109.002,-7
1532995109.008,1
1532995109.015,1
1532995109.025,-1
1532995109.035,0
1532995109.041,16
1532995109.049,-1
1532995109.059,-6
1532995109.066,2
1532995109.076,6
1532995109.083,-1
1532995109.092,11
1532995109.101,-11
1532995109.109,3
1532995109.115,6
1532995109.125,3
1532995109.135,2
1532995109.142,-13
1532995109.148,-5
1532995109.159,2
1532995109.165,5
1532995109.176,1
1532995109.183,3
1532995109.193,-2
1532995109.199,-6
1532995109.211,0
1532995109.224,10
1532995109.233,0
1532995109.247,-7
1532995109.252,9
1532995109.26,6
1532995109.266,-4
1532995109.277,0
1532995109.291,-9
1532995109.3,9
1532995109.312,6
1532995109.319,3
1532995109.326,7
1532995109.334,-3
1532995109.35,-1
1532995109.358,16
1532995109.365,5
1532995109.38,8
1532995109.387,3
1532995109.393,7
1532995109.4,2
1532995109.41,0
1532995109.42,-8
1532995109.426,-6
1532995109.434,8
1532995109.452,3
1532995109.459,-3
1532995109.466,5
1532995109.476,4
1532995109.484,-10
1532995109.491,0
1532995109.499,-5
1532995109.508,4
1532995109.516,1
1532995109.524,2
1532995109.532,-2
1532995109.541,12
1532995109.551,-1
1532995109.558,0
1532995109.564,5
1532995109.577,3
1532995109.583,1
1532995109.591,-1
1532995109.599,14
1532995109.61,9
1532995109.617,-4
1532995109.625,15
1532995109.631,35
1532995109.642,176
1532995109.648,280
1532995109.658,238
1532995109.665,374
1532995109.674,273
1532995109.681,286
1532995109.691,286
1532995109.697,283
1532995109.708,306
1532995109.714,326
1532995109.724,337
1532995109.731,351
1532995109.743,355
1532995109.75,373
1532995109.758,373
1532995109.765,383
1532995109.778,388
1532995109.784,397
1532995109.792,392
1532995109.799,377
1532995109.808,328
1532995109.816,350
1532995109.827,394
1532995109.834,487
1532995109.841,567
1532995109.847,628
1532995109.854,653
1532995109.867,676
1532995109.874,669
1532995109.881,667
1532995109.894,681
1532995109.9,686
1532995109.907,688
1532995109.913,690
1532995109.925,699
1532995109.931,704
1532995109.94,698
1532995109.946,701
1532995109.957,699
1532995109.963,702
1532995109.973,702
1532995109.98,699
