time,value
1532994796.757,813
1532994796.764,856
1532994796.792,885
1532994796.8,886
1532994796.805,903
1532994796.815,912
1532994796.82,909
1532994796.828,906
1532994796.834,910
1532994796.845,906
1532994796.851,902
1532994796.858,933
1532994796.865,930
1532994796.874,909
1532994796.881,929
1532994796.889,923
1532994796.899,933
1532994796.905,940
1532994796.913,921
1532994796.92,926
1532994796.933,928
1532994796.94,928
1532994796.948,929
1532994796.954,924
1532994796.965,929
1532994796.972,942
1532994796.98,931
1532994796.986,939
1532994796.998,929
1532994797.004,923
1532994797.012,931
1532994797.018,940
1532994797.027,933
1532994797.033,924
1532994797.04,940
1532994797.048,936
1532994797.057,936
1532994797.064,948
1532994797.072,939
1532994797.083,936
1532994797.089,947
1532994797.096,941
1532994797.106,931
1532994797.113,945
1532994797.121,932
1532994797.13,928
1532994797.138,933
1532994797.147,940
1532994797.154,937
1532994797.165,933
1532994797.173,950
1532994797.179,927
1532994797.19,927
1532994797.201,939
1532994797.207,934
1532994797.217,930
1532994797.223,931
1532994797.236,950
1532994797.242,936
1532994797.251,935
1532994797.256,946
1532994797.264,939
1532994797.277,936
1532994797.282,932
1532994797.289,934
1532994797.296,940
1532994797.309,950
1532994797.316,929
1532994797.327,942
1532994797.334,927
1532994797.34,939
1532994797.348,932
1532994797.354,925
1532994797.363,946
1532994797.37,942
1532994797.38,932
1532994797.387,931
1532994797.399,917
1532994797.406,940
1532994797.412,941
1532994797.422,931
1532994797.429,928
1532994797.437,944
1532994797.447,924
1532994797.453,922
1532994797.464,929
1532994797.471,927
1532994797.478,932
1532994797.487,937
1532994797.495,936
1532994797.503,936
1532994797.512,936
1532994797.522,939
1532994797.529,926
1532994797.536,936
1532994797.546,929
1532994797.559,937
1532994797.565,948
1532994797.572,942
1532994797.578,929
1532994797.588,943
1532994797.596,939
1532994797.602,927
1532994797.613,931
1532994797.62,944
1532994797.629,937
1532994797.639,928
1532994797.647,939
1532994797.655,945
1532994797.665,930
1532994797.672,943
1532994797.68,920
1532994797.687,940
1532994797.696,938
1532994797.703,943
1532994797.714,944
1532994797.722,939
1532994797.731,930
1532994797.737,936
1532994797.748,925
1532994797.755,934
1532994797.763,919
1532994797.773,934
1532994797.781,935
1532994797.788,947
1532994797.798,931
1532994797.805,945
1532994797.813,939
1532994797.823,950
1532994797.831,931
1532994797.837,937
1532994797.848,947
1532994797.854,942
1532994797.863,934
1532994797.872,923
1532994797.88,925
1532994797.887,945
1532994797.896,937
1532994797.908,926
1532994797.914,924
