time,value
1532994205.293,838
1532994205.3,874
1532994205.31,879
1532994205.324,892
1532994205.33,923
1532994205.34,900
1532994205.347,919
1532994205.357,932
1532994205.375,910
1532994205.383,911
1532994205.394,922
1532994205.402,935
1532994205.408,931
1532994205.415,930
1532994205.425,944
1532994205.432,932
1532994205.439,927
1532994205.445,945
1532994205.456,935
1532994205.462,942
1532994205.47,947
1532994205.48,941
1532994205.49,945
1532994205.496,943
1532994205.505,932
1532994205.513,947
1532994205.53,930
1532994205.537,952
1532994205.546,940
1532994205.553,944
1532994205.566,928
1532994205.573,925
1532994205.579,930
1532994205.587,949
1532994205.594,930
1532994205.603,947
1532994205.61,940
1532994205.616,942
1532994205.623,948
1532994205.635,943
1532994205.642,926
1532994205.65,946
1532994205.659,941
1532994205.667,931
1532994205.673,945
1532994205.681,948
1532994205.69,937
1532994205.696,934
1532994205.703,932
1532994205.709,936
1532994205.718,938
1532994205.723,931
1532994205.73,933
1532994205.739,929
1532994205.745,941
1532994205.753,942
1532994205.759,949
1532994205.771,932
1532994205.777,932
1532994205.785,936
1532994205.791,939
1532994205.801,926
1532994205.81,946
1532994205.819,933
1532994205.826,939
1532994205.839,943
1532994205.846,940
1532994205.854,937
1532994205.864,949
1532994205.872,938
1532994205.886,941
1532994205.894,933
1532994205.904,935
1532994205.912,930
1532994205.926,931
1532994205.934,935
1532994205.942,929
1532994205.953,934
1532994205.961,936
1532994205.968,932
1532994205.978,942
1532994205.988,935
1532994205.999,927
1532994206.005,933
1532994206.012,937
1532994206.019,938
1532994206.034,947
1532994206.04,953
1532994206.049,934
1532994206.06,938
1532994206.068,929
1532994206.075,936
1532994206.085,940
1532994206.094,938
1532994206.102,943
1532994206.11,942
1532994206.12,932
1532994206.133,938
1532994206.14,941
1532994206.15,937
1532994206.16,936
1532994206.169,932
1532994206.175,944
1532994206.185,938
1532994206.192,932
1532994206.201,936
1532994206.211,940
1532994206.22,919
1532994206.227,938
1532994206.235,937
1532994206.248,940
1532994206.254,932
1532994206.261,934
1532994206.269,946
1532994206.275,924
1532994206.286,926
1532994206.294,940
1532994206.303,941
1532994206.31,935
1532994206.32,951
1532994206.327,943
1532994206.335,933
1532994206.342,925
1532994206.352,935
1532994206.359,936
1532994206.368,946
1532994206.374,932
1532994206.387,934
1532994206.396,934
1532994206.402,925
1532994206.413,935
1532994206.419,946
1532994206.427,935
1532994206.434,929
1532994206.445,932
1532994206.453,945
1532994206.46,936
1532994206.468,938
1532994206.476,934
1532994206.485,929
1532994206.492,930
1532994206.501,948
1532994206.51,930
1532994206.518,941
1532994206.527,949
1532994206.535,949
1532994206.546,934
1532994206.558,930
1532994206.565,929
1532994206.572,945
1532994206.581,934
1532994206.587,941
1532994206.596,944
1532994206.608,938
1532994206.616,932
1532994206.622,930
1532994206.632,941
1532994206.643,941
1532994206.65,939
1532994206.658,936
1532994206.666,942
1532994206.676,949
1532994206.684,925
1532994206.691,948
1532994206.699,958
1532994206.708,929
1532994206.716,942
1532994206.722,932
1532994206.733,928
1532994206.74,934
1532994206.747,940
1532994206.754,943
1532994206.763,931
1532994206.775,948
1532994206.782,931
1532994206.791,939
1532994206.802,930
1532994206.809,937
1532994206.816,947
1532994206.823,939
1532994206.834,927
1532994206.841,950
1532994206.851,931
1532994206.858,942
1532994206.869,940
1532994206.876,939
1532994206.884,940
1532994206.896,934
