time,value
1536229433.432,18
1536229433.48,29
1536229433.505,25
1536229433.529,20
1536229433.539,30
1536229433.556,19
1536229433.578,39
1536229433.603,40
1536229433.677,42
1536229433.699,26
1536229433.719,36
1536229433.725,42
1536229433.733,39
1536229433.742,41
1536229433.752,28
1536229433.82,34
1536229433.835,28
1536229433.884,13
1536229433.902,2
1536229433.916,2
1536229433.957,10
1536229433.981,1
1536229434.018,3
1536229434.03,-16
1536229434.049,-6
1536229434.063,-6
1536229434.097,-5
1536229434.107,-2
1536229434.122,10
1536229434.138,6
1536229434.187,-2
1536229434.214,-12
1536229434.228,2
1536229434.247,-3
1536229434.253,-6
1536229434.262,-6
1536229434.269,7
1536229434.286,22
1536229434.344,-1
1536229434.386,4
1536229434.394,4
1536229434.41,1
1536229434.435,3
1536229434.475,-1
1536229434.507,3
1536229434.517,1
1536229434.538,2
1536229434.549,17
1536229434.559,1
1536229434.566,3
1536229434.575,-12
1536229434.582,-4
1536229434.614,1
1536229434.676,0
1536229434.738,-5
1536229434.8,7
1536229434.823,2
1536229434.857,31
1536229434.876,64
1536229434.897,459
1536229434.912,486
1536229434.929,332
1536229434.945,281
1536229434.97,336
1536229434.979,435
1536229434.988,408
1536229434.996,384
1536229435.029,497
1536229435.036,488
1536229435.054,486
1536229435.069,472
1536229435.077,473
1536229435.098,431
1536229435.111,404
1536229435.12,383
1536229435.161,457
1536229435.197,477
1536229435.212,483
1536229435.226,500
1536229435.237,495
1536229435.259,498
1536229435.275,488
1536229435.292,495
1536229435.3,499
1536229435.308,501
1536229435.325,490
1536229435.341,495
1536229435.371,476
1536229435.448,486
1536229435.456,489
1536229435.492,493
1536229435.572,491
1536229435.58,492
1536229435.589,500
1536229435.605,504
1536229435.614,516
1536229435.627,502
1536229435.648,508
1536229435.655,508
1536229435.704,486
1536229435.753,432
1536229435.848,513
1536229435.861,506
1536229435.878,509
1536229435.903,512
1536229435.91,511
1536229435.92,524
1536229435.927,513
1536229435.936,514
1536229435.944,524
1536229436.011,519
1536229436.025,517
1536229436.037,517
1536229436.052,520
1536229436.111,512
1536229436.185,508
1536229436.339,538
1536229436.388,523
1536229436.406,522
1536229436.432,530
1536229436.446,533
1536229436.476,543
1536229436.49,527
1536229436.545,541
1536229436.573,543
1536229436.602,535
1536229436.611,543
1536229436.62,535
1536229436.627,545
1536229436.637,542
1536229436.644,550
1536229436.653,544
1536229436.685,542
1536229436.696,528
1536229436.71,532
1536229436.719,524
1536229436.726,530
1536229436.748,519
1536229436.82,501
1536229436.83,501
1536229436.867,489
1536229436.901,484
1536229436.907,479
1536229436.917,491
1536229436.935,477
1536229436.941,477
1536229436.949,470
1536229436.957,485
1536229436.967,489
1536229436.974,498
1536229436.997,466
1536229437.012,486
1536229437.028,491
1536229437.067,473
1536229437.082,463
1536229437.13,463
1536229437.147,438
1536229437.221,428
1536229437.23,434
1536229437.238,451
1536229437.307,458
1536229437.379,423
1536229437.404,442
1536229437.417,461
1536229437.446,461
1536229437.46,451
1536229437.483,436
1536229437.51,432
1536229437.525,427
1536229437.534,423
1536229437.544,409
1536229437.565,414
1536229437.576,422
1536229437.618,387
1536229437.627,395
1536229437.646,377
1536229437.664,382
1536229437.676,386
1536229437.683,385
1536229437.692,368
1536229437.699,374
1536229437.71,372
1536229437.752,373
1536229437.765,374
1536229437.806,376
1536229437.822,363
1536229437.872,360
