time,value
1532995666.065,359,1004
1532995666.076,373,1024
1532995666.081,381,1046
1532995666.097,372,1070
1532995666.106,388,1068
1532995666.115,407,1078
1532995666.125,390,1099
1532995666.13,380,1084
1532995666.14,402,1091
1532995666.146,402,1097
1532995666.159,407,1110
1532995666.166,401,1107
1532995666.175,382,1103
1532995666.187,386,1101
1532995666.198,388,1103
1532995666.206,394,1112
1532995666.213,393,1099
1532995666.226,393,1108
1532995666.236,418,1112
1532995666.249,404,1125
1532995666.26,401,1092
1532995666.267,390,1111
1532995666.275,395,1110
1532995666.282,412,1109
1532995666.294,403,1109
1532995666.301,395,1084
1532995666.308,401,1101
1532995666.315,413,1107
1532995666.326,403,1106
1532995666.334,403,1100
1532995666.343,381,1091
1532995666.353,399,1097
1532995666.362,395,1101
1532995666.37,406,1106
1532995666.379,404,1098
1532995666.387,413,1104
1532995666.398,400,1106
1532995666.406,403,1124
1532995666.412,419,1110
1532995666.424,419,1104
1532995666.43,409,1103
1532995666.436,397,1112
1532995666.445,394,1106
1532995666.457,400,1109
1532995666.463,398,1104
1532995666.47,395,1090
1532995666.479,405,1096
1532995666.485,400,1103
1532995666.494,404,1116
1532995666.5,414,1111
1532995666.512,413,1099
1532995666.519,402,1105
1532995666.532,403,1103
1532995666.546,399,1111
1532995666.552,413,1096
1532995666.562,398,1096
1532995666.573,397,1095
1532995666.581,418,1100
1532995666.591,393,1108
1532995666.597,409,1109
1532995666.608,398,1095
1532995666.621,395,1101
1532995666.627,391,1106
1532995666.637,406,1103
1532995666.643,401,1099
1532995666.653,405,1100
1532995666.661,410,1116
1532995666.675,404,1104
1532995666.683,404,1090
1532995666.692,398,1107
1532995666.703,400,1092
1532995666.709,407,1098
1532995666.716,394,1095
1532995666.724,397,1100
1532995666.73,389,1096
1532995666.74,409,1103
1532995666.748,384,1114
1532995666.757,396,1114
1532995666.765,405,1108
1532995666.776,400,1095
1532995666.783,390,1096
1532995666.791,404,1093
1532995666.798,395,1107
1532995666.807,396,1102
1532995666.814,405,1099
1532995666.822,393,1105
1532995666.829,392,1093
1532995666.84,395,1104
1532995666.846,409,1121
1532995666.855,385,1097
1532995666.865,394,1086
1532995666.873,404,1093
1532995666.88,393,1102
1532995666.886,396,1105
1532995666.901,406,1097
1532995666.909,404,1107
1532995666.915,392,1119
1532995666.922,401,1113
1532995666.93,401,1098
1532995666.94,395,1116
1532995666.947,399,1117
1532995666.955,405,1129
1532995666.965,402,1102
1532995666.973,398,1110
1532995666.979,402,1111
1532995666.987,410,1113
1532995666.994,402,1117
1532995667.005,393,1099
1532995667.014,389,1099
1532995667.026,399,1108
1532995667.033,398,1098
1532995667.045,398,1107
1532995667.053,389,1116
1532995667.061,400,1097
1532995667.068,392,1113
1532995667.08,397,1103
1532995667.089,402,1105
1532995667.096,406,1103
1532995667.108,401,1104
1532995667.114,403,1106
1532995667.123,399,1102
1532995667.13,390,1120
1532995667.144,401,1095
1532995667.151,411,1105
1532995667.171,401,1093
1532995667.181,400,1103
1532995667.187,387,1108
1532995667.194,406,1106
1532995667.204,403,1097
1532995667.214,394,1118
1532995667.221,395,1098
1532995667.229,395,1110
1532995667.237,398,1098
1532995667.246,394,1100
1532995667.259,388,1100
1532995667.267,396,1117
1532995667.273,401,1104
1532995667.283,394,1106
1532995667.289,400,1118
1532995667.296,402,1105
1532995667.303,399,1108
1532995667.313,408,1114
1532995667.321,408,1102
1532995667.329,399,1100
1532995667.335,400,1089
1532995667.345,402,1111
1532995667.351,400,1097
1532995667.359,397,1109
1532995667.366,412,1103
1532995667.377,406,1109
1532995667.385,416,1125
1532995667.392,396,1114
1532995667.401,396,1100
1532995667.41,405,1111
1532995667.416,391,1109
1532995667.424,408,1091
1532995667.429,400,1106
1532995667.442,411,1111
1532995667.45,403,1097
1532995667.458,407,1098
1532995667.465,402,1105
1532995667.475,411,1102
1532995667.484,411,1099
1532995667.491,386,1113
1532995667.498,412,1106
1532995667.51,417,1105
1532995667.519,399,1102
1532995667.525,395,1101
1532995667.533,406,1106
1532995667.539,410,1098
1532995667.553,410,1110
1532995667.559,406,1103
1532995667.567,406,1103
1532995667.577,395,1116
1532995667.583,397,1106
1532995667.59,395,1090
1532995667.597,403,1095
1532995667.609,391,1106
1532995667.617,399,1099
1532995667.625,406,1095
1532995667.635,393,1097
1532995667.645,399,1111
1532995667.654,390,1123
1532995667.661,400,1103
1532995667.667,422,1119
1532995667.673,387,1099
1532995667.682,410,1107
1532995667.691,391,1121
1532995667.699,389,1098
1532995667.705,398,1119
1532995667.711,406,1106
1532995667.721,399,1108
1532995667.727,397,1095
1532995667.734,401,1119
1532995667.74,405,1099
1532995667.751,416,1099
1532995667.757,400,1089
1532995667.764,405,1085
1532995667.77,411,1117
1532995667.78,398,1107
1532995667.785,406,1103
1532995667.791,376,1089
1532995667.798,392,1104
1532995667.804,404,1096
1532995667.814,386,1110
1532995667.82,395,1119
1532995667.826,391,1097
1532995667.833,401,1096
1532995667.841,393,1088
1532995667.848,403,1095
1532995667.854,406,1098
1532995667.861,398,1110
1532995667.873,412,1095
1532995667.883,399,1099
1532995667.89,386,1107
1532995667.895,396,1102
1532995667.908,399,1114
1532995667.917,403,1106
1532995667.923,405,1102
1532995667.933,398,1104
1532995667.943,401,1098
1532995667.951,399,1099
1532995667.959,394,1127
1532995667.967,401,1119
1532995667.978,401,1113
1532995667.985,407,1104
1532995667.994,385,1103
1532995668.001,401,1113
1532995668.014,392,1101
1532995668.021,400,1100
1532995668.029,411,1097
1532995668.036,389,1116
1532995668.043,399,1108
1532995668.056,393,1102
1532995668.063,397,1103
1532995668.07,400,1106
1532995668.077,406,1112
1532995668.086,399,1108
1532995668.096,393,1102
1532995668.106,402,1094
1532995668.114,410,1119
1532995668.121,400,1106
1532995668.128,398,1110
1532995668.139,397,1103
1532995668.146,403,1100
1532995668.153,392,1078
1532995668.163,403,1121
1532995668.169,395,1125
1532995668.182,408,1105
1532995668.188,400,1098
1532995668.194,406,1115
1532995668.203,404,1096
1532995668.216,397,1124
1532995668.223,390,1103
1532995668.23,395,1101
1532995668.236,398,1101
1532995668.245,409,1103
1532995668.251,398,1090
1532995668.261,404,1093
1532995668.268,401,1101
1532995668.277,414,1120
1532995668.284,395,1110
1532995668.291,399,1094
1532995668.302,398,1107
1532995668.311,414,1105
1532995668.317,399,1097
1532995668.323,394,1112
1532995668.334,403,1097
1532995668.34,387,1108
1532995668.348,395,1101
1532995668.359,397,1097
1532995668.372,396,1111
1532995668.379,395,1101
1532995668.385,410,1110
1532995668.393,402,1099
1532995668.4,398,1104
1532995668.407,389,1081
1532995668.417,398,1113
1532995668.426,399,1102
1532995668.434,391,1092
1532995668.444,403,1089
1532995668.451,402,1088
1532995668.464,396,1097
1532995668.47,417,1108
1532995668.476,406,1095
1532995668.484,401,1101
1532995668.492,405,1103
1532995668.504,396,1117
1532995668.511,402,1117
1532995668.518,392,1110
1532995668.526,405,1126
1532995668.533,410,1128
1532995668.547,410,1131
1532995668.554,413,1128
1532995668.561,410,1142
1532995668.567,414,1144
1532995668.576,405,1129
1532995668.588,409,1139
1532995668.595,400,1145
1532995668.601,405,1138
1532995668.608,405,1138
1532995668.616,407,1134
1532995668.628,420,1135
1532995668.634,401,1131
1532995668.64,394,1142
1532995668.648,425,1131
1532995668.659,416,1140
1532995668.668,409,1130
1532995668.676,420,1141
1532995668.683,418,1148
1532995668.689,418,1139
1532995668.698,412,1127
1532995668.709,415,1130
1532995668.716,421,1139
1532995668.724,402,1147
1532995668.73,410,1128
1532995668.736,413,1140
1532995668.746,400,1139
1532995668.753,416,1143
1532995668.761,410,1137
1532995668.767,408,1129
1532995668.773,408,1135
1532995668.786,398,1143
1532995668.792,414,1126
1532995668.798,404,1131
1532995668.804,407,1125
1532995668.811,414,1143
1532995668.818,415,1121
1532995668.831,423,1132
1532995668.836,412,1124
1532995668.843,400,1139
1532995668.851,401,1140
1532995668.862,418,1133
1532995668.868,416,1134
1532995668.874,410,1140
1532995668.881,405,1138
1532995668.89,412,1136
1532995668.902,410,1128
1532995668.908,405,1135
1532995668.915,410,1131
1532995668.927,409,1147
1532995668.936,410,1125
1532995668.943,404,1134
1532995668.95,418,1136
1532995668.958,394,1147
1532995668.965,408,1138
1532995668.972,416,1137
1532995668.98,424,1142
1532995668.986,405,1132
1532995668.997,395,1134
1532995669.003,412,1147
1532995669.011,419,1143
1532995669.017,412,1136
1532995669.027,412,1136
1532995669.033,412,1144
1532995669.039,409,1124
1532995669.047,418,1124
1532995669.055,407,1137
1532995669.066,406,1130
1532995669.072,418,1142
1532995669.079,413,1137
1532995669.087,411,1144
1532995669.097,412,1141
1532995669.103,407,1122
1532995669.11,406,1130
1532995669.117,412,1133
1532995669.124,408,1138
1532995669.13,414,1141
1532995669.14,405,1143
1532995669.146,418,1141
1532995669.152,409,1136
1532995669.16,409,1133
1532995669.166,411,1135
1532995669.179,406,1124
1532995669.185,418,1130
1532995669.194,400,1133
1532995669.204,413,1137
1532995669.212,414,1126
1532995669.218,414,1129
1532995669.226,408,1123
1532995669.235,399,1141
1532995669.246,420,1138
1532995669.253,417,1132
1532995669.263,412,1133
1532995669.27,422,1140
1532995669.28,410,1137
1532995669.286,408,1132
1532995669.294,404,1140
1532995669.302,400,1139
1532995669.314,409,1127
1532995669.323,431,1134
1532995669.329,418,1130
1532995669.337,400,1136
1532995669.348,421,1130
1532995669.355,407,1134
1532995669.365,406,1130
1532995669.372,413,1140
1532995669.38,407,1143
1532995669.392,409,1121
1532995669.399,414,1144
1532995669.414,427,1139
1532995669.42,415,1139
1532995669.43,409,1139
1532995669.443,430,1127
1532995669.451,410,1128
1532995669.46,416,1131
1532995669.468,408,1129
1532995669.477,406,1147
1532995669.491,415,1136
1532995669.499,403,1133
1532995669.506,408,1135
1532995669.516,419,1131
1532995669.523,411,1132
1532995669.534,410,1125
1532995669.542,414,1138
1532995669.549,412,1142
1532995669.557,400,1136
1532995669.57,410,1134
1532995669.578,415,1130
1532995669.584,411,1143
1532995669.595,421,1133
1532995669.608,414,1123
1532995669.619,397,1141
1532995669.627,413,1137
1532995669.637,403,1130
1532995669.645,404,1140
1532995669.656,411,1132
1532995669.664,409,1139
1532995669.671,412,1139
1532995669.679,427,1142
1532995669.692,411,1144
1532995669.698,423,1138
1532995669.709,412,1142
1532995669.718,418,1127
1532995669.726,414,1144
1532995669.733,406,1139
1532995669.742,407,1131
1532995669.752,427,1139
1532995669.76,410,1134
1532995669.77,411,1126
1532995669.776,401,1137
1532995669.787,421,1124
1532995669.793,422,1140
1532995669.802,420,1123
1532995669.808,394,1127
1532995669.821,408,1129
1532995669.828,412,1142
1532995669.835,404,1143
1532995669.843,402,1144
1532995669.853,406,1142
1532995669.86,413,1142
1532995669.872,421,1150
1532995669.879,424,1136
1532995669.889,423,1135
1532995669.896,429,1126
1532995669.904,420,1138
1532995669.91,414,1129
1532995669.922,417,1120
1532995669.928,418,1130
1532995669.936,415,1139
1532995669.944,402,1138
1532995669.951,421,1127
1532995669.959,412,1142
1532995669.966,408,1135
1532995669.973,411,1129
1532995669.98,402,1132
1532995669.989,414,1108
1532995669.999,409,1144
1532995670.006,424,1144
1532995670.013,415,1136
1532995670.022,402,1123
1532995670.028,407,1131
1532995670.04,408,1126
1532995670.047,397,1124
1532995670.056,400,1109
1532995670.065,402,1120
1532995670.077,412,1130
1532995670.084,390,1117
1532995670.092,397,1127
1532995670.102,393,1117
1532995670.113,394,1103
1532995670.12,390,1102
1532995670.127,409,1109
1532995670.137,391,1103
1532995670.144,405,1102
1532995670.156,382,1095
1532995670.162,381,1091
1532995670.17,395,1096
1532995670.177,404,1098
1532995670.188,388,1077
1532995670.195,392,1087
1532995670.202,388,1083
1532995670.21,381,1079
1532995670.223,385,1077
1532995670.229,383,1049
1532995670.238,390,1073
1532995670.244,385,1071
1532995670.253,376,1068
1532995670.26,380,1066
1532995670.267,387,1041
1532995670.276,384,1052
1532995670.288,375,1050
1532995670.295,373,1036
1532995670.307,372,1047
1532995670.317,385,1036
1532995670.324,376,1045
1532995670.331,375,1041
1532995670.341,373,1039
1532995670.35,377,1040
1532995670.36,375,1044
1532995670.366,373,1039
1532995670.375,375,1026
1532995670.381,353,1031
1532995670.393,375,1023
1532995670.4,368,1028
1532995670.407,370,1021
1532995670.416,375,1026
1532995670.425,379,1006
1532995670.436,369,1023
1532995670.444,371,1025
1532995670.453,362,1034
1532995670.464,368,1022
1532995670.476,368,1025
1532995670.483,373,1021
1532995670.491,369,1020
1532995670.499,373,1018
1532995670.507,375,1026
1532995670.516,389,1028
1532995670.523,374,1034
1532995670.529,382,1036
1532995670.536,372,1032
1532995670.543,366,1032
1532995670.553,373,1009
1532995670.565,357,1020
1532995670.572,354,1041
1532995670.578,380,1046
1532995670.584,377,1019
1532995670.591,363,1032
1532995670.601,374,1037
1532995670.612,371,1034
1532995670.618,375,1035
1532995670.626,372,1035
1532995670.638,381,1041
1532995670.645,369,1029
1532995670.654,371,1028
1532995670.661,371,1031
1532995670.673,373,1033
1532995670.679,358,1027
1532995670.687,382,1024
1532995670.693,376,1024
1532995670.701,372,1026
1532995670.71,370,1033
1532995670.717,371,1016
1532995670.727,373,1027
1532995670.734,363,1011
1532995670.745,367,1012
1532995670.751,360,1017
1532995670.759,370,1003
1532995670.765,341,1013
1532995670.777,359,1016
1532995670.785,356,1013
1532995670.792,369,1008
1532995670.799,354,1011
1532995670.806,362,1013
1532995670.817,362,1001
1532995670.824,371,1004
1532995670.831,356,990
1532995670.839,362,1004
1532995670.846,351,991
1532995670.859,372,999
1532995670.866,356,1007
1532995670.881,350,984
1532995670.894,354,988
1532995670.903,344,990
1532995670.915,343,974
1532995670.925,337,939
1532995670.934,265,786
1532995670.948,244,718
1532995670.968,233,689
1532995670.974,218,680
1532995670.982,208,647
1532995671.002,218,642
