time,value
1532995586.47,249,782
1532995586.477,298,915
1532995586.489,330,958
1532995586.497,345,994
1532995586.506,365,1013
1532995586.514,367,1024
1532995586.523,380,1040
1532995586.535,373,1048
1532995586.543,383,1057
1532995586.551,387,1058
1532995586.558,384,1082
1532995586.57,388,1086
1532995586.576,389,1093
1532995586.584,406,1118
1532995586.59,400,1092
1532995586.603,384,1114
1532995586.611,394,1109
1532995586.619,402,1111
1532995586.63,393,1108
1532995586.638,397,1112
1532995586.644,402,1108
1532995586.653,405,1111
1532995586.66,415,1130
1532995586.668,390,1097
1532995586.676,401,1134
1532995586.686,407,1125
1532995586.693,392,1125
1532995586.701,391,1103
1532995586.71,402,1111
1532995586.717,403,1121
1532995586.724,399,1117
1532995586.73,409,1118
1532995586.739,399,1114
1532995586.746,399,1102
1532995586.753,411,1111
1532995586.759,392,1110
1532995586.769,424,1118
1532995586.775,408,1120
1532995586.782,400,1103
1532995586.79,401,1128
1532995586.799,396,1135
1532995586.806,406,1127
1532995586.814,400,1112
1532995586.822,401,1110
1532995586.827,402,1114
1532995586.837,403,1109
1532995586.843,409,1109
1532995586.85,404,1110
1532995586.856,399,1102
1532995586.864,393,1120
1532995586.874,412,1115
1532995586.881,400,1124
1532995586.888,411,1126
1532995586.894,393,1123
1532995586.903,402,1108
1532995586.91,422,1116
1532995586.92,406,1097
1532995586.932,422,1116
1532995586.938,407,1110
1532995586.944,392,1104
1532995586.953,400,1115
1532995586.96,388,1112
1532995586.97,394,1103
1532995586.976,406,1112
1532995586.987,409,1127
1532995586.994,414,1102
1532995587.002,392,1125
1532995587.01,390,1135
1532995587.019,404,1122
1532995587.028,400,1106
1532995587.036,409,1112
1532995587.044,401,1116
1532995587.053,409,1121
1532995587.061,399,1123
1532995587.07,399,1120
1532995587.076,411,1129
1532995587.087,396,1102
1532995587.093,399,1111
1532995587.103,411,1123
1532995587.111,404,1101
1532995587.12,397,1115
1532995587.127,400,1121
1532995587.137,397,1109
1532995587.145,401,1119
1532995587.154,397,1115
1532995587.163,401,1104
1532995587.17,401,1098
1532995587.177,382,1109
1532995587.189,395,1122
1532995587.196,398,1110
1532995587.205,402,1105
1532995587.213,401,1113
1532995587.223,381,1108
1532995587.229,414,1129
1532995587.241,394,1118
1532995587.247,409,1103
1532995587.26,394,1092
1532995587.268,389,1107
1532995587.279,400,1100
1532995587.289,397,1103
1532995587.296,396,1117
1532995587.305,409,1112
1532995587.315,409,1112
1532995587.323,387,1099
1532995587.332,401,1096
1532995587.34,413,1119
1532995587.351,401,1101
1532995587.36,408,1123
