time,value
1533062005.402,674,743
1533062005.415,678,735
1533062005.429,654,729
1533062005.442,660,726
1533062005.454,653,705
1533062005.472,667,718
1533062005.483,660,729
1533062005.495,659,728
1533062005.514,686,734
1533062005.524,727,780
1533062005.539,752,802
1533062005.55,761,813
1533062005.565,752,816
1533062005.575,773,819
1533062005.586,790,846
1533062005.599,802,843
1533062005.609,799,852
1533062005.619,788,829
1533062005.638,794,856
1533062005.65,797,844
1533062005.662,798,839
1533062005.676,786,868
1533062005.688,801,857
1533062005.698,809,858
1533062005.713,784,859
1533062005.732,806,858
1533062005.744,798,865
1533062005.758,813,859
1533062005.773,804,859
1533062005.783,808,872
1533062005.795,803,858
1533062005.805,805,872
1533062005.817,799,860
1533062005.831,800,867
1533062005.843,815,856
1533062005.853,812,847
1533062005.867,805,866
1533062005.878,799,857
1533062005.888,808,857
1533062005.899,794,870
1533062005.912,804,874
1533062005.921,788,855
1533062005.931,818,861
1533062005.944,798,871
1533062005.953,815,876
1533062005.966,819,871
1533062005.975,826,875
1533062005.984,808,872
1533062005.996,825,892
1533062006.005,817,875
1533062006.016,815,873
1533062006.024,814,884
1533062006.032,826,890
1533062006.046,822,883
1533062006.054,827,900
1533062006.064,819,886
1533062006.075,827,882
1533062006.083,825,900
1533062006.099,821,882
1533062006.108,821,879
1533062006.125,818,885
1533062006.14,830,882
1533062006.153,803,891
1533062006.165,811,890
1533062006.174,817,878
1533062006.186,833,885
1533062006.195,836,882
1533062006.204,821,879
1533062006.221,821,888
1533062006.232,816,889
1533062006.245,817,884
1533062006.253,823,890
1533062006.262,832,890
1533062006.278,822,883
1533062006.289,817,881
1533062006.301,816,889
1533062006.314,829,887
1533062006.323,824,885
1533062006.332,827,891
1533062006.348,819,883
1533062006.364,826,899
1533062006.375,826,887
1533062006.384,819,883
1533062006.396,827,888
1533062006.408,832,887
1533062006.416,830,882
1533062006.426,830,882
1533062006.438,820,887
1533062006.447,828,895
1533062006.46,841,878
1533062006.469,836,888
1533062006.478,837,889
1533062006.493,827,891
1533062006.502,821,891
1533062006.517,832,896
1533062006.529,826,881
1533062006.54,822,901
1533062006.551,834,895
1533062006.563,830,897
1533062006.577,830,891
1533062006.587,827,903
1533062006.602,825,901
1533062006.614,828,904
1533062006.628,828,889
1533062006.644,832,890
1533062006.654,826,902
1533062006.666,831,900
1533062006.684,823,899
1533062006.698,828,892
1533062006.708,830,882
1533062006.722,824,897
1533062006.731,821,885
1533062006.742,821,897
1533062006.753,822,874
1533062006.768,835,881
1533062006.781,836,888
1533062006.792,836,891
1533062006.805,826,899
1533062006.82,823,890
1533062006.829,825,880
1533062006.841,819,892
1533062006.858,828,904
1533062006.869,832,893
1533062006.879,818,885
1533062006.89,829,899
1533062006.9,839,888
1533062006.912,838,896
1533062006.928,829,884
1533062006.937,830,897
1533062006.947,832,887
1533062006.96,822,901
1533062006.971,834,904
1533062006.982,829,896
1533062006.992,829,896
1533062007.001,828,889
1533062007.012,834,892
1533062007.022,832,893
1533062007.033,823,893
1533062007.045,830,897
1533062007.056,831,892
1533062007.069,812,891
1533062007.077,838,902
1533062007.088,829,893
1533062007.101,825,889
1533062007.111,824,894
1533062007.122,827,906
1533062007.131,825,898
1533062007.142,827,894
1533062007.155,831,889
1533062007.164,837,889
1533062007.173,836,908
1533062007.182,820,893
1533062007.191,825,889
1533062007.198,821,894
1533062007.211,832,907
1533062007.227,839,900
1533062007.243,845,894
1533062007.252,826,890
1533062007.26,828,889
1533062007.276,826,893
1533062007.298,830,894
1533062007.311,829,887
1533062007.323,821,894
1533062007.335,826,890
1533062007.347,824,891
1533062007.356,823,902
1533062007.368,840,886
1533062007.385,827,897
