time,value
1533060545.469,1252,1386
1533060545.478,1251,1396
1533060545.492,1294,1406
1533060545.504,1295,1413
1533060545.52,1264,1406
1533060545.53,1294,1433
1533060545.584,1281,1420
1533060545.589,1276,1409
1533060545.597,1287,1420
1533060545.603,1302,1420
1533060545.613,1343,1469
1533060545.62,1298,1431
1533060545.632,1303,1433
1533060545.686,1291,1415
1533060545.696,1289,1419
1533060545.704,1278,1423
1533060545.73,1298,1434
1533060545.736,1281,1420
1533060545.745,1298,1428
1533060545.753,1283,1410
1533060545.774,1279,1418
1533060545.788,1292,1437
1533060545.795,1299,1426
1533060545.803,1302,1446
1533060545.813,1298,1422
1533060545.838,1292,1422
1533060545.86,1295,1440
1533060545.88,1309,1421
1533060545.895,1275,1408
1533060545.922,1291,1439
1533060545.93,1282,1415
1533060545.978,1306,1439
1533060545.996,1298,1419
1533060546.012,1315,1447
1533060546.037,1293,1432
1533060546.047,1305,1444
1533060546.062,1355,1496
1533060546.077,1310,1431
1533060546.088,1353,1489
1533060546.123,1292,1431
1533060546.171,1353,1482
1533060546.178,1313,1457
1533060546.186,1339,1465
1533060546.226,1337,1484
1533060546.245,1345,1486
1533060546.254,1324,1483
1533060546.273,1316,1457
1533060546.286,1310,1454
1533060546.297,1343,1481
1533060546.343,1333,1477
1533060546.352,1362,1489
1533060546.361,1341,1473
1533060546.371,1325,1457
1533060546.426,1345,1489
1533060546.501,1353,1482
1533060546.545,1312,1459
1533060546.553,1328,1466
1533060546.577,1348,1480
1533060546.587,1329,1470
1533060546.616,1325,1478
1533060546.66,1340,1484
1533060546.669,1316,1449
1533060546.686,1340,1487
1533060546.702,1329,1464
1533060546.71,1337,1478
1533060546.719,1328,1466
1533060546.742,1313,1446
1533060546.761,1343,1469
1533060546.769,1337,1463
1533060546.784,1326,1461
1533060546.794,1325,1463
1533060546.816,1329,1464
1533060546.842,1320,1470
1533060546.864,1336,1471
1533060546.916,1288,1439
1533060546.95,1292,1422
1533060546.96,1313,1451
1533060546.975,1304,1446
1533060546.983,1315,1436
1533060546.993,1289,1443
1533060547.02,1292,1451
1533060547.032,1297,1430
1533060547.059,1300,1439
1533060547.075,1294,1439
1533060547.101,1294,1427
1533060547.117,1295,1434
1533060547.144,1312,1445
1533060547.161,1307,1448
1533060547.199,1303,1424
1533060547.21,1295,1434
1533060547.224,1287,1420
1533060547.24,1291,1424
1533060547.249,1288,1439
1533060547.26,1302,1438
1533060547.277,1310,1443
1533060547.294,1290,1449
1533060547.337,1301,1422
1533060547.389,1293,1426
1533060547.465,1311,1435
1533060547.53,1300,1436
1533060547.572,1297,1433
1533060547.715,1365,1500
1533060547.738,1358,1520
1533060547.771,1396,1545
1533060547.78,1419,1565
1533060547.799,1354,1495
1533060547.814,1359,1503
1533060547.839,1350,1502
1533060547.846,1346,1504
1533060547.871,1386,1544
1533060547.881,1365,1497
1533060547.889,1364,1496
1533060547.896,1379,1517
1533060547.905,1397,1543
1533060547.918,1437,1597
1533060547.929,1394,1541
1533060547.946,1380,1527
1533060547.959,1377,1512
1533060547.971,1377,1518
1533060547.981,1375,1507
1533060547.996,1379,1520
1533060548.008,1379,1520
1533060548.03,1408,1534
1533060548.047,1364,1499
1533060548.062,1381,1519
1533060548.075,1386,1544
1533060548.096,1422,1559
1533060548.156,1404,1547
1533060548.22,1390,1551
1533060548.344,1404,1550
1533060548.51,1404,1541
1533060548.526,1390,1537
1533060548.536,1402,1560
1533060548.553,1384,1540
1533060548.566,1393,1542
1533060548.578,1409,1558
1533060548.586,1395,1539
1533060548.603,1407,1550
1533060548.612,1389,1542
1533060548.629,1393,1537
1533060548.646,1375,1519
1533060548.665,1407,1568
1533060548.687,1385,1532
1533060548.696,1399,1542
1533060548.718,1383,1533
1533060548.728,1397,1538
1533060548.764,1395,1544
1533060548.779,1398,1544
1533060548.804,1387,1551
1533060548.818,1408,1578
1533060548.829,1394,1546
1533060548.844,1357,1501
