time,value
1536230091.085,591
1536230091.133,636
1536230091.141,648
1536230091.224,642
1536230091.239,648
1536230091.248,642
1536230091.265,628
1536230091.345,647
1536230091.354,657
1536230091.364,648
1536230091.371,652
1536230091.38,650
1536230091.388,652
1536230091.423,663
1536230091.437,655
1536230091.446,645
1536230091.471,653
1536230091.553,640
1536230091.562,644
1536230091.581,649
1536230091.616,651
1536230091.631,654
1536230091.651,647
1536230091.723,649
1536230091.731,649
1536230091.79,652
1536230091.822,646
1536230091.871,650
1536230091.894,648
1536230091.918,651
1536230091.964,642
1536230091.985,647
1536230092.048,634
1536230092.055,634
1536230092.069,633
1536230092.09,634
1536230092.104,648
1536230092.131,616
1536230092.169,634
1536230092.186,617
1536230092.212,616
1536230092.237,624
1536230092.303,632
1536230092.314,625
1536230092.368,626
1536230092.42,639
1536230092.427,631
1536230092.435,636
1536230092.466,644
1536230092.494,646
1536230092.559,639
1536230092.616,643
1536230092.699,635
1536230092.716,641
1536230092.781,659
1536230092.824,632
1536230092.857,635
1536230092.888,642
1536230092.897,654
1536230092.906,649
1536230092.932,651
1536230092.938,645
1536230092.979,641
1536230093.052,625
1536230093.061,631
1536230093.082,646
1536230093.105,629
1536230093.113,647
1536230093.136,653
1536230093.163,655
1536230093.21,644
1536230093.245,651
1536230093.26,643
1536230093.276,645
1536230093.292,646
1536230093.301,642
1536230093.31,652
1536230093.317,638
1536230093.326,637
1536230093.348,651
1536230093.358,640
1536230093.367,637
1536230093.376,649
1536230093.383,659
1536230093.392,640
1536230093.409,647
1536230093.416,649
1536230093.424,647
1536230093.442,648
1536230093.449,643
1536230093.464,652
1536230093.482,661
1536230093.517,657
1536230093.572,660
1536230093.58,647
1536230093.689,658
1536230093.73,638
1536230093.779,654
1536230093.829,649
1536230093.845,655
1536230093.894,652
1536230093.969,646
1536230094.029,653
1536230094.099,649
1536230094.109,956
1536230094.116,983
1536230094.125,995
1536230094.143,1000
1536230094.178,1000
1536230094.232,994
1536230094.309,991
1536230094.373,981
1536230094.381,989
1536230094.391,990
1536230094.398,984
1536230094.406,986
1536230094.428,990
1536230094.439,987
1536230094.492,979
1536230094.505,983
1536230094.514,983
1536230094.521,975
1536230094.538,987
1536230094.546,988
1536230094.554,987
1536230094.585,988
1536230094.595,985
1536230094.603,989
1536230094.614,972
1536230094.62,989
1536230094.63,978
1536230094.636,988
1536230094.647,990
1536230094.688,995
1536230094.721,972
1536230094.794,980
1536230094.859,980
1536230094.894,994
1536230094.949,994
1536230095.024,991
1536230095.065,993
1536230095.088,981
1536230095.099,977
1536230095.115,982
1536230095.125,977
1536230095.167,986
1536230095.183,997
1536230095.19,1003
1536230095.224,986
1536230095.259,975
1536230095.271,992
1536230095.282,983
1536230095.306,984
1536230095.314,981
1536230095.341,978
1536230095.369,984
1536230095.381,993
1536230095.406,979
1536230095.461,989
1536230095.536,975
1536230095.543,992
1536230095.552,975
1536230095.576,973
1536230095.586,985
1536230095.6,983
1536230095.61,987
1536230095.643,991
1536230095.717,985
1536230095.774,987
1536230095.833,979
1536230095.894,990
1536230095.941,984
1536230095.967,980
1536230096.008,990
1536230096.032,989
1536230096.097,976
1536230096.147,982
1536230096.163,988
1536230096.181,980
1536230096.242,985
1536230096.284,964
1536230096.339,948
1536230096.384,951
1536230096.401,934
1536230096.458,940
1536230096.467,933
1536230096.475,933
1536230096.494,928
1536230096.5,929
1536230096.511,922
1536230096.529,917
1536230096.542,923
1536230096.56,913
1536230096.566,918
1536230096.585,911
1536230096.6,910
1536230096.609,905
1536230096.617,923
1536230096.625,922
1536230096.632,923
1536230096.663,927
1536230096.68,913
1536230096.739,901
1536230096.747,911
1536230096.79,909
1536230096.903,925
1536230096.939,914
1536230096.954,919
1536230096.962,920
1536230096.97,919
1536230096.979,917
1536230096.994,922
1536230097.005,920
1536230097.012,918
1536230097.021,919
1536230097.094,916
1536230097.238,937
1536230097.251,922
1536230097.275,907
1536230097.366,919
1536230097.441,908
1536230097.448,907
1536230097.499,644
