time,value
1536229848.548,708
1536229848.567,702
1536229848.62,707
1536229848.644,731
1536229848.657,706
1536229848.676,718
1536229848.717,723
1536229848.742,718
1536229848.752,716
1536229848.766,728
1536229848.774,727
1536229848.812,705
1536229848.825,710
1536229848.833,707
1536229848.843,746
1536229848.908,725
1536229849.007,719
1536229849.035,709
1536229849.046,710
1536229849.054,710
1536229849.063,719
1536229849.071,730
1536229849.079,716
1536229849.09,728
1536229849.108,742
1536229849.121,731
1536229849.218,722
1536229849.236,718
1536229849.244,721
1536229849.26,715
1536229849.268,725
1536229849.277,719
1536229849.304,726
1536229849.33,722
1536229849.481,724
1536229849.526,721
1536229849.536,712
1536229849.55,731
1536229849.558,708
1536229849.566,711
1536229849.599,730
1536229849.614,711
1536229849.633,709
1536229849.641,707
1536229849.648,721
1536229849.666,734
1536229849.684,718
1536229849.708,710
1536229849.724,707
1536229849.731,722
1536229849.765,706
1536229849.773,717
1536229849.78,713
1536229849.798,711
1536229849.813,719
1536229849.829,722
1536229849.838,722
1536229849.846,714
1536229849.855,722
1536229849.868,710
1536229849.879,720
1536229849.911,719
1536229849.947,723
1536229849.992,723
1536229850.003,724
1536229850.077,715
1536229850.125,713
1536229850.2,708
1536229850.266,728
1536229850.342,731
1536229850.348,724
1536229850.384,725
1536229850.424,720
1536229850.482,713
1536229850.497,729
1536229850.508,738
1536229850.522,719
1536229850.541,720
1536229850.605,715
1536229850.612,720
1536229850.622,719
1536229850.631,719
1536229850.653,722
1536229850.663,718
1536229850.675,732
1536229850.689,737
1536229850.697,720
1536229850.711,710
1536229850.72,720
1536229850.728,733
1536229850.803,759
1536229850.811,752
1536229850.951,749
1536229851.031,741
1536229851.108,764
1536229851.124,742
1536229851.153,744
1536229851.165,742
1536229851.173,748
1536229851.183,768
1536229851.19,740
1536229851.201,742
1536229851.232,755
1536229851.24,761
1536229851.247,767
1536229851.313,751
1536229851.325,758
1536229851.414,756
1536229851.421,746
1536229851.437,724
1536229851.468,764
1536229851.51,746
1536229851.518,747
1536229851.526,757
1536229851.615,748
1536229851.628,760
1536229851.635,750
1536229851.649,751
1536229851.726,748
1536229851.802,745
1536229851.818,751
1536229851.827,744
1536229851.849,768
1536229851.88,752
1536229851.891,756
1536229851.911,755
1536229851.925,751
1536229851.943,754
1536229851.951,754
1536229851.959,737
1536229851.977,766
1536229852.048,750
1536229852.104,746
1536229852.156,746
1536229852.173,766
1536229852.208,744
1536229852.256,757
1536229852.282,760
1536229852.345,742
1536229852.428,756
1536229852.477,762
1536229852.551,741
1536229852.625,742
1536229852.691,735
1536229852.733,740
1536229852.787,736
1536229852.826,728
1536229852.85,730
1536229852.865,716
1536229852.88,719
1536229852.914,718
1536229852.923,712
1536229852.969,721
1536229853.069,707
1536229853.112,709
1536229853.124,700
1536229853.178,710
1536229853.213,698
1536229853.261,703
1536229853.334,714
1536229853.427,709
1536229853.475,702
1536229853.484,707
1536229853.492,701
1536229853.5,686
1536229853.544,546
