time,value
1533601505.958,-4
1533601505.969,-9
1533601505.98,6
1533601505.989,-5
1533601505.997,11
1533601506.004,2
1533601506.012,12
1533601506.02,-2
1533601506.031,6
1533601506.038,-1
1533601506.05,0
1533601506.061,-12
1533601506.069,3
1533601506.077,-2
1533601506.087,16
1533601506.092,-11
1533601506.1,12
1533601506.107,-4
1533601506.114,8
1533601506.123,6
1533601506.129,3
1533601506.136,6
1533601506.143,10
1533601506.155,5
1533601506.162,11
1533601506.173,3
1533601506.18,12
1533601506.191,11
1533601506.197,17
1533601506.205,-8
1533601506.213,14
1533601506.226,-10
1533601506.232,17
1533601506.239,0
1533601506.247,22
1533601506.256,-9
1533601506.27,15
1533601506.276,6
1533601506.283,23
1533601506.295,0
1533601506.303,23
1533601506.309,-7
1533601506.318,24
1533601506.326,-1
1533601506.337,16
1533601506.344,-7
1533601506.352,23
1533601506.365,-16
1533601506.371,18
1533601506.378,8
1533601506.384,7
1533601506.395,-7
1533601506.402,8
1533601506.408,-2
1533601506.417,11
1533601506.424,-3
1533601506.434,12
1533601506.44,-12
1533601506.449,11
1533601506.455,-7
1533601506.466,12
1533601506.471,7
1533601506.477,8
1533601506.484,-16
1533601506.491,-1
1533601506.503,-15
1533601506.516,15
1533601506.525,-2
1533601506.532,11
1533601506.544,-8
1533601506.555,3
1533601506.561,-1
1533601506.571,10
1533601506.578,-10
1533601506.589,-12
1533601506.596,-10
1533601506.604,19
1533601506.618,-11
1533601506.629,12
1533601506.636,1
1533601506.642,5
1533601506.652,-6
1533601506.659,-1
1533601506.669,-13
1533601506.675,26
1533601506.681,4
1533601506.687,-16
1533601506.698,-14
1533601506.709,0
1533601506.715,-2
1533601506.724,10
1533601506.735,-3
1533601506.743,-15
1533601506.75,7
1533601506.759,-4
1533601506.767,7
1533601506.775,1
1533601506.785,10
1533601506.796,-9
1533601506.81,-1
1533601506.817,13
1533601506.828,-10
1533601506.835,12
1533601506.846,-1
1533601506.854,-1
1533601506.862,3
1533601506.87,-4
1533601506.882,4
1533601506.893,2
1533601506.902,6
1533601506.911,-6
1533601506.921,26
1533601506.927,-4
1533601506.944,7
1533601506.952,0
1533601506.966,-8
1533601506.972,17
1533601506.981,-1
1533601506.996,-1
1533601507.002,6
1533601507.017,15
1533601507.033,14
1533601507.041,-1
1533601507.055,22
1533601507.061,0
1533601507.07,28
1533601507.086,14
1533601507.092,1
1533601507.108,-5
1533601507.118,30
1533601507.131,1
1533601507.137,20
1533601507.144,9
1533601507.151,22
1533601507.162,17
1533601507.172,15
1533601507.179,7
1533601507.191,22
1533601507.199,29
1533601507.215,27
1533601507.224,44
1533601507.232,75
1533601507.252,73
1533601507.257,103
1533601507.265,106
1533601507.276,83
1533601507.284,110
1533601507.29,78
1533601507.298,76
1533601507.307,66
1533601507.319,90
1533601507.329,83
1533601507.343,123
1533601507.35,302
1533601507.357,319
1533601507.366,319
1533601507.374,328
1533601507.381,339
