time,value
1533600002.073,722
1533600002.092,767
1533600002.122,801
1533600002.129,801
1533600002.139,809
1533600002.147,792
1533600002.155,807
1533600002.171,803
1533600002.196,805
1533600002.278,801
1533600002.289,816
1533600002.296,813
1533600002.305,804
1533600002.322,803
1533600002.33,812
1533600002.342,802
1533600002.363,808
1533600002.383,805
1533600002.396,808
1533600002.43,819
1533600002.504,844
1533600002.553,849
1533600002.56,859
1533600002.57,850
1533600002.578,844
1533600002.785,867
1533600002.867,869
1533600002.983,864
1533600003.0,881
1533600003.011,868
1533600003.158,878
1533600003.164,887
1533600003.173,887
1533600003.183,873
1533600003.19,879
1533600003.199,891
1533600003.208,866
1533600003.258,871
1533600003.316,882
1533600003.334,879
1533600003.343,877
1533600003.35,883
1533600003.392,878
1533600003.399,879
1533600003.406,871
1533600003.416,880
1533600003.426,864
1533600003.432,884
1533600003.442,876
1533600003.457,869
1533600003.481,877
1533600003.491,878
1533600003.498,880
1533600003.507,878
1533600003.515,874
1533600003.523,878
1533600003.531,891
1533600003.539,876
1533600003.548,888
1533600003.565,888
1533600003.572,869
1533600003.581,885
1533600003.655,882
1533600003.681,887
1533600003.688,871
1533600003.707,873
1533600003.722,887
1533600003.738,882
1533600003.755,886
1533600003.765,894
1533600003.772,889
1533600003.78,874
1533600003.797,882
1533600003.805,874
1533600003.814,888
1533600003.821,885
1533600003.83,890
1533600003.838,891
1533600003.847,881
1533600003.856,868
1533600003.872,880
1533600003.879,883
1533600003.889,887
1533600003.905,874
1533600003.912,887
1533600003.921,883
1533600003.946,889
1533600004.022,886
1533600004.036,868
1533600004.044,874
1533600004.054,876
1533600004.094,881
1533600004.103,871
1533600004.111,881
1533600004.129,889
1533600004.145,882
1533600004.154,882
1533600004.172,867
1533600004.177,883
1533600004.187,874
1533600004.194,886
1533600004.203,872
1533600004.211,876
1533600004.219,885
1533600004.227,883
1533600004.237,874
1533600004.244,875
1533600004.256,866
1533600004.277,877
1533600004.286,878
1533600004.294,883
1533600004.31,875
1533600004.32,882
1533600004.327,877
1533600004.337,872
1533600004.343,887
1533600004.354,883
1533600004.36,884
1533600004.369,876
1533600004.377,877
1533600004.387,867
1533600004.393,884
1533600004.403,875
1533600004.41,889
1533600004.426,881
1533600004.568,907
1533600004.775,936
1533600004.793,933
1533600004.8,926
1533600004.81,925
1533600004.82,936
1533600004.825,931
1533600004.842,945
1533600004.851,933
1533600004.86,944
1533600004.868,933
1533600004.875,936
1533600004.887,922
1533600004.901,925
1533600004.909,945
1533600004.918,940
1533600004.924,940
1533600004.936,935
1533600004.943,936
1533600004.952,936
1533600004.958,941
1533600004.985,932
1533600005.034,937
1533600005.04,936
1533600005.049,941
1533600005.058,946
1533600005.065,935
1533600005.075,935
1533600005.082,926
1533600005.091,945
1533600005.117,922
1533600005.123,929
1533600005.14,933
1533600005.15,934
1533600005.174,948
1533600005.183,938
1533600005.191,922
1533600005.207,939
1533600005.217,930
1533600005.224,931
1533600005.235,935
1533600005.242,930
1533600005.249,920
1533600005.256,933
1533600005.274,938
1533600005.284,944
1533600005.292,937
1533600005.3,914
1533600005.306,931
1533600005.318,925
1533600005.333,927
1533600005.355,923
1533600005.366,937
1533600005.381,937
1533600005.398,927
1533600005.405,934
1533600005.414,930
1533600005.422,932
1533600005.43,925
1533600005.442,927
1533600005.449,924
1533600005.456,948
1533600005.472,937
1533600005.491,932
1533600005.499,933
1533600005.506,940
1533600005.515,919
1533600005.523,927
1533600005.531,932
1533600005.55,944
1533600005.555,936
1533600005.564,924
1533600005.574,937
1533600005.581,940
1533600005.588,935
1533600005.597,934
1533600005.606,934
1533600005.614,928
1533600005.622,933
1533600005.663,931
1533600005.687,940
1533600005.755,930
1533600005.764,922
1533600005.796,924
1533600005.855,937
1533600005.954,919
1533600005.962,913
1533600005.987,912
1533600006.054,909
1533600006.103,909
1533600006.269,888
1533600006.278,877
1533600006.296,881
1533600006.334,883
1533600006.351,891
1533600006.361,871
1533600006.385,874
1533600006.395,877
1533600006.403,870
1533600006.429,869
1533600006.434,870
1533600006.442,856
1533600006.467,866
1533600006.477,872
1533600006.501,869
1533600006.527,852
1533600006.534,852
1533600006.542,842
1533600006.551,851
1533600006.579,853
1533600006.592,853
1533600006.603,848
1533600006.609,851
1533600006.617,848
1533600006.634,848
1533600006.642,839
1533600006.671,844
1533600006.684,849
1533600006.7,832
1533600006.708,840
1533600006.718,831
1533600006.733,828
1533600006.748,824
1533600006.758,823
1533600006.782,843
1533600006.793,827
1533600006.809,823
1533600006.818,832
1533600006.826,811
1533600006.834,826
1533600006.844,811
1533600006.899,826
1533600006.908,812
1533600006.973,821
1533600007.009,823
1533600007.014,832
1533600007.023,817
1533600007.031,822
1533600007.042,820
1533600007.047,817
1533600007.056,811
1533600007.064,828
1533600007.074,817
1533600007.081,823
1533600007.089,820
1533600007.1,824
1533600007.106,820
1533600007.115,831
1533600007.122,821
1533600007.13,814
1533600007.139,823
1533600007.149,822
1533600007.155,822
1533600007.163,823
1533600007.172,812
1533600007.181,822
1533600007.188,809
1533600007.196,820
1533600007.205,815
1533600007.214,817
1533600007.225,804
1533600007.24,817
1533600007.248,810
1533600007.257,801
1533600007.264,833
1533600007.274,828
1533600007.281,834
1533600007.288,821
1533600007.298,812
1533600007.307,820
1533600007.314,831
1533600007.325,803
1533600007.33,807
1533600007.339,802
1533600007.346,816
1533600007.358,796
1533600007.375,809
1533600007.379,825
1533600007.39,816
1533600007.486,796
1533600007.536,811
1533600007.735,799
1533600007.762,794
1533600007.771,769
1533600007.778,773
1533600007.786,742
1533600007.796,700
1533600007.824,686
1533600007.837,659
1533600007.845,675
