time,value
1533594019.086,669
1533594019.094,671
1533594019.102,700
1533594019.115,690
1533594019.121,691
1533594019.129,699
1533594019.137,708
1533594019.146,718
1533594019.157,705
1533594019.164,707
1533594019.172,700
1533594019.179,710
1533594019.19,711
1533594019.196,698
1533594019.205,724
1533594019.215,702
1533594019.223,721
1533594019.23,714
1533594019.243,712
1533594019.249,712
1533594019.257,700
1533594019.264,725
1533594019.274,700
1533594019.28,703
1533594019.287,709
1533594019.293,709
1533594019.301,711
1533594019.308,712
1533594019.316,701
1533594019.324,695
1533594019.334,705
1533594019.341,696
1533594019.349,693
1533594019.359,683
1533594019.367,702
1533594019.373,682
1533594019.385,693
1533594019.392,687
1533594019.399,702
1533594019.41,689
1533594019.417,704
1533594019.424,710
1533594019.437,713
1533594019.444,710
1533594019.451,713
1533594019.461,717
1533594019.47,709
1533594019.478,719
1533594019.486,708
1533594019.496,706
1533594019.504,714
1533594019.511,703
1533594019.523,711
1533594019.53,720
1533594019.538,709
1533594019.544,709
1533594019.556,714
1533594019.564,724
1533594019.573,720
1533594019.58,723
1533594019.591,733
1533594019.598,718
1533594019.607,719
1533594019.617,717
1533594019.626,741
1533594019.633,724
1533594019.641,715
1533594019.65,718
1533594019.658,732
1533594019.664,718
1533594019.677,722
1533594019.683,704
1533594019.693,721
1533594019.7,729
1533594019.71,709
1533594019.72,716
1533594019.73,718
1533594019.742,727
1533594019.749,726
1533594019.756,710
1533594019.766,732
1533594019.774,724
1533594019.781,739
1533594019.79,719
1533594019.799,708
1533594019.806,716
1533594019.814,734
1533594019.821,723
1533594019.832,724
1533594019.84,722
1533594019.848,712
1533594019.857,716
1533594019.87,728
1533594019.877,717
1533594019.885,726
1533594019.896,735
1533594019.904,735
1533594019.911,720
1533594019.92,709
1533594019.929,715
1533594019.938,719
1533594019.945,735
1533594019.954,722
1533594019.964,718
1533594019.973,724
1533594019.981,726
1533594019.993,720
1533594020.0,715
1533594020.008,723
1533594020.016,734
1533594020.025,723
1533594020.032,710
1533594020.041,736
1533594020.052,721
1533594020.059,719
1533594020.067,718
1533594020.074,714
1533594020.083,726
1533594020.092,720
1533594020.1,723
1533594020.11,728
1533594020.118,723
1533594020.124,715
1533594020.131,736
1533594020.142,712
1533594020.15,713
1533594020.157,725
1533594020.163,726
1533594020.173,723
1533594020.191,733
1533594020.209,735
1533594020.221,737
1533594020.238,727
1533594020.247,730
1533594020.256,731
1533594020.266,716
1533594020.277,724
1533594020.286,730
1533594020.295,731
1533594020.303,725
1533594020.315,727
1533594020.323,716
1533594020.333,722
1533594020.34,716
1533594020.354,721
1533594020.361,732
1533594020.371,716
1533594020.381,733
1533594020.389,721
1533594020.396,731
1533594020.406,724
1533594020.413,725
1533594020.423,732
1533594020.429,720
1533594020.439,727
1533594020.446,720
1533594020.455,741
1533594020.463,727
1533594020.473,728
1533594020.48,729
1533594020.489,733
1533594020.496,728
1533594020.508,730
1533594020.515,723
1533594020.522,726
1533594020.534,730
1533594020.54,727
1533594020.548,716
1533594020.557,731
1533594020.566,727
1533594020.573,719
1533594020.581,721
1533594020.591,732
1533594020.597,726
1533594020.605,725
1533594020.611,723
1533594020.623,717
1533594020.63,718
1533594020.637,707
1533594020.644,719
1533594020.653,734
1533594020.66,713
1533594020.668,727
1533594020.675,742
1533594020.686,709
1533594020.692,716
1533594020.7,714
1533594020.71,713
1533594020.718,724
1533594020.725,718
1533594020.733,724
1533594020.743,713
1533594020.751,708
1533594020.758,719
1533594020.765,709
1533594020.772,708
1533594020.78,733
1533594020.787,726
1533594020.795,721
1533594020.804,712
1533594020.813,728
1533594020.82,728
1533594020.827,722
1533594020.838,715
1533594020.844,724
1533594020.851,719
1533594020.858,712
1533594020.866,724
1533594020.875,713
1533594020.882,717
1533594020.889,730
1533594020.895,714
1533594020.906,723
1533594020.912,719
1533594020.92,719
1533594020.926,716
1533594020.936,727
1533594020.943,707
1533594020.951,717
1533594020.957,715
1533594020.967,713
1533594020.973,721
1533594020.98,723
1533594020.987,726
1533594020.998,727
1533594021.004,705
1533594021.011,716
1533594021.018,703
1533594021.029,709
1533594021.036,717
1533594021.042,719
1533594021.053,703
1533594021.059,710
1533594021.068,706
1533594021.075,716
1533594021.085,720
1533594021.092,713
1533594021.099,727
1533594021.105,714
1533594021.116,711
1533594021.123,723
1533594021.129,717
1533594021.135,718
1533594021.144,703
1533594021.151,708
1533594021.156,723
1533594021.164,719
1533594021.17,714
1533594021.177,709
1533594021.184,709
1533594021.19,729
1533594021.196,727
1533594021.206,718
1533594021.213,706
1533594021.219,712
1533594021.226,719
1533594021.234,737
1533594021.24,717
1533594021.247,721
1533594021.253,713
1533594021.261,710
1533594021.268,717
1533594021.274,718
1533594021.281,702
1533594021.288,712
1533594021.294,718
1533594021.3,727
1533594021.305,720
1533594021.316,715
1533594021.322,723
1533594021.329,713
1533594021.335,721
1533594021.342,715
1533594021.349,716
1533594021.356,724
1533594021.368,703
1533594021.374,721
1533594021.382,711
1533594021.391,721
1533594021.398,723
1533594021.405,730
1533594021.415,714
1533594021.425,711
1533594021.431,715
1533594021.439,718
1533594021.448,729
1533594021.458,737
1533594021.465,712
1533594021.472,710
1533594021.481,716
1533594021.492,709
1533594021.498,715
1533594021.505,716
1533594021.515,708
1533594021.522,707
1533594021.531,715
1533594021.538,726
1533594021.548,738
1533594021.558,726
1533594021.564,705
1533594021.572,713
1533594021.586,727
1533594021.595,720
1533594021.602,723
1533594021.608,718
1533594021.616,730
1533594021.623,724
1533594021.636,727
1533594021.641,706
1533594021.651,724
1533594021.657,718
1533594021.667,727
1533594021.673,735
1533594021.682,725
1533594021.695,729
1533594021.702,721
1533594021.709,726
1533594021.718,733
1533594021.724,718
1533594021.734,718
1533594021.741,729
1533594021.75,707
1533594021.763,747
1533594021.77,716
1533594021.781,719
1533594021.787,730
1533594021.794,719
1533594021.8,718
1533594021.811,725
1533594021.817,732
1533594021.823,731
1533594021.831,727
1533594021.838,737
1533594021.847,718
1533594021.854,733
1533594021.863,710
1533594021.87,722
1533594021.881,720
1533594021.887,727
1533594021.902,732
1533594021.915,744
1533594021.921,724
1533594021.93,721
1533594021.937,711
1533594021.947,729
1533594021.952,725
1533594021.961,740
1533594021.966,717
1533594021.978,729
1533594021.99,721
1533594021.998,714
1533594022.006,710
1533594022.018,726
1533594022.028,736
1533594022.033,740
1533594022.042,727
1533594022.052,719
1533594022.061,728
1533594022.067,725
1533594022.079,718
1533594022.086,724
1533594022.094,720
1533594022.101,724
1533594022.112,724
1533594022.119,719
1533594022.134,721
1533594022.142,724
1533594022.15,723
1533594022.158,725
1533594022.167,717
1533594022.175,731
1533594022.184,724
1533594022.202,724
1533594022.21,722
1533594022.217,735
1533594022.226,730
1533594022.237,732
1533594022.248,732
1533594022.255,730
1533594022.263,718
1533594022.269,744
1533594022.279,721
1533594022.29,727
1533594022.298,717
1533594022.305,741
1533594022.314,729
1533594022.327,725
1533594022.333,725
1533594022.342,724
1533594022.348,729
1533594022.359,729
1533594022.365,733
1533594022.372,732
1533594022.38,736
1533594022.387,734
1533594022.399,747
1533594022.406,722
1533594022.415,738
1533594022.423,737
1533594022.433,728
1533594022.44,729
1533594022.448,733
1533594022.454,733
