time,value
1533145297.845,738
1533145297.851,755
1533145297.858,765
1533145297.866,770
1533145297.879,786
1533145297.885,789
1533145297.891,778
1533145297.898,798
1533145297.906,798
1533145297.914,801
1533145297.922,802
1533145297.934,811
1533145297.94,813
1533145297.947,809
1533145297.955,809
1533145297.965,797
1533145297.971,818
1533145297.984,807
1533145297.99,800
1533145297.998,802
1533145298.005,808
1533145298.015,803
1533145298.023,808
1533145298.031,819
1533145298.042,812
1533145298.051,811
1533145298.058,810
1533145298.071,815
1533145298.08,810
1533145298.088,801
1533145298.1,799
1533145298.108,803
1533145298.117,802
1533145298.124,814
1533145298.138,810
1533145298.146,812
1533145298.153,803
1533145298.165,804
1533145298.172,811
1533145298.181,822
1533145298.188,799
1533145298.2,809
1533145298.208,808
1533145298.216,808
1533145298.225,816
1533145298.235,808
1533145298.242,821
1533145298.25,812
1533145298.263,800
1533145298.27,803
1533145298.277,807
1533145298.284,820
1533145298.3,814
1533145298.308,800
1533145298.316,807
1533145298.323,801
1533145298.333,797
1533145298.34,796
1533145298.348,808
1533145298.356,808
1533145298.368,826
1533145298.375,810
1533145298.383,823
1533145298.391,814
1533145298.404,819
1533145298.414,815
1533145298.422,823
1533145298.43,808
1533145298.439,824
1533145298.447,808
1533145298.454,817
1533145298.466,812
1533145298.474,800
1533145298.483,812
1533145298.492,810
1533145298.505,804
1533145298.514,816
1533145298.521,816
1533145298.533,813
1533145298.541,818
1533145298.549,828
1533145298.556,812
1533145298.569,809
1533145298.577,825
1533145298.584,824
1533145298.592,800
1533145298.604,825
1533145298.612,808
1533145298.62,808
1533145298.628,816
1533145298.639,819
1533145298.647,824
1533145298.654,810
1533145298.664,815
1533145298.674,829
1533145298.682,824
1533145298.692,809
1533145298.701,824
1533145298.713,826
1533145298.728,819
1533145298.736,807
1533145298.746,813
1533145298.756,826
1533145298.764,822
1533145298.771,815
1533145298.778,812
1533145298.794,812
1533145298.8,805
1533145298.809,817
1533145298.82,831
1533145298.828,813
1533145298.835,812
1533145298.844,800
1533145298.852,821
1533145298.863,826
1533145298.869,816
1533145298.877,819
1533145298.885,827
1533145298.896,823
1533145298.902,827
1533145298.911,809
1533145298.919,815
1533145298.929,804
1533145298.936,812
1533145298.944,813
1533145298.951,811
1533145298.963,815
1533145298.97,814
1533145298.978,807
1533145298.985,813
1533145298.995,824
1533145299.002,804
1533145299.011,794
1533145299.017,815
1533145299.028,811
1533145299.035,804
1533145299.044,813
1533145299.051,810
1533145299.062,819
1533145299.069,814
1533145299.077,811
1533145299.084,811
1533145299.096,817
1533145299.103,803
1533145299.11,822
1533145299.123,823
1533145299.129,820
1533145299.139,819
1533145299.145,809
1533145299.158,800
1533145299.164,815
1533145299.173,824
1533145299.18,813
1533145299.191,815
1533145299.197,828
1533145299.206,806
1533145299.213,818
1533145299.225,818
1533145299.231,827
1533145299.24,801
1533145299.247,822
1533145299.258,822
1533145299.264,822
1533145299.271,797
1533145299.279,816
1533145299.287,818
1533145299.297,813
1533145299.305,821
1533145299.313,826
1533145299.32,816
1533145299.33,831
1533145299.338,812
1533145299.346,815
1533145299.354,821
1533145299.364,817
1533145299.373,816
1533145299.38,829
1533145299.39,814
1533145299.399,806
1533145299.408,817
1533145299.415,834
1533145299.424,813
1533145299.434,816
1533145299.442,817
1533145299.449,809
1533145299.457,820
1533145299.466,822
1533145299.474,822
1533145299.482,810
1533145299.489,819
1533145299.499,809
1533145299.508,808
1533145299.515,813
1533145299.527,837
1533145299.533,821
1533145299.542,816
1533145299.549,815
1533145299.561,808
1533145299.567,825
1533145299.576,823
1533145299.583,835
1533145299.593,819
1533145299.6,822
1533145299.609,834
1533145299.616,824
1533145299.627,813
1533145299.634,826
1533145299.642,816
1533145299.654,824
1533145299.66,803
1533145299.667,814
1533145299.675,822
1533145299.685,816
1533145299.692,826
1533145299.699,824
1533145299.706,831
1533145299.716,821
1533145299.723,816
1533145299.73,821
1533145299.736,828
1533145299.743,822
1533145299.756,808
1533145299.762,821
1533145299.769,822
1533145299.775,816
1533145299.787,802
1533145299.794,818
1533145299.801,817
1533145299.809,814
1533145299.819,819
1533145299.826,823
1533145299.833,821
1533145299.84,802
1533145299.851,808
1533145299.858,827
1533145299.864,815
1533145299.871,806
1533145299.881,816
1533145299.888,817
1533145299.894,823
1533145299.902,816
1533145299.912,808
1533145299.919,818
1533145299.925,817
1533145299.931,809
1533145299.942,830
1533145299.948,807
1533145299.955,818
1533145299.962,829
1533145299.972,823
1533145299.978,825
1533145299.986,815
1533145299.992,813
1533145299.999,816
1533145300.012,820
1533145300.019,821
1533145300.025,822
1533145300.033,824
