time,value
1533145846.341,780
1533145846.352,788
1533145846.36,800
1533145846.37,790
1533145846.383,803
1533145846.39,803
1533145846.397,821
1533145846.404,821
1533145846.415,808
1533145846.422,817
1533145846.431,805
1533145846.439,821
1533145846.449,817
1533145846.455,826
1533145846.463,812
1533145846.475,825
1533145846.483,824
1533145846.49,820
1533145846.498,819
1533145846.508,841
1533145846.516,839
1533145846.524,847
1533145846.531,822
1533145846.543,827
1533145846.551,847
1533145846.558,833
1533145846.57,821
1533145846.576,820
1533145846.584,827
1533145846.592,822
1533145846.602,824
1533145846.612,835
1533145846.618,840
1533145846.629,834
1533145846.635,829
1533145846.644,830
1533145846.651,824
1533145846.662,833
1533145846.671,830
1533145846.679,836
1533145846.69,831
1533145846.697,851
1533145846.704,837
1533145846.713,836
1533145846.725,839
1533145846.733,830
1533145846.74,826
1533145846.748,817
1533145846.761,833
1533145846.767,831
1533145846.774,827
1533145846.785,834
1533145846.792,824
1533145846.8,822
1533145846.807,832
1533145846.817,832
1533145846.829,830
1533145846.835,836
1533145846.842,837
1533145846.85,839
1533145846.863,836
1533145846.869,831
1533145846.878,839
1533145846.889,832
1533145846.897,823
1533145846.904,822
1533145846.913,836
1533145846.924,829
1533145846.932,842
1533145846.939,840
1533145846.95,834
1533145846.96,830
1533145846.967,823
1533145846.974,826
1533145846.986,818
1533145846.994,845
1533145847.001,843
1533145847.009,829
1533145847.02,826
1533145847.029,827
1533145847.035,849
1533145847.048,828
1533145847.055,830
1533145847.065,826
1533145847.073,838
1533145847.087,834
1533145847.094,843
1533145847.101,828
1533145847.108,846
1533145847.12,839
1533145847.128,840
1533145847.134,826
1533145847.141,830
1533145847.151,830
1533145847.158,824
1533145847.165,823
1533145847.172,838
1533145847.181,830
1533145847.188,835
1533145847.197,834
1533145847.204,827
1533145847.218,827
1533145847.224,830
1533145847.232,828
1533145847.239,812
1533145847.249,835
1533145847.255,816
1533145847.263,821
1533145847.269,825
1533145847.279,853
1533145847.286,832
1533145847.293,838
1533145847.304,831
1533145847.311,840
1533145847.317,847
1533145847.323,842
1533145847.33,837
1533145847.339,840
1533145847.347,844
1533145847.353,830
1533145847.361,837
1533145847.371,836
1533145847.378,830
1533145847.385,832
1533145847.395,837
1533145847.401,828
1533145847.409,839
1533145847.415,838
1533145847.423,841
1533145847.432,843
1533145847.438,845
1533145847.446,843
1533145847.456,837
1533145847.463,820
1533145847.47,838
1533145847.477,841
1533145847.484,819
1533145847.493,828
1533145847.499,848
1533145847.506,820
1533145847.513,826
1533145847.522,831
1533145847.53,826
1533145847.536,828
1533145847.547,834
1533145847.553,829
1533145847.56,837
1533145847.567,828
1533145847.578,829
1533145847.584,825
1533145847.593,822
1533145847.599,826
1533145847.61,822
1533145847.616,830
1533145847.623,824
1533145847.63,829
1533145847.643,836
1533145847.652,833
1533145847.66,842
1533145847.666,835
1533145847.675,828
1533145847.681,835
1533145847.689,838
1533145847.696,843
1533145847.707,840
1533145847.713,838
1533145847.72,821
1533145847.727,835
1533145847.734,823
1533145847.746,827
1533145847.752,824
1533145847.76,833
1533145847.768,827
1533145847.776,819
1533145847.785,824
1533145847.796,824
1533145847.803,833
1533145847.813,833
1533145847.82,841
1533145847.827,831
1533145847.834,851
1533145847.846,827
1533145847.853,836
1533145847.861,837
1533145847.867,837
1533145847.883,842
1533145847.892,846
1533145847.899,845
1533145847.91,837
1533145847.918,846
1533145847.927,841
1533145847.934,820
1533145847.945,827
1533145847.952,828
1533145847.961,822
1533145847.968,833
1533145847.979,832
1533145847.986,829
1533145847.995,837
1533145848.009,836
1533145848.017,831
1533145848.025,842
1533145848.033,831
1533145848.047,830
1533145848.056,827
1533145848.063,843
1533145848.071,827
1533145848.08,831
1533145848.089,838
1533145848.097,836
1533145848.105,838
1533145848.117,830
1533145848.126,839
1533145848.134,840
1533145848.144,848
1533145848.159,837
1533145848.17,839
1533145848.179,830
1533145848.19,829
1533145848.197,818
1533145848.213,834
1533145848.222,842
1533145848.229,835
1533145848.236,821
1533145848.248,832
1533145848.257,839
1533145848.264,831
1533145848.273,832
1533145848.286,845
1533145848.293,835
1533145848.301,831
1533145848.309,841
1533145848.32,833
1533145848.328,843
1533145848.337,829
1533145848.344,829
1533145848.356,833
1533145848.363,834
1533145848.372,846
1533145848.382,848
1533145848.391,832
1533145848.398,826
1533145848.406,843
1533145848.416,831
1533145848.424,847
1533145848.432,837
1533145848.44,847
1533145848.451,843
1533145848.459,840
1533145848.467,837
1533145848.475,838
1533145848.486,838
1533145848.494,835
1533145848.503,837
1533145848.51,832
1533145848.522,838
1533145848.529,830
1533145848.537,837
1533145848.545,832
1533145848.559,843
1533145848.566,825
1533145848.575,844
1533145848.585,840
1533145848.599,846
1533145848.61,804
1533145848.617,834
1533145848.629,834
1533145848.643,839
1533145848.65,818
1533145848.657,832
1533145848.665,836
1533145848.673,828
1533145848.688,839
1533145848.695,817
1533145848.704,837
1533145848.711,832
1533145848.722,834
1533145848.729,835
1533145848.738,827
1533145848.744,839
1533145848.76,848
1533145848.768,843
1533145848.776,834
1533145848.784,828
1533145848.794,839
1533145848.801,841
1533145848.809,831
1533145848.816,827
1533145848.83,852
1533145848.838,827
1533145848.845,839
1533145848.854,834
1533145848.864,825
1533145848.873,828
1533145848.88,834
1533145848.888,847
1533145848.898,821
1533145848.907,823
1533145848.915,826
1533145848.923,831
1533145848.935,841
1533145848.944,833
1533145848.953,840
1533145848.96,828
1533145848.968,836
1533145848.98,845
1533145848.989,823
1533145848.996,849
1533145849.005,835
1533145849.017,842
1533145849.024,838
1533145849.031,835
1533145849.041,842
1533145849.049,835
1533145849.062,836
1533145849.07,830
1533145849.079,827
1533145849.089,842
1533145849.104,842
1533145849.111,840
1533145849.12,839
1533145849.128,849
1533145849.139,826
1533145849.146,844
1533145849.155,826
1533145849.163,833
1533145849.175,847
1533145849.182,830
1533145849.19,844
1533145849.198,825
1533145849.211,844
1533145849.22,846
1533145849.227,839
1533145849.234,827
1533145849.247,839
1533145849.255,830
1533145849.263,825
1533145849.273,839
1533145849.285,845
1533145849.291,844
1533145849.298,838
1533145849.306,838
1533145849.317,849
1533145849.323,838
1533145849.33,846
1533145849.337,827
1533145849.352,853
1533145849.358,835
1533145849.366,860
1533145849.374,842
1533145849.383,846
1533145849.39,839
1533145849.397,848
1533145849.405,837
1533145849.416,845
1533145849.422,838
1533145849.428,846
1533145849.435,847
1533145849.447,836
1533145849.453,842
1533145849.459,830
1533145849.468,845
1533145849.474,858
1533145849.486,842
1533145849.492,857
1533145849.501,852
1533145849.508,848
1533145849.521,845
1533145849.527,845
1533145849.536,846
1533145849.543,828
1533145849.554,844
1533145849.561,828
1533145849.569,847
1533145849.577,855
1533145849.585,866
1533145849.596,843
1533145849.603,839
1533145849.61,845
1533145849.618,833
1533145849.624,854
1533145849.636,853
1533145849.645,848
1533145849.652,835
1533145849.661,846
1533145849.668,851
1533145849.678,839
1533145849.686,860
1533145849.693,845
1533145849.701,848
1533145849.709,829
1533145849.721,852
1533145849.727,852
1533145849.734,851
1533145849.741,836
1533145849.754,854
1533145849.76,844
1533145849.768,839
1533145849.774,827
1533145849.783,851
1533145849.795,853
1533145849.802,846
1533145849.809,845
1533145849.817,859
1533145849.831,875
1533145849.837,853
1533145849.844,860
1533145849.852,864
1533145849.859,858
1533145849.87,873
1533145849.877,907
1533145849.884,921
1533145849.891,903
1533145849.902,893
1533145849.909,899
1533145849.916,913
1533145849.923,899
1533145849.934,901
1533145849.94,905
1533145849.948,906
1533145849.955,904
1533145849.962,917
1533145849.974,902
1533145849.98,913
1533145849.988,916
1533145849.997,911
1533145850.005,890
1533145850.012,909
1533145850.024,910
1533145850.033,889
1533145850.039,897
1533145850.046,894
1533145850.055,870
1533145850.069,868
1533145850.077,864
1533145850.085,881
1533145850.094,881
1533145850.105,862
1533145850.112,864
1533145850.119,865
1533145850.126,855
1533145850.133,863
1533145850.139,858
1533145850.153,848
1533145850.16,864
1533145850.169,848
1533145850.176,861
1533145850.184,873
1533145850.197,868
1533145850.205,861
1533145850.212,852
1533145850.22,873
1533145850.226,865
1533145850.238,850
1533145850.247,863
1533145850.254,863
1533145850.262,858
1533145850.273,880
1533145850.281,855
1533145850.287,870
1533145850.295,861
1533145850.302,855
1533145850.314,854
1533145850.32,858
1533145850.328,865
1533145850.335,865
1533145850.347,861
1533145850.356,871
1533145850.364,854
1533145850.374,859
1533145850.384,865
1533145850.393,848
1533145850.4,864
1533145850.408,868
1533145850.415,865
1533145850.423,836
1533145850.435,857
1533145850.441,859
1533145850.451,868
1533145850.458,866
1533145850.469,861
1533145850.482,851
1533145850.488,847
1533145850.497,867
1533145850.505,844
1533145850.514,846
1533145850.526,854
1533145850.535,866
1533145850.546,847
1533145850.555,857
1533145850.569,854
1533145850.577,866
1533145850.585,845
1533145850.594,850
1533145850.602,869
1533145850.616,853
1533145850.623,851
1533145850.631,882
1533145850.64,855
1533145850.648,861
1533145850.654,849
1533145850.667,863
1533145850.674,852
1533145850.682,857
1533145850.695,856
1533145850.701,861
1533145850.715,856
1533145850.721,853
1533145850.727,842
1533145850.736,846
1533145850.75,846
1533145850.766,844
1533145850.774,848
1533145850.783,843
1533145850.793,852
1533145850.803,842
1533145850.811,845
1533145850.818,845
1533145850.827,836
1533145850.835,836
1533145850.847,840
1533145850.855,835
1533145850.863,836
1533145850.87,835
1533145850.882,842
1533145850.889,822
1533145850.898,837
1533145850.905,856
1533145850.916,828
1533145850.922,842
1533145850.93,830
1533145850.937,834
1533145850.945,830
1533145850.957,829
1533145850.965,837
1533145850.973,838
1533145850.981,837
1533145850.993,845
1533145851.0,819
1533145851.007,827
1533145851.015,830
1533145851.027,831
1533145851.034,846
1533145851.041,827
1533145851.053,851
1533145851.06,844
1533145851.073,848
1533145851.085,845
1533145851.095,848
1533145851.101,852
1533145851.109,839
1533145851.12,859
1533145851.132,860
1533145851.139,850
1533145851.151,844
1533145851.162,853
1533145851.176,839
1533145851.188,852
1533145851.197,834
1533145851.205,847
1533145851.214,843
1533145851.222,853
1533145851.234,852
1533145851.243,860
1533145851.25,853
1533145851.259,850
1533145851.271,862
1533145851.287,845
1533145851.297,845
1533145851.304,839
1533145851.312,851
1533145851.321,858
1533145851.33,861
1533145851.345,833
1533145851.352,844
1533145851.361,859
1533145851.368,858
1533145851.381,834
1533145851.388,851
1533145851.397,847
1533145851.408,852
1533145851.421,850
1533145851.438,842
1533145851.447,831
1533145851.454,835
1533145851.462,853
1533145851.475,858
1533145851.482,851
1533145851.491,849
1533145851.499,847
1533145851.506,837
1533145851.517,821
1533145851.525,855
1533145851.532,834
1533145851.545,846
1533145851.552,847
1533145851.56,851
1533145851.567,850
1533145851.574,850
