time,value
1533144712.075,745
1533144712.089,764
1533144712.104,774
1533144712.117,773
1533144712.124,782
1533144712.133,795
1533144712.144,795
1533144712.152,799
1533144712.161,798
1533144712.174,810
1533144712.183,808
1533144712.189,804
1533144712.199,813
1533144712.211,829
1533144712.22,816
1533144712.227,812
1533144712.237,821
1533144712.248,817
1533144712.255,821
1533144712.262,828
1533144712.273,812
1533144712.282,803
1533144712.289,818
1533144712.3,830
1533144712.309,814
1533144712.318,819
1533144712.325,827
1533144712.337,811
1533144712.345,817
1533144712.354,813
1533144712.361,816
1533144712.373,820
1533144712.379,810
1533144712.387,807
1533144712.394,817
1533144712.406,822
1533144712.416,815
1533144712.422,821
1533144712.43,810
1533144712.444,819
1533144712.452,831
1533144712.46,822
1533144712.469,815
1533144712.481,819
1533144712.488,812
1533144712.497,817
1533144712.505,831
1533144712.515,819
1533144712.521,820
1533144712.531,819
1533144712.538,796
1533144712.553,812
1533144712.56,809
1533144712.567,828
1533144712.574,818
1533144712.586,822
1533144712.592,816
1533144712.599,814
1533144712.604,816
1533144712.612,821
1533144712.624,828
1533144712.63,809
1533144712.636,845
1533144712.645,830
1533144712.651,815
1533144712.66,846
1533144712.668,831
1533144712.675,828
1533144712.682,822
1533144712.692,800
1533144712.7,823
1533144712.706,819
1533144712.713,818
1533144712.723,830
1533144712.729,824
1533144712.737,827
1533144712.745,814
1533144712.757,805
1533144712.762,821
1533144712.777,816
1533144712.785,805
1533144712.797,831
1533144712.805,832
1533144712.814,810
1533144712.822,827
1533144712.833,819
1533144712.842,821
1533144712.851,818
1533144712.86,825
1533144712.871,823
1533144712.878,822
1533144712.886,829
1533144712.896,799
1533144712.908,824
1533144712.916,822
1533144712.924,799
1533144712.933,817
1533144712.942,814
1533144712.957,816
1533144712.966,829
1533144712.974,811
1533144712.982,816
1533144712.993,815
1533144713.001,808
1533144713.009,807
1533144713.018,818
1533144713.032,816
1533144713.039,819
1533144713.047,821
1533144713.054,824
1533144713.069,844
1533144713.077,809
1533144713.083,828
1533144713.092,812
1533144713.103,818
1533144713.11,822
1533144713.118,826
1533144713.128,821
1533144713.136,795
1533144713.147,830
1533144713.153,822
1533144713.161,814
1533144713.171,801
1533144713.178,842
1533144713.186,823
1533144713.194,853
1533144713.205,829
1533144713.213,830
1533144713.22,817
1533144713.23,823
1533144713.236,827
1533144713.242,824
1533144713.25,821
1533144713.26,827
1533144713.266,815
1533144713.272,821
1533144713.281,808
1533144713.289,815
1533144713.296,815
1533144713.302,823
1533144713.313,827
1533144713.319,820
1533144713.326,827
1533144713.333,793
1533144713.343,828
1533144713.35,818
1533144713.357,818
1533144713.363,815
1533144713.369,808
1533144713.382,820
1533144713.388,817
1533144713.395,836
1533144713.401,810
1533144713.408,823
1533144713.417,814
1533144713.43,844
1533144713.436,801
1533144713.443,828
1533144713.449,825
1533144713.462,827
1533144713.469,804
1533144713.475,812
1533144713.484,817
1533144713.496,811
1533144713.502,828
1533144713.508,822
1533144713.514,858
1533144713.523,812
1533144713.535,820
1533144713.542,829
1533144713.548,825
1533144713.557,818
1533144713.565,835
1533144713.579,828
1533144713.585,820
1533144713.592,826
1533144713.601,826
1533144713.613,824
1533144713.619,828
1533144713.627,821
1533144713.635,839
1533144713.643,818
1533144713.654,826
1533144713.663,830
1533144713.67,827
1533144713.678,823
1533144713.689,834
1533144713.696,838
1533144713.703,847
1533144713.712,823
1533144713.723,863
1533144713.731,821
