time,value
1533144557.412,776
1533144557.421,819
1533144557.437,810
1533144557.448,811
1533144557.456,807
1533144557.463,816
1533144557.471,803
1533144557.485,823
1533144557.493,814
1533144557.502,819
1533144557.516,837
1533144557.524,830
1533144557.532,820
1533144557.541,833
1533144557.553,837
1533144557.564,819
1533144557.574,813
1533144557.583,817
1533144557.593,810
1533144557.622,828
1533144557.632,826
1533144557.641,808
1533144557.649,803
1533144557.661,828
1533144557.676,818
1533144557.688,834
1533144557.699,826
1533144557.707,846
1533144557.719,828
1533144557.73,824
1533144557.74,839
1533144557.748,822
1533144557.762,812
1533144557.77,815
1533144557.781,824
1533144557.789,810
1533144557.799,824
1533144557.809,821
1533144557.824,844
1533144557.836,823
1533144557.843,821
1533144557.853,824
1533144557.864,844
1533144557.876,842
1533144557.884,819
1533144557.903,825
1533144557.917,820
1533144557.928,824
1533144557.935,837
1533144557.947,827
1533144557.956,820
1533144557.964,820
1533144557.973,820
1533144557.985,823
1533144557.993,802
1533144558.001,829
1533144558.013,830
1533144558.02,844
1533144558.028,821
1533144558.038,818
1533144558.046,808
1533144558.055,830
1533144558.063,830
1533144558.075,833
1533144558.083,817
1533144558.091,850
1533144558.1,815
1533144558.109,819
1533144558.116,822
1533144558.127,824
1533144558.135,821
1533144558.143,813
1533144558.154,814
1533144558.163,821
1533144558.171,826
1533144558.189,819
1533144558.204,836
1533144558.218,820
1533144558.23,824
1533144558.243,822
1533144558.264,808
1533144558.274,837
1533144558.283,827
1533144558.295,811
1533144558.305,828
1533144558.313,822
1533144558.322,819
1533144558.33,829
1533144558.344,829
1533144558.353,839
1533144558.369,825
1533144558.384,822
1533144558.394,845
1533144558.404,838
1533144558.416,827
1533144558.425,821
1533144558.435,829
1533144558.446,830
1533144558.456,839
1533144558.464,822
1533144558.475,832
1533144558.483,808
1533144558.491,816
1533144558.501,839
1533144558.508,824
1533144558.516,820
1533144558.524,843
1533144558.536,847
1533144558.543,840
1533144558.552,841
1533144558.563,835
1533144558.575,831
1533144558.584,837
1533144558.592,830
1533144558.605,846
1533144558.619,843
1533144558.629,832
1533144558.644,831
1533144558.658,853
1533144558.668,837
1533144558.676,832
1533144558.689,834
1533144558.704,849
1533144558.712,836
1533144558.721,830
1533144558.73,838
1533144558.743,840
1533144558.753,832
1533144558.762,849
1533144558.77,833
1533144558.78,826
1533144558.788,845
1533144558.802,838
1533144558.814,837
1533144558.827,833
1533144558.835,833
1533144558.845,840
1533144558.853,828
1533144558.861,826
1533144558.873,837
1533144558.889,820
1533144558.899,803
1533144558.908,838
1533144558.918,810
1533144558.932,826
1533144558.94,832
1533144558.954,838
1533144558.971,834
1533144558.984,808
1533144558.994,853
1533144559.001,834
1533144559.01,837
1533144559.018,840
1533144559.025,846
1533144559.035,839
1533144559.042,835
1533144559.051,828
1533144559.062,822
1533144559.068,807
1533144559.076,830
1533144559.084,828
1533144559.093,828
1533144559.1,828
1533144559.107,817
1533144559.119,834
1533144559.126,843
1533144559.135,838
1533144559.144,820
1533144559.153,807
1533144559.159,845
1533144559.171,804
1533144559.178,836
1533144559.186,820
1533144559.195,833
1533144559.203,832
1533144559.21,839
1533144559.221,833
1533144559.228,836
1533144559.235,832
1533144559.245,825
1533144559.252,836
1533144559.261,836
1533144559.284,829
1533144559.3,835
1533144559.316,826
1533144559.335,831
1533144559.354,848
1533144559.366,805
1533144559.384,845
1533144559.393,830
1533144559.412,828
1533144559.425,825
1533144559.439,823
1533144559.452,824
1533144559.463,840
1533144559.491,839
1533144559.501,832
1533144559.511,846
1533144559.519,831
1533144559.533,850
1533144559.543,818
1533144559.554,828
1533144559.563,835
1533144559.57,844
1533144559.58,823
1533144559.594,829
1533144559.603,849
1533144559.637,839
1533144559.66,822
1533144559.674,839
1533144559.689,834
1533144559.705,840
1533144559.72,844
1533144559.746,854
1533144559.756,849
1533144559.766,827
1533144559.78,845
1533144559.791,827
1533144559.807,823
1533144559.819,823
1533144559.829,852
1533144559.837,839
1533144559.848,840
1533144559.866,845
1533144559.884,830
1533144559.896,849
1533144559.904,844
1533144559.915,866
1533144559.931,838
1533144559.939,850
1533144559.948,841
1533144559.963,846
1533144559.978,825
1533144559.989,817
1533144560.001,841
