time,value
1533144502.938,747
1533144502.947,770
1533144502.958,765
1533144502.973,759
1533144502.982,801
1533144502.993,825
1533144503.007,817
1533144503.015,802
1533144503.025,825
1533144503.037,798
1533144503.045,817
1533144503.056,826
1533144503.07,822
1533144503.078,817
1533144503.09,838
1533144503.104,842
1533144503.113,858
1533144503.123,819
1533144503.135,808
1533144503.143,857
1533144503.153,827
1533144503.165,857
1533144503.174,838
1533144503.183,835
1533144503.195,818
1533144503.204,854
1533144503.215,819
1533144503.226,818
1533144503.236,859
1533144503.248,824
1533144503.257,839
1533144503.265,828
1533144503.279,840
1533144503.288,852
1533144503.297,819
1533144503.31,809
1533144503.318,818
1533144503.327,839
1533144503.338,854
1533144503.346,853
1533144503.355,842
1533144503.366,843
1533144503.374,822
1533144503.381,847
1533144503.393,876
1533144503.4,839
1533144503.413,860
1533144503.422,854
1533144503.43,831
1533144503.442,842
1533144503.449,844
1533144503.457,850
1533144503.467,861
1533144503.474,877
1533144503.482,831
1533144503.49,864
1533144503.499,848
1533144503.508,843
1533144503.515,852
1533144503.523,845
1533144503.533,837
1533144503.54,830
1533144503.548,837
1533144503.558,835
1533144503.565,858
1533144503.576,815
1533144503.584,848
1533144503.592,859
1533144503.599,876
1533144503.608,847
1533144503.615,820
1533144503.624,857
1533144503.637,874
1533144503.644,867
1533144503.653,868
1533144503.66,818
1533144503.669,852
1533144503.676,855
1533144503.684,855
1533144503.693,852
1533144503.702,850
1533144503.712,875
1533144503.721,831
1533144503.728,862
1533144503.737,861
1533144503.744,834
1533144503.752,848
1533144503.76,852
1533144503.768,861
1533144503.775,842
1533144503.784,875
1533144503.791,859
1533144503.799,883
1533144503.806,868
1533144503.813,841
1533144503.822,831
1533144503.834,823
1533144503.841,824
1533144503.848,835
1533144503.858,855
1533144503.865,882
1533144503.872,855
1533144503.883,854
1533144503.89,858
1533144503.898,871
1533144503.91,849
1533144503.917,886
1533144503.925,868
1533144503.938,849
1533144503.945,893
1533144503.953,892
1533144503.963,827
1533144503.972,880
1533144503.98,848
1533144503.99,868
1533144504.0,850
1533144504.008,827
1533144504.018,847
1533144504.025,871
1533144504.033,858
1533144504.042,865
1533144504.051,860
1533144504.063,848
1533144504.079,855
1533144504.097,855
1533144504.108,855
1533144504.119,850
1533144504.128,834
1533144504.139,855
1533144504.161,872
1533144504.174,856
1533144504.184,855
1533144504.195,856
1533144504.205,851
1533144504.216,850
1533144504.228,861
1533144504.243,844
1533144504.251,864
1533144504.263,849
1533144504.272,866
1533144504.287,865
1533144504.296,853
1533144504.306,876
1533144504.318,846
1533144504.337,866
1533144504.347,849
1533144504.36,866
1533144504.369,853
1533144504.379,861
1533144504.389,856
1533144504.397,857
1533144504.411,871
1533144504.418,858
1533144504.429,894
1533144504.436,852
1533144504.444,862
1533144504.452,868
1533144504.461,869
1533144504.469,864
1533144504.479,871
1533144504.487,847
1533144504.495,854
1533144504.507,861
1533144504.514,873
1533144504.522,826
1533144504.534,842
1533144504.544,857
1533144504.551,836
1533144504.561,852
1533144504.569,838
1533144504.578,895
1533144504.585,861
1533144504.594,859
1533144504.602,856
1533144504.611,870
1533144504.618,856
1533144504.629,893
1533144504.636,904
1533144504.645,848
1533144504.655,862
1533144504.663,858
1533144504.671,841
1533144504.682,861
1533144504.688,875
1533144504.698,868
1533144504.706,844
1533144504.721,867
1533144504.729,869
1533144504.739,863
1533144504.748,860
1533144504.758,874
1533144504.766,859
1533144504.774,852
1533144504.788,861
1533144504.795,871
1533144504.809,863
1533144504.821,859
1533144504.833,864
1533144504.842,871
1533144504.851,853
1533144504.861,854
1533144504.871,854
1533144504.878,865
1533144504.887,855
1533144504.894,868
1533144504.906,830
1533144504.913,877
1533144504.922,861
1533144504.935,847
1533144504.944,859
1533144504.951,860
1533144504.964,851
1533144504.976,866
1533144504.983,868
1533144504.993,863
1533144505.009,863
1533144505.016,887
1533144505.025,868
1533144505.032,868
1533144505.041,857
1533144505.048,861
1533144505.057,857
1533144505.064,857
1533144505.072,857
1533144505.081,871
1533144505.091,853
1533144505.1,865
1533144505.119,871
1533144505.129,866
1533144505.139,863
1533144505.148,867
1533144505.164,845
1533144505.174,875
1533144505.183,846
1533144505.196,867
1533144505.207,872
1533144505.215,883
1533144505.224,863
1533144505.233,904
1533144505.242,874
1533144505.257,847
1533144505.27,869
1533144505.277,871
1533144505.284,879
1533144505.294,845
1533144505.307,840
1533144505.314,869
1533144505.327,863
1533144505.337,876
1533144505.349,878
1533144505.358,877
1533144505.367,866
1533144505.375,863
1533144505.382,873
1533144505.396,870
1533144505.404,868
1533144505.411,857
1533144505.418,843
1533144505.427,845
1533144505.44,865
1533144505.448,914
1533144505.46,855
1533144505.475,868
1533144505.482,869
1533144505.492,876
1533144505.503,872
1533144505.513,869
1533144505.521,863
1533144505.528,873
1533144505.539,877
1533144505.547,912
1533144505.555,842
1533144505.563,867
1533144505.57,904
1533144505.577,862
1533144505.585,866
1533144505.594,859
1533144505.601,860
1533144505.608,859
1533144505.617,863
1533144505.624,864
1533144505.632,862
1533144505.641,875
1533144505.648,866
1533144505.656,885
1533144505.664,872
1533144505.672,872
1533144505.68,868
1533144505.688,909
1533144505.696,863
1533144505.704,875
1533144505.712,848
1533144505.721,875
1533144505.728,871
1533144505.743,855
1533144505.75,855
1533144505.759,865
1533144505.77,881
1533144505.793,882
1533144505.805,864
1533144505.817,857
1533144505.826,874
1533144505.839,864
1533144505.848,874
1533144505.862,869
1533144505.872,870
1533144505.886,842
1533144505.893,874
1533144505.903,867
1533144505.911,841
1533144505.923,852
1533144505.93,859
1533144505.939,874
1533144505.949,866
1533144505.971,872
1533144505.981,869
1533144505.991,874
1533144505.998,870
1533144506.007,883
1533144506.02,869
1533144506.027,872
1533144506.039,872
1533144506.048,866
1533144506.056,871
1533144506.063,876
1533144506.073,880
1533144506.081,890
1533144506.089,895
1533144506.098,945
1533144506.106,983
1533144506.114,985
1533144506.122,982
1533144506.137,990
1533144506.144,996
1533144506.153,996
1533144506.161,989
1533144506.17,992
1533144506.192,996
1533144506.204,986
1533144506.217,996
1533144506.226,992
1533144506.233,998
1533144506.242,993
1533144506.253,995
1533144506.259,998
1533144506.268,1004
1533144506.275,990
1533144506.285,999
1533144506.293,999
1533144506.305,996
1533144506.32,993
1533144506.328,991
1533144506.339,1001
1533144506.348,1001
1533144506.361,1005
1533144506.37,1002
1533144506.378,996
1533144506.391,1018
1533144506.405,983
1533144506.412,1003
1533144506.421,1000
1533144506.43,1006
1533144506.437,993
1533144506.444,1009
1533144506.458,1004
1533144506.464,994
1533144506.475,995
1533144506.484,1005
1533144506.493,990
1533144506.502,1000
1533144506.509,1006
1533144506.52,997
1533144506.534,994
1533144506.543,993
1533144506.555,984
1533144506.563,995
1533144506.57,988
1533144506.581,993
1533144506.588,996
1533144506.596,997
1533144506.606,1001
1533144506.617,1009
1533144506.623,1013
1533144506.636,1013
1533144506.645,993
1533144506.653,997
1533144506.661,985
1533144506.674,1002
1533144506.682,989
1533144506.69,1003
1533144506.7,997
1533144506.707,988
1533144506.716,1003
1533144506.723,1012
1533144506.731,1000
1533144506.739,983
1533144506.747,1005
1533144506.754,1006
1533144506.765,990
1533144506.772,1001
1533144506.779,993
1533144506.788,991
1533144506.795,1000
1533144506.805,999
1533144506.813,985
1533144506.82,999
1533144506.829,990
1533144506.838,992
1533144506.845,987
1533144506.853,996
1533144506.865,1005
1533144506.886,1001
1533144506.896,993
1533144506.912,1005
1533144506.921,997
1533144506.941,983
1533144506.949,981
1533144506.964,989
1533144506.989,1004
1533144506.998,998
1533144507.009,991
1533144507.018,1003
1533144507.027,1000
1533144507.041,1002
1533144507.051,1003
1533144507.058,997
1533144507.07,1005
1533144507.081,1005
1533144507.09,999
1533144507.101,996
1533144507.113,990
1533144507.122,999
1533144507.132,994
1533144507.144,993
1533144507.154,1019
1533144507.166,1009
1533144507.174,993
1533144507.193,986
1533144507.205,990
1533144507.218,1004
1533144507.227,1004
1533144507.237,994
1533144507.255,999
1533144507.263,1001
1533144507.276,994
1533144507.29,999
1533144507.305,1006
1533144507.315,996
1533144507.323,988
1533144507.336,1010
1533144507.348,1006
1533144507.358,994
1533144507.367,1008
1533144507.378,995
1533144507.386,1001
1533144507.395,1004
1533144507.404,1003
1533144507.414,977
1533144507.427,998
1533144507.439,1006
1533144507.448,985
1533144507.461,996
1533144507.472,1016
1533144507.483,1009
1533144507.491,1002
1533144507.501,999
1533144507.515,1001
1533144507.523,1011
1533144507.532,995
1533144507.54,1003
1533144507.551,995
1533144507.563,995
1533144507.574,982
1533144507.585,1006
1533144507.598,1011
1533144507.606,1009
1533144507.617,970
1533144507.626,1013
1533144507.638,1003
1533144507.646,994
1533144507.654,992
1533144507.662,1010
1533144507.671,1001
1533144507.68,990
1533144507.689,998
1533144507.701,1009
1533144507.71,1009
