time,value
1533145624.229,777
1533145624.237,790
1533145624.244,798
1533145624.255,803
1533145624.271,813
1533145624.278,807
1533145624.285,826
1533145624.294,813
1533145624.304,813
1533145624.311,824
1533145624.318,822
1533145624.325,829
1533145624.332,828
1533145624.34,827
1533145624.348,842
1533145624.354,840
1533145624.362,827
1533145624.371,830
1533145624.378,831
1533145624.385,829
1533145624.391,830
1533145624.401,846
1533145624.408,841
1533145624.417,829
1533145624.43,834
1533145624.436,834
1533145624.443,831
1533145624.45,821
1533145624.461,823
1533145624.469,825
1533145624.476,826
1533145624.485,810
1533145624.495,825
1533145624.502,833
1533145624.509,822
1533145624.518,830
1533145624.527,824
1533145624.534,829
1533145624.541,830
1533145624.555,825
1533145624.561,824
1533145624.569,836
1533145624.576,834
1533145624.584,821
1533145624.591,833
1533145624.6,832
1533145624.611,838
1533145624.618,829
1533145624.624,830
1533145624.636,837
1533145624.643,819
1533145624.652,834
1533145624.663,827
1533145624.669,836
1533145624.677,816
1533145624.684,833
1533145624.693,817
1533145624.7,838
1533145624.707,821
1533145624.725,843
1533145624.733,824
1533145624.74,831
1533145624.748,839
1533145624.76,819
1533145624.768,828
1533145624.774,823
1533145624.786,835
1533145624.793,827
1533145624.803,819
1533145624.818,836
1533145624.826,831
1533145624.833,835
1533145624.843,837
1533145624.851,838
1533145624.858,833
1533145624.869,840
1533145624.881,838
1533145624.887,834
1533145624.895,853
1533145624.906,833
1533145624.914,849
1533145624.922,836
1533145624.933,829
1533145624.939,830
1533145624.948,826
1533145624.956,841
1533145624.967,831
1533145624.974,835
1533145624.983,839
1533145624.997,829
1533145625.004,840
1533145625.012,822
1533145625.023,832
1533145625.032,831
1533145625.039,838
1533145625.05,837
1533145625.057,834
1533145625.065,831
1533145625.073,831
1533145625.086,824
1533145625.093,840
1533145625.101,822
1533145625.109,830
1533145625.121,839
1533145625.13,831
1533145625.137,825
1533145625.147,835
1533145625.157,836
1533145625.166,848
1533145625.173,846
1533145625.185,829
1533145625.191,825
1533145625.2,823
1533145625.208,851
1533145625.219,839
1533145625.227,831
1533145625.234,839
1533145625.246,822
1533145625.252,828
1533145625.258,828
1533145625.267,830
1533145625.277,824
1533145625.284,834
1533145625.291,840
1533145625.303,830
1533145625.31,839
1533145625.317,830
1533145625.324,832
1533145625.332,833
1533145625.342,831
1533145625.35,834
1533145625.357,837
1533145625.368,828
1533145625.378,826
1533145625.385,828
1533145625.391,810
1533145625.402,831
1533145625.408,822
1533145625.417,835
1533145625.424,827
1533145625.437,831
1533145625.443,837
1533145625.45,841
1533145625.458,832
1533145625.47,830
1533145625.479,834
1533145625.486,841
1533145625.498,834
1533145625.504,827
1533145625.513,844
1533145625.52,831
1533145625.53,832
1533145625.538,823
1533145625.545,825
1533145625.554,832
1533145625.565,832
1533145625.572,829
1533145625.58,832
1533145625.591,822
1533145625.599,826
1533145625.607,830
1533145625.615,825
1533145625.629,834
1533145625.636,829
1533145625.644,837
1533145625.651,832
1533145625.664,840
1533145625.672,834
1533145625.681,826
1533145625.693,834
1533145625.699,835
1533145625.707,833
1533145625.716,832
1533145625.728,831
1533145625.734,826
1533145625.741,831
1533145625.748,835
1533145625.758,826
1533145625.765,834
1533145625.775,822
1533145625.781,835
1533145625.793,825
1533145625.8,837
1533145625.808,833
1533145625.817,834
1533145625.827,837
1533145625.834,832
1533145625.842,826
1533145625.851,841
1533145625.859,834
1533145625.866,836
1533145625.872,831
1533145625.883,830
1533145625.889,819
1533145625.897,838
1533145625.903,834
1533145625.914,841
1533145625.92,837
1533145625.932,842
1533145625.938,841
1533145625.95,823
1533145625.955,832
1533145625.964,833
1533145625.971,829
1533145625.978,823
1533145625.989,838
1533145625.996,832
1533145626.006,825
1533145626.013,832
1533145626.027,832
1533145626.035,829
1533145626.043,844
1533145626.051,842
1533145626.06,837
1533145626.071,823
1533145626.077,825
1533145626.084,834
1533145626.092,838
1533145626.102,822
1533145626.109,832
1533145626.114,845
1533145626.121,832
1533145626.13,822
1533145626.136,820
1533145626.143,832
1533145626.148,832
1533145626.16,830
1533145626.166,840
1533145626.173,848
1533145626.179,832
1533145626.187,829
1533145626.194,841
