time,value
1533145660.115,770
1533145660.123,783
1533145660.13,789
1533145660.142,792
1533145660.149,807
1533145660.157,822
1533145660.167,811
1533145660.174,817
1533145660.181,816
1533145660.192,832
1533145660.199,839
1533145660.207,821
1533145660.213,831
1533145660.225,836
1533145660.231,825
1533145660.239,825
1533145660.253,829
1533145660.26,839
1533145660.267,830
1533145660.275,827
1533145660.285,829
1533145660.292,827
1533145660.301,834
1533145660.308,840
1533145660.315,830
1533145660.327,826
1533145660.334,816
1533145660.342,842
1533145660.348,846
1533145660.362,811
1533145660.37,828
1533145660.376,831
1533145660.384,832
1533145660.392,838
1533145660.404,843
1533145660.411,832
1533145660.42,832
1533145660.426,819
1533145660.439,832
1533145660.446,817
1533145660.454,834
1533145660.463,828
1533145660.474,836
1533145660.48,818
1533145660.488,835
1533145660.496,831
1533145660.505,829
1533145660.512,828
1533145660.52,834
1533145660.528,829
1533145660.537,823
1533145660.544,834
1533145660.552,844
1533145660.558,843
1533145660.57,839
1533145660.576,844
1533145660.585,833
1533145660.591,828
1533145660.603,832
1533145660.609,836
1533145660.617,823
1533145660.628,832
1533145660.636,831
1533145660.642,826
1533145660.651,839
1533145660.658,833
1533145660.664,831
1533145660.676,819
1533145660.683,826
1533145660.69,848
1533145660.697,823
1533145660.705,826
1533145660.721,834
1533145660.729,828
1533145660.737,825
1533145660.745,840
1533145660.755,844
1533145660.761,833
1533145660.77,833
1533145660.777,843
1533145660.786,843
1533145660.797,845
1533145660.805,858
1533145660.812,828
1533145660.82,826
1533145660.831,828
1533145660.84,829
1533145660.847,838
1533145660.857,828
1533145660.87,838
1533145660.876,840
1533145660.884,829
1533145660.892,835
1533145660.898,826
1533145660.911,831
1533145660.921,837
1533145660.927,849
1533145660.937,830
1533145660.944,834
1533145660.953,840
1533145660.965,846
1533145660.972,846
1533145660.978,826
1533145660.987,843
1533145660.998,829
1533145661.006,831
1533145661.014,832
1533145661.021,846
1533145661.032,836
1533145661.038,840
1533145661.047,842
1533145661.055,825
1533145661.065,840
1533145661.072,836
1533145661.079,843
1533145661.088,841
1533145661.095,842
1533145661.101,837
1533145661.108,834
1533145661.119,832
1533145661.125,843
1533145661.132,831
1533145661.138,859
1533145661.149,834
1533145661.155,836
1533145661.162,832
1533145661.169,831
1533145661.179,833
1533145661.186,843
1533145661.193,844
1533145661.202,850
1533145661.21,830
1533145661.217,842
1533145661.224,826
1533145661.231,856
1533145661.239,840
1533145661.246,847
1533145661.254,831
1533145661.26,849
1533145661.27,831
1533145661.281,837
1533145661.289,842
1533145661.295,842
1533145661.304,842
1533145661.312,843
1533145661.319,834
1533145661.331,861
1533145661.337,847
1533145661.343,835
1533145661.352,846
1533145661.359,841
1533145661.371,843
1533145661.378,839
1533145661.385,841
1533145661.392,843
1533145661.404,828
1533145661.41,832
1533145661.42,836
1533145661.432,852
1533145661.442,840
1533145661.45,851
1533145661.457,848
1533145661.465,852
1533145661.476,862
1533145661.485,848
1533145661.492,843
1533145661.503,824
1533145661.515,856
1533145661.527,840
1533145661.536,835
1533145661.543,853
1533145661.555,847
1533145661.564,842
1533145661.572,849
1533145661.58,837
1533145661.592,820
1533145661.601,821
1533145661.609,840
1533145661.621,846
1533145661.634,835
1533145661.641,847
1533145661.651,845
1533145661.661,847
1533145661.67,853
1533145661.684,834
1533145661.691,834
1533145661.7,841
1533145661.71,843
1533145661.722,822
1533145661.733,834
1533145661.74,845
1533145661.749,845
1533145661.756,842
1533145661.767,840
1533145661.774,840
1533145661.784,848
1533145661.791,854
1533145661.802,838
1533145661.809,843
1533145661.818,865
1533145661.825,853
1533145661.835,846
1533145661.842,848
1533145661.85,854
1533145661.857,846
1533145661.867,840
1533145661.875,857
1533145661.883,848
1533145661.891,852
1533145661.902,862
1533145661.909,852
1533145661.917,849
1533145661.924,850
1533145661.936,858
1533145661.943,849
1533145661.951,868
1533145661.961,868
1533145661.974,874
1533145661.983,851
1533145661.991,862
1533145661.999,867
1533145662.008,874
1533145662.02,895
1533145662.027,893
1533145662.036,895
1533145662.045,881
1533145662.053,899
1533145662.066,892
1533145662.073,889
1533145662.082,888
1533145662.095,901
1533145662.101,885
1533145662.108,889
1533145662.116,901
1533145662.128,907
1533145662.134,886
1533145662.141,900
1533145662.15,883
1533145662.161,880
1533145662.168,890
1533145662.175,882
1533145662.183,886
1533145662.195,894
1533145662.201,902
1533145662.21,882
1533145662.218,886
1533145662.226,880
1533145662.235,883
1533145662.242,885
1533145662.251,888
1533145662.259,911
1533145662.269,883
1533145662.276,874
1533145662.284,884
1533145662.291,880
1533145662.302,886
1533145662.309,891
1533145662.316,883
1533145662.325,889
1533145662.335,871
1533145662.341,882
1533145662.35,888
1533145662.357,894
1533145662.368,872
1533145662.375,889
1533145662.383,893
1533145662.391,883
1533145662.403,884
1533145662.409,883
1533145662.416,888
1533145662.427,903
1533145662.433,875
1533145662.439,887
1533145662.447,890
1533145662.454,874
1533145662.464,880
1533145662.471,888
1533145662.479,877
1533145662.485,866
1533145662.496,883
1533145662.502,874
1533145662.509,883
1533145662.518,878
1533145662.527,889
1533145662.535,872
1533145662.542,884
1533145662.561,882
1533145662.572,874
1533145662.579,885
1533145662.585,870
1533145662.594,879
1533145662.607,880
1533145662.615,867
1533145662.622,872
1533145662.633,874
1533145662.64,867
1533145662.648,881
1533145662.655,878
1533145662.669,874
1533145662.677,856
1533145662.684,887
1533145662.693,866
1533145662.704,871
1533145662.713,872
1533145662.72,869
1533145662.729,889
1533145662.743,880
1533145662.75,876
1533145662.757,882
1533145662.767,874
1533145662.774,875
1533145662.782,849
1533145662.789,877
1533145662.8,870
1533145662.808,883
1533145662.815,883
1533145662.821,868
1533145662.832,888
1533145662.839,879
1533145662.846,866
1533145662.853,875
1533145662.864,877
1533145662.87,882
1533145662.877,876
1533145662.883,873
1533145662.892,871
1533145662.9,874
1533145662.907,865
1533145662.914,860
1533145662.92,884
1533145662.93,877
1533145662.937,874
1533145662.944,878
1533145662.95,869
1533145662.962,873
1533145662.968,867
1533145662.975,881
1533145662.982,871
1533145662.989,867
1533145662.999,877
1533145663.005,884
1533145663.013,876
1533145663.019,861
1533145663.03,865
1533145663.036,875
1533145663.044,868
1533145663.05,861
1533145663.061,865
1533145663.068,868
1533145663.076,874
1533145663.082,872
1533145663.093,865
1533145663.099,862
1533145663.105,862
1533145663.112,861
1533145663.122,879
1533145663.13,874
1533145663.136,863
1533145663.144,863
1533145663.154,869
1533145663.161,876
1533145663.168,876
1533145663.176,856
1533145663.186,886
1533145663.193,862
1533145663.199,868
1533145663.205,869
1533145663.216,878
1533145663.222,866
1533145663.229,871
1533145663.235,878
1533145663.245,844
1533145663.251,851
1533145663.259,883
1533145663.265,865
1533145663.277,859
1533145663.283,864
1533145663.29,872
1533145663.297,877
1533145663.304,860
1533145663.315,861
1533145663.321,863
1533145663.328,871
1533145663.335,858
1533145663.345,856
1533145663.351,864
1533145663.36,865
1533145663.367,856
1533145663.377,867
1533145663.386,874
1533145663.395,863
1533145663.401,851
1533145663.411,860
1533145663.418,859
1533145663.425,857
1533145663.433,853
1533145663.444,832
1533145663.451,855
1533145663.459,856
1533145663.465,874
1533145663.476,875
1533145663.482,857
1533145663.49,844
1533145663.497,834
1533145663.51,847
1533145663.516,854
1533145663.523,842
1533145663.53,841
1533145663.538,878
1533145663.548,846
1533145663.555,831
1533145663.562,861
1533145663.57,851
1533145663.578,856
1533145663.585,857
1533145663.592,846
1533145663.598,849
1533145663.604,843
1533145663.616,855
1533145663.624,851
1533145663.63,851
1533145663.636,836
1533145663.642,859
1533145663.655,851
1533145663.66,851
1533145663.666,841
1533145663.674,852
1533145663.681,846
1533145663.691,852
1533145663.697,845
1533145663.705,838
1533145663.712,843
1533145663.721,858
1533145663.727,855
1533145663.734,843
1533145663.742,840
1533145663.752,842
1533145663.759,854
1533145663.766,862
1533145663.775,858
1533145663.783,856
1533145663.791,854
1533145663.797,860
1533145663.805,839
1533145663.815,855
1533145663.822,858
1533145663.828,841
1533145663.836,854
1533145663.845,844
1533145663.851,849
1533145663.859,839
1533145663.867,859
1533145663.876,847
1533145663.882,854
1533145663.89,856
1533145663.896,840
1533145663.904,853
1533145663.91,840
1533145663.917,855
1533145663.924,860
1533145663.935,854
1533145663.942,846
1533145663.948,846
1533145663.961,855
1533145663.967,839
1533145663.974,844
1533145663.981,856
1533145663.993,842
1533145664.0,849
1533145664.008,843
1533145664.017,866
1533145664.024,842
1533145664.031,838
1533145664.044,841
1533145664.05,839
1533145664.057,846
1533145664.064,835
1533145664.076,848
1533145664.082,851
1533145664.091,846
1533145664.098,846
1533145664.107,839
1533145664.114,840
1533145664.123,849
1533145664.135,849
1533145664.145,831
1533145664.151,840
1533145664.159,848
1533145664.165,854
1533145664.178,851
1533145664.185,850
1533145664.191,839
1533145664.198,840
1533145664.206,845
1533145664.218,836
1533145664.225,856
1533145664.232,856
1533145664.242,836
1533145664.251,852
1533145664.258,832
1533145664.265,849
1533145664.272,853
1533145664.284,844
1533145664.291,836
1533145664.298,843
1533145664.306,850
1533145664.317,849
1533145664.324,844
1533145664.33,834
1533145664.34,828
1533145664.348,850
1533145664.356,852
1533145664.363,843
1533145664.373,847
1533145664.382,842
1533145664.389,834
1533145664.397,845
1533145664.41,841
1533145664.416,847
1533145664.424,845
1533145664.43,840
1533145664.444,844
1533145664.45,845
1533145664.458,848
1533145664.465,826
1533145664.475,836
1533145664.487,834
1533145664.493,830
1533145664.5,848
1533145664.507,829
1533145664.522,822
1533145664.528,829
1533145664.537,829
1533145664.548,825
1533145664.556,835
1533145664.563,826
1533145664.571,836
1533145664.582,832
1533145664.59,839
1533145664.596,831
1533145664.603,823
1533145664.61,826
1533145664.622,837
1533145664.629,830
1533145664.637,837
1533145664.644,841
1533145664.653,844
1533145664.668,834
1533145664.682,851
1533145664.691,835
1533145664.699,850
1533145664.712,831
1533145664.72,835
1533145664.727,831
1533145664.736,839
1533145664.748,836
1533145664.756,834
1533145664.764,835
1533145664.773,834
1533145664.781,840
1533145664.795,850
1533145664.803,843
1533145664.811,843
1533145664.819,830
1533145664.831,839
1533145664.839,843
1533145664.846,845
1533145664.855,842
1533145664.862,840
1533145664.873,863
1533145664.88,837
1533145664.889,854
1533145664.896,827
1533145664.909,865
1533145664.915,856
1533145664.923,851
1533145664.93,838
1533145664.94,853
1533145664.953,851
1533145664.96,835
1533145664.969,839
1533145664.976,838
1533145664.988,826
1533145664.995,849
1533145665.004,833
1533145665.01,842
1533145665.022,838
1533145665.029,833
1533145665.037,839
1533145665.045,830
1533145665.054,829
1533145665.068,824
1533145665.075,818
1533145665.082,821
1533145665.09,833
1533145665.103,810
1533145665.11,835
1533145665.119,808
1533145665.127,788
1533145665.139,758
1533145665.148,751
1533145665.155,728
1533145665.166,724
1533145665.175,718
