time,value
1533146111.067,765
1533146111.079,772
1533146111.088,805
1533146111.099,801
1533146111.107,805
1533146111.115,797
1533146111.128,826
1533146111.136,814
1533146111.143,815
1533146111.149,808
1533146111.159,831
1533146111.165,824
1533146111.173,814
1533146111.179,825
1533146111.19,821
1533146111.197,831
1533146111.204,838
1533146111.211,828
1533146111.222,838
1533146111.229,817
1533146111.236,843
1533146111.245,820
1533146111.253,832
1533146111.259,822
1533146111.266,823
1533146111.277,825
1533146111.283,815
1533146111.29,823
1533146111.298,821
1533146111.309,835
1533146111.318,817
1533146111.327,815
1533146111.338,847
1533146111.344,827
1533146111.35,820
1533146111.357,803
1533146111.364,825
1533146111.375,819
1533146111.382,818
1533146111.39,822
1533146111.401,813
1533146111.408,818
1533146111.415,834
1533146111.422,820
1533146111.432,819
1533146111.44,827
1533146111.448,823
1533146111.46,813
1533146111.466,832
1533146111.473,818
1533146111.479,826
1533146111.489,820
1533146111.497,831
1533146111.508,818
1533146111.515,829
1533146111.523,815
1533146111.53,823
1533146111.54,815
1533146111.547,833
1533146111.557,827
1533146111.564,827
1533146111.573,818
1533146111.58,832
1533146111.591,827
1533146111.598,823
1533146111.606,819
1533146111.616,814
1533146111.625,823
1533146111.633,831
1533146111.641,826
1533146111.65,826
1533146111.657,816
1533146111.664,815
1533146111.675,811
1533146111.682,829
1533146111.69,821
1533146111.696,819
1533146111.707,822
1533146111.714,828
1533146111.721,814
1533146111.733,819
1533146111.74,813
1533146111.747,824
1533146111.756,815
1533146111.766,822
1533146111.774,806
1533146111.781,832
1533146111.789,833
1533146111.801,825
1533146111.807,831
1533146111.817,838
1533146111.824,821
1533146111.838,806
1533146111.845,827
1533146111.854,822
1533146111.863,824
1533146111.873,819
1533146111.881,825
1533146111.889,825
1533146111.896,836
1533146111.908,822
1533146111.916,820
1533146111.923,817
1533146111.93,822
1533146111.941,817
1533146111.948,820
1533146111.956,825
1533146111.963,819
1533146111.974,818
1533146111.981,819
1533146111.988,816
1533146111.995,799
1533146112.006,817
1533146112.014,832
1533146112.022,822
1533146112.029,840
1533146112.041,799
1533146112.05,823
1533146112.058,822
1533146112.069,825
1533146112.075,819
1533146112.084,809
1533146112.09,826
1533146112.102,828
1533146112.108,830
1533146112.117,806
1533146112.124,823
1533146112.136,809
1533146112.142,819
1533146112.15,817
1533146112.157,819
1533146112.169,824
1533146112.175,823
1533146112.185,805
1533146112.191,824
1533146112.203,814
1533146112.21,819
1533146112.218,828
1533146112.225,837
1533146112.237,829
1533146112.244,823
1533146112.252,815
1533146112.261,817
1533146112.27,825
1533146112.278,832
1533146112.285,822
1533146112.295,819
1533146112.303,826
1533146112.311,820
1533146112.322,831
1533146112.329,812
1533146112.337,822
1533146112.344,829
1533146112.356,827
1533146112.363,817
1533146112.37,828
1533146112.377,828
1533146112.386,826
1533146112.397,841
1533146112.403,826
1533146112.41,807
1533146112.417,834
1533146112.429,816
1533146112.438,826
1533146112.446,813
1533146112.453,821
1533146112.464,813
1533146112.47,824
1533146112.477,828
1533146112.486,833
1533146112.493,827
1533146112.505,832
1533146112.513,821
1533146112.52,823
1533146112.527,829
1533146112.537,819
1533146112.544,815
1533146112.551,844
1533146112.558,847
1533146112.568,830
1533146112.575,832
1533146112.584,814
1533146112.592,819
1533146112.602,807
1533146112.608,825
1533146112.616,835
1533146112.623,825
1533146112.635,816
1533146112.642,833
1533146112.65,824
1533146112.658,830
1533146112.666,813
1533146112.677,834
1533146112.685,835
1533146112.693,837
1533146112.701,837
1533146112.71,821
1533146112.718,819
1533146112.725,833
1533146112.734,816
1533146112.743,819
1533146112.751,847
1533146112.758,844
1533146112.766,824
1533146112.777,824
1533146112.785,835
1533146112.792,829
1533146112.8,817
1533146112.812,834
1533146112.819,829
1533146112.827,820
1533146112.834,844
1533146112.846,828
1533146112.853,812
1533146112.86,830
1533146112.869,825
1533146112.876,844
1533146112.887,830
1533146112.896,836
1533146112.902,854
1533146112.909,823
1533146112.917,831
1533146112.925,835
1533146112.936,837
1533146112.943,844
1533146112.95,837
1533146112.956,834
1533146112.967,836
1533146112.973,836
1533146112.982,827
1533146112.989,837
1533146112.999,842
1533146113.004,830
1533146113.013,839
1533146113.019,843
1533146113.031,840
1533146113.037,839
1533146113.046,826
1533146113.054,835
1533146113.062,831
1533146113.069,827
1533146113.076,831
1533146113.086,825
1533146113.092,827
1533146113.099,832
1533146113.106,845
1533146113.116,827
1533146113.123,829
1533146113.13,837
1533146113.137,820
1533146113.146,821
1533146113.152,832
1533146113.158,829
1533146113.165,821
1533146113.172,839
1533146113.184,847
1533146113.19,819
1533146113.199,815
1533146113.205,820
1533146113.216,822
1533146113.223,836
1533146113.233,841
1533146113.24,830
1533146113.252,827
1533146113.258,838
1533146113.266,821
1533146113.273,835
1533146113.282,819
1533146113.289,833
1533146113.299,822
1533146113.305,823
1533146113.318,820
1533146113.324,816
1533146113.331,837
1533146113.34,831
1533146113.347,829
1533146113.355,832
1533146113.365,824
1533146113.372,823
1533146113.381,835
1533146113.388,845
1533146113.399,827
1533146113.404,820
1533146113.416,840
1533146113.422,824
1533146113.431,835
1533146113.438,821
1533146113.448,834
1533146113.456,830
1533146113.465,831
1533146113.472,830
1533146113.481,828
1533146113.488,837
1533146113.497,829
1533146113.506,821
1533146113.515,833
1533146113.521,829
1533146113.531,834
1533146113.539,836
1533146113.547,827
1533146113.554,837
1533146113.564,833
1533146113.572,825
1533146113.581,832
1533146113.587,838
1533146113.597,826
1533146113.607,829
1533146113.614,829
1533146113.621,849
1533146113.63,819
1533146113.641,843
1533146113.649,826
1533146113.654,847
1533146113.666,840
1533146113.672,816
1533146113.679,820
1533146113.687,835
1533146113.696,828
1533146113.703,841
1533146113.714,840
1533146113.721,839
1533146113.729,835
1533146113.736,841
1533146113.746,827
1533146113.753,830
1533146113.763,830
1533146113.771,825
1533146113.779,831
1533146113.786,848
1533146113.797,848
1533146113.803,839
1533146113.813,850
1533146113.821,834
1533146113.829,843
1533146113.836,826
1533146113.846,821
1533146113.853,818
1533146113.863,841
1533146113.871,843
1533146113.879,829
1533146113.886,832
1533146113.896,838
1533146113.902,827
1533146113.913,843
1533146113.922,835
1533146113.931,828
1533146113.937,834
1533146113.947,839
1533146113.953,832
1533146113.962,831
1533146113.97,838
1533146113.978,838
1533146113.985,840
1533146113.996,844
1533146114.002,835
1533146114.013,828
1533146114.019,845
1533146114.028,840
1533146114.035,830
1533146114.045,835
1533146114.052,830
1533146114.061,840
1533146114.069,831
1533146114.079,840
1533146114.085,854
1533146114.095,834
1533146114.102,842
1533146114.113,835
1533146114.119,838
1533146114.128,835
1533146114.137,848
1533146114.149,839
1533146114.156,859
1533146114.174,844
1533146114.184,846
1533146114.194,829
1533146114.202,856
1533146114.21,839
1533146114.217,844
1533146114.225,841
1533146114.239,831
1533146114.249,841
1533146114.258,834
1533146114.266,846
1533146114.274,837
1533146114.283,840
1533146114.294,841
1533146114.302,838
1533146114.31,830
1533146114.317,840
1533146114.326,843
1533146114.339,833
1533146114.347,824
1533146114.357,840
1533146114.366,848
1533146114.377,846
1533146114.385,851
1533146114.395,838
1533146114.404,842
1533146114.413,833
1533146114.421,843
1533146114.43,839
1533146114.438,832
1533146114.451,827
1533146114.461,846
1533146114.468,836
1533146114.476,833
1533146114.483,832
1533146114.496,848
1533146114.506,833
1533146114.513,837
1533146114.522,836
1533146114.533,828
1533146114.543,829
1533146114.551,833
1533146114.559,845
1533146114.566,842
1533146114.577,827
1533146114.585,830
1533146114.594,850
1533146114.601,841
1533146114.609,842
1533146114.623,844
1533146114.63,829
1533146114.638,831
1533146114.645,834
1533146114.657,839
1533146114.663,843
1533146114.671,825
1533146114.68,831
1533146114.687,845
1533146114.701,838
1533146114.709,840
1533146114.717,831
1533146114.725,831
1533146114.737,829
1533146114.744,837
1533146114.752,840
1533146114.761,847
1533146114.767,833
1533146114.778,828
1533146114.785,845
1533146114.794,835
1533146114.801,836
1533146114.81,828
1533146114.825,830
1533146114.831,831
1533146114.84,843
1533146114.846,833
1533146114.858,834
1533146114.864,839
1533146114.874,839
1533146114.88,852
1533146114.892,832
1533146114.898,842
1533146114.906,830
1533146114.918,823
1533146114.927,828
1533146114.943,816
1533146114.95,840
1533146114.96,829
1533146114.974,820
1533146114.984,830
1533146114.994,825
1533146115.001,819
1533146115.009,822
1533146115.016,821
1533146115.024,820
1533146115.034,818
1533146115.041,828
1533146115.049,820
1533146115.057,824
1533146115.067,814
1533146115.075,821
1533146115.081,827
1533146115.09,823
1533146115.099,826
1533146115.109,823
1533146115.116,825
1533146115.125,818
1533146115.132,817
1533146115.143,820
1533146115.151,813
1533146115.159,814
1533146115.165,817
1533146115.177,817
1533146115.184,818
1533146115.192,811
1533146115.199,819
1533146115.207,806
1533146115.222,815
1533146115.228,816
1533146115.236,819
1533146115.242,815
1533146115.256,813
1533146115.263,808
1533146115.272,801
1533146115.278,811
1533146115.292,813
1533146115.299,816
1533146115.308,805
1533146115.314,805
1533146115.327,814
1533146115.336,808
1533146115.342,813
1533146115.349,808
1533146115.356,824
1533146115.366,806
1533146115.374,808
1533146115.38,815
1533146115.388,804
1533146115.395,806
1533146115.407,821
1533146115.414,814
1533146115.422,813
1533146115.429,808
1533146115.437,782
1533146115.446,809
1533146115.46,798
1533146115.467,791
1533146115.477,813
1533146115.484,802
1533146115.491,815
1533146115.503,791
1533146115.51,813
1533146115.518,805
1533146115.524,808
1533146115.532,792
1533146115.539,806
1533146115.552,802
1533146115.558,824
1533146115.567,808
1533146115.573,810
1533146115.585,809
1533146115.591,819
1533146115.598,796
1533146115.607,806
1533146115.614,806
1533146115.625,800
1533146115.632,786
1533146115.64,812
1533146115.65,799
1533146115.659,808
1533146115.666,804
1533146115.672,814
1533146115.679,798
1533146115.687,792
1533146115.699,791
1533146115.706,822
1533146115.712,797
1533146115.72,791
1533146115.726,803
1533146115.738,801
1533146115.745,802
1533146115.75,801
1533146115.757,799
1533146115.764,786
1533146115.776,802
1533146115.781,802
1533146115.789,800
1533146115.795,796
1533146115.805,802
1533146115.815,779
1533146115.822,809
1533146115.829,793
1533146115.837,800
1533146115.852,808
1533146115.859,803
1533146115.865,796
1533146115.875,810
1533146115.885,810
1533146115.892,784
1533146115.9,798
1533146115.907,796
1533146115.92,806
1533146115.926,787
1533146115.934,800
1533146115.946,793
1533146115.958,809
1533146115.965,792
1533146115.975,803
1533146115.981,808
1533146115.987,785
1533146115.997,807
1533146116.005,798
1533146116.012,793
1533146116.019,789
1533146116.025,796
1533146116.037,796
1533146116.044,788
1533146116.052,803
1533146116.058,794
1533146116.066,801
1533146116.076,785
1533146116.083,811
1533146116.09,788
1533146116.098,803
1533146116.104,802
1533146116.111,797
1533146116.121,798
1533146116.128,800
1533146116.136,797
1533146116.143,796
1533146116.154,784
1533146116.161,794
1533146116.167,790
1533146116.174,791
1533146116.181,784
1533146116.187,781
1533146116.196,791
1533146116.204,801
1533146116.211,785
1533146116.218,799
1533146116.224,777
1533146116.236,799
1533146116.243,768
1533146116.25,801
1533146116.256,788
1533146116.262,803
1533146116.269,794
1533146116.282,802
1533146116.292,797
1533146116.298,801
1533146116.306,796
1533146116.312,795
1533146116.319,810
1533146116.327,789
1533146116.339,787
1533146116.346,769
1533146116.352,789
1533146116.358,804
1533146116.367,782
1533146116.375,805
1533146116.389,798
1533146116.395,798
1533146116.402,810
1533146116.408,795
1533146116.416,809
1533146116.425,793
1533146116.433,796
1533146116.439,799
1533146116.447,811
1533146116.455,798
1533146116.467,785
1533146116.473,791
1533146116.48,784
1533146116.487,797
1533146116.495,781
1533146116.505,789
1533146116.512,800
1533146116.518,801
1533146116.525,788
1533146116.533,776
1533146116.544,770
1533146116.556,779
1533146116.562,769
1533146116.569,784
1533146116.576,758
