time,value
1533145056.262,777
1533145056.27,797
1533145056.278,805
1533145056.289,806
1533145056.303,820
1533145056.311,823
1533145056.318,816
1533145056.326,806
1533145056.335,825
1533145056.346,832
1533145056.354,824
1533145056.366,824
1533145056.373,841
1533145056.382,842
1533145056.388,841
1533145056.399,827
1533145056.406,840
1533145056.413,843
1533145056.421,864
1533145056.433,840
1533145056.44,843
1533145056.446,829
1533145056.454,825
1533145056.462,841
1533145056.47,837
1533145056.477,838
1533145056.487,842
1533145056.494,824
1533145056.506,832
1533145056.513,833
1533145056.52,830
1533145056.527,832
1533145056.537,818
1533145056.545,814
1533145056.552,828
1533145056.563,829
1533145056.569,815
1533145056.576,843
1533145056.585,825
1533145056.594,850
1533145056.601,843
1533145056.608,821
1533145056.619,828
1533145056.625,829
1533145056.633,827
1533145056.64,818
1533145056.651,824
1533145056.658,836
1533145056.667,809
1533145056.673,806
1533145056.684,831
1533145056.694,827
1533145056.702,822
1533145056.711,829
1533145056.719,825
1533145056.732,825
1533145056.738,825
1533145056.746,843
1533145056.754,833
1533145056.767,851
1533145056.773,825
1533145056.783,839
1533145056.795,812
1533145056.801,840
1533145056.81,829
1533145056.817,845
1533145056.83,812
1533145056.836,819
1533145056.844,821
1533145056.851,825
1533145056.863,825
1533145056.87,827
1533145056.877,828
1533145056.887,831
1533145056.894,822
1533145056.903,822
1533145056.91,802
1533145056.918,829
1533145056.931,838
1533145056.936,808
1533145056.945,824
1533145056.952,847
1533145056.963,830
1533145056.969,825
1533145056.978,831
1533145056.986,841
1533145056.998,811
1533145057.006,824
1533145057.014,833
1533145057.024,829
1533145057.037,839
1533145057.045,840
1533145057.052,839
1533145057.061,835
1533145057.072,836
1533145057.08,835
1533145057.087,836
1533145057.096,809
1533145057.105,827
1533145057.113,827
1533145057.121,827
1533145057.13,827
1533145057.139,828
1533145057.147,827
1533145057.154,838
1533145057.162,822
1533145057.172,830
1533145057.18,827
1533145057.187,831
1533145057.199,843
1533145057.205,830
1533145057.213,836
1533145057.219,839
1533145057.228,841
1533145057.238,817
1533145057.245,829
1533145057.252,830
1533145057.261,846
1533145057.273,826
1533145057.282,836
1533145057.291,836
1533145057.298,838
1533145057.304,829
1533145057.316,846
1533145057.322,824
1533145057.331,832
1533145057.338,829
1533145057.347,841
1533145057.354,842
