time,value
1533145368.362,756
1533145368.371,774
1533145368.381,765
1533145368.391,776
1533145368.397,780
1533145368.405,804
1533145368.411,791
1533145368.428,791
1533145368.437,801
1533145368.445,797
1533145368.456,811
1533145368.462,801
1533145368.47,815
1533145368.477,809
1533145368.485,808
1533145368.494,799
1533145368.501,815
1533145368.508,806
1533145368.517,814
1533145368.526,813
1533145368.533,805
1533145368.54,809
1533145368.552,808
1533145368.558,794
1533145368.566,822
1533145368.572,819
1533145368.584,801
1533145368.59,805
1533145368.596,795
1533145368.603,814
1533145368.61,807
1533145368.621,808
1533145368.627,791
1533145368.635,806
1533145368.651,823
1533145368.656,806
1533145368.663,804
1533145368.669,814
1533145368.681,799
1533145368.687,809
1533145368.693,816
1533145368.702,821
1533145368.71,802
1533145368.728,807
1533145368.733,805
1533145368.745,798
1533145368.751,801
1533145368.762,804
1533145368.77,810
1533145368.776,808
1533145368.785,806
1533145368.799,814
1533145368.806,803
1533145368.813,812
1533145368.82,797
1533145368.828,800
1533145368.838,811
1533145368.845,810
1533145368.852,803
1533145368.864,804
1533145368.875,811
1533145368.882,815
1533145368.892,801
1533145368.902,803
1533145368.914,803
1533145368.926,810
1533145368.934,802
1533145368.945,792
1533145368.951,803
1533145368.959,800
1533145368.966,827
1533145368.982,811
1533145368.99,802
1533145368.999,805
1533145369.009,801
1533145369.021,798
1533145369.03,811
1533145369.037,802
1533145369.046,812
1533145369.056,804
1533145369.065,813
1533145369.076,810
1533145369.083,803
1533145369.09,810
1533145369.104,809
1533145369.111,813
1533145369.119,802
1533145369.132,801
1533145369.145,801
1533145369.151,817
1533145369.158,813
1533145369.166,814
1533145369.173,809
1533145369.185,802
1533145369.194,790
1533145369.203,806
1533145369.215,819
1533145369.222,821
1533145369.232,811
1533145369.24,807
1533145369.255,825
1533145369.263,798
1533145369.27,818
1533145369.278,811
1533145369.288,819
1533145369.297,816
1533145369.304,804
1533145369.317,804
1533145369.329,819
1533145369.337,806
1533145369.345,815
1533145369.355,790
1533145369.364,809
1533145369.371,815
1533145369.38,808
1533145369.39,806
1533145369.399,798
1533145369.409,804
1533145369.419,819
1533145369.428,813
1533145369.435,812
1533145369.444,808
1533145369.454,811
1533145369.463,804
1533145369.47,811
1533145369.482,813
1533145369.495,823
1533145369.503,806
1533145369.513,808
1533145369.525,814
1533145369.531,799
1533145369.539,815
1533145369.546,811
1533145369.556,809
1533145369.564,821
1533145369.571,808
1533145369.58,800
1533145369.59,809
1533145369.598,817
1533145369.606,814
1533145369.612,803
1533145369.622,808
1533145369.631,813
1533145369.638,799
1533145369.646,812
1533145369.657,794
1533145369.665,806
1533145369.672,800
1533145369.684,806
1533145369.691,813
1533145369.699,811
1533145369.706,821
1533145369.714,812
1533145369.724,811
1533145369.732,809
1533145369.739,806
1533145369.752,808
1533145369.762,803
1533145369.769,808
1533145369.778,814
1533145369.786,825
1533145369.796,811
1533145369.803,824
1533145369.812,800
1533145369.82,814
1533145369.831,821
1533145369.838,827
1533145369.846,814
1533145369.853,832
1533145369.863,820
1533145369.87,812
1533145369.878,825
1533145369.886,807
1533145369.898,823
1533145369.904,830
1533145369.912,798
1533145369.919,848
1533145369.929,831
1533145369.936,841
1533145369.944,835
1533145369.951,837
1533145369.962,838
1533145369.969,847
1533145369.977,839
1533145369.983,842
1533145369.994,842
1533145370.001,850
1533145370.009,835
1533145370.015,838
1533145370.023,854
1533145370.03,839
1533145370.04,851
1533145370.048,848
1533145370.054,842
1533145370.061,843
1533145370.072,851
1533145370.081,829
1533145370.088,844
1533145370.097,843
1533145370.107,846
1533145370.115,836
1533145370.128,840
1533145370.137,853
1533145370.147,844
1533145370.154,849
1533145370.163,848
1533145370.171,843
1533145370.181,848
1533145370.187,855
1533145370.196,819
1533145370.203,831
1533145370.216,838
1533145370.223,838
1533145370.231,836
1533145370.238,848
1533145370.25,852
1533145370.258,855
1533145370.265,841
1533145370.274,854
1533145370.28,838
1533145370.294,849
1533145370.301,856
1533145370.31,847
