time,value
1533144906.907,767
1533144906.914,776
1533144906.921,780
1533144906.929,796
1533144906.939,788
1533144906.948,804
1533144906.956,803
1533144906.965,801
1533144906.972,815
1533144906.981,818
1533144906.987,817
1533144906.998,811
1533144907.006,834
1533144907.014,805
1533144907.028,834
1533144907.034,822
1533144907.041,817
1533144907.049,829
1533144907.061,821
1533144907.067,830
1533144907.074,821
1533144907.081,815
1533144907.096,825
1533144907.103,812
1533144907.11,815
1533144907.118,817
1533144907.128,833
1533144907.134,821
1533144907.142,817
1533144907.149,818
1533144907.159,809
1533144907.165,794
1533144907.172,818
1533144907.18,820
1533144907.189,820
1533144907.197,835
1533144907.205,813
1533144907.213,806
1533144907.221,822
1533144907.229,820
1533144907.237,829
1533144907.251,818
1533144907.257,817
1533144907.265,830
1533144907.272,821
1533144907.281,812
1533144907.287,820
1533144907.295,815
1533144907.306,820
1533144907.313,813
1533144907.32,808
1533144907.329,795
1533144907.337,814
1533144907.344,811
1533144907.353,821
1533144907.362,809
1533144907.369,823
1533144907.378,819
1533144907.385,823
1533144907.395,831
1533144907.402,825
1533144907.412,810
1533144907.418,827
1533144907.431,817
1533144907.437,811
1533144907.444,818
1533144907.452,816
1533144907.461,815
1533144907.469,818
1533144907.479,807
1533144907.487,812
1533144907.495,827
1533144907.501,821
1533144907.512,834
1533144907.519,835
1533144907.528,806
1533144907.535,809
1533144907.544,804
1533144907.551,809
1533144907.562,814
1533144907.569,832
1533144907.578,800
1533144907.587,817
1533144907.594,815
1533144907.601,809
1533144907.612,811
1533144907.622,821
1533144907.628,802
1533144907.635,805
1533144907.645,817
1533144907.652,826
1533144907.662,823
1533144907.668,815
1533144907.682,822
1533144907.689,830
1533144907.696,813
1533144907.708,821
1533144907.714,812
1533144907.724,808
1533144907.731,800
1533144907.744,825
1533144907.751,806
1533144907.759,826
1533144907.77,831
1533144907.777,812
1533144907.784,796
1533144907.793,822
1533144907.803,807
1533144907.81,829
1533144907.817,820
1533144907.824,825
1533144907.833,820
1533144907.841,812
1533144907.847,815
1533144907.854,810
1533144907.865,807
1533144907.871,807
1533144907.878,817
1533144907.886,821
1533144907.895,814
1533144907.902,809
1533144907.911,820
1533144907.917,819
1533144907.928,812
1533144907.935,815
1533144907.945,809
1533144907.952,815
1533144907.963,801
1533144907.97,810
1533144907.978,817
1533144907.99,809
1533144907.996,809
1533144908.003,822
1533144908.011,828
1533144908.018,830
1533144908.03,826
1533144908.036,827
1533144908.044,821
1533144908.052,830
1533144908.061,827
1533144908.068,818
1533144908.079,824
1533144908.087,814
1533144908.1,820
1533144908.108,824
1533144908.117,803
1533144908.129,818
1533144908.136,814
1533144908.145,841
1533144908.154,808
1533144908.166,815
1533144908.175,821
1533144908.182,822
1533144908.194,830
1533144908.201,827
1533144908.21,819
1533144908.217,821
1533144908.231,818
1533144908.237,808
1533144908.246,815
1533144908.253,833
1533144908.266,812
1533144908.274,819
1533144908.282,825
1533144908.295,827
1533144908.302,809
