time,value
1533231663.281,846
1533231663.297,847
1533231663.306,842
1533231663.316,855
1533231663.332,856
1533231663.341,842
1533231663.35,804
1533231663.364,784
1533231663.372,771
1533231663.383,772
1533231663.399,760
1533231663.419,769
1533231663.431,781
1533231663.442,826
1533231663.454,828
1533231663.467,826
1533231663.477,842
1533231663.488,847
1533231663.501,860
1533231663.512,856
1533231663.521,863
1533231663.535,869
1533231663.544,876
1533231663.555,874
1533231663.567,866
1533231663.577,860
1533231663.588,876
1533231663.6,857
1533231663.61,875
1533231663.62,877
1533231663.631,882
1533231663.643,872
1533231663.655,871
1533231663.665,870
1533231663.678,869
1533231663.688,881
1533231663.698,872
1533231663.708,869
1533231663.72,873
1533231663.736,873
1533231663.744,874
1533231663.756,866
1533231663.77,871
1533231663.78,858
1533231663.789,875
1533231663.799,888
1533231663.808,874
1533231663.826,880
1533231663.835,875
1533231663.843,867
1533231663.858,888
1533231663.867,888
1533231663.88,881
1533231663.89,891
1533231663.901,872
1533231663.913,878
1533231663.923,875
1533231663.936,877
1533231663.944,880
1533231663.955,877
1533231663.964,875
1533231663.979,881
1533231663.991,874
1533231664.005,869
1533231664.014,876
1533231664.023,862
1533231664.036,868
1533231664.044,868
1533231664.054,882
1533231664.066,883
1533231664.075,876
1533231664.088,872
1533231664.102,887
1533231664.111,875
1533231664.121,875
1533231664.132,878
1533231664.141,875
1533231664.153,866
1533231664.161,878
1533231664.172,880
1533231664.18,879
1533231664.192,874
1533231664.2,878
1533231664.209,878
1533231664.22,875
1533231664.228,871
1533231664.242,861
1533231664.25,866
1533231664.258,870
1533231664.27,881
1533231664.278,875
1533231664.286,866
1533231664.295,877
1533231664.306,881
1533231664.315,883
1533231664.328,876
1533231664.335,885
1533231664.344,857
1533231664.355,873
1533231664.363,886
1533231664.372,870
1533231664.381,876
1533231664.395,886
1533231664.405,871
1533231664.414,881
1533231664.426,877
1533231664.435,875
1533231664.444,879
1533231664.458,867
1533231664.467,888
1533231664.477,884
1533231664.49,883
1533231664.498,875
