time,value
1533145781.646,755
1533145781.653,781
1533145781.665,798
1533145781.674,780
1533145781.683,809
1533145781.693,810
1533145781.703,809
1533145781.71,821
1533145781.718,830
1533145781.726,816
1533145781.736,818
1533145781.744,823
1533145781.75,827
1533145781.761,839
1533145781.767,821
1533145781.776,833
1533145781.783,833
1533145781.794,829
1533145781.801,822
1533145781.809,841
1533145781.818,854
1533145781.825,833
1533145781.833,833
1533145781.841,838
1533145781.852,833
1533145781.86,828
1533145781.867,830
1533145781.878,827
1533145781.884,832
1533145781.891,846
1533145781.898,836
1533145781.909,826
1533145781.916,839
1533145781.922,820
1533145781.932,842
1533145781.939,818
1533145781.947,832
1533145781.957,837
1533145781.964,823
1533145781.97,819
1533145781.978,842
1533145781.986,831
1533145781.994,847
1533145782.0,833
1533145782.012,828
1533145782.018,836
1533145782.024,823
1533145782.031,833
1533145782.04,832
1533145782.047,814
1533145782.054,827
1533145782.063,826
1533145782.072,827
1533145782.08,828
1533145782.086,832
1533145782.098,829
1533145782.104,851
1533145782.112,840
1533145782.122,816
1533145782.13,842
1533145782.137,825
1533145782.148,818
1533145782.154,839
1533145782.162,830
1533145782.174,826
1533145782.181,826
1533145782.188,825
1533145782.195,837
1533145782.203,847
1533145782.212,834
1533145782.22,831
1533145782.234,830
1533145782.24,829
1533145782.248,831
1533145782.254,826
1533145782.265,828
1533145782.272,821
1533145782.28,827
1533145782.289,824
1533145782.297,817
1533145782.304,823
1533145782.313,823
1533145782.322,832
1533145782.329,819
1533145782.336,842
1533145782.345,820
1533145782.354,834
1533145782.362,818
1533145782.369,836
1533145782.382,825
1533145782.388,822
1533145782.396,833
1533145782.403,830
1533145782.414,859
1533145782.421,834
1533145782.429,823
1533145782.436,823
1533145782.445,833
1533145782.452,815
1533145782.461,821
1533145782.469,823
1533145782.479,837
1533145782.485,829
1533145782.495,828
1533145782.507,831
1533145782.514,832
1533145782.532,830
1533145782.539,837
1533145782.546,842
1533145782.556,828
1533145782.564,826
1533145782.572,830
1533145782.58,822
1533145782.586,819
1533145782.596,835
1533145782.608,838
1533145782.616,854
1533145782.623,826
1533145782.63,836
1533145782.637,847
1533145782.649,831
1533145782.656,830
1533145782.662,832
1533145782.67,813
1533145782.677,825
1533145782.686,839
1533145782.694,831
1533145782.7,828
1533145782.711,843
1533145782.717,828
1533145782.724,833
1533145782.73,842
1533145782.74,828
1533145782.75,847
1533145782.758,835
1533145782.764,835
1533145782.774,851
1533145782.78,840
1533145782.788,848
1533145782.794,841
1533145782.805,833
1533145782.811,833
1533145782.817,842
1533145782.826,825
1533145782.842,830
1533145782.85,823
1533145782.858,828
1533145782.864,813
1533145782.873,813
1533145782.879,833
1533145782.887,834
1533145782.894,832
1533145782.906,830
1533145782.912,827
1533145782.921,855
1533145782.927,829
1533145782.939,830
1533145782.945,821
1533145782.953,821
1533145782.959,830
1533145782.97,843
1533145782.977,829
1533145782.985,824
1533145782.993,828
1533145783.003,818
1533145783.01,815
1533145783.017,833
1533145783.026,809
1533145783.033,837
1533145783.044,821
1533145783.051,846
1533145783.059,827
1533145783.066,836
1533145783.082,849
1533145783.09,839
1533145783.096,827
1533145783.106,831
1533145783.121,826
1533145783.128,841
1533145783.137,839
1533145783.143,844
1533145783.15,829
1533145783.159,815
1533145783.166,825
1533145783.174,828
1533145783.18,819
1533145783.192,833
1533145783.199,835
1533145783.207,833
1533145783.213,839
1533145783.224,829
1533145783.23,828
1533145783.238,818
1533145783.245,827
1533145783.257,838
1533145783.263,823
1533145783.271,824
1533145783.278,815
1533145783.297,831
1533145783.306,818
1533145783.314,830
1533145783.321,820
1533145783.333,841
1533145783.34,832
1533145783.346,828
1533145783.354,832
1533145783.362,829
1533145783.371,821
1533145783.383,830
1533145783.39,834
1533145783.396,829
1533145783.404,810
1533145783.411,820
1533145783.43,818
1533145783.437,826
1533145783.444,831
1533145783.454,821
1533145783.465,819
1533145783.473,822
1533145783.482,833
1533145783.49,827
1533145783.497,821
1533145783.508,821
1533145783.514,819
1533145783.522,818
1533145783.531,833
1533145783.54,821
1533145783.552,822
1533145783.56,817
1533145783.57,839
1533145783.577,825
1533145783.588,834
1533145783.595,836
1533145783.604,818
1533145783.611,824
1533145783.618,824
1533145783.631,832
1533145783.639,842
1533145783.645,828
1533145783.654,826
1533145783.661,825
1533145783.668,834
1533145783.68,820
1533145783.688,819
1533145783.695,820
1533145783.703,838
