time,value
1533592008.105,827
1533592008.132,873
1533592008.145,876
1533592008.18,884
1533592008.206,893
1533592008.215,883
1533592008.224,887
1533592008.239,901
1533592008.293,898
1533592008.305,874
1533592008.33,894
1533592008.341,867
1533592008.352,879
1533592008.361,888
1533592008.379,882
1533592008.394,891
1533592008.41,882
1533592008.421,885
1533592008.44,875
1533592008.454,885
1533592008.47,880
1533592008.491,870
1533592008.545,895
1533592008.575,895
1533592008.588,913
1533592008.603,894
1533592008.62,903
1533592008.657,887
1533592008.671,893
1533592008.684,897
1533592008.704,899
1533592008.72,883
1533592008.737,902
1533592008.756,896
1533592008.777,913
1533592008.825,909
1533592008.834,904
1533592008.867,900
1533592008.88,905
1533592008.893,895
1533592008.908,901
1533592008.926,906
1533592008.942,904
1533592008.961,895
1533592008.991,895
1533592009.025,895
1533592009.077,918
1533592009.091,904
1533592009.108,890
1533592009.157,900
1533592009.195,908
1533592009.223,895
1533592009.238,898
1533592009.25,913
1533592009.273,902
1533592009.285,890
1533592009.308,901
1533592009.325,903
1533592009.344,902
1533592009.361,912
1533592009.382,906
1533592009.401,899
1533592009.415,916
1533592009.48,895
1533592009.488,898
1533592009.499,910
1533592009.524,910
1533592009.546,917
1533592009.594,908
1533592009.626,907
1533592009.673,908
1533592009.702,911
1533592009.722,920
1533592009.729,914
1533592009.748,920
1533592009.763,917
1533592009.781,919
1533592009.796,896
1533592009.816,917
1533592009.824,915
1533592009.849,910
1533592009.864,918
1533592009.881,912
1533592009.913,928
1533592009.922,918
1533592009.94,923
1533592009.953,924
1533592009.968,925
1533592009.979,937
1533592009.989,917
1533592010.004,929
1533592010.02,921
1533592010.028,929
1533592010.039,912
1533592010.046,925
1533592010.054,931
1533592010.242,1032
1533592010.284,1039
1533592010.3,1028
1533592010.311,1035
1533592010.339,1047
1533592010.353,1037
1533592010.387,1052
1533592010.411,1043
1533592010.441,1038
1533592010.452,1032
1533592010.464,1043
1533592010.485,1048
1533592010.492,1028
1533592010.518,1040
1533592010.527,1044
1533592010.534,1040
1533592010.545,1042
1533592010.568,1033
1533592010.577,1045
1533592010.585,1048
1533592010.617,1035
1533592010.653,1034
1533592010.672,1034
1533592010.69,1034
1533592010.726,1031
1533592010.75,1039
1533592010.763,1041
1533592010.788,1024
1533592010.801,1028
1533592010.821,1038
1533592010.86,1032
1533592010.894,1046
1533592010.924,1029
1533592010.934,1043
1533592010.941,1043
1533592010.961,1045
1533592010.985,1040
1533592011.0,1026
1533592011.072,1029
1533592011.148,1034
1533592011.306,1029
1533592011.372,1034
1533592011.446,1029
1533592011.521,1021
1533592011.531,998
1533592011.548,1004
1533592011.555,1011
1533592011.588,1006
1533592011.597,996
1533592011.616,989
1533592011.663,1008
1533592011.712,998
1533592011.741,993
1533592011.764,1004
1533592011.873,1007
1533592012.038,996
1533592012.103,1002
1533592012.238,993
1533592012.303,1001
1533592012.361,993
1533592012.402,997
1533592012.476,993
1533592012.535,989
1533592012.546,1007
1533592012.56,990
1533592012.568,990
1533592012.585,997
1533592012.594,987
1533592012.609,1000
1533592012.618,996
1533592012.634,981
1533592012.654,991
1533592012.668,974
1533592012.711,980
1533592012.742,980
1533592012.792,986
1533592012.932,974
1533592013.008,973
1533592013.099,952
1533592013.473,942
1533592013.506,944
1533592013.519,958
1533592013.532,941
1533592013.545,936
1533592013.562,934
1533592013.599,950
1533592013.614,945
1533592013.624,953
1533592013.64,963
1533592013.657,947
1533592013.673,955
1533592013.689,942
1533592013.697,969
1533592013.705,958
1533592013.713,937
1533592013.723,937
1533592013.757,915
1533592013.771,929
1533592013.779,926
1533592013.787,913
1533592013.796,863
1533592013.807,830
1533592013.822,805
1533592013.831,806
1533592013.85,803
1533592013.865,864
1533592013.881,930
