time,value
1533592041.763,801
1533592041.771,822
1533592041.797,842
1533592041.823,864
1533592041.858,877
1533592041.874,877
1533592041.916,899
1533592041.963,885
1533592041.979,895
1533592042.095,900
1533592042.105,900
1533592042.122,894
1533592042.137,888
1533592042.145,898
1533592042.157,901
1533592042.172,897
1533592042.197,897
1533592042.212,891
1533592042.221,896
1533592042.229,912
1533592042.278,912
1533592042.288,875
1533592042.312,897
1533592042.322,894
1533592042.345,901
1533592042.362,895
1533592042.428,898
1533592042.437,892
1533592042.455,897
1533592042.478,908
1533592042.487,900
1533592042.495,905
1533592042.544,907
1533592042.572,903
1533592042.651,898
1533592042.675,915
1533592042.7,910
1533592042.714,914
1533592042.726,908
1533592042.743,911
1533592042.76,906
1533592042.771,905
1533592042.785,898
1533592042.799,910
1533592042.815,909
1533592042.829,930
1533592042.842,917
1533592042.869,921
1533592042.892,893
1533592042.9,913
1533592042.909,921
1533592042.946,924
1533592042.975,929
1533592042.983,921
1533592042.995,927
1533592043.019,903
1533592043.033,909
1533592043.059,928
1533592043.083,915
1533592043.099,928
1533592043.141,922
1533592043.215,920
1533592043.258,932
1533592043.275,926
1533592043.283,915
1533592043.305,921
1533592043.341,924
1533592043.357,928
1533592043.374,919
1533592043.406,922
1533592043.418,915
1533592043.462,900
1533592043.471,908
1533592043.482,925
1533592043.498,911
1533592043.522,917
1533592043.532,922
1533592043.556,917
1533592043.567,914
1533592043.614,899
1533592043.654,911
1533592043.69,925
1533592043.715,916
1533592043.787,935
1533592043.806,924
1533592043.812,905
1533592043.837,908
1533592043.92,914
1533592043.938,920
1533592043.955,912
1533592043.962,925
1533592043.986,935
1533592043.993,922
1533592044.005,914
1533592044.082,926
1533592044.136,927
1533592044.145,921
1533592044.21,922
1533592044.286,915
1533592044.318,930
1533592044.328,937
1533592044.336,914
1533592044.36,934
1533592044.373,932
1533592044.395,947
1533592044.413,921
1533592044.435,905
1533592044.469,922
1533592044.503,911
1533592044.513,921
1533592044.541,920
1533592044.556,939
1533592044.572,931
1533592044.586,925
1533592044.592,930
1533592044.617,911
1533592044.627,930
1533592044.662,935
1533592044.702,924
1533592044.712,937
1533592044.743,931
1533592044.76,929
1533592044.769,932
1533592044.786,939
1533592044.812,929
1533592044.855,929
1533592044.87,960
1533592044.898,957
1533592044.914,1007
1533592044.926,1029
1533592044.944,1031
1533592044.951,1017
1533592044.961,1034
1533592044.977,1037
1533592044.984,1023
1533592045.012,1034
1533592045.034,1020
1533592045.061,1029
1533592045.076,994
1533592045.108,985
1533592045.116,983
1533592045.141,984
1533592045.175,989
1533592045.197,985
1533592045.21,974
1533592045.23,989
1533592045.242,986
1533592045.348,968
1533592045.373,966
1533592045.393,959
1533592045.42,953
1533592045.441,974
1533592045.479,962
1533592045.495,962
1533592045.509,965
1533592045.528,971
1533592045.549,964
1533592045.573,967
1533592045.58,964
1533592045.597,988
1533592045.605,975
1533592045.758,965
1533592045.772,966
1533592045.779,955
1533592045.788,962
1533592045.799,959
1533592045.883,952
1533592045.899,962
1533592045.918,981
1533592045.932,953
1533592046.079,968
1533592046.086,968
1533592046.124,963
1533592046.154,965
1533592046.178,971
1533592046.195,956
1533592046.221,963
1533592046.249,966
1533592046.26,970
1533592046.293,967
1533592046.303,956
1533592046.312,965
1533592046.319,965
1533592046.352,972
1533592046.366,970
1533592046.38,971
1533592046.402,960
1533592046.411,955
1533592046.438,954
1533592046.471,974
1533592046.486,972
1533592046.502,963
1533592046.518,963
1533592046.529,982
1533592046.544,975
1533592046.555,951
1533592046.569,961
1533592046.576,966
1533592046.588,964
1533592046.602,967
1533592046.609,957
1533592046.618,966
1533592046.626,955
1533592046.639,959
1533592046.651,943
1533592046.659,937
1533592046.667,962
1533592046.675,955
1533592046.684,969
1533592046.691,952
1533592046.701,946
1533592046.709,952
1533592046.717,970
1533592046.725,966
1533592046.734,989
1533592046.742,958
1533592046.751,967
1533592046.758,972
1533592046.767,956
1533592046.775,923
1533592046.85,954
1533592046.857,962
1533592046.886,952
1533592046.901,953
1533592046.928,953
1533592046.959,937
1533592046.967,974
1533592046.977,958
1533592047.001,956
1533592047.016,984
1533592047.053,957
1533592047.067,966
1533592047.077,960
1533592047.1,961
1533592047.157,951
1533592047.166,936
1533592047.199,968
1533592047.214,977
1533592047.224,952
1533592047.232,955
1533592047.24,968
1533592047.276,973
1533592047.311,971
1533592047.338,965
1533592047.373,977
1533592047.39,1002
1533592047.398,956
1533592047.407,998
1533592047.417,976
1533592047.449,956
1533592047.456,962
1533592047.482,960
1533592047.507,938
1533592047.515,976
1533592047.535,968
1533592047.548,946
1533592047.566,965
1533592047.577,973
1533592047.595,962
1533592047.608,958
1533592047.631,969
1533592047.639,968
1533592047.647,951
1533592047.659,963
1533592047.676,965
1533592047.738,961
1533592047.754,977
1533592047.764,977
1533592047.776,953
1533592047.789,974
1533592047.797,950
1533592047.822,955
1533592047.856,962
1533592047.863,973
1533592047.87,954
1533592047.879,954
1533592047.889,969
1533592047.933,960
1533592047.955,957
1533592047.962,991
1533592047.971,949
1533592048.012,951
1533592048.047,952
1533592048.055,937
1533592048.095,958
1533592048.104,941
1533592048.111,943
1533592048.12,955
1533592048.129,949
1533592048.139,943
1533592048.155,950
1533592048.172,947
1533592048.195,951
1533592048.228,920
1533592048.236,944
1533592048.244,924
1533592048.261,941
1533592048.285,920
1533592048.294,930
1533592048.302,937
1533592048.312,939
1533592048.331,926
1533592048.369,919
1533592048.377,949
1533592048.385,913
1533592048.396,928
1533592048.403,925
1533592048.43,926
1533592048.462,905
1533592048.478,901
1533592048.485,892
1533592048.493,900
1533592048.51,899
1533592048.518,914
1533592048.526,914
1533592048.552,897
1533592048.559,892
1533592048.576,899
1533592048.586,886
1533592048.593,905
1533592048.602,903
1533592048.613,892
1533592048.629,902
1533592048.643,889
1533592048.66,876
1533592048.718,892
1533592048.734,898
1533592048.742,912
1533592048.75,891
1533592048.759,885
1533592048.766,918
1533592048.776,906
1533592048.783,885
1533592048.795,884
1533592048.809,897
1533592048.817,889
1533592048.825,874
1533592048.833,892
1533592048.842,877
1533592048.85,886
1533592048.859,867
1533592048.867,871
1533592048.875,876
1533592048.884,878
1533592048.892,882
1533592048.9,886
1533592048.91,890
1533592048.974,883
1533592049.022,886
1533592049.062,881
1533592049.084,881
1533592049.112,887
1533592049.122,880
1533592049.139,887
1533592049.149,877
1533592049.16,887
1533592049.226,860
1533592049.255,863
1533592049.282,874
1533592049.306,862
1533592049.327,857
1533592049.381,889
1533592049.399,865
1533592049.422,859
1533592049.481,866
1533592049.52,848
1533592049.536,835
1533592049.558,868
1533592049.572,855
1533592049.587,886
1533592049.607,861
1533592049.697,859
1533592049.706,865
1533592049.714,849
1533592049.724,867
1533592049.74,852
1533592049.747,870
1533592049.755,842
1533592049.797,858
1533592049.805,856
1533592049.812,871
1533592049.821,856
1533592049.829,807
1533592049.837,846
1533592049.846,835
1533592049.854,843
1533592049.862,847
1533592049.871,813
1533592049.879,802
1533592049.887,788
1533592049.896,802
1533592049.904,773
1533592049.912,781
1533592049.922,757
1533592049.929,774
1533592049.938,765
1533592049.958,804
1533592049.972,862
