time,value
1536230233.102,-17
1536230233.132,-3
1536230233.147,4
1536230233.171,-13
1536230233.211,-2
1536230233.251,2
1536230233.261,6
1536230233.277,1
1536230233.31,2
1536230233.33,1
1536230233.366,-3
1536230233.399,-7
1536230233.408,5
1536230233.433,-9
1536230233.461,4
1536230233.477,10
1536230233.534,-2
1536230233.557,12
1536230233.606,11
1536230233.674,7
1536230233.691,10
1536230233.712,9
1536230233.724,-8
1536230233.742,0
1536230233.753,1
1536230233.761,-3
1536230233.77,5
1536230233.781,1
1536230233.799,-8
1536230233.824,2
1536230233.847,-1
1536230233.885,1
1536230233.894,3
1536230233.903,3
1536230233.96,11
1536230233.967,-1
1536230233.976,-1
1536230233.985,1
1536230234.023,4
1536230234.033,-1
1536230234.053,1
1536230234.067,0
1536230234.078,2
1536230234.098,-1
1536230234.14,1
1536230234.158,-1
1536230234.227,-5
1536230234.293,2
1536230234.354,4
1536230234.38,0
1536230234.438,-3
1536230234.479,-1
1536230234.506,-1
1536230234.529,-1
1536230234.589,22
1536230234.61,20
1536230234.621,34
1536230234.67,409
1536230234.685,543
1536230234.711,552
1536230234.718,538
1536230234.727,575
1536230234.736,606
1536230234.82,660
1536230234.891,653
1536230234.966,667
1536230235.097,667
1536230235.142,669
1536230235.172,656
1536230235.183,657
1536230235.198,669
1536230235.227,664
1536230235.329,648
1536230235.349,654
1536230235.395,669
1536230235.418,653
1536230235.427,649
1536230235.439,645
1536230235.453,644
1536230235.502,641
1536230235.51,647
1536230235.521,658
1536230235.544,635
1536230235.612,650
1536230235.634,649
1536230235.643,661
1536230235.65,647
1536230235.681,645
1536230235.691,667
1536230235.7,654
1536230235.709,654
1536230235.726,653
1536230235.735,653
1536230235.761,650
1536230235.817,633
1536230235.824,630
1536230235.859,643
1536230235.881,652
1536230235.898,653
1536230235.926,653
1536230235.947,659
1536230236.021,676
1536230236.07,676
1536230236.161,644
1536230236.17,649
1536230236.178,656
1536230236.195,645
1536230236.204,661
1536230236.238,654
1536230236.256,645
1536230236.27,660
1536230236.277,671
1536230236.289,670
1536230236.304,667
1536230236.32,664
1536230236.342,663
1536230236.357,678
1536230236.368,676
1536230236.428,677
1536230236.442,672
1536230236.451,676
1536230236.46,660
1536230236.49,669
1536230236.5,669
1536230236.508,661
1536230236.517,671
1536230236.524,674
1536230236.534,672
1536230236.571,676
1536230236.582,667
1536230236.59,661
1536230236.599,667
1536230236.607,669
1536230236.639,665
1536230236.656,674
1536230236.666,679
1536230236.672,675
1536230236.682,676
1536230236.689,682
1536230236.721,664
1536230236.731,653
1536230236.779,662
1536230236.854,658
1536230236.88,667
1536230236.888,657
1536230236.902,650
1536230236.913,647
1536230236.92,653
1536230236.929,662
1536230236.936,656
1536230236.946,644
1536230236.964,655
1536230236.989,659
1536230237.003,644
1536230237.012,638
1536230237.019,644
1536230237.031,643
1536230237.065,638
1536230237.077,651
1536230237.085,654
1536230237.095,659
1536230237.11,664
1536230237.127,651
1536230237.139,656
1536230237.16,648
1536230237.176,637
1536230237.202,643
1536230237.209,640
1536230237.227,648
1536230237.256,647
1536230237.266,630
1536230237.276,641
1536230237.283,647
1536230237.291,639
1536230237.299,642
1536230237.309,635
1536230237.342,639
1536230237.348,628
1536230237.378,642
1536230237.39,618
1536230237.448,639
1536230237.456,641
1536230237.474,627
1536230237.481,640
1536230237.498,629
1536230237.507,628
1536230237.514,627
1536230237.532,635
1536230237.55,638
1536230237.621,615
1536230237.638,635
1536230237.646,629
1536230237.667,621
1536230237.679,626
1536230237.688,628
1536230237.695,630
1536230237.713,625
1536230237.721,609
1536230237.729,612
1536230237.741,617
1536230237.76,603
1536230237.77,617
1536230237.778,626
1536230237.787,621
1536230237.805,621
1536230237.819,620
1536230237.828,622
1536230237.836,615
1536230237.852,613
1536230237.86,615
1536230237.868,623
1536230237.887,611
1536230237.911,607
1536230237.969,465
