time,value
1533600190.833,710
1533600190.844,752
1533600190.852,761
1533600190.865,771
1533600190.872,785
1533600190.882,790
1533600190.894,809
1533600190.901,798
1533600190.908,809
1533600190.915,806
1533600190.925,808
1533600190.932,816
1533600190.94,809
1533600190.95,806
1533600190.957,821
1533600190.965,805
1533600190.974,821
1533600190.98,808
1533600190.988,809
1533600190.997,819
1533600191.005,806
1533600191.021,820
1533600191.027,808
1533600191.037,817
1533600191.043,819
1533600191.049,815
1533600191.058,814
1533600191.064,803
1533600191.076,807
1533600191.084,808
1533600191.095,798
1533600191.102,809
1533600191.112,822
1533600191.123,816
1533600191.129,821
1533600191.138,812
1533600191.145,825
1533600191.153,812
1533600191.163,824
1533600191.172,811
1533600191.182,815
1533600191.189,817
1533600191.196,823
1533600191.208,834
1533600191.216,826
1533600191.223,815
1533600191.229,815
1533600191.244,834
1533600191.254,815
1533600191.261,824
1533600191.274,822
1533600191.28,827
1533600191.289,821
1533600191.295,821
1533600191.305,821
1533600191.311,831
1533600191.319,816
1533600191.331,821
1533600191.338,818
1533600191.345,818
1533600191.353,818
1533600191.361,819
1533600191.37,820
1533600191.376,811
1533600191.39,825
1533600191.397,816
1533600191.406,820
1533600191.412,816
1533600191.423,809
1533600191.43,819
1533600191.437,824
1533600191.444,831
1533600191.454,822
1533600191.46,818
1533600191.468,825
1533600191.478,833
1533600191.486,816
1533600191.492,818
1533600191.501,830
1533600191.51,827
1533600191.518,827
1533600191.525,824
1533600191.536,814
1533600191.543,829
1533600191.551,822
1533600191.56,824
1533600191.568,812
1533600191.575,830
1533600191.585,828
1533600191.592,803
1533600191.6,814
1533600191.609,821
1533600191.618,825
1533600191.624,820
1533600191.636,821
1533600191.643,826
1533600191.652,824
1533600191.661,830
1533600191.67,820
1533600191.677,826
1533600191.689,839
1533600191.697,826
1533600191.706,817
1533600191.717,826
1533600191.724,824
1533600191.739,829
1533600191.746,831
1533600191.756,819
1533600191.769,829
1533600191.776,824
1533600191.786,818
1533600191.794,818
1533600191.806,844
1533600191.814,823
