time,value
1533599916.456,829
1533599916.467,863
1533599916.475,884
1533599916.485,895
1533599916.507,919
1533599916.516,914
1533599916.542,930
1533599916.558,924
1533599916.568,923
1533599916.592,927
1533599916.605,933
1533599916.619,915
1533599916.648,927
1533599916.656,918
1533599916.665,919
1533599916.675,930
1533599916.681,936
1533599916.705,921
1533599916.723,933
1533599916.738,936
1533599916.763,937
1533599916.771,939
1533599916.797,933
1533599916.814,940
1533599916.822,934
1533599916.83,936
1533599916.847,931
1533599916.864,933
1533599916.872,934
1533599916.881,931
1533599916.888,944
1533599916.898,932
1533599916.904,934
1533599916.914,930
1533599916.923,939
1533599916.93,925
1533599916.988,949
1533599916.996,935
1533599917.006,942
1533599917.011,933
1533599917.029,945
1533599917.038,941
1533599917.046,940
1533599917.054,954
1533599917.07,954
1533599917.104,947
1533599917.129,951
1533599917.136,961
1533599917.145,942
1533599917.153,949
1533599917.186,966
1533599917.198,944
1533599917.22,963
1533599917.251,966
1533599917.261,953
1533599917.272,965
1533599917.286,958
1533599917.297,970
1533599917.303,965
1533599917.312,967
1533599917.322,966
1533599917.328,966
1533599917.337,982
1533599917.345,981
1533599917.352,979
1533599917.362,978
1533599917.37,964
1533599917.396,973
1533599917.402,968
1533599917.411,973
1533599917.419,984
1533599917.459,969
1533599917.469,975
1533599917.477,979
1533599917.51,975
1533599917.576,970
1533599917.586,977
1533599917.593,970
1533599917.619,975
1533599917.626,976
1533599917.667,977
1533599917.684,981
1533599917.693,967
1533599917.733,978
1533599917.76,969
1533599917.767,970
1533599917.776,970
1533599917.784,984
1533599917.8,976
1533599917.909,977
1533599917.914,971
1533599917.923,968
1533599917.96,965
1533599917.987,981
1533599918.0,972
1533599918.032,984
1533599918.043,973
1533599918.09,971
1533599918.098,969
1533599918.107,975
1533599918.115,965
1533599918.124,960
1533599918.132,981
1533599918.141,974
1533599918.148,982
1533599918.156,978
1533599918.165,962
1533599918.174,970
1533599918.181,977
1533599918.198,974
1533599918.208,968
1533599918.225,985
1533599918.231,978
1533599918.241,971
1533599918.248,965
1533599918.258,965
1533599918.274,974
1533599918.28,963
1533599918.291,978
1533599918.298,954
1533599918.306,988
1533599918.314,968
1533599918.323,967
1533599918.331,973
1533599918.348,974
1533599918.356,963
1533599918.363,968
1533599918.374,987
1533599918.38,972
1533599918.39,959
1533599918.414,969
1533599918.423,953
1533599918.463,976
1533599918.471,971
1533599918.48,971
1533599918.488,978
1533599918.497,979
1533599918.514,968
1533599918.556,974
1533599918.563,977
1533599918.571,971
1533599918.579,965
1533599918.588,981
1533599918.596,971
1533599918.605,985
1533599918.612,962
1533599918.622,964
1533599918.631,966
1533599918.639,967
1533599918.646,966
1533599918.655,980
1533599918.663,972
1533599918.672,975
1533599918.678,966
1533599918.688,970
1533599918.696,962
1533599918.704,960
1533599918.712,962
1533599918.72,966
1533599918.729,970
1533599918.737,968
1533599918.746,975
1533599918.758,970
1533599918.771,984
1533599918.78,969
1533599918.787,967
1533599918.814,979
1533599918.829,972
1533599918.837,963
1533599918.845,971
1533599918.853,963
1533599918.863,967
1533599918.911,970
1533599918.976,975
1533599918.985,966
1533599918.994,965
1533599919.004,958
1533599919.053,974
1533599919.127,968
1533599919.143,970
1533599919.159,969
1533599919.169,965
1533599919.186,965
1533599919.193,963
1533599919.202,963
1533599919.218,973
1533599919.234,963
1533599919.243,971
1533599919.251,971
1533599919.259,968
1533599919.268,981
1533599919.277,961
1533599919.284,965
1533599919.302,968
1533599919.309,969
1533599919.318,963
1533599919.327,968
1533599919.336,970
1533599919.352,963
1533599919.359,965
1533599919.369,978
1533599919.375,969
1533599919.386,966
1533599919.392,971
1533599919.402,966
1533599919.409,964
1533599919.419,969
1533599919.425,960
1533599919.436,982
1533599919.452,968
1533599919.459,971
1533599919.468,972
1533599919.486,960
1533599919.492,969
1533599919.501,976
1533599919.509,960
1533599919.518,968
1533599919.525,975
1533599919.535,968
1533599919.541,957
1533599919.55,975
1533599919.56,978
1533599919.569,970
1533599919.575,973
1533599919.585,967
1533599919.592,960
1533599919.602,967
1533599919.61,976
1533599919.622,970
1533599919.637,973
1533599919.65,969
1533599919.668,974
1533599919.674,969
1533599919.691,963
1533599919.707,979
1533599919.717,963
1533599919.724,968
1533599919.732,977
1533599919.741,969
1533599919.75,963
1533599919.758,982
1533599919.767,971
1533599919.774,964
1533599919.782,968
1533599919.79,968
1533599919.799,974
1533599919.816,965
1533599919.825,978
1533599919.844,974
1533599919.873,975
1533599919.906,981
1533599919.915,974
1533599919.925,969
1533599919.943,970
1533599919.963,968
1533599919.98,968
1533599919.997,963
1533599920.113,971
1533599920.172,970
1533599920.229,975
1533599920.429,972
1533599920.466,962
1533599920.48,960
1533599920.516,957
1533599920.53,959
1533599920.539,957
1533599920.556,970
1533599920.569,951
1533599920.579,960
1533599920.588,962
1533599920.629,948
1533599920.638,965
1533599920.653,957
1533599920.671,960
1533599920.68,960
1533599920.699,957
1533599920.731,966
1533599920.748,964
1533599920.764,971
1533599920.772,955
1533599920.781,950
1533599920.787,968
1533599920.798,957
1533599920.811,957
1533599920.83,962
1533599920.855,963
1533599920.873,960
1533599920.888,960
1533599920.894,957
1533599920.918,972
1533599920.927,951
1533599920.937,960
1533599920.947,962
1533599920.962,980
1533599920.969,958
1533599920.987,960
1533599920.996,947
1533599921.036,971
1533599921.053,953
1533599921.061,958
1533599921.069,960
1533599921.076,959
1533599921.101,964
1533599921.111,958
1533599921.119,952
1533599921.136,962
1533599921.156,955
1533599921.177,964
1533599921.193,957
1533599921.236,968
1533599921.242,965
1533599921.26,961
1533599921.271,974
1533599921.293,960
1533599921.3,962
1533599921.311,954
1533599921.317,958
1533599921.327,957
1533599921.334,960
1533599921.353,984
1533599921.36,960
1533599921.367,971
1533599921.38,959
1533599921.416,963
1533599921.449,964
1533599921.466,957
1533599921.516,964
1533599921.536,961
1533599921.565,968
1533599921.599,954
1533599921.607,959
1533599921.635,959
1533599921.722,957
1533599921.768,950
1533599921.781,955
1533599921.792,954
1533599921.832,951
1533599921.839,950
1533599921.86,954
1533599921.874,954
1533599921.916,957
1533599921.94,951
1533599921.979,966
1533599921.99,955
1533599922.005,945
1533599922.016,956
1533599922.023,951
1533599922.032,962
1533599922.055,963
1533599922.089,944
1533599922.097,950
1533599922.106,942
1533599922.164,957
1533599922.197,946
1533599922.216,953
1533599922.223,951
1533599922.232,962
1533599922.24,973
1533599922.258,982
1533599922.283,985
1533599922.31,993
1533599922.326,995
1533599922.352,1002
1533599922.373,991
1533599922.378,990
1533599922.399,984
1533599922.42,993
1533599922.429,993
1533599922.437,994
1533599922.463,989
1533599922.494,983
1533599922.504,1001
1533599922.511,989
1533599922.52,994
1533599922.533,1005
1533599922.562,989
1533599922.569,979
1533599922.58,1001
1533599922.597,990
1533599922.612,981
1533599922.644,993
1533599922.662,991
1533599922.671,992
1533599922.677,988
1533599922.687,990
1533599922.709,994
1533599922.726,987
1533599922.736,988
1533599922.761,993
1533599922.769,1000
1533599922.776,991
1533599922.793,984
1533599922.814,977
1533599922.843,989
1533599922.869,982
1533599922.894,983
1533599922.929,995
1533599922.951,991
1533599922.965,996
1533599922.972,993
1533599922.981,994
1533599923.017,992
1533599923.258,993
1533599923.266,986
1533599923.285,985
1533599923.317,988
1533599923.324,1002
1533599923.336,989
1533599923.367,992
1533599923.473,987
1533599923.49,990
1533599923.517,995
1533599923.55,985
1533599923.574,991
1533599923.583,992
1533599923.589,998
1533599923.598,996
1533599923.608,1007
1533599923.616,980
1533599923.626,1002
1533599923.64,984
1533599923.649,994
1533599923.659,990
1533599923.666,1001
1533599923.677,1003
1533599923.691,994
1533599923.714,987
1533599923.724,987
1533599923.748,999
1533599923.758,995
1533599923.765,996
1533599923.782,988
1533599923.792,989
1533599923.811,989
1533599923.833,993
1533599923.84,1000
1533599923.907,998
1533599923.914,986
1533599923.927,995
1533599923.939,987
1533599923.947,996
1533599923.97,999
1533599923.981,991
1533599923.994,997
1533599924.022,992
1533599924.035,1003
1533599924.061,987
1533599924.104,990
1533599924.112,986
1533599924.13,998
1533599924.137,997
1533599924.147,990
1533599924.156,995
1533599924.175,1005
1533599924.189,995
1533599924.197,996
1533599924.207,992
1533599924.247,999
1533599924.263,988
1533599924.283,996
1533599924.302,1004
1533599924.315,992
1533599924.342,994
1533599924.36,1008
1533599924.379,1000
1533599924.386,988
1533599924.397,984
1533599924.41,986
1533599924.419,995
1533599924.428,996
