time,value
1533593542.542,661
1533593542.554,679
1533593542.564,672
1533593542.578,687
1533593542.588,693
1533593542.601,699
1533593542.613,687
1533593542.621,700
1533593542.631,693
1533593542.64,717
1533593542.648,717
1533593542.656,720
1533593542.667,710
1533593542.675,716
1533593542.683,716
1533593542.699,710
1533593542.706,714
1533593542.715,716
1533593542.727,716
1533593542.735,731
1533593542.744,713
1533593542.755,707
1533593542.764,708
1533593542.772,711
1533593542.782,706
1533593542.79,700
1533593542.797,707
1533593542.807,710
1533593542.815,699
1533593542.828,716
1533593542.845,712
1533593542.856,704
1533593542.865,712
1533593542.875,704
1533593542.886,707
1533593542.893,726
1533593542.902,707
1533593542.912,715
1533593542.925,709
1533593542.941,716
1533593542.951,711
1533593542.962,720
1533593542.976,726
1533593542.991,726
1533593543.0,734
1533593543.013,725
1533593543.021,719
1533593543.029,722
1533593543.041,740
1533593543.05,738
1533593543.058,728
1533593543.069,733
1533593543.078,721
1533593543.087,738
1533593543.096,735
1533593543.109,748
1533593543.118,734
1533593543.126,731
1533593543.139,737
1533593543.146,741
1533593543.155,732
1533593543.165,737
1533593543.174,739
1533593543.181,739
1533593543.193,748
1533593543.201,741
1533593543.209,743
1533593543.219,728
1533593543.228,728
1533593543.236,743
1533593543.247,749
1533593543.255,740
1533593543.262,724
1533593543.274,739
1533593543.282,738
1533593543.291,749
1533593543.298,740
1533593543.31,737
1533593543.317,733
1533593543.326,739
1533593543.337,740
1533593543.346,759
1533593543.354,737
1533593543.373,737
1533593543.386,738
1533593543.399,728
1533593543.406,736
1533593543.42,738
1533593543.429,737
1533593543.436,746
1533593543.446,738
1533593543.462,745
1533593543.475,737
1533593543.483,738
1533593543.494,728
1533593543.509,746
1533593543.516,730
1533593543.524,743
1533593543.532,743
1533593543.546,740
1533593543.554,751
1533593543.561,731
1533593543.569,739
1533593543.579,754
1533593543.588,749
1533593543.599,744
1533593543.614,752
1533593543.623,762
1533593543.632,751
1533593543.645,754
1533593543.652,735
1533593543.662,742
1533593543.67,759
1533593543.681,737
1533593543.69,765
1533593543.698,757
1533593543.711,748
1533593543.719,756
1533593543.726,749
1533593543.738,752
1533593543.746,756
1533593543.761,751
1533593543.773,740
1533593543.782,757
1533593543.79,754
1533593543.8,735
1533593543.809,757
1533593543.816,739
1533593543.826,739
1533593543.836,751
1533593543.847,753
1533593543.854,749
1533593543.863,742
1533593543.874,737
1533593543.888,739
1533593543.896,740
1533593543.903,741
1533593543.913,742
1533593543.928,753
1533593543.935,760
1533593543.944,756
1533593543.955,732
1533593543.966,738
1533593543.975,746
1533593543.984,739
1533593543.995,751
1533593544.009,740
1533593544.016,749
1533593544.024,747
1533593544.037,752
1533593544.044,751
1533593544.052,754
1533593544.061,760
1533593544.073,749
1533593544.08,755
1533593544.088,754
1533593544.096,755
1533593544.109,755
1533593544.116,763
1533593544.127,741
1533593544.138,766
1533593544.148,758
1533593544.156,762
1533593544.166,743
1533593544.174,753
1533593544.181,753
1533593544.194,755
1533593544.203,743
1533593544.211,755
1533593544.223,752
1533593544.231,757
1533593544.239,749
1533593544.25,770
1533593544.259,760
1533593544.267,750
1533593544.278,764
1533593544.285,762
1533593544.293,762
1533593544.303,751
1533593544.311,746
1533593544.318,750
1533593544.329,764
1533593544.337,758
1533593544.345,764
1533593544.356,755
1533593544.363,761
1533593544.372,759
1533593544.379,757
1533593544.392,770
1533593544.399,755
1533593544.409,762
1533593544.417,766
1533593544.43,763
1533593544.441,757
1533593544.45,746
1533593544.461,755
1533593544.475,761
1533593544.482,756
1533593544.49,749
1533593544.499,748
1533593544.512,750
1533593544.52,781
1533593544.53,765
1533593544.539,770
1533593544.548,761
1533593544.564,756
1533593544.573,763
1533593544.581,756
1533593544.593,765
1533593544.604,746
1533593544.612,777
1533593544.62,758
1533593544.633,759
1533593544.642,757
1533593544.65,763
1533593544.659,753
1533593544.67,774
1533593544.678,761
1533593544.689,756
1533593544.698,758
1533593544.709,768
1533593544.718,758
1533593544.725,755
1533593544.732,764
1533593544.745,750
1533593544.754,755
1533593544.761,761
1533593544.771,764
1533593544.779,763
1533593544.787,763
1533593544.798,761
1533593544.806,751
1533593544.814,753
1533593544.822,761
1533593544.831,764
1533593544.84,759
1533593544.855,760
1533593544.868,758
1533593544.88,771
1533593544.888,794
1533593544.896,796
1533593544.909,802
1533593544.917,810
1533593544.925,813
1533593544.932,827
1533593544.943,833
1533593544.951,834
1533593544.959,816
1533593544.969,826
1533593544.979,829
1533593544.987,829
1533593544.994,839
1533593545.003,855
1533593545.011,840
1533593545.02,845
1533593545.027,835
1533593545.036,822
1533593545.047,846
1533593545.055,829
1533593545.063,840
1533593545.075,843
1533593545.084,836
1533593545.092,846
1533593545.105,828
1533593545.111,840
1533593545.12,851
1533593545.127,834
1533593545.144,848
1533593545.151,838
1533593545.159,844
1533593545.168,834
1533593545.179,843
1533593545.188,841
1533593545.195,837
1533593545.21,831
1533593545.235,834
1533593545.243,843
1533593545.251,829
1533593545.265,843
1533593545.273,842
1533593545.285,836
1533593545.293,855
1533593545.305,831
1533593545.313,844
1533593545.321,840
1533593545.334,825
1533593545.341,852
1533593545.351,829
1533593545.363,855
1533593545.37,841
1533593545.378,847
