time,value
1533593330.184,889
1533593330.201,908
1533593330.226,909
1533593330.241,937
1533593330.254,933
1533593330.268,928
1533593330.286,940
1533593330.299,934
1533593330.313,928
1533593330.334,914
1533593330.348,928
1533593330.356,931
1533593330.364,932
1533593330.376,936
1533593330.391,935
1533593330.398,921
1533593330.406,937
1533593330.414,917
1533593330.423,928
1533593330.434,944
1533593330.448,936
1533593330.455,929
1533593330.465,920
1533593330.473,928
1533593330.481,912
1533593330.489,927
1533593330.498,917
1533593330.509,937
1533593330.523,919
1533593330.533,924
1533593330.548,930
1533593330.555,935
1533593330.563,931
1533593330.573,944
1533593330.584,929
1533593330.597,927
1533593330.605,940
1533593330.622,933
1533593330.63,933
1533593330.638,927
1533593330.647,938
1533593330.66,924
1533593330.672,927
1533593330.689,916
1533593330.699,922
1533593330.716,915
1533593330.73,934
1533593330.747,924
1533593330.754,941
1533593330.766,928
1533593330.78,922
1533593330.788,931
1533593330.796,936
1533593330.804,934
1533593330.813,940
1533593330.82,938
1533593330.83,932
1533593330.845,926
1533593330.86,939
1533593330.931,940
1533593331.004,946
1533593331.226,927
1533593331.371,947
1533593331.403,922
1533593331.501,938
1533593331.51,927
1533593331.519,943
1533593331.527,930
1533593331.537,934
1533593331.549,937
1533593331.561,938
1533593331.576,942
1533593331.584,936
1533593331.596,944
1533593331.614,942
1533593331.635,951
1533593331.651,930
1533593331.711,932
1533593331.774,938
1533593331.84,934
1533593331.87,929
1533593331.923,945
1533593332.046,938
1533593332.055,933
1533593332.066,938
1533593332.072,944
1533593332.08,928
1533593332.09,937
1533593332.099,938
1533593332.106,951
1533593332.173,934
1533593332.304,941
1533593332.379,941
1533593332.395,936
1533593332.404,946
1533593332.413,939
1533593332.42,944
1533593332.429,947
1533593332.507,945
1533593332.561,940
1533593332.629,943
1533593332.646,941
1533593332.654,933
1533593332.662,942
1533593332.679,930
1533593332.688,938
1533593332.695,939
1533593332.706,940
1533593332.722,944
1533593332.729,954
1533593332.737,921
1533593332.745,936
1533593332.755,921
1533593332.763,938
1533593332.773,941
1533593332.806,943
1533593332.814,939
1533593332.854,938
1533593332.86,952
1533593332.881,950
1533593332.905,934
1533593332.924,936
1533593332.945,949
1533593332.957,945
1533593332.97,932
1533593332.977,936
1533593332.986,928
1533593333.059,942
1533593333.094,929
1533593333.119,930
1533593333.135,952
1533593333.152,947
1533593333.176,946
1533593333.201,941
1533593333.243,949
1533593333.3,933
1533593333.308,944
1533593333.317,924
1533593333.325,944
1533593333.332,930
1533593333.443,943
1533593333.45,944
1533593333.489,957
1533593333.499,946
1533593333.513,940
1533593333.525,944
1533593333.546,943
1533593333.593,945
1533593333.619,945
1533593333.65,938
1533593333.666,943
1533593333.674,942
1533593333.683,947
1533593333.691,944
1533593333.716,944
1533593333.733,941
1533593333.782,932
1533593333.797,930
1533593333.863,945
1533593333.872,935
1533593333.885,950
1533593333.899,932
1533593333.949,934
1533593333.973,949
1533593334.002,939
1533593334.014,937
1533593334.028,949
1533593334.039,951
1533593334.055,945
1533593334.072,951
1533593334.09,941
1533593334.1,948
1533593334.13,937
1533593334.137,938
1533593334.148,936
1533593334.164,939
1533593334.18,950
1533593334.189,945
1533593334.204,947
1533593334.222,953
1533593334.248,950
1533593334.263,949
1533593334.28,946
1533593334.288,944
1533593334.321,938
1533593334.329,936
1533593334.347,949
1533593334.362,953
1533593334.379,945
1533593334.386,951
1533593334.396,949
1533593334.41,940
1533593334.471,942
1533593334.48,957
1533593334.49,948
1533593334.529,944
1533593334.536,935
1533593334.545,935
1533593334.563,942
1533593334.578,950
1533593334.603,948
1533593334.621,962
1533593334.63,943
1533593334.648,951
1533593334.663,944
1533593334.678,936
1533593334.687,933
1533593334.696,939
1533593334.768,941
1533593334.843,955
1533593334.976,931
1533593335.049,952
1533593335.076,950
1533593335.084,948
1533593335.092,943
1533593335.1,947
1533593335.125,939
1533593335.159,947
1533593335.175,954
1533593335.183,943
1533593335.192,944
1533593335.2,955
1533593335.209,932
1533593335.217,935
1533593335.235,945
1533593335.291,940
1533593335.325,962
1533593335.333,965
1533593335.341,950
1533593335.349,963
1533593335.358,963
1533593335.391,972
1533593335.399,983
1533593335.433,977
1533593335.441,994
1533593335.449,972
1533593335.482,990
1533593335.49,986
1533593335.508,992
1533593335.515,987
1533593335.525,990
1533593335.54,983
1533593335.561,985
1533593335.58,985
1533593335.59,994
1533593335.597,986
1533593335.608,993
1533593335.624,971
1533593335.637,981
1533593335.651,972
1533593335.673,987
1533593335.714,993
1533593335.723,981
1533593335.749,988
1533593335.756,993
1533593335.767,983
1533593335.795,998
1533593335.814,969
1533593335.821,995
1533593335.83,983
1533593335.849,980
1533593335.864,994
1533593335.874,996
1533593335.937,989
1533593335.947,987
1533593335.97,987
1533593335.979,991
1533593335.995,987
1533593336.003,980
1533593336.034,982
1533593336.053,991
1533593336.061,977
1533593336.069,976
1533593336.088,990
1533593336.094,994
1533593336.104,991
1533593336.114,982
1533593336.131,987
1533593336.146,986
1533593336.171,989
1533593336.182,982
1533593336.201,989
1533593336.25,993
1533593336.287,984
1533593336.356,985
1533593336.369,985
1533593336.378,988
1533593336.402,990
1533593336.44,988
1533593336.463,971
1533593336.483,990
1533593336.501,976
1533593336.512,983
1533593336.53,983
1533593336.549,983
1533593336.562,981
1533593336.585,989
1533593336.593,975
1533593336.601,992
1533593336.61,978
1533593336.618,984
1533593336.626,989
1533593336.636,971
1533593336.644,975
1533593336.652,979
1533593336.668,979
1533593336.676,983
1533593336.684,981
1533593336.693,997
1533593336.701,982
1533593336.709,993
1533593336.718,989
1533593336.725,994
