time,value
1533145123.823,787
1533145123.832,797
1533145123.857,820
1533145123.869,809
1533145123.881,827
1533145123.893,834
1533145123.9,833
1533145123.908,831
1533145123.918,836
1533145123.925,847
1533145123.933,836
1533145123.941,858
1533145123.952,844
1533145123.959,839
1533145123.966,839
1533145123.979,858
1533145123.985,858
1533145123.995,840
1533145124.001,850
1533145124.013,847
1533145124.019,849
1533145124.028,829
1533145124.038,861
1533145124.046,846
1533145124.053,849
1533145124.061,849
1533145124.068,854
1533145124.079,836
1533145124.086,850
1533145124.093,861
1533145124.104,838
1533145124.115,848
1533145124.123,831
1533145124.132,849
1533145124.142,842
1533145124.152,844
1533145124.158,837
1533145124.166,836
1533145124.173,824
1533145124.185,828
1533145124.192,845
1533145124.2,829
1533145124.212,846
1533145124.218,844
1533145124.226,847
1533145124.233,843
1533145124.245,859
1533145124.251,839
1533145124.261,839
1533145124.271,837
1533145124.279,843
1533145124.285,842
1533145124.293,849
1533145124.304,846
1533145124.312,839
1533145124.319,836
1533145124.329,843
1533145124.338,837
1533145124.347,845
1533145124.354,846
1533145124.365,844
1533145124.372,846
1533145124.381,849
1533145124.387,846
1533145124.398,846
1533145124.405,843
1533145124.413,842
1533145124.423,840
1533145124.431,831
1533145124.438,849
1533145124.447,839
1533145124.457,815
1533145124.464,844
1533145124.471,830
1533145124.48,832
1533145124.49,839
1533145124.497,863
1533145124.504,839
1533145124.513,846
1533145124.527,829
1533145124.533,837
1533145124.542,843
1533145124.549,846
1533145124.561,818
1533145124.567,845
1533145124.577,845
1533145124.587,844
1533145124.595,848
1533145124.602,848
1533145124.61,858
1533145124.622,852
1533145124.63,844
1533145124.638,843
1533145124.647,843
1533145124.66,851
1533145124.667,830
1533145124.677,855
1533145124.689,863
1533145124.702,843
1533145124.711,832
1533145124.718,840
1533145124.727,842
1533145124.739,832
1533145124.747,853
1533145124.754,848
1533145124.762,841
1533145124.771,838
1533145124.781,834
1533145124.788,857
1533145124.796,843
1533145124.804,835
1533145124.814,847
1533145124.82,833
1533145124.828,851
1533145124.84,829
1533145124.846,847
1533145124.853,834
1533145124.861,838
1533145124.868,849
1533145124.879,834
1533145124.885,845
1533145124.894,837
1533145124.901,837
1533145124.914,836
1533145124.921,854
1533145124.928,845
1533145124.935,848
1533145124.947,856
1533145124.954,858
1533145124.962,834
1533145124.975,839
1533145124.981,846
1533145124.988,831
1533145124.996,837
1533145125.003,842
1533145125.014,823
1533145125.021,850
1533145125.029,836
1533145125.035,837
1533145125.047,835
1533145125.053,840
1533145125.062,852
1533145125.068,845
1533145125.08,847
1533145125.087,841
1533145125.095,837
1533145125.102,839
1533145125.113,833
1533145125.12,843
1533145125.127,843
1533145125.134,840
1533145125.146,835
1533145125.153,841
1533145125.168,853
1533145125.175,844
1533145125.189,847
1533145125.197,841
1533145125.204,838
1533145125.211,860
1533145125.224,852
1533145125.23,836
1533145125.239,838
1533145125.245,827
1533145125.257,838
1533145125.263,839
1533145125.272,846
1533145125.28,854
1533145125.291,845
1533145125.297,848
1533145125.307,827
1533145125.318,836
1533145125.325,824
1533145125.333,849
1533145125.341,835
1533145125.351,850
1533145125.359,840
1533145125.365,841
1533145125.373,848
1533145125.384,851
1533145125.391,837
1533145125.397,840
1533145125.405,852
1533145125.415,854
1533145125.421,840
1533145125.427,846
1533145125.434,831
1533145125.442,862
1533145125.451,848
1533145125.459,827
1533145125.465,845
1533145125.473,842
1533145125.483,839
1533145125.489,843
1533145125.496,839
1533145125.502,848
1533145125.511,831
1533145125.518,854
1533145125.525,839
1533145125.532,848
1533145125.542,849
1533145125.548,856
1533145125.556,850
1533145125.566,857
1533145125.573,837
1533145125.579,863
1533145125.588,843
1533145125.597,846
1533145125.602,857
1533145125.61,849
1533145125.616,847
1533145125.626,847
1533145125.633,860
1533145125.641,848
1533145125.651,839
1533145125.659,850
1533145125.665,833
1533145125.674,839
1533145125.68,852
1533145125.687,844
1533145125.693,843
1533145125.703,855
1533145125.713,850
1533145125.72,850
1533145125.727,848
1533145125.734,853
1533145125.744,860
1533145125.75,848
1533145125.757,858
1533145125.763,833
1533145125.773,864
1533145125.779,854
1533145125.786,846
1533145125.792,841
1533145125.804,839
1533145125.809,864
1533145125.815,830
1533145125.823,852
1533145125.829,846
1533145125.841,841
1533145125.847,839
1533145125.856,842
1533145125.867,836
1533145125.875,848
1533145125.882,844
1533145125.89,828
1533145125.901,841
1533145125.91,853
1533145125.917,839
1533145125.924,843
1533145125.934,846
1533145125.942,852
1533145125.95,838
1533145125.957,844
1533145125.972,849
1533145125.978,850
1533145125.987,854
1533145125.997,846
1533145126.005,836
1533145126.011,852
