time,value
1533231769.558,769
1533231769.582,835
1533231769.605,832
1533231769.622,856
1533231769.641,869
1533231769.658,872
1533231769.682,868
1533231769.692,866
1533231769.714,863
1533231769.724,878
1533231769.748,882
1533231769.767,879
1533231769.783,884
1533231769.799,876
1533231769.821,876
1533231769.831,881
1533231769.865,888
1533231769.914,870
1533231769.927,866
1533231769.94,887
1533231769.959,886
1533231769.972,873
1533231770.03,872
1533231770.041,878
1533231770.063,870
1533231770.112,887
1533231770.13,889
1533231770.139,862
1533231770.162,874
1533231770.18,879
1533231770.238,868
1533231770.256,866
1533231770.278,868
1533231770.287,884
1533231770.294,864
1533231770.323,871
1533231770.345,862
1533231770.362,878
1533231770.38,883
1533231770.403,878
1533231770.419,873
1533231770.427,875
1533231770.444,867
1533231770.461,878
1533231770.504,878
1533231770.528,878
1533231770.541,873
1533231770.557,872
1533231770.575,873
1533231770.594,873
1533231770.602,877
1533231770.621,865
1533231770.654,870
1533231770.67,869
1533231770.694,878
1533231770.702,872
1533231770.714,881
1533231770.726,868
1533231770.735,861
1533231770.776,861
1533231770.824,870
1533231770.899,876
1533231770.957,878
1533231770.968,875
1533231771.024,858
1533231771.035,886
1533231771.062,876
1533231771.092,878
1533231771.099,877
1533231771.116,875
1533231771.125,878
1533231771.15,867
1533231771.157,868
1533231771.165,868
1533231771.183,861
1533231771.191,883
1533231771.199,852
1533231771.207,887
1533231771.216,871
1533231771.224,881
1533231771.232,870
1533231771.241,864
1533231771.25,880
1533231771.268,873
1533231771.282,866
1533231771.295,874
1533231771.306,865
1533231771.318,862
1533231771.333,868
1533231771.339,872
1533231771.35,868
1533231771.369,870
1533231771.383,870
1533231771.39,864
1533231771.408,875
1533231771.434,877
1533231771.443,872
1533231771.463,871
1533231771.481,882
1533231771.497,874
1533231771.516,871
1533231771.539,880
1533231771.548,882
1533231771.558,864
1533231771.573,871
1533231771.581,866
1533231771.608,868
1533231771.633,873
1533231771.647,878
1533231771.666,864
1533231771.689,885
1533231771.732,883
1533231771.746,871
1533231771.756,870
1533231771.765,867
1533231771.785,876
1533231771.807,868
1533231771.816,871
1533231771.839,874
1533231771.846,886
1533231771.866,882
1533231771.886,861
1533231771.898,872
1533231771.915,867
1533231771.933,872
1533231771.947,874
1533231771.964,870
1533231771.98,861
1533231771.997,869
1533231772.014,873
1533231772.045,873
1533231772.053,887
1533231772.065,884
1533231772.092,886
1533231772.105,878
1533231772.125,874
1533231772.136,876
1533231772.149,874
1533231772.162,876
1533231772.172,871
1533231772.203,881
1533231772.211,882
1533231772.225,883
1533231772.237,874
1533231772.254,868
1533231772.302,873
1533231772.321,881
1533231772.372,872
1533231772.395,875
1533231772.432,868
1533231772.451,869
1533231772.464,874
1533231772.479,877
1533231772.499,882
1533231772.517,870
1533231772.534,869
1533231772.544,890
1533231772.555,880
1533231772.568,879
1533231772.595,880
1533231772.612,892
1533231772.626,894
1533231772.653,882
1533231772.672,876
1533231772.693,877
1533231772.718,871
1533231772.727,871
1533231772.752,881
1533231772.784,879
1533231772.817,883
1533231772.844,881
1533231772.884,878
1533231772.891,887
1533231772.913,881
1533231772.927,869
1533231772.948,878
1533231772.959,871
1533231772.994,874
1533231773.007,882
1533231773.032,872
1533231773.049,866
1533231773.074,868
1533231773.098,867
1533231773.123,882
1533231773.159,873
1533231773.182,863
1533231773.213,870
1533231773.238,864
1533231773.253,877
1533231773.282,868
1533231773.318,874
1533231773.338,861
1533231773.348,880
1533231773.356,870
1533231773.37,872
1533231773.386,875
1533231773.416,868
1533231773.427,869
1533231773.44,877
1533231773.456,870
1533231773.464,863
1533231773.496,869
1533231773.522,859
1533231773.53,868
1533231773.538,869
1533231773.566,866
1533231773.576,858
1533231773.588,875
1533231773.604,862
1533231773.622,878
1533231773.655,876
1533231773.664,880
1533231773.681,871
1533231773.689,869
1533231773.705,873
1533231773.715,879
1533231773.73,870
1533231773.747,873
1533231773.773,852
1533231773.789,856
1533231773.832,874
1533231773.866,867
1533231773.877,871
1533231773.894,874
1533231773.918,870
1533231773.936,858
1533231773.947,866
1533231773.97,867
1533231773.98,856
1533231773.987,854
1533231774.003,872
1533231774.013,873
1533231774.03,867
1533231774.052,872
1533231774.068,868
1533231774.083,869
1533231774.094,863
1533231774.109,861
1533231774.12,862
1533231774.132,864
1533231774.146,864
1533231774.161,869
1533231774.17,863
1533231774.179,864
1533231774.212,861
1533231774.223,871
1533231774.238,873
1533231774.258,868
1533231774.293,869
1533231774.321,850
1533231774.344,861
1533231774.364,864
1533231774.375,859
1533231774.389,869
1533231774.403,857
1533231774.425,851
1533231774.441,865
1533231774.458,866
1533231774.489,865
1533231774.501,868
1533231774.509,859
1533231774.523,856
1533231774.534,851
1533231774.546,860
1533231774.56,859
1533231774.571,862
1533231774.586,863
1533231774.619,846
1533231774.636,858
1533231774.65,854
1533231774.66,862
1533231774.668,854
1533231774.692,851
1533231774.709,860
1533231774.718,856
1533231774.735,845
1533231774.749,858
1533231774.76,865
1533231774.775,856
1533231774.783,851
1533231774.791,853
1533231774.799,844
1533231774.808,851
1533231774.817,853
1533231774.825,855
1533231774.834,863
1533231774.858,860
1533231774.867,864
1533231774.885,864
1533231774.893,856
1533231774.907,866
1533231774.924,851
1533231774.935,854
1533231774.949,854
1533231774.969,855
1533231774.985,846
1533231775.003,863
1533231775.022,850
1533231775.037,843
1533231775.046,851
1533231775.062,851
1533231775.106,860
1533231775.137,841
1533231775.158,854
1533231775.178,850
1533231775.195,852
1533231775.213,853
1533231775.221,849
1533231775.237,863
1533231775.261,864
1533231775.27,854
1533231775.289,853
1533231775.303,857
1533231775.316,852
1533231775.334,857
1533231775.351,866
1533231775.376,860
1533231775.391,855
1533231775.417,857
1533231775.432,866
1533231775.451,855
1533231775.464,857
1533231775.488,866
1533231775.496,863
1533231775.506,880
1533231775.513,864
1533231775.539,864
1533231775.552,875
1533231775.562,868
1533231775.579,871
1533231775.597,863
1533231775.615,886
1533231775.63,879
1533231775.637,870
1533231775.646,880
1533231775.658,880
1533231775.67,879
1533231775.682,878
1533231775.696,871
1533231775.703,888
1533231775.712,867
1533231775.721,898
1533231775.728,877
1533231775.74,885
1533231775.753,885
1533231775.764,863
1533231775.779,876
1533231775.789,872
1533231775.803,873
1533231775.813,860
1533231775.828,866
1533231775.838,858
1533231775.846,871
1533231775.853,874
1533231775.864,862
1533231775.879,859
1533231775.893,867
1533231775.914,851
1533231775.952,855
1533231775.982,857
1533231776.013,856
1533231776.052,842
1533231776.081,846
1533231776.143,815
1533231776.155,829
1533231776.171,820
1533231776.191,810
1533231776.217,814
1533231776.376,817
1533231776.401,773
1533231776.418,697
1533231776.461,681
1533231776.484,695
