time,value
1533145919.231,799
1533145919.24,809
1533145919.252,816
1533145919.26,809
1533145919.269,826
1533145919.279,818
1533145919.287,825
1533145919.294,809
1533145919.303,821
1533145919.315,825
1533145919.323,828
1533145919.33,810
1533145919.337,827
1533145919.347,833
1533145919.354,839
1533145919.361,828
1533145919.368,828
1533145919.378,815
1533145919.386,826
1533145919.393,817
1533145919.402,832
1533145919.41,816
1533145919.418,822
1533145919.425,823
1533145919.436,825
1533145919.442,823
1533145919.448,826
1533145919.456,837
1533145919.465,810
1533145919.471,821
1533145919.478,827
1533145919.489,818
1533145919.498,820
1533145919.504,827
1533145919.511,823
1533145919.523,814
1533145919.53,827
1533145919.538,826
1533145919.548,822
1533145919.556,826
1533145919.563,827
1533145919.575,823
1533145919.582,817
1533145919.59,820
1533145919.597,831
1533145919.609,820
1533145919.615,817
1533145919.623,815
1533145919.63,818
1533145919.641,816
1533145919.647,832
1533145919.656,815
1533145919.663,829
1533145919.673,824
1533145919.68,824
1533145919.689,818
1533145919.695,813
1533145919.705,811
1533145919.712,829
1533145919.721,833
1533145919.729,823
1533145919.74,820
1533145919.746,839
1533145919.755,826
1533145919.765,824
1533145919.772,824
1533145919.779,827
1533145919.786,823
1533145919.797,822
1533145919.805,827
1533145919.811,824
1533145919.822,814
1533145919.828,813
1533145919.836,836
1533145919.846,824
1533145919.853,816
1533145919.86,822
1533145919.873,826
1533145919.879,827
1533145919.886,827
1533145919.893,824
1533145919.906,816
1533145919.912,825
1533145919.92,821
1533145919.929,827
1533145919.936,818
1533145919.943,832
1533145919.957,812
1533145919.963,819
1533145919.971,819
1533145919.977,831
1533145919.988,813
1533145919.995,817
1533145920.003,810
1533145920.015,816
1533145920.039,815
1533145920.058,829
1533145920.07,835
1533145920.085,821
1533145920.096,833
1533145920.105,837
1533145920.115,817
1533145920.125,813
1533145920.132,831
1533145920.139,816
1533145920.147,820
1533145920.156,826
1533145920.162,826
1533145920.17,821
1533145920.18,822
1533145920.186,831
1533145920.193,824
1533145920.2,811
1533145920.21,823
1533145920.218,818
1533145920.224,821
1533145920.232,827
1533145920.241,823
1533145920.249,815
1533145920.255,828
1533145920.262,831
1533145920.274,827
1533145920.282,829
1533145920.288,819
1533145920.295,827
1533145920.304,813
1533145920.31,830
1533145920.319,824
1533145920.325,830
1533145920.335,830
1533145920.341,823
1533145920.349,829
1533145920.356,821
1533145920.365,825
1533145920.372,816
1533145920.379,820
1533145920.386,823
1533145920.398,817
1533145920.405,818
1533145920.411,825
1533145920.42,822
1533145920.429,820
1533145920.436,826
1533145920.442,827
1533145920.448,816
1533145920.46,811
1533145920.467,823
1533145920.475,816
1533145920.482,828
1533145920.492,809
1533145920.5,823
1533145920.507,824
1533145920.515,808
1533145920.525,825
1533145920.533,823
1533145920.539,815
1533145920.545,821
1533145920.557,823
1533145920.564,815
1533145920.576,832
1533145920.585,816
1533145920.592,812
1533145920.6,816
1533145920.609,821
1533145920.617,816
1533145920.623,809
1533145920.632,830
1533145920.639,824
1533145920.651,813
1533145920.657,824
1533145920.666,822
1533145920.674,818
1533145920.684,818
1533145920.69,829
1533145920.699,838
1533145920.706,852
1533145920.716,831
1533145920.723,810
1533145920.731,821
1533145920.738,829
1533145920.749,826
1533145920.756,830
1533145920.763,835
1533145920.769,825
1533145920.78,830
1533145920.786,835
1533145920.794,821
1533145920.802,825
1533145920.814,813
1533145920.82,820
1533145920.828,826
1533145920.835,830
1533145920.846,818
1533145920.853,827
1533145920.861,830
1533145920.87,821
1533145920.882,829
1533145920.889,824
1533145920.899,835
1533145920.908,823
1533145920.919,835
1533145920.928,831
1533145920.936,832
1533145920.944,844
1533145920.957,836
1533145920.965,830
1533145920.973,835
1533145920.985,844
1533145920.992,847
1533145921.0,842
1533145921.007,837
1533145921.015,831
1533145921.025,829
1533145921.033,831
1533145921.04,834
1533145921.046,839
1533145921.057,825
1533145921.065,827
1533145921.072,844
1533145921.081,848
1533145921.093,845
1533145921.099,833
1533145921.106,847
1533145921.114,840
1533145921.121,823
1533145921.133,827
1533145921.139,819
1533145921.148,835
1533145921.156,830
1533145921.166,835
1533145921.173,834
1533145921.181,842
1533145921.188,842
1533145921.2,839
1533145921.207,836
1533145921.215,839
1533145921.222,851
1533145921.233,834
1533145921.24,832
1533145921.247,832
1533145921.255,848
1533145921.266,831
1533145921.273,842
1533145921.28,835
1533145921.286,824
1533145921.293,848
1533145921.303,831
1533145921.31,839
1533145921.316,850
1533145921.322,837
1533145921.33,850
1533145921.339,843
1533145921.346,829
1533145921.353,832
1533145921.359,837
1533145921.369,847
1533145921.375,843
1533145921.382,844
1533145921.391,844
1533145921.397,845
1533145921.408,845
1533145921.414,839
1533145921.421,848
1533145921.428,840
1533145921.437,849
1533145921.444,858
1533145921.45,833
1533145921.458,832
1533145921.464,841
1533145921.478,855
1533145921.484,847
1533145921.492,833
