time,value
1533145982.493,752
1533145982.501,757
1533145982.519,763
1533145982.527,788
1533145982.533,796
1533145982.541,794
1533145982.551,786
1533145982.558,792
1533145982.565,787
1533145982.575,811
1533145982.581,804
1533145982.587,794
1533145982.594,811
1533145982.604,816
1533145982.611,809
1533145982.617,823
1533145982.625,807
1533145982.635,831
1533145982.641,806
1533145982.651,813
1533145982.659,815
1533145982.666,819
1533145982.673,812
1533145982.683,815
1533145982.69,827
1533145982.698,802
1533145982.705,819
1533145982.715,806
1533145982.722,820
1533145982.732,808
1533145982.738,812
1533145982.752,818
1533145982.76,812
1533145982.766,818
1533145982.78,827
1533145982.786,817
1533145982.795,815
1533145982.801,814
1533145982.813,821
1533145982.819,815
1533145982.825,821
1533145982.833,817
1533145982.845,815
1533145982.851,809
1533145982.858,822
1533145982.865,817
1533145982.874,831
1533145982.887,814
1533145982.895,808
1533145982.903,797
1533145982.911,819
1533145982.922,804
1533145982.929,811
1533145982.936,815
1533145982.943,825
1533145982.953,815
1533145982.961,806
1533145982.967,809
1533145982.974,795
1533145982.985,816
1533145982.991,817
1533145982.999,809
1533145983.005,805
1533145983.017,821
1533145983.023,820
1533145983.031,829
1533145983.038,819
1533145983.05,809
1533145983.057,811
1533145983.064,815
1533145983.071,824
1533145983.082,820
1533145983.088,821
1533145983.097,810
1533145983.103,821
1533145983.115,806
1533145983.122,820
1533145983.13,822
1533145983.138,803
1533145983.147,824
1533145983.153,812
1533145983.163,824
1533145983.169,808
1533145983.182,812
1533145983.188,810
1533145983.196,829
1533145983.203,815
1533145983.213,811
1533145983.219,825
1533145983.229,818
1533145983.237,816
1533145983.248,819
1533145983.254,824
1533145983.263,804
1533145983.269,821
1533145983.279,821
1533145983.286,810
1533145983.295,823
1533145983.302,807
1533145983.314,808
1533145983.325,826
1533145983.331,829
1533145983.341,822
1533145983.347,818
1533145983.353,810
1533145983.361,814
1533145983.374,819
1533145983.381,809
1533145983.391,797
1533145983.399,809
1533145983.409,823
1533145983.415,810
1533145983.421,810
1533145983.428,808
1533145983.436,826
1533145983.446,819
1533145983.452,815
1533145983.462,818
1533145983.468,820
1533145983.48,811
1533145983.486,828
1533145983.493,819
1533145983.504,810
1533145983.512,806
1533145983.52,813
1533145983.53,812
1533145983.541,808
1533145983.547,821
1533145983.557,810
1533145983.563,820
1533145983.576,817
1533145983.583,815
1533145983.591,815
1533145983.598,814
1533145983.61,818
1533145983.616,821
1533145983.625,821
1533145983.636,811
1533145983.643,812
1533145983.65,806
1533145983.658,808
1533145983.669,818
1533145983.677,808
1533145983.684,829
1533145983.692,824
1533145983.704,811
1533145983.711,822
1533145983.717,820
1533145983.726,816
1533145983.733,807
1533145983.743,809
1533145983.749,805
1533145983.758,812
1533145983.764,818
1533145983.778,802
1533145983.784,816
1533145983.793,793
1533145983.801,803
1533145983.812,808
1533145983.819,797
1533145983.827,817
1533145983.835,805
1533145983.846,820
1533145983.853,815
1533145983.864,809
1533145983.871,814
1533145983.883,816
1533145983.891,820
1533145983.898,820
1533145983.907,809
1533145983.92,821
1533145983.928,818
1533145983.935,803
1533145983.944,797
1533145983.955,819
1533145983.961,827
1533145983.968,834
1533145983.977,815
1533145983.984,830
1533145983.994,815
1533145984.001,823
1533145984.009,842
1533145984.016,830
1533145984.029,824
1533145984.036,842
1533145984.044,826
1533145984.056,838
1533145984.062,824
1533145984.068,836
1533145984.076,814
1533145984.088,828
1533145984.094,825
1533145984.101,836
1533145984.109,827
1533145984.116,838
1533145984.128,817
1533145984.135,821
1533145984.144,831
1533145984.151,829
1533145984.163,823
1533145984.169,818
1533145984.177,825
1533145984.184,834
1533145984.194,833
1533145984.201,833
1533145984.21,836
1533145984.217,827
1533145984.229,838
1533145984.235,833
1533145984.244,844
1533145984.251,821
1533145984.261,842
1533145984.267,825
1533145984.277,835
1533145984.283,833
1533145984.295,837
1533145984.302,834
1533145984.31,821
1533145984.317,835
1533145984.327,851
1533145984.333,832
1533145984.342,822
1533145984.348,831
1533145984.36,829
1533145984.368,830
1533145984.376,837
1533145984.383,829
1533145984.395,836
1533145984.401,823
1533145984.409,839
1533145984.416,841
1533145984.425,840
1533145984.439,857
1533145984.445,842
1533145984.453,854
1533145984.46,825
1533145984.472,836
1533145984.478,857
1533145984.486,834
1533145984.493,834
1533145984.506,833
1533145984.512,835
1533145984.519,841
1533145984.526,832
1533145984.534,850
1533145984.547,836
1533145984.556,851
1533145984.563,839
1533145984.574,833
1533145984.58,841
1533145984.589,848
1533145984.596,861
1533145984.608,833
1533145984.614,845
1533145984.622,841
1533145984.629,861
1533145984.637,849
1533145984.648,846
1533145984.656,867
1533145984.663,886
1533145984.671,893
1533145984.682,894
1533145984.691,896
1533145984.697,884
1533145984.707,900
1533145984.713,894
1533145984.727,896
1533145984.734,903
1533145984.741,903
1533145984.747,907
1533145984.758,909
1533145984.764,887
1533145984.772,892
1533145984.779,892
1533145984.791,891
1533145984.798,887
1533145984.807,895
1533145984.814,891
1533145984.826,896
1533145984.832,887
1533145984.84,885
1533145984.847,885
1533145984.859,901
1533145984.865,896
1533145984.873,891
1533145984.881,894
1533145984.894,892
1533145984.901,898
1533145984.909,891
1533145984.915,894
1533145984.929,902
1533145984.937,889
1533145984.944,891
1533145984.954,894
1533145984.963,895
1533145984.971,887
1533145984.983,885
1533145984.99,885
1533145984.997,882
1533145985.004,890
1533145985.01,870
1533145985.024,891
1533145985.03,891
1533145985.037,906
1533145985.044,889
1533145985.051,881
1533145985.06,881
1533145985.067,886
1533145985.073,896
1533145985.08,884
1533145985.091,885
1533145985.097,897
1533145985.104,874
1533145985.11,879
1533145985.119,885
1533145985.128,898
1533145985.135,882
1533145985.141,883
1533145985.147,886
1533145985.158,879
1533145985.164,878
1533145985.171,887
1533145985.178,892
1533145985.186,883
1533145985.194,912
1533145985.202,890
1533145985.208,884
1533145985.214,891
1533145985.224,878
1533145985.23,890
1533145985.237,900
1533145985.243,873
1533145985.252,894
1533145985.261,879
1533145985.268,909
1533145985.274,885
1533145985.281,897
1533145985.292,886
1533145985.298,879
1533145985.306,878
1533145985.313,888
1533145985.325,894
1533145985.33,880
1533145985.34,874
1533145985.348,886
1533145985.356,876
1533145985.363,874
1533145985.371,892
1533145985.378,886
1533145985.39,881
1533145985.397,871
1533145985.404,881
1533145985.41,884
1533145985.421,870
1533145985.429,879
1533145985.44,882
1533145985.446,870
1533145985.463,890
1533145985.472,884
1533145985.479,866
1533145985.491,869
1533145985.498,882
1533145985.51,868
1533145985.518,871
1533145985.525,871
1533145985.534,867
1533145985.549,868
1533145985.555,876
1533145985.562,891
1533145985.571,855
1533145985.586,867
1533145985.593,868
1533145985.601,871
1533145985.608,859
1533145985.617,885
1533145985.628,867
1533145985.636,873
1533145985.643,867
1533145985.651,868
1533145985.665,870
1533145985.671,887
1533145985.678,875
1533145985.687,864
1533145985.694,869
1533145985.707,873
1533145985.713,867
1533145985.721,866
1533145985.727,878
1533145985.74,861
1533145985.746,853
1533145985.754,855
1533145985.761,863
1533145985.774,865
1533145985.78,872
1533145985.788,869
1533145985.795,852
1533145985.807,870
1533145985.813,859
1533145985.82,858
1533145985.827,854
1533145985.839,870
1533145985.845,852
1533145985.853,870
1533145985.86,862
1533145985.872,870
1533145985.878,864
1533145985.886,870
1533145985.893,852
1533145985.905,876
1533145985.911,878
1533145985.919,866
1533145985.926,863
1533145985.937,854
1533145985.951,856
1533145985.958,872
1533145985.964,863
1533145985.974,873
1533145985.982,867
1533145985.993,872
1533145986.002,866
1533145986.008,871
1533145986.017,863
1533145986.03,863
1533145986.037,854
1533145986.043,860
1533145986.051,875
1533145986.058,837
1533145986.071,864
1533145986.079,854
1533145986.086,854
1533145986.094,851
1533145986.105,862
1533145986.111,861
1533145986.119,860
1533145986.126,868
1533145986.134,866
1533145986.149,857
1533145986.156,868
1533145986.166,857
1533145986.176,861
1533145986.184,867
1533145986.191,860
1533145986.199,861
1533145986.21,858
1533145986.218,853
1533145986.224,862
1533145986.233,865
1533145986.239,850
1533145986.251,843
1533145986.257,867
1533145986.265,878
1533145986.272,866
1533145986.28,865
1533145986.289,858
1533145986.297,862
1533145986.303,859
1533145986.312,871
1533145986.323,858
1533145986.329,866
1533145986.335,870
1533145986.343,871
1533145986.349,861
1533145986.361,867
1533145986.368,852
1533145986.374,853
1533145986.382,863
1533145986.389,875
1533145986.401,862
1533145986.408,857
1533145986.415,851
1533145986.423,873
1533145986.43,869
1533145986.444,859
1533145986.452,869
1533145986.459,868
1533145986.467,870
1533145986.479,876
1533145986.485,861
1533145986.493,864
1533145986.5,876
1533145986.514,874
1533145986.52,859
1533145986.529,857
1533145986.536,876
1533145986.548,873
1533145986.555,850
1533145986.564,862
1533145986.571,851
1533145986.583,868
1533145986.59,871
1533145986.598,879
1533145986.605,867
1533145986.614,879
1533145986.625,866
1533145986.633,876
1533145986.641,865
1533145986.649,861
1533145986.659,868
1533145986.667,873
1533145986.674,874
1533145986.683,854
1533145986.696,850
1533145986.702,868
1533145986.709,872
1533145986.717,848
1533145986.725,850
1533145986.735,862
1533145986.742,868
1533145986.75,870
1533145986.757,868
1533145986.77,859
1533145986.776,867
1533145986.783,877
1533145986.79,866
1533145986.798,849
1533145986.809,864
1533145986.816,845
1533145986.823,865
1533145986.831,849
1533145986.845,869
1533145986.851,875
1533145986.86,858
1533145986.869,861
1533145986.876,872
1533145986.888,874
1533145986.896,877
1533145986.903,855
1533145986.911,854
1533145986.918,871
1533145986.93,876
1533145986.937,864
1533145986.945,864
1533145986.951,858
1533145986.959,850
1533145986.97,872
1533145986.979,864
1533145986.986,853
1533145986.995,836
1533145987.008,870
1533145987.016,863
1533145987.023,873
1533145987.031,867
1533145987.038,867
1533145987.049,870
1533145987.056,880
1533145987.063,881
1533145987.07,869
1533145987.077,881
1533145987.085,863
1533145987.097,861
1533145987.104,863
1533145987.111,877
1533145987.118,870
1533145987.126,853
1533145987.133,866
1533145987.145,861
1533145987.151,862
1533145987.159,853
1533145987.166,861
1533145987.174,870
1533145987.185,873
1533145987.192,872
1533145987.199,874
1533145987.207,872
1533145987.218,876
1533145987.224,851
1533145987.23,851
1533145987.236,879
1533145987.246,861
1533145987.252,865
1533145987.259,852
1533145987.265,870
1533145987.271,862
1533145987.281,865
1533145987.286,874
1533145987.293,869
1533145987.299,861
1533145987.305,856
1533145987.316,858
1533145987.322,876
1533145987.329,858
1533145987.335,880
1533145987.346,865
1533145987.351,862
1533145987.357,870
1533145987.363,863
1533145987.369,872
1533145987.377,865
1533145987.386,865
1533145987.393,883
1533145987.399,878
1533145987.405,858
1533145987.413,865
1533145987.422,867
1533145987.429,881
1533145987.435,856
1533145987.446,879
1533145987.451,861
1533145987.464,872
1533145987.47,872
1533145987.477,888
1533145987.483,868
1533145987.489,866
1533145987.5,875
1533145987.506,865
1533145987.513,871
1533145987.519,870
1533145987.527,866
1533145987.539,864
1533145987.546,874
1533145987.554,870
1533145987.56,855
1533145987.572,870
1533145987.579,858
1533145987.587,873
1533145987.593,867
1533145987.601,865
1533145987.613,871
1533145987.619,870
1533145987.629,863
1533145987.635,867
1533145987.65,862
1533145987.657,876
1533145987.663,866
1533145987.67,870
1533145987.676,848
1533145987.69,860
1533145987.696,873
1533145987.704,855
1533145987.71,868
1533145987.723,858
1533145987.729,860
1533145987.735,864
1533145987.743,860
1533145987.751,862
1533145987.763,849
1533145987.769,862
1533145987.779,868
1533145987.785,861
1533145987.798,865
1533145987.804,862
1533145987.812,870
1533145987.818,867
1533145987.831,862
1533145987.837,848
1533145987.844,863
1533145987.851,865
1533145987.865,860
1533145987.872,854
1533145987.879,867
1533145987.887,855
1533145987.898,866
1533145987.904,861
1533145987.912,856
1533145987.919,863
1533145987.927,847
1533145987.942,857
1533145987.949,865
1533145987.957,856
1533145987.963,863
1533145987.972,857
1533145987.978,843
1533145987.985,867
1533145987.993,845
1533145988.005,855
1533145988.013,842
1533145988.02,848
1533145988.027,857
1533145988.039,861
1533145988.045,850
1533145988.051,848
1533145988.061,848
1533145988.067,857
1533145988.079,853
1533145988.086,855
1533145988.093,856
1533145988.1,839
1533145988.113,842
1533145988.119,853
1533145988.127,848
1533145988.134,850
1533145988.146,842
1533145988.152,846
1533145988.161,854
1533145988.167,871
1533145988.178,846
1533145988.184,851
1533145988.192,838
1533145988.2,853
1533145988.214,850
1533145988.22,836
1533145988.228,855
1533145988.235,842
1533145988.244,851
1533145988.253,845
1533145988.26,811
1533145988.267,851
1533145988.275,835
1533145988.289,838
1533145988.295,836
1533145988.302,843
1533145988.31,837
1533145988.321,854
1533145988.327,844
1533145988.333,846
1533145988.342,843
1533145988.348,850
1533145988.362,846
1533145988.369,850
1533145988.377,853
1533145988.383,839
1533145988.396,835
1533145988.402,837
1533145988.409,831
1533145988.415,841
1533145988.434,842
1533145988.441,856
1533145988.448,840
1533145988.457,842
1533145988.468,836
1533145988.475,845
1533145988.482,832
1533145988.491,827
1533145988.497,845
1533145988.512,832
1533145988.518,842
1533145988.526,859
1533145988.533,844
1533145988.542,851
1533145988.557,855
1533145988.564,847
1533145988.573,847
1533145988.579,834
1533145988.59,837
1533145988.598,847
1533145988.606,839
1533145988.613,842
1533145988.627,831
1533145988.633,838
1533145988.641,842
1533145988.649,844
1533145988.657,846
1533145988.671,845
1533145988.677,845
1533145988.684,848
1533145988.691,833
1533145988.698,846
1533145988.711,845
1533145988.717,850
1533145988.725,839
1533145988.732,843
1533145988.745,845
1533145988.751,844
1533145988.759,843
1533145988.767,842
1533145988.774,839
1533145988.787,843
1533145988.793,841
1533145988.8,831
1533145988.808,838
1533145988.816,833
1533145988.829,851
1533145988.836,831
1533145988.842,842
1533145988.849,811
1533145988.856,792
1533145988.864,768
1533145988.873,764
1533145988.881,759
1533145988.889,751
1533145988.902,747
1533145988.907,738
1533145988.914,727
1533145988.921,736
1533145988.927,745
