time,value
1533146693.168,788
1533146693.175,794
1533146693.183,804
1533146693.195,799
1533146693.201,816
1533146693.208,834
1533146693.214,843
1533146693.225,836
1533146693.233,835
1533146693.241,837
1533146693.252,841
1533146693.258,844
1533146693.267,825
1533146693.276,841
1533146693.283,832
1533146693.291,855
1533146693.298,838
1533146693.311,837
1533146693.317,850
1533146693.324,839
1533146693.332,838
1533146693.343,842
1533146693.349,843
1533146693.358,847
1533146693.364,849
1533146693.376,831
1533146693.383,848
1533146693.391,840
1533146693.404,839
1533146693.411,834
1533146693.418,830
1533146693.428,839
1533146693.434,850
1533146693.443,852
1533146693.451,841
1533146693.463,834
1533146693.47,836
1533146693.478,844
1533146693.489,850
1533146693.495,838
1533146693.502,857
1533146693.513,837
1533146693.523,834
1533146693.533,853
1533146693.541,841
1533146693.548,828
1533146693.559,841
1533146693.571,853
1533146693.577,844
1533146693.585,849
1533146693.593,835
1533146693.605,843
1533146693.612,855
1533146693.62,847
1533146693.627,849
1533146693.637,835
1533146693.644,837
1533146693.652,854
1533146693.658,843
1533146693.672,848
1533146693.678,851
1533146693.687,832
1533146693.694,837
1533146693.709,845
1533146693.717,840
1533146693.727,836
1533146693.743,834
1533146693.757,834
1533146693.764,852
1533146693.772,839
1533146693.779,849
1533146693.791,836
1533146693.801,862
1533146693.808,836
1533146693.817,847
1533146693.826,839
1533146693.834,847
1533146693.841,849
1533146693.853,852
1533146693.859,839
1533146693.866,841
1533146693.874,843
1533146693.887,856
1533146693.893,843
1533146693.902,841
1533146693.908,846
1533146693.92,850
1533146693.927,849
1533146693.935,852
1533146693.942,843
1533146693.953,842
1533146693.96,844
1533146693.969,859
1533146693.975,847
1533146693.986,841
1533146693.993,845
1533146694.001,836
1533146694.008,834
1533146694.021,845
1533146694.028,852
1533146694.036,842
1533146694.048,847
1533146694.056,847
1533146694.063,841
1533146694.072,835
1533146694.083,840
1533146694.091,839
1533146694.098,837
1533146694.106,847
1533146694.116,838
1533146694.123,844
1533146694.131,848
1533146694.14,840
1533146694.152,828
1533146694.158,828
1533146694.167,832
1533146694.174,834
1533146694.186,842
1533146694.193,834
1533146694.202,841
1533146694.214,850
1533146694.221,844
1533146694.228,844
1533146694.237,845
1533146694.248,844
1533146694.257,846
1533146694.264,862
1533146694.273,828
1533146694.286,844
1533146694.293,835
1533146694.301,828
1533146694.307,836
1533146694.314,848
1533146694.321,838
1533146694.333,839
1533146694.339,846
1533146694.346,841
1533146694.353,853
1533146694.363,844
1533146694.371,832
1533146694.377,852
1533146694.386,841
1533146694.396,846
1533146694.404,845
1533146694.411,857
1533146694.418,843
1533146694.429,841
1533146694.437,845
1533146694.443,836
1533146694.451,841
1533146694.463,839
1533146694.471,849
1533146694.478,832
1533146694.487,846
1533146694.495,848
1533146694.506,842
1533146694.513,836
1533146694.521,840
1533146694.529,836
1533146694.539,843
1533146694.546,842
1533146694.556,839
1533146694.564,846
1533146694.575,839
1533146694.583,859
1533146694.59,844
1533146694.596,836
1533146694.61,842
1533146694.618,839
1533146694.625,851
1533146694.633,840
1533146694.645,842
1533146694.654,840
1533146694.661,844
1533146694.671,857
1533146694.68,839
1533146694.689,845
1533146694.706,843
1533146694.716,837
1533146694.725,843
1533146694.733,839
1533146694.74,832
1533146694.751,839
1533146694.761,832
1533146694.77,854
1533146694.777,847
1533146694.785,858
1533146694.792,841
1533146694.804,842
1533146694.81,843
1533146694.817,830
1533146694.824,847
1533146694.831,839
1533146694.836,844
1533146694.848,851
1533146694.854,841
1533146694.861,858
1533146694.867,840
1533146694.877,839
1533146694.884,840
1533146694.89,845
1533146694.897,845
1533146694.906,843
1533146694.912,850
1533146694.919,828
1533146694.925,850
1533146694.933,843
1533146694.944,836
1533146694.951,840
1533146694.958,836
1533146694.965,863
1533146694.975,860
1533146694.982,841
1533146694.989,850
1533146694.995,845
1533146695.005,833
1533146695.01,843
1533146695.017,842
1533146695.024,851
1533146695.031,833
1533146695.041,855
1533146695.048,855
1533146695.054,848
1533146695.06,836
1533146695.08,850
1533146695.087,841
1533146695.094,853
1533146695.101,843
1533146695.107,844
1533146695.118,835
1533146695.125,861
1533146695.132,853
1533146695.139,854
1533146695.146,839
