time,value
1533144600.993,778
1533144601.004,811
1533144601.013,821
1533144601.026,825
1533144601.037,813
1533144601.046,812
1533144601.057,815
1533144601.071,825
1533144601.08,836
1533144601.088,826
1533144601.102,827
1533144601.11,824
1533144601.123,833
1533144601.136,835
1533144601.145,834
1533144601.158,825
1533144601.169,830
1533144601.178,827
1533144601.185,823
1533144601.193,828
1533144601.205,837
1533144601.213,836
1533144601.226,829
1533144601.237,832
1533144601.247,837
1533144601.257,825
1533144601.268,827
1533144601.277,825
1533144601.289,826
1533144601.299,829
1533144601.307,829
1533144601.314,831
1533144601.326,828
1533144601.334,815
1533144601.341,814
1533144601.353,830
1533144601.364,836
1533144601.371,828
1533144601.382,839
1533144601.391,818
1533144601.398,824
1533144601.409,826
1533144601.418,836
1533144601.428,826
1533144601.44,824
1533144601.448,824
1533144601.455,843
1533144601.467,803
1533144601.476,836
1533144601.485,833
1533144601.492,815
1533144601.503,827
1533144601.511,833
1533144601.519,833
1533144601.532,823
1533144601.541,841
1533144601.549,829
1533144601.558,817
1533144601.57,827
1533144601.578,824
1533144601.585,824
1533144601.597,835
1533144601.607,839
1533144601.614,833
1533144601.625,825
1533144601.633,813
1533144601.642,839
1533144601.654,840
1533144601.661,825
1533144601.668,825
1533144601.678,825
1533144601.686,835
1533144601.696,842
1533144601.705,829
1533144601.714,808
1533144601.727,840
1533144601.734,817
1533144601.742,820
1533144601.75,839
1533144601.765,827
1533144601.774,826
1533144601.782,820
1533144601.791,826
1533144601.802,820
1533144601.81,846
1533144601.82,823
1533144601.833,827
1533144601.842,830
1533144601.849,833
1533144601.862,819
1533144601.869,826
1533144601.879,825
1533144601.888,846
1533144601.899,811
1533144601.908,826
1533144601.916,821
1533144601.927,816
1533144601.938,825
1533144601.947,829
1533144601.961,807
1533144601.97,850
1533144601.983,814
1533144601.996,828
1533144602.005,856
1533144602.012,808
1533144602.02,837
1533144602.03,822
1533144602.038,816
1533144602.045,823
1533144602.053,827
1533144602.065,824
1533144602.073,827
1533144602.08,830
1533144602.089,826
1533144602.099,835
1533144602.107,835
1533144602.113,826
1533144602.123,829
1533144602.129,830
1533144602.138,840
1533144602.149,829
1533144602.156,851
1533144602.163,834
1533144602.171,828
1533144602.182,831
1533144602.189,813
1533144602.196,833
1533144602.204,810
1533144602.214,815
1533144602.22,839
1533144602.228,845
1533144602.239,824
1533144602.245,814
1533144602.256,810
1533144602.263,824
1533144602.277,831
1533144602.284,819
1533144602.293,834
1533144602.308,817
1533144602.32,836
1533144602.332,831
1533144602.343,815
1533144602.358,822
1533144602.367,826
1533144602.376,843
1533144602.389,819
1533144602.396,817
1533144602.405,821
1533144602.423,825
1533144602.431,825
1533144602.441,826
1533144602.448,829
1533144602.463,834
1533144602.472,826
1533144602.481,831
1533144602.491,825
1533144602.501,825
1533144602.508,817
1533144602.523,807
1533144602.53,822
1533144602.541,815
1533144602.549,828
1533144602.56,838
1533144602.569,842
1533144602.576,824
1533144602.588,825
1533144602.595,834
1533144602.604,828
1533144602.611,830
1533144602.623,828
1533144602.63,841
1533144602.639,831
1533144602.648,807
1533144602.657,818
1533144602.665,833
1533144602.673,834
1533144602.685,825
1533144602.692,839
1533144602.701,834
1533144602.708,830
1533144602.72,824
1533144602.728,841
1533144602.736,824
1533144602.746,837
1533144602.755,828
1533144602.763,827
1533144602.771,820
1533144602.781,817
1533144602.789,820
1533144602.797,832
1533144602.807,807
1533144602.821,830
1533144602.831,844
1533144602.839,807
1533144602.851,822
1533144602.858,815
1533144602.867,819
1533144602.877,820
1533144602.886,824
1533144602.893,848
1533144602.901,822
1533144602.912,824
1533144602.922,822
1533144602.929,819
1533144602.941,842
1533144602.955,852
1533144602.972,840
1533144602.986,818
1533144602.996,816
1533144603.01,830
1533144603.02,827
1533144603.032,826
1533144603.042,839
1533144603.051,842
1533144603.062,814
1533144603.069,833
1533144603.078,818
1533144603.086,823
1533144603.101,823
1533144603.109,824
1533144603.12,834
1533144603.133,839
1533144603.14,846
1533144603.149,826
1533144603.16,848
1533144603.168,834
1533144603.175,822
1533144603.184,825
1533144603.195,848
1533144603.202,832
1533144603.21,832
1533144603.219,838
1533144603.233,822
1533144603.24,839
1533144603.249,824
1533144603.26,826
1533144603.269,824
1533144603.277,822
1533144603.287,822
1533144603.298,824
1533144603.306,830
1533144603.315,822
1533144603.326,827
1533144603.335,824
1533144603.343,819
1533144603.351,830
1533144603.361,819
1533144603.369,823
1533144603.377,820
1533144603.391,818
1533144603.401,805
1533144603.408,864
1533144603.417,828
1533144603.428,839
1533144603.436,832
1533144603.446,827
1533144603.454,814
1533144603.462,809
1533144603.471,832
1533144603.478,819
1533144603.489,822
1533144603.501,840
1533144603.508,813
1533144603.518,819
1533144603.527,820
1533144603.535,828
1533144603.543,829
1533144603.555,825
1533144603.562,834
1533144603.573,838
1533144603.58,832
1533144603.591,825
1533144603.599,831
1533144603.606,831
1533144603.615,825
1533144603.623,828
1533144603.635,833
1533144603.642,821
1533144603.65,823
1533144603.658,823
1533144603.669,825
1533144603.676,824
1533144603.684,850
1533144603.696,832
1533144603.702,844
1533144603.709,825
1533144603.716,831
1533144603.724,817
1533144603.733,824
1533144603.74,834
1533144603.747,802
1533144603.754,818
1533144603.766,827
1533144603.772,827
1533144603.78,823
1533144603.787,828
1533144603.799,831
1533144603.805,827
1533144603.813,821
1533144603.82,839
1533144603.832,843
1533144603.839,826
1533144603.847,825
1533144603.854,839
1533144603.863,834
1533144603.869,824
1533144603.881,840
1533144603.888,857
1533144603.897,828
1533144603.903,839
1533144603.91,822
1533144603.917,855
1533144603.928,855
1533144603.935,863
1533144603.942,845
1533144603.949,837
1533144603.959,837
1533144603.966,826
1533144603.973,835
1533144603.981,826
1533144603.992,853
1533144603.999,820
1533144604.005,815
1533144604.012,829
1533144604.022,841
1533144604.028,832
1533144604.035,845
1533144604.041,833
1533144604.054,821
1533144604.061,829
1533144604.067,835
1533144604.073,858
1533144604.084,837
1533144604.09,834
1533144604.097,825
1533144604.104,845
1533144604.114,837
1533144604.12,836
1533144604.127,823
1533144604.134,835
1533144604.143,828
1533144604.151,858
1533144604.158,857
1533144604.166,822
1533144604.176,853
1533144604.183,816
1533144604.193,828
1533144604.202,840
1533144604.209,843
1533144604.217,833
1533144604.223,829
1533144604.233,812
1533144604.243,834
1533144604.25,826
1533144604.262,826
1533144604.27,819
1533144604.276,850
1533144604.283,829
1533144604.29,832
1533144604.299,815
1533144604.306,848
1533144604.314,831
1533144604.321,831
1533144604.332,835
1533144604.339,830
1533144604.347,834
1533144604.357,848
1533144604.364,831
1533144604.371,830
1533144604.379,829
1533144604.388,834
1533144604.396,835
1533144604.404,827
1533144604.416,836
1533144604.422,857
1533144604.43,827
1533144604.436,855
1533144604.444,818
1533144604.458,841
1533144604.465,830
1533144604.472,835
1533144604.491,832
1533144604.5,852
1533144604.514,842
1533144604.521,841
1533144604.529,828
1533144604.538,836
1533144604.548,842
1533144604.555,826
1533144604.563,845
1533144604.571,837
1533144604.58,853
1533144604.589,833
1533144604.597,851
1533144604.606,849
1533144604.612,844
1533144604.618,845
1533144604.626,855
1533144604.637,832
1533144604.645,843
1533144604.652,842
1533144604.66,840
1533144604.667,834
1533144604.677,831
1533144604.684,849
1533144604.694,847
1533144604.7,831
1533144604.708,842
1533144604.714,845
1533144604.73,840
1533144604.737,860
1533144604.744,841
1533144604.755,835
1533144604.763,847
1533144604.77,846
1533144604.782,837
1533144604.795,845
1533144604.801,853
1533144604.809,845
1533144604.82,847
1533144604.828,880
1533144604.835,822
1533144604.845,838
1533144604.858,856
1533144604.865,825
1533144604.875,832
1533144604.882,836
1533144604.892,829
1533144604.904,835
1533144604.913,832
1533144604.921,834
1533144604.93,825
1533144604.943,840
1533144604.951,843
1533144604.96,844
1533144604.968,839
1533144604.979,867
1533144604.986,855
1533144604.995,838
1533144605.002,832
1533144605.014,852
1533144605.021,830
1533144605.029,841
1533144605.036,851
1533144605.049,857
1533144605.057,842
1533144605.065,856
1533144605.075,847
1533144605.086,866
1533144605.098,848
1533144605.106,832
1533144605.128,831
1533144605.139,847
1533144605.147,844
1533144605.157,841
1533144605.165,853
1533144605.178,854
1533144605.187,850
1533144605.193,864
1533144605.205,841
1533144605.211,856
1533144605.224,847
1533144605.232,847
1533144605.24,853
1533144605.248,848
1533144605.262,865
1533144605.27,851
1533144605.277,855
1533144605.286,859
1533144605.298,861
1533144605.306,829
1533144605.314,861
1533144605.325,851
1533144605.335,842
1533144605.343,860
1533144605.353,846
1533144605.36,853
1533144605.373,844
1533144605.381,849
1533144605.391,868
1533144605.401,845
1533144605.41,855
1533144605.417,858
1533144605.425,841
1533144605.433,860
1533144605.446,858
1533144605.454,844
1533144605.462,865
1533144605.471,840
1533144605.483,835
1533144605.491,849
1533144605.499,842
1533144605.509,843
1533144605.519,852
1533144605.527,835
1533144605.536,853
1533144605.543,842
1533144605.557,848
1533144605.564,850
1533144605.574,850
1533144605.59,859
1533144605.597,864
1533144605.603,857
1533144605.611,854
1533144605.619,855
1533144605.629,854
1533144605.637,859
1533144605.644,860
1533144605.653,847
1533144605.667,832
1533144605.673,863
1533144605.681,845
1533144605.689,866
1533144605.701,872
1533144605.708,858
1533144605.718,850
1533144605.725,863
1533144605.737,857
1533144605.744,848
1533144605.753,851
1533144605.76,871
1533144605.772,865
1533144605.779,876
1533144605.787,838
1533144605.795,849
1533144605.805,864
1533144605.822,849
1533144605.83,868
1533144605.841,871
1533144605.848,861
1533144605.861,869
1533144605.869,863
1533144605.878,869
1533144605.887,885
1533144605.898,834
1533144605.905,866
1533144605.912,854
1533144605.92,860
1533144605.931,851
1533144605.939,858
1533144605.946,853
1533144605.954,871
1533144605.964,852
1533144605.972,860
1533144605.979,859
1533144605.987,830
1533144605.998,839
1533144606.005,857
1533144606.012,857
1533144606.02,893
1533144606.027,893
1533144606.04,850
1533144606.047,844
1533144606.055,867
1533144606.062,870
1533144606.07,871
1533144606.082,839
1533144606.09,876
1533144606.097,852
1533144606.104,855
1533144606.117,857
1533144606.123,870
1533144606.13,864
1533144606.142,865
1533144606.149,842
1533144606.16,857
1533144606.168,870
1533144606.176,851
1533144606.183,854
1533144606.19,825
1533144606.198,864
1533144606.211,849
1533144606.219,881
1533144606.226,869
1533144606.234,851
1533144606.245,860
1533144606.253,859
1533144606.259,867
1533144606.268,866
1533144606.277,859
1533144606.288,830
1533144606.295,806
1533144606.303,859
1533144606.31,864
1533144606.321,863
1533144606.327,860
1533144606.336,848
1533144606.342,860
1533144606.354,830
1533144606.36,869
1533144606.368,843
1533144606.375,853
1533144606.381,852
1533144606.392,848
1533144606.398,856
1533144606.404,853
1533144606.412,851
1533144606.42,874
1533144606.439,872
1533144606.448,858
1533144606.455,867
1533144606.462,843
1533144606.477,853
1533144606.484,854
1533144606.49,824
1533144606.499,846
1533144606.505,842
1533144606.513,848
1533144606.524,871
1533144606.531,843
1533144606.537,865
1533144606.544,856
1533144606.553,860
1533144606.566,865
1533144606.572,851
1533144606.578,825
1533144606.584,874
1533144606.59,867
1533144606.601,863
1533144606.606,855
1533144606.613,859
1533144606.619,890
1533144606.625,849
1533144606.633,860
1533144606.646,859
1533144606.653,859
1533144606.664,841
1533144606.672,867
1533144606.68,854
1533144606.691,844
1533144606.699,831
