time,value
1533145015.53,772
1533145015.544,793
1533145015.557,794
1533145015.565,790
1533145015.581,811
1533145015.589,810
1533145015.603,812
1533145015.608,813
1533145015.615,825
1533145015.624,818
1533145015.632,829
1533145015.642,809
1533145015.653,823
1533145015.659,824
1533145015.67,846
1533145015.676,831
1533145015.685,841
1533145015.696,807
1533145015.704,840
1533145015.71,843
1533145015.719,831
1533145015.73,838
1533145015.737,831
1533145015.744,837
1533145015.753,844
1533145015.763,847
1533145015.77,834
1533145015.777,821
1533145015.787,840
1533145015.8,832
1533145015.808,822
1533145015.815,830
1533145015.823,834
1533145015.836,824
1533145015.843,844
1533145015.85,829
1533145015.859,828
1533145015.871,835
1533145015.877,832
1533145015.887,851
1533145015.894,856
1533145015.904,833
1533145015.915,835
1533145015.924,835
1533145015.933,839
1533145015.942,835
1533145015.956,820
1533145015.963,831
1533145015.972,839
1533145015.98,827
1533145015.992,846
1533145015.999,842
1533145016.01,833
1533145016.02,823
1533145016.031,833
1533145016.039,823
1533145016.047,832
1533145016.055,825
1533145016.068,829
1533145016.075,835
1533145016.083,829
1533145016.092,838
1533145016.105,822
1533145016.112,858
1533145016.122,836
1533145016.129,832
1533145016.142,835
1533145016.15,826
1533145016.157,830
1533145016.164,832
1533145016.176,825
1533145016.185,838
1533145016.191,827
1533145016.203,827
1533145016.21,830
1533145016.219,833
1533145016.229,829
1533145016.237,805
1533145016.244,849
1533145016.252,811
1533145016.264,838
1533145016.271,830
1533145016.277,811
1533145016.286,818
1533145016.293,813
1533145016.304,823
1533145016.311,843
1533145016.319,826
1533145016.327,824
1533145016.338,829
1533145016.344,828
1533145016.352,825
1533145016.359,827
1533145016.369,827
1533145016.376,838
1533145016.384,839
1533145016.391,831
1533145016.398,822
1533145016.411,838
1533145016.418,836
1533145016.425,834
1533145016.432,830
1533145016.441,832
1533145016.454,831
1533145016.461,840
1533145016.471,829
1533145016.479,829
1533145016.49,815
1533145016.497,834
1533145016.508,831
1533145016.518,828
1533145016.527,845
1533145016.534,823
1533145016.542,825
1533145016.551,834
1533145016.563,821
1533145016.57,827
1533145016.577,828
1533145016.585,831
1533145016.592,830
1533145016.603,848
1533145016.611,830
1533145016.621,870
1533145016.629,826
1533145016.641,849
1533145016.649,842
1533145016.657,825
1533145016.667,822
1533145016.677,826
1533145016.684,827
1533145016.691,812
1533145016.699,855
1533145016.71,847
1533145016.718,828
1533145016.726,826
1533145016.736,832
1533145016.742,839
1533145016.75,821
1533145016.756,829
1533145016.769,825
1533145016.775,830
1533145016.785,825
1533145016.794,842
1533145016.806,829
1533145016.812,838
1533145016.826,837
1533145016.834,832
1533145016.846,842
1533145016.854,827
1533145016.862,821
1533145016.871,827
1533145016.882,833
1533145016.889,827
1533145016.897,821
1533145016.904,839
1533145016.915,850
1533145016.922,836
1533145016.931,833
1533145016.939,832
1533145016.95,843
1533145016.962,854
1533145016.968,830
1533145016.975,840
1533145016.983,831
1533145016.99,833
1533145017.003,832
1533145017.011,831
1533145017.017,839
1533145017.025,853
1533145017.036,833
1533145017.042,814
1533145017.05,849
1533145017.056,824
1533145017.066,838
1533145017.072,853
1533145017.082,836
1533145017.092,843
1533145017.099,844
1533145017.105,847
1533145017.115,850
1533145017.126,859
1533145017.132,847
1533145017.139,851
1533145017.148,847
1533145017.156,859
1533145017.169,855
1533145017.175,867
1533145017.183,851
1533145017.191,860
1533145017.202,855
1533145017.209,865
1533145017.216,867
1533145017.223,841
1533145017.235,846
1533145017.241,861
1533145017.249,841
1533145017.255,860
1533145017.265,877
1533145017.274,866
1533145017.282,854
1533145017.289,866
1533145017.3,870
1533145017.306,878
1533145017.313,873
1533145017.32,865
1533145017.329,867
1533145017.338,887
1533145017.346,864
1533145017.353,875
1533145017.365,881
1533145017.371,870
1533145017.379,898
1533145017.385,869
1533145017.398,878
1533145017.404,868
1533145017.412,875
1533145017.42,874
1533145017.432,871
1533145017.438,878
1533145017.445,890
1533145017.457,878
1533145017.468,889
1533145017.474,903
1533145017.483,880
1533145017.49,893
1533145017.502,902
1533145017.508,920
1533145017.52,910
1533145017.528,922
1533145017.537,929
1533145017.549,915
1533145017.556,936
1533145017.565,927
1533145017.572,931
1533145017.581,945
1533145017.592,930
1533145017.6,929
1533145017.608,910
1533145017.617,923
1533145017.631,932
1533145017.639,945
1533145017.647,935
1533145017.654,943
1533145017.666,917
1533145017.673,966
1533145017.681,939
1533145017.689,944
1533145017.697,938
1533145017.711,920
1533145017.718,920
1533145017.725,921
1533145017.732,910
1533145017.739,905
1533145017.751,908
1533145017.758,905
1533145017.765,906
1533145017.772,880
1533145017.782,909
1533145017.789,877
1533145017.796,877
1533145017.806,896
1533145017.814,909
1533145017.821,880
1533145017.829,873
1533145017.84,905
1533145017.847,891
1533145017.854,885
1533145017.866,891
1533145017.873,887
1533145017.885,890
1533145017.891,905
1533145017.9,886
1533145017.908,892
1533145017.919,890
1533145017.932,880
1533145017.939,897
1533145017.947,892
1533145017.957,884
1533145017.963,906
1533145017.97,876
1533145017.979,889
1533145017.987,870
1533145017.995,902
1533145018.005,870
1533145018.012,886
1533145018.019,890
1533145018.031,874
1533145018.037,868
1533145018.044,880
1533145018.05,871
1533145018.064,875
1533145018.07,884
1533145018.078,884
1533145018.087,884
1533145018.095,871
1533145018.106,874
1533145018.113,854
1533145018.123,876
1533145018.131,891
1533145018.144,874
1533145018.15,883
1533145018.158,864
1533145018.164,875
1533145018.175,871
1533145018.181,878
1533145018.188,893
1533145018.196,864
1533145018.205,881
1533145018.219,872
1533145018.226,867
1533145018.233,872
1533145018.242,867
1533145018.253,882
1533145018.26,875
1533145018.267,870
1533145018.274,876
1533145018.284,886
1533145018.291,874
1533145018.297,876
1533145018.305,846
1533145018.315,888
1533145018.322,897
1533145018.33,875
1533145018.336,878
1533145018.349,865
1533145018.355,864
1533145018.364,866
1533145018.372,866
1533145018.382,880
1533145018.389,868
1533145018.396,859
1533145018.407,872
1533145018.415,883
1533145018.421,871
1533145018.431,874
1533145018.442,867
1533145018.448,894
1533145018.455,887
1533145018.464,874
1533145018.476,868
1533145018.484,874
1533145018.491,879
1533145018.499,882
1533145018.513,846
1533145018.52,872
1533145018.529,860
1533145018.537,885
1533145018.546,866
1533145018.554,862
1533145018.567,852
1533145018.576,863
1533145018.584,860
1533145018.596,865
1533145018.611,863
1533145018.62,874
1533145018.628,869
1533145018.64,862
1533145018.646,869
1533145018.656,870
1533145018.664,879
1533145018.677,869
1533145018.684,854
1533145018.694,875
1533145018.706,889
1533145018.712,876
1533145018.721,867
1533145018.728,876
1533145018.742,870
1533145018.748,885
1533145018.764,898
1533145018.773,873
1533145018.786,884
1533145018.793,854
1533145018.801,873
1533145018.809,870
1533145018.822,863
1533145018.829,860
1533145018.839,867
1533145018.846,815
1533145018.858,859
1533145018.869,851
1533145018.884,838
1533145018.897,871
1533145018.91,856
1533145018.917,861
1533145018.927,852
1533145018.937,865
1533145018.947,864
1533145018.956,863
1533145018.964,870
1533145018.973,878
1533145018.98,885
1533145018.993,858
1533145019.0,845
1533145019.01,859
1533145019.022,860
1533145019.03,885
1533145019.043,859
1533145019.051,853
1533145019.059,850
1533145019.068,866
1533145019.079,855
1533145019.089,868
1533145019.1,857
1533145019.112,833
1533145019.125,849
1533145019.132,826
1533145019.14,847
1533145019.149,840
1533145019.163,806
1533145019.171,834
1533145019.182,842
1533145019.19,854
1533145019.202,821
1533145019.208,839
1533145019.219,808
1533145019.227,843
1533145019.243,828
1533145019.25,821
1533145019.262,840
1533145019.277,820
1533145019.287,836
1533145019.294,829
1533145019.305,838
1533145019.312,813
1533145019.321,854
1533145019.328,837
1533145019.341,833
1533145019.347,818
1533145019.355,834
1533145019.364,825
1533145019.376,825
1533145019.385,816
1533145019.391,818
1533145019.404,823
1533145019.411,811
1533145019.42,838
1533145019.427,827
1533145019.439,812
1533145019.446,823
1533145019.455,813
1533145019.466,812
1533145019.474,829
1533145019.482,816
1533145019.489,823
1533145019.5,798
1533145019.508,789
1533145019.515,813
1533145019.522,811
1533145019.534,807
1533145019.542,814
1533145019.55,802
1533145019.559,814
1533145019.572,813
1533145019.582,812
1533145019.592,817
1533145019.604,808
1533145019.613,821
1533145019.622,818
1533145019.629,819
1533145019.642,820
1533145019.65,819
1533145019.658,806
