time,value
1533144639.842,759
1533144639.853,758
1533144639.86,785
1533144639.872,790
1533144639.883,809
1533144639.898,802
1533144639.909,810
1533144639.919,810
1533144639.929,809
1533144639.94,832
1533144639.953,822
1533144639.961,821
1533144639.968,825
1533144639.978,825
1533144639.986,822
1533144639.994,824
1533144640.001,821
1533144640.01,829
1533144640.017,827
1533144640.024,844
1533144640.031,816
1533144640.042,835
1533144640.048,823
1533144640.057,834
1533144640.064,821
1533144640.075,817
1533144640.081,816
1533144640.087,828
1533144640.095,820
1533144640.109,834
1533144640.115,830
1533144640.121,804
1533144640.128,834
1533144640.137,828
1533144640.144,805
1533144640.151,825
1533144640.165,845
1533144640.172,809
1533144640.179,826
1533144640.19,828
1533144640.2,824
1533144640.209,818
1533144640.216,838
1533144640.228,832
1533144640.235,825
1533144640.243,827
1533144640.252,833
1533144640.263,817
1533144640.27,836
1533144640.278,819
1533144640.285,824
1533144640.297,828
1533144640.304,822
1533144640.311,849
1533144640.318,835
1533144640.328,836
1533144640.334,830
1533144640.344,827
1533144640.351,839
1533144640.36,834
1533144640.367,836
1533144640.375,820
1533144640.382,829
1533144640.392,815
1533144640.399,828
1533144640.407,846
1533144640.417,836
1533144640.425,828
1533144640.432,823
1533144640.439,824
1533144640.45,840
1533144640.458,829
1533144640.466,851
1533144640.477,824
1533144640.483,835
1533144640.491,825
1533144640.499,827
1533144640.51,822
1533144640.517,839
1533144640.525,829
1533144640.532,834
1533144640.543,830
1533144640.549,840
1533144640.558,829
1533144640.565,822
1533144640.575,832
1533144640.582,828
1533144640.591,829
1533144640.599,831
1533144640.61,813
1533144640.617,826
1533144640.625,819
1533144640.636,829
1533144640.643,823
1533144640.65,827
1533144640.66,832
1533144640.671,826
1533144640.678,824
1533144640.686,825
1533144640.693,817
1533144640.704,819
1533144640.711,828
1533144640.718,813
1533144640.725,822
1533144640.734,851
1533144640.743,835
1533144640.751,826
1533144640.762,822
1533144640.77,834
1533144640.777,829
1533144640.784,820
1533144640.795,819
1533144640.801,819
1533144640.808,819
1533144640.816,839
1533144640.827,851
1533144640.834,802
1533144640.84,814
1533144640.847,825
1533144640.856,818
1533144640.862,814
1533144640.87,853
1533144640.876,830
1533144640.888,838
1533144640.894,824
1533144640.902,832
1533144640.911,840
1533144640.917,827
1533144640.923,848
1533144640.931,829
1533144640.939,822
1533144640.945,820
1533144640.952,833
1533144640.962,840
1533144640.969,809
1533144640.975,837
1533144640.982,813
1533144640.992,819
1533144640.998,828
1533144641.006,830
1533144641.012,826
1533144641.023,845
1533144641.029,844
1533144641.036,830
1533144641.042,817
1533144641.052,833
1533144641.058,822
1533144641.065,833
1533144641.075,829
1533144641.081,816
1533144641.088,831
1533144641.094,814
1533144641.102,821
1533144641.11,824
1533144641.118,814
1533144641.124,829
1533144641.133,846
1533144641.139,827
1533144641.146,828
1533144641.153,842
1533144641.162,849
1533144641.169,830
1533144641.176,835
1533144641.182,833
1533144641.19,804
1533144641.197,825
1533144641.205,839
1533144641.211,826
1533144641.221,823
1533144641.226,814
1533144641.233,798
1533144641.239,829
1533144641.247,816
1533144641.254,842
1533144641.262,839
1533144641.275,823
1533144641.281,835
1533144641.289,836
1533144641.296,806
1533144641.305,825
1533144641.311,834
1533144641.321,833
1533144641.328,827
1533144641.337,819
1533144641.345,838
1533144641.354,834
1533144641.364,840
1533144641.373,826
1533144641.38,835
1533144641.39,839
1533144641.396,830
1533144641.404,829
1533144641.414,837
1533144641.421,838
1533144641.428,815
1533144641.438,818
1533144641.448,828
1533144641.454,820
1533144641.461,844
1533144641.471,840
1533144641.477,813
1533144641.487,804
1533144641.494,813
1533144641.503,829
1533144641.515,826
1533144641.521,822
1533144641.527,805
1533144641.537,828
1533144641.546,824
1533144641.553,835
1533144641.56,831
1533144641.571,825
1533144641.578,819
1533144641.587,841
1533144641.594,831
1533144641.603,820
1533144641.61,824
1533144641.621,826
1533144641.628,816
1533144641.636,826
1533144641.644,814
1533144641.653,819
1533144641.659,829
1533144641.671,836
1533144641.677,822
1533144641.687,825
1533144641.695,825
1533144641.703,816
1533144641.71,812
1533144641.722,828
1533144641.728,818
1533144641.736,822
1533144641.746,824
1533144641.753,825
1533144641.76,824
1533144641.774,810
1533144641.78,811
1533144641.788,826
1533144641.796,800
1533144641.804,820
1533144641.81,816
1533144641.821,827
1533144641.827,832
1533144641.838,825
1533144641.845,830
1533144641.852,821
1533144641.862,832
1533144641.873,822
1533144641.88,809
1533144641.887,831
1533144641.899,827
1533144641.906,820
1533144641.914,841
1533144641.921,828
1533144641.931,829
1533144641.943,812
1533144641.951,830
1533144641.957,821
1533144641.965,822
1533144641.976,825
1533144641.984,838
1533144641.992,828
1533144642.004,803
1533144642.011,816
1533144642.019,829
1533144642.031,825
1533144642.042,824
1533144642.051,831
1533144642.058,819
1533144642.074,818
1533144642.082,826
1533144642.091,831
1533144642.099,833
1533144642.11,822
1533144642.119,823
1533144642.126,842
1533144642.135,828
1533144642.147,821
1533144642.156,829
1533144642.164,832
1533144642.171,799
1533144642.18,831
1533144642.194,825
1533144642.202,827
1533144642.209,823
1533144642.217,808
1533144642.229,827
1533144642.237,832
1533144642.244,826
1533144642.252,836
1533144642.263,827
1533144642.27,814
1533144642.279,856
1533144642.29,825
1533144642.298,827
1533144642.305,828
1533144642.314,829
1533144642.323,840
1533144642.346,824
1533144642.355,828
1533144642.364,828
1533144642.371,821
1533144642.383,833
1533144642.39,830
1533144642.399,823
1533144642.41,830
1533144642.418,830
1533144642.427,814
1533144642.435,833
1533144642.448,820
1533144642.454,838
1533144642.462,820
1533144642.469,825
1533144642.476,828
1533144642.49,823
1533144642.498,833
1533144642.506,839
1533144642.517,829
1533144642.524,813
1533144642.533,835
1533144642.54,824
1533144642.553,827
1533144642.56,837
1533144642.567,823
1533144642.574,814
1533144642.585,819
1533144642.592,823
1533144642.599,845
1533144642.607,830
1533144642.618,844
1533144642.624,811
1533144642.633,818
1533144642.639,830
1533144642.652,823
1533144642.659,831
1533144642.667,818
1533144642.676,812
1533144642.684,837
1533144642.691,826
1533144642.699,820
1533144642.71,838
1533144642.718,832
1533144642.725,825
1533144642.733,825
1533144642.743,817
1533144642.75,816
1533144642.757,831
1533144642.765,834
1533144642.776,819
1533144642.784,836
1533144642.791,839
1533144642.799,828
1533144642.814,818
1533144642.821,840
1533144642.833,820
1533144642.848,829
1533144642.857,822
1533144642.866,841
1533144642.873,819
1533144642.881,829
1533144642.893,815
1533144642.9,834
1533144642.907,830
1533144642.915,817
1533144642.922,834
1533144642.933,837
1533144642.94,836
1533144642.948,835
1533144642.956,837
1533144642.966,831
1533144642.973,819
1533144642.98,819
1533144642.986,817
1533144642.998,823
1533144643.004,830
1533144643.013,829
1533144643.019,842
1533144643.03,834
1533144643.036,824
1533144643.045,817
1533144643.051,825
1533144643.063,820
1533144643.069,841
1533144643.077,841
1533144643.088,818
1533144643.096,832
1533144643.102,825
1533144643.111,827
1533144643.117,833
1533144643.129,843
1533144643.135,817
1533144643.144,831
1533144643.151,834
1533144643.163,826
1533144643.169,832
1533144643.178,823
1533144643.184,820
1533144643.195,822
1533144643.201,830
1533144643.209,831
1533144643.215,829
1533144643.228,833
1533144643.234,852
1533144643.243,821
1533144643.25,830
1533144643.262,814
1533144643.268,826
1533144643.277,829
1533144643.283,821
1533144643.294,843
1533144643.301,834
1533144643.307,808
1533144643.315,838
1533144643.326,824
1533144643.333,826
1533144643.34,835
1533144643.347,832
1533144643.361,837
1533144643.37,823
1533144643.376,823
1533144643.382,853
1533144643.39,836
1533144643.402,857
1533144643.409,835
1533144643.415,840
1533144643.422,828
1533144643.429,834
1533144643.439,831
1533144643.446,824
1533144643.452,822
1533144643.459,830
1533144643.466,833
1533144643.474,835
1533144643.481,842
1533144643.487,820
1533144643.494,824
1533144643.504,811
1533144643.511,810
1533144643.517,833
1533144643.525,805
1533144643.533,843
1533144643.539,832
1533144643.545,833
1533144643.551,817
1533144643.562,831
1533144643.567,830
1533144643.575,832
1533144643.581,827
1533144643.593,828
1533144643.598,833
1533144643.604,829
1533144643.611,854
1533144643.621,815
1533144643.628,840
1533144643.634,833
1533144643.645,834
1533144643.651,825
1533144643.658,827
1533144643.663,837
1533144643.67,816
1533144643.679,816
1533144643.684,824
1533144643.692,814
1533144643.697,845
1533144643.708,830
1533144643.714,836
1533144643.72,832
1533144643.728,838
1533144643.736,814
1533144643.743,849
1533144643.749,838
1533144643.755,856
1533144643.766,822
1533144643.776,823
1533144643.782,830
1533144643.789,825
1533144643.799,859
1533144643.81,804
1533144643.816,842
1533144643.822,832
1533144643.829,800
1533144643.837,811
1533144643.844,826
1533144643.857,825
1533144643.864,863
1533144643.871,827
1533144643.878,834
1533144643.886,808
1533144643.898,840
1533144643.904,846
1533144643.915,827
1533144643.922,833
1533144643.928,809
1533144643.943,836
1533144643.949,829
1533144643.958,820
1533144643.963,828
1533144643.975,827
1533144643.981,853
1533144643.987,815
1533144643.994,832
1533144644.001,844
1533144644.012,837
1533144644.019,829
1533144644.028,836
1533144644.034,835
1533144644.045,854
1533144644.052,861
1533144644.059,841
1533144644.065,826
1533144644.077,833
1533144644.083,827
1533144644.091,829
1533144644.097,834
1533144644.104,842
1533144644.114,842
1533144644.121,843
1533144644.129,837
1533144644.135,841
1533144644.15,842
1533144644.155,843
1533144644.163,850
1533144644.177,848
1533144644.185,856
1533144644.193,817
1533144644.211,839
1533144644.217,851
1533144644.224,864
1533144644.231,867
1533144644.238,878
1533144644.247,871
1533144644.261,865
1533144644.267,873
1533144644.273,869
1533144644.287,892
1533144644.298,886
1533144644.306,878
1533144644.311,862
1533144644.32,865
1533144644.326,860
1533144644.338,858
1533144644.343,855
1533144644.349,874
1533144644.356,866
1533144644.364,876
1533144644.381,867
1533144644.39,907
1533144644.397,861
1533144644.406,875
1533144644.415,877
1533144644.424,879
1533144644.436,870
1533144644.442,870
1533144644.451,865
1533144644.458,864
1533144644.469,865
1533144644.475,871
1533144644.482,887
1533144644.489,859
1533144644.501,835
1533144644.507,900
1533144644.514,872
1533144644.522,871
1533144644.529,867
1533144644.545,871
1533144644.553,873
1533144644.559,879
1533144644.57,871
1533144644.577,872
1533144644.591,881
1533144644.598,867
1533144644.607,842
1533144644.62,870
1533144644.627,850
1533144644.645,853
1533144644.653,867
1533144644.66,864
1533144644.671,886
1533144644.679,880
1533144644.694,864
1533144644.705,866
1533144644.713,877
1533144644.722,862
1533144644.735,843
1533144644.743,834
1533144644.753,849
1533144644.761,886
1533144644.769,862
1533144644.777,870
1533144644.79,853
1533144644.797,880
1533144644.804,860
1533144644.812,875
1533144644.82,862
1533144644.833,878
1533144644.839,867
1533144644.846,919
1533144644.856,869
1533144644.87,868
1533144644.88,863
1533144644.886,876
1533144644.893,887
1533144644.9,863
1533144644.912,850
1533144644.917,872
1533144644.924,866
1533144644.934,864
1533144644.939,865
1533144644.952,846
1533144644.961,872
1533144644.967,871
1533144644.974,869
1533144644.986,850
1533144644.993,876
1533144645.0,877
1533144645.006,868
1533144645.018,869
1533144645.024,862
1533144645.031,868
1533144645.037,878
1533144645.046,875
1533144645.058,870
1533144645.066,881
1533144645.073,879
1533144645.081,855
1533144645.092,870
1533144645.1,855
1533144645.107,874
1533144645.114,852
1533144645.122,854
1533144645.133,848
1533144645.14,862
1533144645.146,864
1533144645.153,870
1533144645.16,858
1533144645.171,854
1533144645.177,863
1533144645.186,868
1533144645.192,855
1533144645.204,864
1533144645.21,854
1533144645.219,870
1533144645.226,835
1533144645.235,854
1533144645.241,863
1533144645.251,863
1533144645.26,867
1533144645.267,879
1533144645.28,863
1533144645.292,858
1533144645.302,874
1533144645.308,853
1533144645.315,852
1533144645.322,858
1533144645.335,872
1533144645.341,851
1533144645.349,860
1533144645.358,867
1533144645.366,839
1533144645.379,824
1533144645.385,865
1533144645.393,892
1533144645.403,865
1533144645.42,855
1533144645.427,848
1533144645.434,851
1533144645.44,850
1533144645.447,857
1533144645.463,847
1533144645.469,828
1533144645.476,839
1533144645.484,863
1533144645.491,842
1533144645.498,859
1533144645.51,859
1533144645.518,855
1533144645.525,856
1533144645.532,866
1533144645.542,835
1533144645.554,851
1533144645.56,859
1533144645.568,823
1533144645.577,848
1533144645.59,822
1533144645.601,825
1533144645.609,847
1533144645.616,854
1533144645.623,852
1533144645.633,840
1533144645.64,856
1533144645.647,835
1533144645.657,839
1533144645.665,832
1533144645.678,854
1533144645.685,841
1533144645.692,840
1533144645.7,830
1533144645.714,809
1533144645.721,843
1533144645.727,831
1533144645.735,837
1533144645.742,853
1533144645.756,853
1533144645.764,840
1533144645.77,841
1533144645.778,836
1533144645.784,839
1533144645.791,828
1533144645.803,832
1533144645.81,837
1533144645.817,854
1533144645.826,836
1533144645.835,826
1533144645.848,852
1533144645.855,839
1533144645.862,839
1533144645.869,818
1533144645.878,840
1533144645.89,838
1533144645.898,830
1533144645.904,824
1533144645.912,835
1533144645.919,816
1533144645.927,817
1533144645.94,833
1533144645.947,824
1533144645.953,834
1533144645.961,825
1533144645.967,835
1533144645.98,834
1533144645.986,838
1533144645.994,817
1533144646.001,814
1533144646.009,834
1533144646.019,831
1533144646.027,816
1533144646.033,806
1533144646.04,833
