time,value
1533146359.111,765
1533146359.123,781
1533146359.132,796
1533146359.141,794
1533146359.147,821
1533146359.156,812
1533146359.162,816
1533146359.171,823
1533146359.177,828
1533146359.189,831
1533146359.195,831
1533146359.208,829
1533146359.216,826
1533146359.225,829
1533146359.233,838
1533146359.242,818
1533146359.25,849
1533146359.261,834
1533146359.27,826
1533146359.28,827
1533146359.289,832
1533146359.299,830
1533146359.305,840
1533146359.312,839
1533146359.319,841
1533146359.33,817
1533146359.337,823
1533146359.344,824
1533146359.352,824
1533146359.362,827
1533146359.369,837
1533146359.376,830
1533146359.384,828
1533146359.393,823
1533146359.4,828
1533146359.407,828
1533146359.416,830
1533146359.426,827
1533146359.434,838
1533146359.441,835
1533146359.45,838
1533146359.46,828
1533146359.468,836
1533146359.475,832
1533146359.486,830
1533146359.492,838
1533146359.5,843
1533146359.509,839
1533146359.517,845
1533146359.526,831
1533146359.534,829
1533146359.541,839
1533146359.548,835
1533146359.559,823
1533146359.568,832
1533146359.578,832
1533146359.586,834
1533146359.598,825
1533146359.605,825
1533146359.612,830
1533146359.626,831
1533146359.634,826
1533146359.641,826
1533146359.649,839
1533146359.659,842
1533146359.671,823
1533146359.678,827
1533146359.686,838
1533146359.693,825
1533146359.7,845
1533146359.715,841
1533146359.725,837
1533146359.733,822
1533146359.742,838
1533146359.749,826
1533146359.759,828
1533146359.767,826
1533146359.775,832
1533146359.782,827
1533146359.793,824
1533146359.801,833
1533146359.809,838
1533146359.82,835
1533146359.827,829
1533146359.834,822
1533146359.841,826
1533146359.849,833
1533146359.858,834
1533146359.866,821
1533146359.873,827
1533146359.88,833
1533146359.889,825
1533146359.897,845
1533146359.905,824
1533146359.913,831
1533146359.922,821
1533146359.93,811
1533146359.937,835
1533146359.944,825
1533146359.956,830
1533146359.962,826
1533146359.969,830
1533146359.979,827
1533146359.986,825
1533146359.997,826
1533146360.005,819
1533146360.014,850
1533146360.02,829
1533146360.031,828
1533146360.037,850
1533146360.044,825
1533146360.051,820
1533146360.058,838
1533146360.069,832
1533146360.075,844
1533146360.086,842
1533146360.093,836
1533146360.103,824
1533146360.11,848
1533146360.118,844
1533146360.125,824
1533146360.134,816
1533146360.143,835
1533146360.15,829
1533146360.156,837
1533146360.166,826
1533146360.176,823
1533146360.182,823
1533146360.188,839
1533146360.196,830
1533146360.203,836
1533146360.215,814
1533146360.221,829
1533146360.229,828
1533146360.239,823
1533146360.245,825
1533146360.252,833
1533146360.259,830
1533146360.267,821
1533146360.279,842
1533146360.285,823
1533146360.294,831
1533146360.3,825
1533146360.311,823
1533146360.321,830
1533146360.328,832
1533146360.335,816
1533146360.343,832
1533146360.353,823
1533146360.36,827
1533146360.366,837
1533146360.373,832
1533146360.383,825
1533146360.389,821
1533146360.397,836
1533146360.403,821
1533146360.413,825
1533146360.419,818
1533146360.426,834
1533146360.433,832
1533146360.441,828
1533146360.447,816
1533146360.455,832
1533146360.465,836
1533146360.474,827
1533146360.481,836
1533146360.488,831
1533146360.498,839
1533146360.505,823
1533146360.515,829
1533146360.523,836
1533146360.532,842
1533146360.538,824
1533146360.548,828
1533146360.556,848
1533146360.566,819
1533146360.575,837
1533146360.582,821
1533146360.588,828
1533146360.599,818
1533146360.605,838
1533146360.617,815
1533146360.623,829
1533146360.63,834
1533146360.641,827
1533146360.65,829
1533146360.658,844
1533146360.666,829
1533146360.673,834
1533146360.678,828
1533146360.691,831
1533146360.697,834
1533146360.704,828
1533146360.713,832
1533146360.721,836
1533146360.734,825
1533146360.739,831
1533146360.747,823
1533146360.756,838
1533146360.765,834
1533146360.771,832
1533146360.779,830
1533146360.787,834
1533146360.798,838
1533146360.804,828
1533146360.814,825
1533146360.821,831
1533146360.832,824
1533146360.839,846
1533146360.847,825
1533146360.854,847
1533146360.865,823
1533146360.872,837
1533146360.879,841
1533146360.887,838
1533146360.896,834
1533146360.903,840
1533146360.914,846
1533146360.921,846
1533146360.931,845
1533146360.937,836
1533146360.946,845
1533146360.963,850
1533146360.974,843
1533146360.98,858
1533146360.993,837
1533146361.0,852
1533146361.011,849
1533146361.02,839
1533146361.028,843
1533146361.036,852
1533146361.049,839
1533146361.057,829
1533146361.064,833
1533146361.07,839
1533146361.079,840
1533146361.093,853
1533146361.1,838
1533146361.108,844
1533146361.115,848
